页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4773311471683839,深圳市中级人民法院,2022-05-26 09:46:41,#鹏法圳青春#1922年1月，中国社会主义青年团临时中央局创办机关刊物（   ），由北京社会主义青年团组织出版。（正确答案见评论区！）    网页链接 ,0,1,0,,深圳,广东,中国
2,4767549998499574,新传土拨鼠,2022-05-10 12:12:39,#共青团建团100周年中的新闻史# 《先驱》是中国社会主义青年团的机关报，1922年1月25日创办于北京，因遭到北洋军阀政府查禁，从第4期起迁至上海，成为团临时中央局机关刊物。从第8期起改由团中央执行委员会编辑出版，《先驱》成为团中央机关刊物，在传播马克思列宁主义理论，国际共产主义运动等方面作出了重要的贡献。,0,0,5,上海,上海,上海,中国
2,4766461312634972,河南青年时报,2022-05-07 12:06:36,"【河南青年教师用漫画讲百年团史】“不是应该叫共产主义青年团吗？这里怎么是社会主义青年团呢？”“别着急，咱们边看边说。”画面中，一个叫周小美的主人公打开了时光之门，三位21世纪的学生团员从渔阳里6号（中国社会主义青年团中央机关旧址纪念馆）瞬间穿越到20世纪，共同寻找关于共青团的一些答案。5月4日上午10点，这组以团史百年为主题的漫画作品正式上线。据了解，这组作品由河南工程学院马克思主义学院教师师远志创作，整个创作计划是8期，呈现不同历史时期共青团建设与发展的光辉历程，向更多青年学生普及团史知识，献礼建团百年。师远志介绍说，团史主题的创作从筹划到落地成型，大概有三个月左右的时间，目前除了借助公号“马克思漫漫说”、“河工青年”、学习强国等平台进行发布传播，也借助团队在上海、广西的宣讲基地，陆续开展一些宣讲活动，为广大青少年提供沉浸式动漫情景思政课程。用漫画讲团史，这个并非灵感乍现，而是师远志在日常教学中不断进行的创新探索。39岁的师远志，从2016年开始从事马克思主义理论教学工作。初任教师时，他有一大苦恼：马克思主义原理课思想性和抽象性比较强，感性资料比较少，怎样才能把这门课上好、上活泼？怎样才能激发学生的学习兴趣？师远志注意到，当代青年学生成长过程中，动漫是伴随他们成长的重要艺术形式，很多知识都做成了动漫。他转念一想，用动漫来讲述马克思主义理论行不行呢？在随后的课堂教学中，师远志就有意识地加入一些动漫内容，将“原理”课中思辨、抽象的理论用具体化、形象化、可视化的形式展示出来，深入浅出，生动形象，便于学生理解和记忆。2020年，师远志在上海的朋友正好创办了一家动漫公司，俩人就商量着围绕马克思主义理论政治经济学内容做个系列，并取名为《马克思漫漫说》。师远志介绍说：“我们刚开始先做了两三期，做出来后一边播放一边讲解，后来发现不论是在学生中，还是在网络上，还是挺受欢迎的。学生们还出谋划策，帮我想该怎么去做，就一直坚持做了下去。后来，这组作品入选国家广电总局《2021年第三季度优秀网络视听作品优秀作品目录》，对我们更是一个极大的鼓励。”截止目前，师远志撰稿完成的《马克思漫漫说》第一季（17话）和第二季（25话）作品，已在公众号“马克思漫漫说”B站、学习强国上海平台、抖音等各大媒体平台投放，其中，B站上播放量达47.1万，网友评分9.7分，还在评论区中不断催更。团史百年系列动漫也在陆续更新中。严肃知识通俗化，会面临怎样的难题？师远志表示，创作过程中，要处理的一个很大的问题就是知识的严肃性、系统性和动漫形式的通俗性、碎片性之间的矛盾，以团史动漫为例，人物可以穿越，但历史不能穿帮，历史的真实性与严肃性是不容篡改的，这就要求非常注意细节问题。“比如第三期中，从早期的团中央机关刊物《先驱》到后来的团中央机关刊物《中国青年》，我设计的是主人公周小美手里拿着《先驱》，旁边的青年看到后，把新的机关报《中国青年》递给他，完成这样的转换。那么这个合不合理，我就要去查资料，先驱是1923年8月停办的，《中国青年》是同年10月创办的，这个是合理的，我们才能用。”查阅历史文献，构思主题思路，落笔着手创作，师远志每创作一期漫画作品，大概需要10天左右时间，“有时候对一个细节问题就得反复核对，确保史实不出错。”“团史和马克思主义理论动漫只是我们红色动漫的一部分，后续我们会继续把马克思主义理论动漫完成，并且在后续推出迎接党的二十大的系列动漫。”师远志介绍说，团队还计划做《马克思漫漫说》日语版、英语版进行广泛传播，同时拓展线下阵地，出版实体漫画书，打算在河南工程学院申请成立红色动漫文化孵化中心，并依托团队力量在国内其他地方建立“红色动漫文化孵化中心”，开展红色文化IP产学研、大中小思政一体化和家校社思政大课堂的建设。师远志说：“作为一名青年思政课教师，深刻体会到‘讲中国故事是时代命题,讲好中国故事是时代使命’，我们将继续守正创新，讲好思政课，讲好中国故事，向更多青少年传播红色文化，赓续红色基因，增进文化自信。”S（河南青年时报·东风新闻记者 魏文杰）",0,0,0,,郑州,河南,中国
2,4764356040726003,贵州监狱,2022-05-01 16:41:00,#百名青年讲百年团史#【石库门里的渔阳薪火—中国社会主义青年团中央机关旧址】 贵州监狱的微博视频 ,2,2,1,,贵阳,贵州,中国
2,4761702471829871,重生之考研再就业,2022-04-24 08:56:40,新闻史#学习打卡# 来啦  选择题——中国社会主义青年团中央的第一份机关报是( )  #2023考研##新传考研#  新传考研每日打卡  网页链接 ,0,1,6,,南京,江苏,中国
2,4748496932702351,安徽团省委,2022-03-18 22:22:34,【#青运史上的今天# ·3月18日】1922年3月，中国社会主义青年团第一个机关报《先驱》从北京迁到上海，从第四期开始由上海的团临时中央局编辑出版。#百年青运读团史##团史百年天天读# ,0,1,15,,,,
2,4748058615615896,文旅之声,2022-03-17 17:20:51,#第一批全国重点文物保护单位#【中国社会主义青年团中央机关旧址】1920年8月22日，在中国共产党早期组织的领导下，俞秀松等8名青年发起成立了中国第一个社会主义青年团——上海社会主义青年团。团的机关设在当时法租界霞飞路新渔阳里6号（今淮海中路567弄6号）。上海社会主义青年团的创建，对各地社会主义青年团的建立起了发动和指导的核心作用。为了掩护和团结进步青年，同年9月，于此开设“外国语学社”，同时在《民国日报》上公开刊登招生广告。刘少奇、任弼时、肖劲光、罗亦农等由各地团组织推荐来“外国语学社”学习，并先后赴苏联学习。1921年11月，青年团临时章程中明确规定：在“正式团的中央机关未组成时，以上海团的机关代理中央职权”。中国社会主义青年团中央机关旧址，是一幢建于1917年的石库门建筑。1961年3月4日，由中华人民共和国国务院公布为全国重点文物保护单位。2004年修复后对外开放。,0,0,1,,,,
2,4742296636229140,上海静安,2022-03-01 19:44:48,【潮流文化结合红色文化，大沽路即将焕新！】#关注静安# 大沽路堪称南京西路商圈最“红”后街，一侧是中共二大会址纪念馆，另一侧是中国社会主义青年团中央机关遗址。3月1日，第二届上海青年知行计划·城市微更新设计大赛启动仪式在大沽路室外广场举行，旨在通过凝聚青年智慧，从空间上、精神上打造一条党建带团建的薪火相传、初心传承之路。上海团市委副书记邬斌出席启动仪式……详情见：潮流文化结合红色文化，大沽路即将焕新！  上海静安的微博视频,0,0,1,,,,
3,4725468048131500,青春十堰,2022-01-14 09:14:00,#建团百年##团团带你学团史# 【青年工作大事记（1922）】1922年1月15日 社会主义青年团的机关刊物《先驱》在北京创刊，由北京团组织主办。3月，《先驱》迁到上海，从第四期开始由上海的团临时中央局编辑出版。第八期起归团中央执行委员会主办，至1923年8月15日停刊，共出25期。　　1月17日 湖南劳工会领袖黄爱（原天津觉悟社社员、社会主义青年团团员）、庞人铨（社会主义青年团团员）被杀害。黄、庞是社会主义青年团最早牺牲的团员。　　2月22日 中国社会主义青年团临时中央局以“中国社会主义青年团代理书记”的名义向各地团的组织发出召开全国大会的通知，说明召开全国大会的宗旨是：“决议正式章程，组织中央正式机关，以联络统一全国S·Y·运动。”　　3月 恢复中的社会主义青年团发动和领导青年学生开展非基督教运动，掀起反对帝国主义的文化侵略的斗争。　　4月 张太雷与少共国际代表达林抵达上海，不久，同去广州负责中国社会主义青年团第一次代表大会的筹备工作。　　4月底 中共中央在广州举行共产党和青年团负责人会议。出席会议的有中央局成员、党的各地区负责人和广州部分党团干部。少共国际代表达林参加了会议。会议讨论了党在即将召开的第一次全国劳动大会和社会主义青年团第一次全国大会上应遵循之路线以及对国民党的态度问题。　　5月5日至10日 中国社会主义青年团第一次全国代表大会在广州召开。17个地区的团组织派出了25名代表出席。中共中央局代表陈独秀和少共国际代表达林出席了大会并讲话。大会正式制定了团的纲领和章程，选举了中央执行委员会。张椿年（即张太雷）、蔡和森、俞秀松、高尚德、方国昌（施存统）5人被选为团中央执行委员。方国昌任书记。大会通过了改善青年工人农民生活、政治宣传运动、教育运动、中国社会主义青年团与中国各团体的关系等决议案，并一致同意加入共产国际领导的无产阶级青年国际组织－－少共国际。　　6月3日 “旅欧中国少年共产党”在巴黎召开第一次代表大会。大会讨论了章程，正式成立了“旅欧中国少年共产党”。　　7月16日至23日 中国共产党第二次全国代表大会在上海举行。　　8月 旅欧党、团组织创办《少年》月刊。　　9月6日 中国社会主义青年团发出第17号通告，规定青年团和中国共产党的关系。#青春十堰# @共青团中央 @青春湖北,1,0,5,,,,
3,4719330866239425,中国社会科学报,2021-12-28 10:47:02,#期刊#【《先驱》：中国社会主义青年团机关报】1922年1月15日，《先驱》创刊，前3期由北京地方团组织编辑出版，因遭到北洋军阀政府查禁，从第4期起迁至上海，改由中国社会主义青年团临时中央局编辑出版，成为团临时中央局机关刊物。从第8期起由中国社会主义青年团第一次全国代表大会选出的团中央执行委员会编辑出版，成为团中央机关刊物。总共出版25期，每期4开4版一大张，逢增刊多出半张到两张。《先驱》传播和普及马克思主义理论，宣传列宁关于民族殖民地的理论，介绍了苏维埃俄国情况和国际共产主义运动中著名人物的事迹，研究和探讨了中国革命和青年团建设的重要问题等；既促进了工农群众的觉醒和中国进步青年由激进的民主主义者向共产主义者转变，又为加强团员思想教育和统一全团思想作出了重要贡献。网页链接,0,0,0,,,,
3,4709269218003221,上海规划资源,2021-11-30 16:25:38,【《上海红色文化地图》——《中国青年》编辑部旧址】#业务动态# 《中国青年》编辑部旧址位于淡水路66弄4号。《中国青年》是中国社会主义青年团中央委员会继《先驱》之后出版的机关刊物，1923年10月20日在上海创刊。翌年春，团中央租下这幢房屋编辑出版《中国青年》杂志，宣传马列主义，教育和团结广大青年参加革命。该刊创办人及主编有张太雷、邓中夏、萧楚女、任弼时等。1927年四一二反革命政变后，该刊迁往武汉，同年7月汪精卫同共产党决裂后，又迁回上海。该建筑为典型的三合院石库门住宅，坐北朝南，平面呈“凹”字形，外墙为清水青砖红砖腰线，二楼局部有挑空阳台，二坡顶，砖木结构。二楼客堂及亭子间是编辑部办公室，小阁楼作印刷间。1977年12月7日，由上海市革命委员会公布为上海市文物保护单位。,0,0,0,,,,
3,4694490193335193,精彩洛阳,2021-10-20 21:39:04,#永葆初心#【#党史上的今天#|10月20日】1925年10月20日，中国国民党《广东省党部代表大会日刊》刊发毛泽东写的《发刊词》。1923年10月20日，中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊。1984年10月20日，中共十二届三中全会召开。2014年10月20日－23日，中共十八届四中全会召开。【党史上的今天】10月20日,0,0,0,,,,
3,4694417514169969,北京世纪坛医院,2021-10-20 16:50:16,【党史学习】党史上的今天-10月20日1923年10月20日  中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊1923年10月20日 中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊，先后担任该刊编辑的有恽代英、萧楚女、林育南、任弼时、邓中夏、张太雷、李求实等。1927年11月被迫停刊。全文阅读：【党史学习】党史上的今天-10月20日（@人民健康网@首都健康@北京12320在聆听@健康中国@北京医管@北京市卫生计生委信息中心@健康中国@北京市社区卫生服务管理中心@北京健康教育@网易健康频道）,0,0,1,,,,
3,4694396182204928,广州市场监管,2021-10-20 15:25:30,#党史百年天天读 · 10月20日#1923年10月20日 中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊，先后担任该刊编辑的有恽代英、萧楚女、林育南、任弼时、邓中夏、张太雷、李求实等。1962年10月20日 中国边防部队奉命对印度军队的武装进攻进行自卫反击作战。1984年10月20日 中共十二届三中全会召开。2014年10月20日－23日 中共十八届四中全会召开。2018年10月20日 中国自主研制的大型灭火/水上救援水陆两栖飞机AG600在湖北荆门漳河机场成功实施首次水上试飞任务。(来源：广州机关建设)党史百年天天读 · 10月20日,0,0,0,,,,
3,4694389681816785,颍上县人民政府发布,2021-10-20 14:59:40,【党史回眸】10月20日1923年10月20日 中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊，先后担任该刊编辑的有恽代英、萧楚女、林育南、任弼时、邓中夏、张太雷、李求实等。1927年11月被迫停刊。1962年10月20日 中国边防部队奉命对印度军队的武装进攻进行自卫反击作战。自12月1日起，中国边防部队从1959年11月7日双方实际控制线单方面后撤20公里，并在实际控制线中方一侧设立民政检查站。1984年10月20日 中共十二届三中全会召开。全会通过《关于经济体制改革的决定》，规定以城市为重点的经济体制改革的任务、性质和各项方针政策；提出社会主义经济是公有制基础上的有计划的商品经济。2014年10月20日－23日 中共十八届四中全会召开。全会通过《关于全面推进依法治国若干重大问题的决定》，指出全面推进依法治国，总目标是建设中国特色社会主义法治体系，建设社会主义法治国家。2018年10月20日 中国自主研制的大型灭火/水上救援水陆两栖飞机AG600在湖北荆门漳河机场成功实施首次水上试飞任务。,0,0,0,,,,
4,4679547981923453,上图历史文献中心,2021-09-09 16:04:03,#“百年征程 红色书香”——探寻海派文化里的红色基因主题馆藏文献展#蛰伏闹市 领导中枢——中共中央机关驻守上海十二年（三）中国社会主义青年团中央机关旧址纪念馆（中国社会主义青年团临时中央机关，今淮海中路567弄6号）    图1：载于1922年5月15日出版的《先驱》上的《中国社会主义青年团第一次全国代表大会召开的报道与团的纲领及章程》。图2：新渔阳里今照图3：新渔阳里旧照,0,0,3,,,,
4,4675955472207888,中共一大纪念馆,2021-08-30 18:08:42,中共一大纪念馆的外墙上悬挂着12块带有#红色里弄#名称的铭牌，你都知道是哪里吗？今天给大家介绍的红色地标是渔阳里。老渔阳里2号（今南昌路100弄2号）是上海共产党早期组织成立地、《新青年》编辑部和陈独秀寓所，新渔阳里6号（今淮海中路567弄6号）是中国社会主义青年团中央机关旧址。想探索更多关于上海这座光荣之城的红色血脉线索，在参观我馆基本陈列时可要留意啦~图1：中共一大纪念馆外墙的“渔阳里”铭牌图2：基本陈列中的老渔阳里2号场景再现,0,0,1,,,,
4,4658397598974565,江川社情,2021-07-13 07:19:59,学史奋进|7月9日上午，红四居委组织社区中小学生前往淮海路上的中国社会主义青年团中央机关旧址进行参观。 ,1,0,3,,,,
4,4655327384965244,乐游上海,2021-07-04 20:00:03,地处上海黄浦区淮海中路567弄的新渔阳里，是中国社会主义青年团中央机关旧址。在中国共产党百年诞辰之际，这里成了不少参观者追捧的打卡地，每天客流量高达七八百人次，最高日客流量超过一千人，比平时高出一倍。021视频的微博视频 ,0,0,3,,,,
4,4654436426976755,青年报,2021-07-02 08:59:42,#青年报社原创# 【#这一天的上海青年#：渔阳里的青年们，不负时代，不负韶华，不负党和人民的殷切期望】7月1日一早，位于淮海路上的中国社会主义青年团中央机关旧址纪念馆的序厅里，大屏幕全程播放了庆祝中国共产党成立100周年大会。大会上，习近平总书记发表重要讲话，对青年提出殷切期望：“未来属于青年，希望寄予青年。新时代的中国青年要以实现中华民族伟大复兴为己任，增强做中国人的志气、骨气、底气，不负时代，不负韶华，不负党和人民的殷切期望！”重要讲话让馆内的青年工作人员、志愿者和来参观的青少年深受鼓舞，更明确了要以实现中华民族伟大复兴为己任的前进方向。（青年报·青春上海记者 周胜洁/文 吴恺/图、视频 sei 编辑）#微博蓝v视频大赏##微博放映厅##何其幸运我们共睹这一天# 青年报的微博视频,1,0,11,,,,
4,4652053312309352,上海国资发布,2021-06-25 19:10:03,#国企资讯#【隧道股份参与打造经典步道“红色小径” 提升上海“软实力”】隧道股份城建设计集团结合中共一大会址周边红色景点的优势，参与打造了城市“红色文化”品牌和特色主题街道。这条街道串联了包括中共一大会址纪念馆、周公馆（中国共产党代表团驻沪办事机处旧址）、中国社会主义青年团中央机关旧址纪念馆等13处红色景点。整个步行道网络将引导市民游客在石库门里弄中探寻党诞生的过程，并在故居纪念馆中聆听峥嵘岁月里老一辈无产阶级革命家工作和生活的故事。红色经典步道以丰富的导引方式，打造沉浸式党史教育氛围下交旅融合、互动体验的活力特色街区，为上海传承红色文化，做强做大城市“软实力”提供助力。详见↓网页链接,0,0,2,,,,
4,4646135899095898,更上海,2021-06-09 11:16:21,渔阳里——探究初心，回望历史 穿过热闹的淮海中路，更火体验官将带你回溯红色记忆。 #更火##淮海中路##中国社会主义青年团中央机关旧址# 更上海的微博视频 ,2,1,3,,,,
4,4641118703061230,闵行梅陇镇,2021-05-26 14:59:49,【梅陇镇翔梅公司组织青年参观中国社会主义青年团中央机关旧址纪念馆】近日，由翔梅公司团支部组织公司35岁以下青年参观中国社会主义青年团中央机关旧址纪念馆，大家在活动中重温中国共产党从成立到发展壮大的伟大光辉历程，弘扬了“爱国、进步、民主、科学”的“五四”精神。通过参观实践教育活动，引导公司青年从党史中启迪思想、获得力量，翔梅公司的青年在参观过程中每一次对党史的回望，都是一次对精神的洗礼。,17,0,24,,,,
5,4635975126616128,内蒙古青年,2021-05-12 10:21:05,#建党百年，青春正当时# 【激活“天然吸引力” 红色资源成青年“爆款”】五月的上海，因为一抹鲜明的“红色”变得分外耀眼。5月4日，在中共一大纪念馆、中国社会主义青年团中央机关旧址纪念馆等16个红色点位，青少年朋友们用“剧本杀×城市定向”的方法进行红色大寻访接力；5月1日至5月4日，数以万计的淮海路青年游客在路过渔阳里广场时，走进主打全息影像的“时光之镜”，体验与5位早期共产党人的穿越对话。激活“天然吸引力” 红色资源成青年“爆款”,1,0,1,,,,
5,4634603710579671,上海司法行政发布,2021-05-08 15:31:34,#学党史、强信念、跟党走# 【翻新后的渔阳里长啥样？民警小哥哥带你实地探访】新渔阳里6号作为中国社会主义青年团中央机关旧址所在地，是中国共产党在创建时期的重要活动场所，在中国共产党创建和发展史上具有非常重要的地位。如今，这幢百年石库门建筑正焕发出新的活力，引领者一代又一代青年——青春心向党，建功新时代！五四青年节来临之际，让我们一起跟随上海市夏阳强制隔离戒毒所团委委员金燚的脚步，重温那段峥嵘岁月！  上海司法行政发布的微博视频,0,0,0,,,,
5,4633866221913247,上海虹口,2021-05-06 14:41:03,#虹口新闻# #党史学习教育# 【“得物”青年的这一课很“潮”→】近日，以“青春心向党、得物正当潮”为主题的得物青年说党史活动，首站来到“渔阳里”中国社会主义青年团中央机关旧址纪念馆（w）→ ,0,0,0,,,,
5,4633127345459679,同济大学,2021-05-04 13:45:01,#听Ta说同济大学移动直播间#  来自时代声音青年讲师团和“理论+”宣讲团的四位青年讲师：张琪、张乐、王耀国、任荷灵，将带领大家走入中国社会主义青年团中央机关旧址纪念馆 重温那段薪火相传的岁月，寻觅百年渔阳里的初心与使命 点燃信仰之火，融入红色基因，激发精神力量！ 同济大学的微博视频 ,2,3,105,,,,
5,4633094416240548,青春上海,2021-05-04 11:34:10,在中国社会主义青年团中央机关旧址纪念馆中向外国语学社学会的俄语，出发前往中共淞浦特委机关旧址纪念馆和潜伏的地下党员对上了暗号，继续前进！#五四青年节##青春耀百年#  青春上海的微博视频 （拍摄剪辑：李锦波） ,3,0,18,,,,
5,4625476310796884,上海黄浦,2021-04-13 11:02:32,【这群保洁员化身“多面手”！“五员志愿服务”让他们赢得中外游客点赞】#黄浦播报##魅力上海大赏#“你好！我从这里去中国社会主义青年团中央机关旧址纪念馆，该怎么走？”“从马当路一直走到淮海路，然后一直向西走，到成都南路口，对面就是。”周末的早上，正在用高压冲水枪冲洗路面污渍的新天地清道班保洁员王国成，面对陌生游客的提问，胸有成竹地当起了“红色之旅的引导员”。,1,2,6,,,,
5,4623985163896634,黄浦教育,2021-04-09 08:17:15,#迎建党百年# 七色花小学：“百人百讲话百年”——红领巾学党史专题栏目启动暨宣讲仪式     采撷一缕阳光，编织七彩童年。留住一阵清风，播撒希望明天。在庆祝中国共产党百年华诞的重大时刻，七色花小学党支部带领团支部、大队部，特别联合中国社会主义青年团中央机关旧址纪念馆，推出“百人百讲话百年”——红领巾学党史专题栏目。     活动伊始，党支部邵书记告诉队员们，百年党史是一部理想信念的生动教材，也是一笔宝贵的精神财富。希望七色花的少年们能通过学习党史来坚定理想信念，明白新时代少年的使命与担当，从而刻苦学习，努力成长为中国特色社会主义事业建设者和接班人。     聆听书记的殷切寄语后，陆校长和中国社会主义青年团中央机关旧址纪念馆馆长洪老师，为“百人百讲话百年”栏目揭牌，并为宣讲团的老师和队员代表颁发了聘书，宣告红领巾学党史专题活动拉开序幕。     百年风雨兼程，百年艰苦奋斗，中国人民一同走过艰难险阻，创造了引以为傲的辉煌历史。本期红领巾学党史，我们有幸请来了中国社会主义青年团中央机关旧址纪念馆团支部书记傅老师，为队员们带来“百人百讲话百年”的第一篇《新渔阳里 青年团从这里出发》。傅老师的深情讲述，把我们带回了风云激荡的1921年。100年前，一批批热血新青年来到石库门，立下报国之志，开启了解救中华民族于危难之中的红色征途。渔阳里见证了马克思主义思想在中国的的萌芽与发展；见证了一批批救国心切的年轻人走上革命征途；见证了点点薪火汇聚成不灭的革命火种；见证了中国共产党从一艘小小红船发展为领航中国行稳致远的巍巍巨轮……     奋斗百年路，启航新征程。随着红领巾学党史专题栏目的推出，七色花小学庆祝中国共产党成立100周年系列活动正全面展开。少先队员学党史、知党情、感党恩、跟党走，在党史学习中汲取营养，为实现中华民族伟大复兴的中国梦时刻准备着。,0,0,0,,,,
5,4614952596015210,上海住房城乡建设管理,2021-03-15 10:05:03,【数数你知道多少？上海市首批革命文物名录公布啦！】《上海市第一批革命文物名录》今日正式公布啦，其中包括：中国共产党第一次全国代表大会会址（含宿舍旧址）、中国共产党第二次全国代表大会会址、中国社会主义青年团中央机关旧址等150处不可移动革命文物；1920年9月出版的陈望道译《共产党宣言》、1949年5月上海市人民政府成立时的第一块招牌等208件/套可移动革命文物。具体名单详见↓数数你知道多少？上海市首批革命文物名录公布啦！,1,1,1,,,,
6,4537867387536683,上海规划资源,2020-08-14 16:55:56,【上海市保护建筑中的红色印记——中国社会主义青年团中央机关遗址（含H5）】#业务动态#中国社会主义青年团中央机关遗址位于原大沽路356-357号（今大沽路400-402号）。1921年11月，中国社会主义青年团临时中央局在上海成立，并任命施存统为书记，临时中央局机关迁到此办公；在此期间，临时中央局机关出版了《先驱》半月刊，成立“马克思主义研究会”和“非基督教学生同盟”；4月组织了支援浦东日华纱厂工人罢工斗争的运动，号召全国各界大力援助日华纱厂工人，并发动团员青年进行募捐活动；团临时中央还根据党组织的要求，为中国劳动组合书记部工人补习学校编写教科书《劳动运动史》；在5月召开的中国社会主义青年团第一次全国代表大会上，施存統作了团临时中央局与上海团的情况报告；1922年，尚贤堂组织召开湖南黄爱、庞人铨的追悼会，陈独秀在会上发表演说，并散发了毛泽东起草的《中国社会主义青年团为黄、庞牺牲转告工人书》；同年6月9日，大沽路的临时中央局机关被当局查封。该建筑为老式的石库门里弄建筑，2004年被拆除，在基地附近竖立了一处以石库门门头为造型的纪念物。1987年11月，被上海市人民政府公布为上海市文物保护单位。【学史】上海市保护建筑中的红色印记——中国社会主义青年团中央机关遗址（含H5）,0,0,2,,,,
6,4528513917398747,青年报,2020-07-19 21:28:36,#青年报社原创# 【暑期至，渔阳里成为青少年打卡热门地】暑假以来，位于淮海中路上的“渔阳里”中国社会主义青年团中央机关旧址纪念馆迎来了一批又一批青少年参观。有组团预约前来，也有跟着父母来纪念馆打卡，多数孩子都戴着红领巾、绿领巾，让参观学习充满了仪式感。今日就有两个学生团队预约前来纪念馆。复旦万科的初心小分队都是一年级的小学生，近10名小学生每人都戴着绿领巾。在纪念馆序厅上海社会主义青年团八位发起人的艺术铜雕前，他们举着“重回渔阳里，争做新少年”横幅，留下了集体照。（青年报·青春上海记者 周胜洁/文 吴恺/图、视频）  青年报的微博视频,0,2,2,,,,
6,4509269980111690,上海市场监管,2020-05-27 19:00:04,【市局党组中心组集体瞻仰红色革命遗址】5月27日上午，市局党组理论学习中心组前往一大会址、《新青年》编辑部旧址和中国社会主义青年团中央机关旧址纪念馆，集体瞻仰红色革命遗址。市局局长陈学军、市局党组书记倪俊南和局领导班子成员等参加瞻仰活动。 ,249,60,29,,,,
6,4483766128479396,上海黄浦,2020-03-18 09:56:52,【瑞金路之一百六十八】#海派影像 黄浦记忆#左图：1920年8月，俞秀松等人在这里发起创立上海社会主义青年团。9月，上海共产主义小组在这里开办“外国语学社”，为输送青年赴俄留学做准备。1921年初，中国社会主义青年团成立后，这里成为团中央机关。右图：2008年5月 ,2,1,1,,,,
