页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4711892628802849,万里桐花开,2021-12-07 22:10:08,百集#历史纪录片# 《中国老街100集》•第93集•乌镇老街（4-3）         #历史那些事# 乌镇上诞生了中国现代著名文学家——茅盾。         本集带你去重温茅盾旧居。 万里桐花开的微博视频 ,0,0,1,,,,
2,4711085162366673,CH3-CO-CoA,2021-12-05 16:41:33,茅盾旧居闭关中。以前去过乌镇茅盾旧居。 ,0,0,0,,,,
2,4706971900972463,王散木,2021-11-24 08:16:55,发表了博文《旧居引出小白菜》旧居引出小白菜日前翻阅文学巨匠茅盾（原名沈雁冰）代表作《子夜》，随手查阅与这位新中国成立后的第一任文化部长有关资料，在阅读茅盾故居介绍时，竟意外发现了另外一个人的名字——夏旧居引出小白菜 ,0,0,0,,,,
2,4673407129747761,奇诺_琴大人,2021-08-23 17:22:29,继续逛丫  鲁迅旧居、茅盾旧居，可惜周一不开放，就外边瞅瞅算了，改天再来吧~ ,0,0,0,,,,
2,4666430546774857,上海虹口,2021-08-04 11:20:03,#虹口新闻# 【老弄堂用上“高科技”】四川北路街道山二居民区第五责任区网格内有着历史悠久的大陆新村、柳青小筑、松雲别业等保护建筑、海派里弄和鲁迅、茅盾、中西功等名人旧居。近20处小弄堂里居住着300多户居民。如何在数字化转型大背景下，通过科技赋能，结合网格化党建实行精细化治理，推进里弄小区门禁系统更新，助力老弄堂彰显新魅力，成为了山二居民区党总支和山二居民区第五党支部的一项新任务。（m）,0,0,1,,,,
2,4634866854135291,静远的博客,2021-05-09 08:57:12,【烟雨中游乌镇东栅】有人说，乌镇最好的景致是在雨中。蒙蒙烟雨中的乌镇东栅，小桥流水人家，恰如淡雅的水墨画。撑着雨伞，脚踩青石板路，走进百床馆，踏入民俗间，手触古灶台，身处茅盾旧居，在高架搭晾蓝印布染坊，在堆满酒坛漂着酒香的作坊，亲临其中，切身体验的是乌镇的古韵和江南水镇的乡土味。 嘉兴·乌镇东栅,0,0,2,,,,
3,4562942010337286,老虎的妹妹,2020-10-22 21:33:33,#如诗如歌马尔康##醉美马尔康# 来到阿来旧居沾沾才气，阿来是四川文学史上首位获得茅奖、鲁奖的双冠王。 2000年，其第一部长篇小说《尘埃落定》获第五届茅盾文学奖，为该奖项有史以来最年轻得奖者及首位得奖藏族作家。阿来的旧居坐落在马尔康市梭磨乡马塘村，它是一座白石红瓦的三层嘉绒民居，背靠着青山，脚下是黑土地。最引人注目的是三楼的书房，墙角还有张西式的床，藏式的装修墙上挂着许多照片记录着阿来老师的成长和创作足迹。 阿坝,103,143,522,,,,
3,4560296192511230,BabyFace敏儿,2020-10-15 14:20:00,一个人来北京出差，仅有的几个小时空闲时间去了南锣鼓巷遛达这里好多胡同，疫情影响没有进去茅盾故居和齐白石旧居纪念馆 北京·北京西站 ,0,2,5,,,,
3,4556240640016830,成为大写手的负一万年,2020-10-04 09:44:41,羡慕顾湘。 老房子前面住着鲁迅，后面住着茅盾。 如果，有机会去参观鲁迅旧居，我定要拜访一下。 and，我的邻居们天天吵架，怪不得我也那么爱吵架。 ,0,0,0,,,,
3,4554794037418423,上海规划资源,2020-09-30 09:56:25,【上海市保护建筑中的红色印记——山阴路156弄茅盾旧居（含H5）】#业务动态# 周山阴路156弄茅盾旧居位于山阴路156弄（大陆新村）29号。茅盾（1896-1981年），原名沈德鸿，字雁冰，浙江桐乡人；1921年加入上海共产党早期组织，是中国共产党最早的党员之一。1946年5月，茅盾夫妇自重庆来沪，居此二楼一间房，从事进步文化活动，为报刊写杂文、文艺评论、翻译作品，为反内战，为李公仆，闻一多被害，为保障言论自由等发表宣言。同年12月应邀访苏，1947年4月回国，9月写出《苏联见闻录》，同年11月由中共地下党转移去香港。该建筑为新式里弄，坐北朝南，砖木结构，三层楼，整幢建筑面积171平方米，红瓦四坡顶，开两座老虎窗，灰黑色砖外墙，嵌红砖条形装饰，屋前有一花圃。1999年9月23日，被上海市人民政府公布为上海市第三批优秀历史建筑。【学史】上海市保护建筑中的红色印记——山阴路156弄茅盾旧居（含H5）,0,0,0,,,,
3,4416551706631866,铁树花开123,2019-09-14 22:30:45,上海·茅盾旧居。 ,0,0,0,,,,
3,4401321614310135,星星糖61,2019-08-03 21:51:48,多伦路，鲁迅故居，茅盾旧居，外白渡桥，外滩 ,0,1,1,,,,
3,4384478849435224,九远10,2019-06-18 10:24:40,茅盾旧居、鲁迅故居、内山书店旧址（均没入内）。 ,0,6,8,,,,
