页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4381709451171270,乐游上海,2019-06-10 19:00:03,"@上海徐汇发布 说：泰安路全长514米，是上海64条永不拓宽的马路之一。TA东起武康路，西至华山路，以兴国路为界，跨越徐汇、长宁两区,以山东地名泰安为名。在这条短短的马路上，自东向西藏着多处优秀历史保护建筑——贺绿汀旧居、周谷城旧居……沿街还有不少有意思的小店，真可谓是“深藏不露”了。 ",5,0,7,,,,
2,4308086015100785,洛必达法则Amy,2018-11-19 15:06:48,发表了一篇转载博文《[转载]意外发现贺绿汀上海旧居》[转载]意外发现贺绿汀上海旧居 ,0,0,0,,,,
2,4300049090976607,扛机器的胖子,2018-10-28 10:50:58,上海东平路9号，蒋介石旧居。现在是贺绿汀音乐学校管理。不对外开放。旧居旁的酒吧也是东平路9号容易搞错。我去的时候也以为酒吧的建筑是老蒋旧居。孔祥熙旧居紧挨着是东平路7号。但是我看到的是个餐馆。 ,0,0,0,,,,
2,4227713809717014,HongArt_洪教授,2018-04-11 20:16:22,來#賀綠汀舊居# 附近，看#蕭勤# 的藝術作品。  #版畫##上海老洋房##水墨##藝術# ,0,0,0,,,,
2,4038891063805215,xlhappy666,2016-11-06 19:02:11,【徐汇区191】安福路191弄15号，贺绿汀1931--1932年新婚旧居（后门）。 ,0,0,0,,,,
2,4001796743031498,凡人客栈,2016-07-27 10:22:37,发表了博文《意外发现贺绿汀旧居》昨天下午，外出散步，漫步在泰安路法国梧桐林荫道下。路过一旧式小区，发现小区门口一侧墙上，有五线谱等音乐元素的装饰物。于是产生疑问，继而追根究底。便得知，原来大名鼎鼎的贺意外发现贺绿汀上海旧居 ,3,1,0,,,,
2,3748939691723547,上海规划资源,2014-08-29 16:18:57,【贺绿汀旧居】#城建回眸#泰安路76弄，1934年建造，取名亦村。有十四幢独立的西式住宅。Ta与大多数上海弄堂一样，很不起眼。两车交会都不行的窄弄，没有大面积的绿化；沿个家墙根有些许树木，花草树木多数在各家庭院内。人民音乐家贺绿汀在此居住了43年，从1956年到1999年逝世的大半生时间。 ,1,1,0,,,,
2,3747861361351039,上海徐汇发布,2014-08-26 16:54:03,#玩转徐汇#从小弄堂进去周边有一圈的别墅区，这在市中心是非常少见的。两层楼的现代式花园住宅很具艺术感，室内注意空间分隔和墙面色彩，强调室内的空间流动和内外空间的结合，很贴近自然。【贺绿汀旧居 地址：徐汇区泰安路76弄亦村4号】 ,5,11,1,,,,
3,3721493101849263,杨东平,2014-06-14 22:36:00,文化遗产日，上海开放百余处文物建筑。参观了图1番禹路的邬达克纪念馆，货真价实，不需此行。图2永嘉路的孔祥熙旧居，现为文化市场执法总队，一无旧物，原先的花园被改为停车场。图3 泰安路的贺绿汀旧居，仅开放院落，花园荒芜。图4周谷城旧居，仅开放外立面。 ,5,2,2,,,,
3,3715953135220069,上海长宁,2014-05-30 15:42:07,"#博物探秘#【贺绿汀旧居】位于泰安路76弄4号。建于1934年, 一幢独立花园住宅，因为弄内有六幢花园住宅,“六”和“亦”字头相同，故又名“亦村”。人民音乐家、上海音乐学院老院长贺绿汀1956年至1999 年去世前曾居住4号。开放时间：6月14日、15日，9:30-11:00；13:00-16:00。限于花园及底楼开放。 ",0,0,0,,,,
3,3668367724396850,sunli19992003,2014-01-19 08:14:43,手机随拍: 【行走泰安路】....亦村（贺绿汀的故居）、花园住宅（周谷城寓所） 、杜宣寓所（杜宣的夫人就是赵丹的前妻叶露茜 ）、 泰安路120弄卫乐园1号（华山路口 剧作家黄佐临长时间寓居）、泰安路120弄10号（贺子珍旧居）....链接：网页链接 ,1,1,2,,,,
3,3601430679771623,浦江左锋,2013-07-18 15:10:48,#寻找长宁记忆#每年的5月或者6月长宁区都开展寻访历史老建筑或者革命历史遗址等群众活动，免费对市民开放参观。我每年都参观，这是2006年5月26日参观著名音乐家贺绿汀旧居时拍摄的贺老旧居外貌和室内。贺老使用的钢琴还在老地方，墙上挂着贺老的照片。@上海长宁 ,0,0,0,,,,
3,3588011470434883,体育广播室,2013-06-11 14:27:39,【6月8日、9日长宁区三条文化之旅线路免费开放】[咖啡]邬达克旧居、番禺路外国弄堂，贺绿汀旧居、圣约翰大学旧址…… 继“博物馆之旅”后，“名人旧居文化之旅”、“工业遗产及苏河老印象文化之旅”和“邬达克建筑在长宁文化之旅”线路6.8、6.9继续免费开放，计划一下，到时[走你] ,149,7,8,,,,
3,3587407364211574,阿华0729,2013-06-09 22:27:07,长宁区第二届文博宣传月，名人旧居文化之旅。贺绿汀旧居@上海长宁 @长宁文学季 ,0,0,0,,,,
3,3587306730568137,Maverick_BYL,2013-06-09 15:47:15,此刻心情无比舒畅，恨不得与所有人共享。。应该是月季吧，于贺绿汀旧居拍摄。 ,0,27,0,,,,
3,3583397701761032,文艺的院子,2013-05-29 20:54:09,#艺文活动#【城市微旅行 发现不一样的上海】邬达克旧居、番禺路外国弄堂，贺绿汀旧居、圣约翰大学旧址…… @稻草人旅游 探寻魔都的线路受到年轻人的追捧，周末，你可以和三五好友一同去走走，边走边感受你不曾深谙的魔都风景。 网页链接 ,30,7,1,,,,
3,3582234185531248,魔都事体,2013-05-26 15:50:44,【6月8日、9日长宁区三条文化之旅线路免费开放】#午间时光#邬达克旧居、番禺路外国弄堂，贺绿汀旧居、圣约翰大学旧址……@上海长宁 继“博物馆之旅”后，“名人旧居文化之旅”、“工业遗产及苏河老印象文化之旅”和“邬达克建筑在长宁文化之旅”线路6.8、6.9继续免费开放，计划一下，到时 ,2,0,0,,,,
3,3581877770186776,上海长宁,2013-05-25 16:14:29,#长宁印迹#【贺绿汀旧居】位于泰安路76弄4号。建于1934年，一幢独立花园住宅，因为弄内有六幢花园住宅，“六”和“亦”字头相同，故又名“亦村”。人民音乐家、上海音乐学院老院长贺绿汀1956年至1999年去世前曾居住4号。6月8、9日（AM9:30-11:00，PM1:00-4:00）免费开放，但开放部分仅限花园及底楼。 ,6,6,0,,,,
4,3581402409292301,长宁旅游,2013-05-24 08:45:35,上海市长宁区“名人旧居文化之旅线路”： 乌达克旧居（番禺路129号） 贺绿汀旧居（泰安路76弄4号） 史良旧居（武定西路1357—1359号） 周谷城旧居（泰安路115弄6号） 王伯群住宅（愚园路1136弄31号，长宁区少年宫） 登辉堂（华山路1580号，复旦中学校史馆） ,0,1,0,,,,
4,3581154411864218,乐游上海,2013-05-23 16:20:08,#景点#【长宁区&quot;文化之旅&quot;36处景点免费开放】除了已开放的博物馆线路外，还有名人旧居文化之旅，工业遗产及苏河老印象文化之旅，邬达克建筑在长宁文化之旅，包括邬达克、贺绿汀等旧居、上钢十厂旧址、番禺路外国弄堂、新华路329弄32号乙住宅等36个景点。时间6月8日、9日。 ,35,19,2,,,,
4,3499499475884473,sunli19992003,2012-10-10 08:32:35,【左右时尚 尚街大搜索 泰安路 吾心安泰即是家】网页链接 泰安路120弄3号:1924年建造的砖木结构花园住宅31幢。具有英国，法国，西班牙的风格...泰安路76弄，1934年建造，取名亦村。有十四幢独立的西式住宅。亦村4号是音乐家贺绿汀的旧居。 ,1,0,0,,,,
4,3475588738051928,粉粉嘟嘟乖妞妞,2012-08-05 08:59:51,上音附中里的＂爱庐＂，蒋宋旧居，1951年贺绿汀在此创办音乐少年班。 ,0,0,0,,,,
