页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4887149910426913,上海杨浦,2023-04-05 13:00:00,#杨浦News#【一堂“行走的思政课”，让红色基因浸润心田】清明时节祭扫先烈，让学子们深切感悟，英烈精神、传承红色基因。4月1日，同济大学与同济大学第一附属中学的学生们一同前往高桥烈士陵园，开展“清明祭扫缅先烈，历史铭记扬新风”清明节祭扫活动。 ,0,0,0,,上海,上海,中国
2,4886916745138583,上海海洋石油局,2023-04-04 21:33:29,【追寻红色足迹 缅怀革命烈士 | 基地管理中心开展清明祭扫英烈活动】3月23日早晨，上海海洋石油局基地管理中心组织55名党员同志和入党积极分子来到高桥烈士陵园，开展“追寻红色足迹 缅怀革命烈士”清明祭奠先烈活动。网页链接 ,0,0,0,,上海,上海,中国
2,4869735164412654,浦东发布,2023-02-16 11:40:01,【“让英烈故事代代相传，英烈精神人人皆知”！浦东爱国主义红色教育联盟共建单位座谈会召开】#浦东新闻# 2月14日，新区烈保中心在高桥烈士陵园召开浦东新区爱国主义红色教育联盟2023年共建单位座谈会，共同商议如何更好地弘扬英烈精神、传承红色基因，为“打造引领区 奋进尊崇路”凝心聚力、共建联动。,0,0,2,,上海,上海,中国
2,4754187311122366,西安交警,2022-04-03 15:14:06,西安公安交警 【15:00各墓园通行秩序情况】#西安路况播报# 长安辖区：凤栖山墓园、枣园墓园、寿阳山墓园、神禾墓园车流量正常。曲江辖区：三兆公墓车流量较大 。临潼辖区：骊山墓园周边秩序良好，通行正常。雁塔辖区：烈士陵园门口通行情况正常，有警力在疏导。灞桥辖区：高桥墓园和霸陵墓园交通恢复正常。鄠邑辖区：九龙山墓园车流量正常，有民警执守。蓝田辖区：白鹿原、凤凰岭、大观领墓园，三处墓园周边车流量正常，民警正在巡逻。#西安交警微提醒# 请各位司机朋友们错峰出行，绿色出行！,0,3,1,,,,
2,4751916438919900,皓月的幸福时光-2008,2022-03-28 08:50:28,每日名胜|上海·上海高桥烈士陵园 每日名胜|上海·上海高桥烈士陵园 ,0,0,0,,,,
2,4749408942686450,青春大尉,2022-03-21 10:46:33,每日名胜|上海·上海高桥烈士陵园 每日名胜|上海·上海高桥烈士陵园 ,0,0,0,,,,
2,4749365098842146,第666感,2022-03-21 07:52:21,每日名胜|上海·上海高桥烈士陵园 每日名胜|上海·上海高桥烈士陵园 ,0,0,0,,,,
2,4749270421078832,含含笑-石狮8中博园,2022-03-21 01:36:08,祖国名胜 |  上海 · 上海高桥烈士陵园 每日名胜|上海·上海高桥烈士陵园 ,0,0,1,,,,
2,4749160908066972,GerryLcj,2022-03-20 18:20:58,每日名胜|上海·上海高桥烈士陵园 每日名胜|上海·上海高桥烈士陵园 ,0,0,0,,,,
3,4729857026820306,时光一笔,2022-01-26 11:54:14,#致敬英烈# 英魂“集结号”！内江，21位烈士“归队”！1月24日上午，内江举行零散烈士墓集中迁葬入园仪式，将市中区朝阳镇，东兴区椑木镇、高梁镇、双才镇，内江经开区靖民镇，内江高新区高桥街道21座零散烈士墓集中迁入内江市革命烈士陵园安葬，以告慰烈士英魂，弘扬烈士精神。 ,0,1,3,,,,
3,4717234297509540,陕西检察,2021-12-22 15:56:01,【商州检察：公益诉讼为烈士“安家”】12月17日上午10时，商洛市商州区夜村镇高桥战斗纪念碑园区苍松肃立，翠柏静哀。商州区零散烈士遗骸首批集中迁葬烈士陵园活动仪式现场，5名散葬在全区各处的烈士棺椁在烈士纪念碑前覆盖国旗，依次序排列。奏唱《中华人民共和国国歌》后，区委、区政府代表向烈士致悼词，全体人员对烈士三鞠躬表达对烈士的无尽思念和崇敬之情。@商洛商州检察 #陕检新闻吧#  商州检察：公益诉讼为烈士“安家”,38,24,19,,,,
3,4715046174724435,抚州临川发布,2021-12-16 15:01:12,上海高桥烈士陵园：为解放上海，1619名革命烈士长眠于此 网页链接 ,0,0,0,,,,
3,4709716359907930,浦东发布,2021-12-01 22:02:25,【为了解放上海，他们长眠浦东】在浦东新区高桥镇钟家弄有这样一处烈士陵园，它是为了纪念在解放上海的战役中，牺牲在浦东地区的解放军战士而建的，1619名革命烈士长眠于此。今天“走浦东红途，讲红色故事”的第七站，就请大家跟随主持人丁晓军的脚步，共同走进高桥烈士陵园，重温红色足迹，致敬英雄先烈！ 浦东发布的微博视频,2,1,8,,,,
3,4692137696824629,和谐沪东,2021-10-14 09:51:05,沪东新村派出所民警瞻仰高桥烈士陵园 缅怀革命烈士 ,0,0,1,,,,
