页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4880713960398471,JackFan杰克,2023-03-18 18:45:50,#用脚步丈量上海# 20230318 龙华烈士纪念馆淞沪警备司令部的所在地，是创立于清朝同治年间的江南制造局的兵工厂。民国年间，这里一直是上海最高军事机构。门楼有两层，始建于1920年，中西样式，墙体顶端设堞口，二层楼台设岗楼，是当时龙华地区除了龙华塔以外最高的建筑。现在是龙华革命烈士纪念地。 上海·龙华烈士纪念馆,1,0,0,上海,上海,上海,中国
2,4880330181579861,女官,2023-03-17 17:20:50,No.140 国保打卡-龙华革命烈士纪念地 有两处，一处是烈士陵园，包括纪念馆纪念碑等；另一处是原上海警备司令部监狱，包括牢房刑场等。站在刑场处真觉得头皮发麻 柔石、胡也频、彭湃、罗亦农、陈延年、陈乔年、赵世炎……全国重点文物保护单位#觉醒年代# 上海·龙华烈士纪念馆 ,0,0,2,上海,上海,上海,中国
2,4873875077205502,chen83539,2023-02-27 21:50:33,丹心碧血为人民——龙华革命烈士纪念地（B） 上海·龙华革命烈士纪念地 ,0,0,2,上海,上海,上海,中国
2,4873549918241877,一只加油的兔子w,2023-02-27 00:18:29,一只兔子的周末幸福生活：龙华寺、龙华革命烈士纪念地、蒸汽鱼火锅、蓝蛙、星黛露、玩项目。比较好玩的项目全玩到了，极速光轮甚至玩了两遍！又是和脸姐渣哥二哥极限玩乐的两天，无比充实又满足！终于躺下休息了，睁眼又是万恶的周一 ,0,1,13,上海,上海,上海,中国
2,4819723164846925,龙华英烈,2022-10-01 11:30:11,上海市龙华烈士陵园国庆期间开放公告尊敬的游客朋友们：    上海市龙华烈士陵园于国庆假期间（10月1日至7日）正常开放。开放时间为每日9:00-16:00 ( 15:30停止入园)。纪念馆、龙华革命烈士纪念地等室内场所因设备维修暂停开放，恢复开放时间另行通知。国庆假期间祭扫仪式现场预约。    我园将继续实行“预约、验码、限流、测温、错峰”措施。入园时请出示预约码、“随申码”或身份证原件，通过“数字哨兵”扫描核验成功方可入园。参观期间，请全程保持2米以上安全距离并正确规范佩戴口罩。特此公告，敬请周知。上海市龙华烈士陵园（龙华烈士纪念馆）2022年10月1日,0,0,16,,上海,上海,中国
2,4796275549277814,司图博行,2022-07-28 18:37:44,龙华革命烈士纪念地【第三批国保】〔上海市徐汇区〕#带着微博去刷保# ,1,1,13,上海,上海,上海,中国
2,4787490038745693,思迪SssD,2022-07-04 12:47:15,#上海龙华烈士纪念馆##打卡国家一级博物馆##国家一级博物馆巡礼##思迪爱逛博物馆# 第二部分是园区地面文物的原状陈列——龙华革命烈士纪念地。开放部分占地面积2万平方米，遗址建筑主要有：原淞沪警备司令部门楼、警卫室、通讯电话机房、看守所、烈士就义地。结合地面文物的原状陈列，在遗址区设有《龙华1927-1937》和《他们曾在这里被关押——在龙华监狱关押过的部分幸存者陈列》2个专题展。,0,0,0,四川,成都,四川,中国
2,4785288734315732,龙华英烈,2022-06-28 11:00:03,@龙华英烈 邀请#我与烈士同岁#的新青年关注《龙华魂·云观剧｜伍仲文：“伉俪共同信仰永远不变”》 #桃花祭英烈# 俄罗斯文学宝库里有一部名为《钢铁是怎样炼成的》经典小说，其作者奥斯特洛夫斯基留下了这样一句名言：共同的事业，共同的斗争，可以使人们产生忍受一切的力量。在龙华革命烈士纪念地监狱旧址的门口停着一辆囚车，车上曾发生过一段革命伉俪的故事。 龙华英烈的微博视频,0,1,10,,上海,上海,中国
2,4758177582679512,龙华英烈,2022-04-14 15:30:01,@龙华英烈 邀请#我与烈士同岁#的新青年关注《龙华魂·清霜坚傲骨｜他们是播火者，守心人》 #桃花祭英烈# 龙华是党的纪检监察战线革命先驱英勇就义地之一，在龙华革命烈士纪念地的泰山石上展示的是11位在龙华牺牲的中共中央委员和中共中央监察委委员。在新中国成立前中国共产党产生了171位中央委员，其中有42人牺牲，这里就牺牲了7位。首届中共中央监察委员会10名成员中，8位牺牲者里，在这里牺牲了4位，副主席杨匏安、委员张佐臣、许白昊及候补委员杨培生都牺牲于此。牺牲在龙华的首届中共中央监察委员会成员——杨匏安、张佐臣、许白昊、杨培生，他们在腥风血雨中以信仰为舵，破浪前行；在革命洪流中以生命为歌，谱写忠诚与担当。,6,5,39,,,,
2,4753745894441409,龙华英烈,2022-04-02 10:00:03,#桃花祭英烈# #我们来看望您# @龙华英烈 邀请新青年与我们一同居家、缅怀，参加“云祭扫”第一步：点击视频右上角播放按钮，回顾往年清明祭扫场景；第二步：回顾完成，点击“跳过”进入云浏览界面；第三步：可点击相应区域“云游览”龙华革命烈士纪念地；第四步：点击左上角“我要献花”按钮，向英烈鲜花；第五步：选择您心仪的花束，点击“完成”按钮，为英烈献花；第六步：留下您想对英烈说的话，共同向英雄致敬！点击链接，为革命英烈献花，向人民英雄致敬！网页链接,483,728,697,,,,
3,4690697946398999,上海文明徐汇,2021-10-10 10:30:01,【《观变》：揭开龙华古塔“神秘”面纱，见证焕然新生的历史时刻】龙华历史风貌区，是上海市中心12片历史文化风貌区之一，具有千年的历史文化积淀。这里拥有龙华革命烈士纪念地、龙华塔、龙华寺等多个重点文物保护单位，还有龙华庙会等多个非物质文化遗产，历史文化底蕴深厚。随着上海城市的不断发展，龙华地区的面貌也是日新月异，在不知不觉中慢慢变得越发精致。历时数月精心制作而成的微纪录片《观变》，将带大家通过镜头的忠实记录，揭开古塔修缮保养工艺的“神秘”面纱，见证这片风貌区焕然新生的历史时刻！《观变》：揭开龙华古塔“神秘”面纱，见证焕然新生的历史时刻,1,0,1,,,,
