页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4887194387089829,slh168,2023-04-05 15:56:44,三林革命烈士永垂不朽！ 读懂了清明，也就读懂了人生的感恩信念情怀与祝愿…… （三林烈士陵园在修缮中） ,1,1,0,上海,上海,上海,中国
1,4870882122008671,落地岗2012,2023-02-19 15:37:37,跑到附近的马场溜达一下，可能三年疫情打击很大，看起来有些破败之感。这里是没有新四军纪念馆的，不知道咋想起来设这个地标。再去三林瞻仰一下烈士陵园，在整修，愿勇士们安息。🙏 ,0,0,1,上海,上海,上海,中国
1,4515004830965844,念廿九不忘,2020-06-12 14:48:19,【红色遗址】三林烈士陵园 【红色遗址】三林烈士陵园 ,0,0,0,,,,
1,4512538336956958,韩联社中文网微博,2020-06-05 19:27:21,【韩政府在沪为#抗战勇士苏景和#办追悼...】#韩中合作# 5日下午，韩国驻上海总领事馆总领事崔泳杉一行代表韩国政府前往浦东三林烈士陵园，为投身光复助韩独立的中国抗战勇士苏景和...网页链接 ,0,0,13,,,,
1,4157668513507434,今日张江,2017-09-30 13:21:24,#张江动态# 今天，在全国第四个“烈士纪念日”到来之际，镇三套班子领导、机关全体公务员、张江边防支队、张江消防中队官兵来到三林烈士陵园，心怀崇敬，祭奠先烈！ 同时还参观了烈士革命史迹陈列室，缅怀先烈们的丰功伟绩，不忘初心，以更加奋发有为的精神状态迎接党的十九大的胜利召开。 ,11,0,5,,,,
1,4091708692326110,V三林平安结,2017-04-01 13:00:35,#支部建设#总有一个特殊的时节，能够唤醒尘封的记忆与沉睡的情感，让我们在历史的坐标里仰望崇高、砥砺精神。上午，机关第四支部在机关总支统一组织下前往三林烈士陵园开展清明祭扫活动。通过聆听烈士们的英勇事迹、敬献花圈、鞠躬默哀、瞻仰烈士墓和陈列室等方式，祭奠长眠于此的革命先烈。共同追忆烽火岁月革命英烈的英勇事迹，时刻警醒自己珍惜来之不易的幸福生活，增强做好本职工作的责任感和使命感，永做党和人民的忠诚卫士。,1,1,5,,,,
1,3961243683896219,警民直通车-闵行,2016-04-06 12:39:13,清明节期间，我所组织青年民警至浦东三林烈士陵园祭扫，缅怀革命先烈@警民直通车-上海 @陈行派出所 ,0,0,0,,,,
1,3922085955156686,浦东交警,2015-12-20 11:20:22,#冬至安全出行#@浦东交警三大队 蜀黍在北蔡安息堂和三林烈士陵园为大伙儿的冬至扫墓安全护航。提醒：雨天路滑，行车请保持安全距离，打开近光灯！ ,0,0,0,,,,
2,3827542639277304,杨思派出所,2015-04-03 13:59:00,4月3日上午，杨思派出所团员青年突击队、民警代表在党支部领导带领下前往三林烈士陵园祭扫。纪念碑前，突击队代表立誓：切实肩负起维护祖国和平安定的光荣使命，弘扬先烈的革命精神，以前辈为了人民的利益敢于牺牲的精神鞭策自己，以更加激昂的姿态坚守本职岗位，在公安战线上奉献自己的光和热。 ,15,15,1,,,,
2,3827500205706698,魅力三林,2015-04-03 11:10:23,#祭奠英烈#又到一年清明时，怎能忘记七十年前抗战往事，多少爱国志士誓死保卫我们的家园？今天上午，三林镇班子领导携机关全体成员来到三林烈士陵园，心怀崇敬，祭奠先烈！ ,1,0,4,,,,
2,3789435344344290,南汇乡土,2014-12-19 10:14:13,发表了博文《三林烈士陵园》骑游三林镇前，见地图上外环线与三鲁路相交的绿化带中有三林烈士陵园。一般情况下，烈士陵园都是区县一级才有的，三林镇也有一个烈士陵园，对此网上基本上没有什么资料可以查阅，产生了一三林烈士陵园 ,0,0,0,,,,
2,3577064986386201,wiky_lin,2013-05-12 09:30:14,我在三林烈士陵园：母亲节，去看看妈妈。 网页链接 ,1,1,1,,,,
2,3571364827202003,左手写字的左撇子,2013-04-26 15:59:49,旁边就是三林烈士陵园，能住么? //@脊梁in上海:楼...又歪了... //@没事儿乱溜达的猫:阿婆真心无奈~ //@Doris琼真心想瘦: 我看到阿婆了，表情好可爱 //@脊梁in上海: 大爷边上那个掩面的不是阿婆吗？？？ //@119在我心中:明显是阿公 哪是阿婆啊,0,0,0,,,,
2,3562933961664012,蓝色的狮子王,2013-04-03 09:38:35,清明节前，到浦东新区三林镇烈士陵园，缅怀革命先烈。 ,0,0,0,,,,
2,3561122579824812,家园恒_大,2013-03-29 09:40:47,为了缅怀革命先烈、弘扬爱国主义精神，3月27日上午，恒大居民区党总支组织社区党员干部42人，前往上海三林烈士陵园开展清明扫墓活动。 ,1,4,0,,,,
