页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4765331992087285,周深_星轨记录仪,2022-05-04 09:19:05,周深 #青春上海党史学习接力人周深# ☀️每日·早安☀️【周深 | 2021.05.04 “青春上海”五四大直播-红色大寻访体验 | 直播全程】       去年今天，上海人民广播电台联合共-青-团上海市-委-员-会，邀请深深@卡布叻_周深 以“青春上海——党-史学习接力人”的全新身份参加了“青春上海”五四大直播活动。        活动当天，深深来到《义勇军进行曲》录制地——上海徐家汇公园的百代小楼，进行了“红色大寻访体验”，致敬了自己的青春偶像——作曲家聂耳。深深表示，“我愿意做这样一只‘百灵鸟’，为祖国而歌，为时代而唱。”       直播当天，话匣子FM等微博直播累计观看人数达100万人次，B站直播观看峰值近200万。网友们纷纷带上坐标接力转发，传承聂耳等百年前爱国青年的红色基因，共同让信仰之光照亮更远前方。早安深深早安米米☀️ #周深共青团百年宣传片主题曲有我#  #周深共青团百年宣传片主题曲MV#  青春上海的微博视频,140,163,1179,,,,
1,4621149176596842,警民直通车-上海,2021-04-01 12:28:03,#致敬公安英雄# #2021清明祭英烈# 【清明时节忆先烈，唤得春风慰忠魂】近日，上海嘉定公安分局戬浜派出所组织民警、辅警至廖家礽烈士纪念馆开展红色寻访活动，祭扫默哀，敬礼致敬，现场安静而肃穆。广大民警、辅警深切缅怀为新中国的成立献出生命的革命先烈，表达对党的无比忠诚和对革命先烈牺牲精神的无限敬佩之情。,79,221,274,,,,
1,4633046759770426,青春上海,2021-05-04 08:24:48,青春上海五四大直播就在今天13点 ！有#青春上海党史学习接力人周深# 到访，也有抢先体验红色大寻访的up主战队探路。更多惊喜等你揭晓 小伙伴们快来直播间围观吧 #青春耀百年##青年节朋友圈文案# ,1569,1347,19049,,,,
1,4583549950231019,灰灰先生,2020-12-18 18:22:08,2020年中船上海地区“不忘初心学四史，牢记使命再出发”职工红色文化寻访定向赛。 谢谢各位的祝福。抽奖详情 我们代表公司，拿了@中国船舶 集团定向赛的冠军🏆 #再冷也要运动# #年轻就是全力以赴# 跑步 ,44,173,285,,,,
1,4403693241337119,扬子晚报,2019-08-10 10:55:47,【半部电台起家！“听风部队”：电波永不消逝】影片《永不消逝的电波》主人公李侠的原型是李白烈士，而李白的领导及老师便是江苏省唯一的开国中将、人民军队通信工作“开山鼻祖”王诤。抗战开始后，李白被派往上海“潜伏”。那句“永别了，同志们”的电报，接收人正是王诤将军的夫人秦岩。敬请收看#红色丰碑#微纪录片《“听风部队”决战“隐蔽战线”》，向英雄致敬！#寻访影视剧英雄原型#  扬子晚报的秒拍视频 “红色丰碑”寻访影视剧英雄原型全媒体行动,51,28,89,,,,
1,4819450211602266,中国大学生在线,2022-09-30 17:25:34,#大我青春# #我们走过的这十年# 襟江带海，长风万里；百舸争流，奋楫者先。上海高校师生始终牢记习近平总书记殷殷嘱托，以建设“三全育人”综合改革试点区、示范区为契机，用好“初心之地、红色之城”的丰富育人资源，在寻访重温习近平总书记重要考察足迹的过程中，深刻体悟新时代党的创新理论的思想伟力和实践伟力，赓续红色基因、践行初心使命，培养一代又一代社会主义合格建设者和接班人。『寻访重温重要足迹｜上海篇·初心之地再出发 先行示范谱新篇』寻访重温重要足迹｜上海篇·初心之地再出发 先行示范谱新篇,31,0,5,,,,
1,4389336189129518,看看新闻KNEWS,2019-07-01 20:05:59,【暑假第一天 上海中小学生却为这事聚到一起】今天是中国共产党诞生98周年纪念日。上午，上海近万名中小学生在16个区同步参加了&quot;同升国旗，同唱国歌&quot;的主题升旗仪式，用歌声诉说爱国情，立下报国志。今天，上海全市还启动了红色寻访活动，引导上海百万学子利用暑期实践，沿着红色文化地图，共赴一场红色之旅，在实践感悟中厚植红色基因，争做担当民族复兴大任的时代新人。看看新闻Knews的秒拍视频,10,13,45,,,,
1,4661018023694253,上海发布,2021-07-20 12:52:37,【32个地标等你打卡！“上海国企开放日”5条红色路线公布】#探索上海#市国资委选取了71路红色巴士外滩站、杨树浦水厂、G60科创云廊、上海隧道科技馆等32个有故事、可阅读的红色地标，针对不同人群、不同主题、不同场景进行规划导引，形成了“寻访初心之地”“百年工业之光”“金融发展之路”“科技强国之途”“徜徉人民之城”等5条红色路线，向广大市民开放。开放时间、预约方式等，详见↓ 32个地标等你打卡！“上海国企开放日”5条红色路线公布,22,4,34,,,,
1,4516513259014648,上海消防,2020-06-16 18:42:16,【#上海#消防总队开展“学四史、讲四史”主题实践活动】为加深广大指战员对党的初心使命的感悟、筑牢坚定“五个不动摇”的思想根基。近期，@上海静安消防 开展“学四史、讲四史”主题实践活动，发动各队站寻访辖区红色旧址，讲述红色故事，传承红色基因，通过制作情景党课，让“四史”学习教育更生动活泼。 上海消防的微博视频,11,2,17,,,,
1,4595050217215983,中国青年报,2021-01-19 12:00:06,#寻访身边的红色记忆##打卡红色足迹#【方圆一公里的红色青春 】 以今天的上海市兴业路76号——中共一大会址为中心，画一个圆，在这约一平方公里的区域内，矗立着新天地南里、TX淮海年轻力中心、K11等当代年轻人喜爱的“网红打卡地”。但在100年前，这里是年轻人培训、开会、办刊的“聚集之地”，中共党史上著名且意义非凡的一大会址、二大会址、新老渔阳里、博文女校等10多个重要地标均在这“红色之源一平方公里”之内。19世纪的90后、95后在这里酝酿出了“开天辟地”的大事。方圆一公里的红色青春  #中国共产党建党100周年##建党1921# 中国青年报的微博视频,11,2,29,,,,
1,4653840086076859,中国消防,2021-06-30 17:30:03,#我是消防员我是共产党员# 【重走百年大党初心之路】@上海普陀消防  指战员在南湖红船、一大会址、四大会址等地开展“初心之路”红色寻访活动，组织新发展预备党员举行宣誓仪式，从党史中汲取精神力量。#火焰蓝忠于党旗红# 上海消防的微博视频 ,16,3,38,,,,
2,4932859053213935,寻美嘉定外冈,2023-08-09 16:11:49,近期，外冈镇党外青年开展以“潮涌东方的鸿音”和“寻找文化的血脉”为主题的红色大寻访活动，充分利用上海丰富的红色历史和文化遗产，深入体验革命历史的丰富内涵，不断弘扬爱国主义精神，激发青年的家国情怀。#寻美上海##寻美嘉定# ,1,1,2,上海,上海,上海,中国
2,4929593176494993,奉城聚焦,2023-07-31 15:54:23,#Fx青春自定义#  | 红色浪潮激扬时代新潮头 近日，奉城镇、奉浦街道组织开展“新时代，新青年，新城市”——2023年奉城镇、奉浦街道“Fx青春自定义”联合主题团日活动和“青春红途 向前一步”上海青少年红色大寻访活动。 网页链接 ,0,0,0,,上海,上海,中国
2,4929506878164401,寻美宝山,2023-07-31 10:11:28,#寻美上海##寻美宝山#  让红色教育更加温暖人心！宝山这里开展暑期寻访活动（来源：上海宝山） ,0,0,0,,上海,上海,中国
