页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4918616077894822,央视新闻,2023-07-01 08:55:19,【直播！#庆祝建党102周年#】今天，@央视新闻 带你重回上海中共一大会址、浙江嘉兴南湖红船、井冈山革命博物馆、遵义会议会址、北京大学红楼，探寻百年征程；到深圳新兴科技产业园、云南白鹤滩水电站、浙江“未来乡村”，感受#奋进的中国砥砺前行#。看↓祝福党，祝福祖国！   央视新闻的微博视频 ,563,495,2404,,,,
1,4902830081843542,上海电视节,2023-05-18 19:27:24,【白玉兰奖征片盘点丨感悟峥嵘岁月中的信仰力量】近两年，围绕“建党百年”这一重大主题创作的革命历史题材电视剧，以宏大的历史叙事、细腻的细节刻画以及触及灵魂的共情共鸣，让理想和信仰之光持续闪耀荧屏，它们成为了本届电视节白玉兰奖中国电视剧单元中浓墨重彩的一笔！《啊摇篮》讲述延安保育院守护红色血脉的革命历程；《百炼成钢》借助经典歌曲串联百年党史的恢弘篇章；《大决战》全景式展现辽沈、淮海、平津三大战役的辉煌历史；《大浪淘沙》回望早期共产党人投身时代洪流救亡图存的伟大历史；《光荣与梦想》重温革命先辈从建立红色政权到抗美援朝取得伟大胜利期间的一系列历史壮举；《理想照耀中国》记录建党百年以来不同历史时期代表人物的闪光故事；《破晓东方》聚焦共产党人依靠人民群众解放和治理上海的历史成就；《数风流人物》还原五四运动到新中国成立这段历史时期的诸多曲折和细节；《香山叶正红》再现新中国成立前夕中共中央在香山的运筹帷幄；《信仰》揭秘解放战争时期地下隐蔽战线的暗流涌动和生死博弈；《血战松毛岭》刻画红军战士坚守阵地、鏖战七天七夜视死如归的英勇形象；《中流击水》追溯中国共产党初创到井冈山胜利会师的历史进程……#上海电视节# #白玉兰奖# 白玉兰奖征片盘点丨感悟峥嵘岁月中的信仰力量,6,94,592,,,,
1,4801213642311234,神秘观众,2022-08-11 09:39:57,#终于等到王一博长空之王# 真的期待可以在国庆档见面啊，在之前的贴片预告中就看得出是大制作！已经不能用震撼来形容了…简介：由国家发话制作的首部空军&quot;试飞员&quot;题材，上海市“建党百年 全面小康”主题首批重点文艺创作项目，歼20首次亮相于电影屏幕，以“海南岛事件”为历史背景的电影 神秘观众的微博视频,1006,152,1263,,,,
1,4767498245767476,共青团中央,2022-05-10 08:46:59,【百年风华！#年轻的党创建了更为年轻的团#  】“南陈北李，相约建党”，继北京、上海建立起党的早期组织后，长沙、武汉、广州等地的共产主义组织陆续建立，这些位于“京广线”上的城市，成为早期建党建团的重镇，年轻的共产党创建了更为年轻的青年团。#百年青运跟党走##建团百年#  共青团中央的微博视频,169,68,594,,,,
1,4646451551145209,人民日报,2021-06-10 08:10:39,【感动！#天籁童声中穿越建党百年#】“你诞生在一百年前风雨飘摇，从不怕迎面而来的浊浪滔滔；我沐浴着新时代的温暖阳光，从不曾记忆模糊的将你遗忘”…这首歌，跨越百年，唱出几代人共同的信仰。上海小荧星合唱团的#孩子们一大会址前唱响百年号角#↓↓一起聆听这份感动。  人民日报的微博视频 ,1616,732,4837,,,,
1,4648328924497265,看看新闻KNEWS,2021-06-15 12:30:39,#诞生在上海#【用5000张照片穿梭时空！ 阿卡贝拉原来还可以这么玩】2021年，我们想用年轻的语态讲述建党百年的故事，用阿卡贝拉形式对《卖报歌》、《游击队之歌》等歌曲串烧，讲述中国共产党带领全国人民走向胜利的伟大历程。导演组与阿卡贝拉组合@燃点人声乐团 进行跨界联动，通过无伴奏合唱+逐格动画演绎的方式，用5000张照片穿梭时空，将听觉与视觉的体验都推向极限，传唱出更加浓烈的爱国热情。看看新闻KNEWS的秒拍视频,34,8,91,,,,
1,4654210027882623,澎湃新闻,2021-07-01 18:00:04,【#上海AR灯光秀呈现党的百年故事#】#中国共产党成立100周年#这个七一，为庆祝建党百年，上海白玉兰广场AR灯光秀重磅升级，以视觉方式直观地呈现那些震撼人心的百年故事。（视频来源：上海虹口）上海白玉兰广场用AR灯光秀呈现党的百年故事 澎湃新闻的微博视频 ,124,56,468,,,,
1,4651151561590149,新华网,2021-06-23 07:26:49,#没有共产党就没有新中国#【#上海黄浦江流光溢彩庆祝建党百年#】上海是中国共产党的诞生地，也是全球景观照明的启航之地，流光溢彩的灯光夜景是上海的城市名片之一。在庆祝中国共产党成立100周年的历史时刻，上海将在黄浦江畔上演以“灯光璀璨庆华诞，不忘初心跟党走”为主题的光影盛宴。　　这次光影秀全长6分钟，分为开天辟地、改天换地、翻天覆地、经天纬地四幕，两岸灯光分别以橙色、绿色、蓝色和红色为主基调，时而舒缓、时而热烈；两岸大屏以图案、文字和动态画面形式持续呈现中国共产党领导中国革命历史上的重要标志性事件。6月30日至7月4日，光影秀将在每晚19：30至22:30逢半点、整点各展演一次。  新华网的微博视频,188,41,444,,,,
1,4651380125996811,CGTN,2021-06-23 22:35:03,【惊艳！上海重庆灯光秀庆祝#建党百年#】6月22日晚，黄浦江两岸近300幢建筑悉数亮灯；空中不断变换出“党徽”“1921-2021”等不同文字和绚丽图案。重庆大剧院、洪崖洞、解放碑等地标性建筑一片灯火璀璨，点亮夜空。Shanghai and Chongqing staged light shows to celebrate the 100th anniversary of the founding of the Communist Party of China (CPC). Check it out! CGTN的微博视频,22,0,127,,,,
1,4645934572766795,上海市青年联合会,2021-06-08 21:56:21,百年前，他们在迷雾里找路，在荆棘里踏路，把生命燃成火炬。百年后，一群又一群后来人沿着这光的方向继续向前，勇敢无畏，自信阳光。全国青联委员、市青联常委金承志改编、指挥，上海彩虹室内合唱团倾情演绎——上海市青联推出庆祝建党100周年教育实践活动主题曲：《在灿烂阳光下》MV，今日首发！@全国青联 @青春上海 @上海彩虹室内合唱团 @张晚意 上海市青年联合会的微博视频,1446,198,5388,,,,
