页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4873416102906389,中国蓝新闻,2023-02-26 15:26:45,【#上海嘉兴旅游专列将恢复开行#】3月1日，上海至嘉兴“南湖•1921”红色旅游列车将恢复开行。恢复开行后，该趟列车仍将延续朝发夕返模式，车次为Y701/Y702次，每日8时45分从上海西站开出，18时10分由嘉兴站返回，中途停靠嘉善站，每日固定开行一趟，单程运行时间分别为1小时34分和1小时28分，单程票价16.5元。#这趟复古列车即将恢复开行#，你会去打卡吗？浙江 中国蓝新闻的微博视频,28,16,70,,,,
1,4875284653015607,上海发布,2023-03-03 19:11:42,#上海知多少# 上海至嘉兴有一趟特殊的列车，将上海中共一大会址与嘉兴南湖紧密联系在一起，成为长三角首趟常态化运营的红色旅游列车。它的名字是？  网页链接 ,6,2,1838,,,,
1,4990907465603973,青春上海,2024-01-16 20:35:29,#宜居安居在上海##沪团有话说# 【两会倒计时｜市人大代表童科：红色旅游大巴优化升级后，期待青年人打卡红色地标成为新时尚】这一年，对市人大代表、中共四大纪念馆馆长童科来说，自己的一条关于将红色资源串珠成链串链成网的建议在红色旅游大巴的优化升级中落地。他更期待着，青年人打卡红色地标在申城成为新时尚。网页链接（青年报·青春上海记者 刘昕璐/文 施培琦/图、视频） 青春上海的微博视频,13,5,127,,,,
1,4863903965905406,背包客子修,2023-01-31 09:28:54,【上海太平桥公园】      #春节休闲去哪玩# ，开启上海休闲公园系列，今日开篇来到上海太平桥公园。      上海太平桥公园位于黄浦区，公园主体有一半是水，另一半是树木园林，亮点在于这里是红色旅游开启的地方！  旅行 @新浪旅游 #不止旅行# @玩乐上海 #上海旅行# 背包客子修的微博视频 ,0,30,20,,,,
1,4805321585853278,畅行铁道,2022-08-22 17:43:26,【Y701/2次红色旅游列车或将复开】据上铁国旅消息，此前曾在去年下半年开行并风靡全网的上海西-嘉兴Y701/2次列车，或将于本月30日复开。Y701/2次列车采用特殊涂装的25G型车底（其中1/2车经过改造）以及“周恩来号”本务机车，每天早上从上海出发中午到达嘉兴、下午从嘉兴出发晚上回到上海。目前12306APP上面暂未查询到Y701/2次，希望“南湖•1921”红色专列此次不受疫情影响，得以重新开行#在路上看中国##不止旅行##上海至嘉兴开通16.5元红色列车#,10,12,56,北京,北京,北京,中国
1,4993303907140152,勤奋冷水,2024-01-23 11:18:04,蒋巷村位于常熟市的东南，隶属常熟市支塘镇。位于常、昆、太三市交界的阳澄水网地区的沙家浜水乡，东濒上海、南临昆山、西接苏州、北依常熟。蒋巷村紧邻沙家浜红色旅游风景区，204国道、锡太一级公路交叉经过镇区，处于苏嘉杭、沿江、苏州绕城等高速公路环抱之中，旅游交通条件十分便捷。,0,0,0,江苏,苏州,江苏,中国
1,4993031019169103,小蒋不素小蒋,2024-01-22 17:13:44,上海红色旅游资源真多的可怕。 ,0,0,0,上海,,上海,中国
1,4990886653467397,疯狂动物城66,2024-01-16 19:12:47,上海从来没想过推红色旅游,0,0,0,上海,上海,上海,中国
1,4986777829379180,不屈的雄鹰wlxzxy,2024-01-05 11:05:47,上海到嘉兴的红色旅游列车停了！嘉兴水上巴士也停了！ 元旦过后，想要错峰出行，到嘉兴去走走，一查火车票发现原来有的上海到嘉兴的红色旅游列车没有了，然后开车到嘉兴市，发现水上巴士也停了！不知道怎么回事啊？ ,0,0,0,浙江,嘉兴,浙江,中国
1,4981700555703991,职称论文发表编辑部,2023-12-22 10:50:31,《漫旅》主管单位：上海世纪出版（集团）有限公司主办单位：上海科技教育出版社有限公司出版周期：半月刊国际刊号：2095-8064国内刊号：31-2095/F收稿范围：基金课题，文化和旅游融合发展研...，旅游产业发展研究，旅游教育教学研究，乡村民俗旅游研究，红色旅游，旅游目的地发展研究，旅游实践与经验，旅游酒店管理研究，旅游案例研究,0,0,0,河北,张家口,河北,中国
