页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4944585023291746,黑敀,2023-09-11 00:46:38,上海的匆匆一日 由于没怎么规划，所以随便去了些地方，一座外向包容的城市，和北京完全是两种感觉 行程：国际饭店→龙华塔→龙华寺→龙华革命烈士纪念地→徐家汇天主堂→徐光启墓→上海交通大学早期建筑→真如寺大殿→上海博物馆→上海外滩建筑群→上海邮政总局→四行仓库抗战旧址 ,30,53,223,,,,
1,4890906085563959,菲丶Q,2023-04-15 21:45:42,今天参加了学校组织的人文徒步活动，打卡了愚园路附近和苏州河两岸的历史建筑，感受了一下双面上海～ 📍愚园路附近：刘长胜故居/常德公寓/涌泉坊/百乐门/静安寺/静安公园/飞跃的马📍苏州河两岸：上海总商会旧址/上海邮政博物馆/外滩源历史建筑群/外白渡桥ps上海邮政博物馆（上海邮政总局，国保第四批）已于今年二月恢复开放 上海·上海邮政博物馆,8,35,118,,,,
1,4652099436811837,阿诚的白日梦,2021-06-25 22:13:20,上海邮政总局上海邮政总局大楼始建于1922年，1924年11月建成，是上海、乃至中国邮政事业的发源地，见证了无数重大的历史事件。一处近代建筑可以排到“国四”，已经足以说明它的重要性，建筑本身就是经典中的经典，这楼为一座古典主义风格的4层大厦，立面采用通高3层的科林斯柱式，正门上方建有巴洛克风格的大钟楼。踏上旋转式的台阶就来到了二层营业大厅，大厅整体用大理石铺就，复古的柜台还依然在使用。内设有博物馆展厅可参观，无需预约。摄影#美好记录官##新星V计划##上海# 上海·上海邮政博物馆,113,23,123,,,,
1,4607877224338561,小柴君cys,2021-02-23 21:30:03,百年的时光匆匆掠过。 图1：汇丰银行旧址及海关大楼 图2：外滩 图3：南京路永安百货 图4：上海大世界 图5：上海邮政总局 图6：和平饭店 图7：新天安堂 图8：礼查饭店旧址 图9：礼查饭店孔雀厅 图10：圣尼古拉斯教堂旧址 图11：外滩天文台 图12：黑石公寓 #上海##喜欢上海的理由##古建筑# ,93,4,359,,,,
1,4728205754503584,Jack的旅行故事,2022-01-21 22:32:40,上海·上海邮政博物馆 我的评分：上海旅行｜探访上海邮政博物馆Hello，大家好，我是Jack的旅行故事，今天来和大家分享一下上海邮政博物馆。🍃环境：上海邮政博物馆位于美丽的苏州河畔，其所在的建筑曾是上海邮政总局大楼，被列为当时上海十大建筑之一。🌟亮点推荐：☑️上海近代邮政：在上海当时先后存在过邮译、民信局、“客邮”局、海关邮政、中华邮政等机构。近代邮政作为全新的通信方式逐渐传入中国，为邮政发展创造了条件。☑️中华邮政时期的服务：敏国时期邮政围绕“快”、“安全”、“普遍”、“服务”七字服务方针，实现多项服务措施，促进了邮政事业的发展。☑️先进模范人物：这块主要是一些模范人物代表，自1950年至2004年，先进劳模139名，劳模集体54个。☑️网络邮路：邮路是利用运邮工具或人力造出来的路线。目前上海邮政拥有铁路、航空、汽车等干线邮路总长超过20万公里。☑️邮票在上海的交流作用：最后一块讲述的是邮票在上海的交流方式，通过这个让大家可以从中感受到邮票的价值。🔎详细地址：上海市虹口区天潼路395号。🎫门票：免费。⏰开放时间：周三、四、六、日 9:00-17:00#上海旅行##vc计划##不止旅行# Jack的旅行故事的微博视频,3,44,30,,,,
1,4538530753680360,上海发布,2020-08-16 12:51:56,【2020“建筑可阅读”10条本市旅行线路看过来→】#探索上海#市文旅局在上海书展期间，推出新书《这里是上海：建筑可阅读》，并精选了书中部分建筑串点成线，设计了10条“建筑可阅读”旅行线路，其中包括上海邮政总局、上海音乐厅、马勒别墅等景点，详见↓  这里的建筑可阅读！魔都10条旅行线路强力推荐→ ,83,10,67,,,,
1,4990071585379612,罗勒草Roger,2024-01-14 13:14:00,驴友#手机摄影# 魔都秘境【上海邮政博物馆】上海邮政博物馆，原名上海邮政总局，是中国近代邮政的发祥地之一。博物馆位于上海市虹口区北苏州路250号。上海邮政博物馆始建于1922年12月，大楼由英国建筑师思九生、史滨生设计，折衷主义风格，华商余洪记营造厂总承包建造。1924年11月竣工，同年12月正式营业。上海邮政博物馆建筑外形呈&quot; U &quot;字型，地下一层，地面四层。大楼正门朝东南，正门的东南两侧均为细粒水刷石粉的主立面，并有十九根贯通三层的科林斯立柱不对称地分布环绕，北侧是机制红砖墙。正门的上方建有钟楼和塔楼。钟楼左右两面为弧体，正面镶嵌着直径为3米的罗马数字的大钟，塔楼建在钟楼上面，是巴洛克式的四角双圆柱型。在钟楼和塔楼的底部和基座上，分别置有两座火炬台和两组人物的雕塑。#上海老建筑##历史建筑##上海邮政博物馆##周末去哪儿##博物馆# 上海·上海邮政博物馆,6,118,166,,,,
1,3565559226057778,乐游上海,2013-04-10 15:30:26,#景点#【上海邮政博物馆】上海邮政博物馆原名上海邮政总局，是上海市中国近代邮政的发祥地之一，历经了海关邮政、大清邮政的几度沧桑。上海邮政博物馆1922年由协澄洋行设计，1924年11月竣工。曾列为当时上海十大建筑之一。参观时间：周三、四、六、日9 点-16点。地址：四川路桥北堍北苏州路276号。 ,22,8,3,,,,
1,4818363823687208,看老照片,2022-09-27 17:28:39,1920年代的中国邮政。图1至图3，上海邮政总局大楼。图4至图6，天津邮政局大楼。图7，天津邮件汽车。图8，北京至沈阳邮政专列。图9，石家庄邮政局。图10至图13，河北张家口的邮递员。图14，骑马前往乌兰巴托的中国邮政邮递员。 ,12,5,33,,,,
1,4731670420259152,江南紫云英,2022-01-31 12:00:00,#全国重点文物保护单位# 🏛️【上海 · 上海邮政总局】（二）塔楼与雕像        上海邮政总局大楼是我国仍在使用的建筑最早、规模最大的邮政标志性建筑，也是上海邮政史的见证，它的建造和启用，为上海邮政事业的发展创造了良好的物质条件。        邮政总局最为标志性的一点，便是耸立于东南角正门处的钟楼和塔楼。其中钟楼高13米，正面镶嵌有直径达3米的大钟，塔楼则建于钟楼之上，高达17米，顶端另设置高8.2米的旗杆。塔楼两旁有两组不同的雕像，这两组青铜雕像是邮政总局的标志之一。原件毁于1966年，现件为1999年依原件石膏模子复制而成。        东方的一组雕像，为分别手持火车头、飞机和通信电缆的人物，分别象征交通通信事业。而南方的一组雕像则为希腊神话人物，中央的是被称为通信之神或者商神的赫尔墨斯，左右则为爱神厄洛斯和阿佛洛狄忒，代表邮政事业是连接人类感情的纽带。不过塑像的原件毁于文化大革命期间，所幸被毁之前，由一位美术学校的学生用石膏偷翻了模子。1999年在邮政总局大楼翻修过程中，根据这对石膏模子，重新铸造成和原件一样的复制品，也就是今天依旧设立在塔楼两侧的铜像。#民国建筑#,29,1,15,,,,
