页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4951999525685485,苏州市考古研究所,2023-10-01 11:49:13,【国庆看展览｜国家博物馆】日前，由中共中央宣传部、文化和旅游部、国家文物局主办，中国国家博物馆携手11家央地共建博物馆承办的大型考古发现展“鉴往知远——新时代考古成果展”正在中国国家博物馆北3、北4展厅展出。我所樊村泾元代遗址出土器物参与了本次展览。 ,0,0,0,,苏州,江苏,中国
1,4858893446939406,旅顺口发布,2023-01-17 13:38:54,日俄监狱占地面积为26000平方米，建筑面积12521平方米，是中国保存完整、内涵丰富、规模较大、具有国际性的遗址类博物馆。1988年，监狱旧址被国务院列为全国重点文物保护单位；2005年，监狱旧址博物馆被中共中央宣传部批准授予“全国爱国主义教育示范基地”的称号。2006年被国家国防教育办公室授予“国家级国防教育示范基地”称号。#印象大连# #遇见更美大连#,0,0,2,,大连,辽宁,中国
1,4787285898301883,上海虹口,2022-07-03 23:16:04,【夜读北外滩 | 北四川路为什么会成为先进文化的摇篮？（下）】在原北四川路越界筑路区，密集分布着50多处重要的旧址遗址。其中，既有中共四大、上海工人第三次武装起义等重要历史事件的发生地，也有中共中央宣传部、中共上海区委（江浙区委）、中共江苏省委、上海总工会等党的重要机关办公场所。（c） 夜读北外滩 | 北四川路为什么会成为先进文化的摇篮？（下）,0,0,0,,上海,上海,中国
1,4783273693419180,上图历史文献中心,2022-06-22 21:33:00,#上海文化地标#中共中央宣传部办公处遗址中共中央宣传部办公处遗址位于安慎坊，后来的四川北路1649弄32号。中共四大后，中国共产党非常注重工农运动。为适应革命形势的需要，1925年9月中共中央在福生路（今罗浮路）设立了中共中央宣传部，1926年4月中共中央宣传部搬到安慎坊（后四川北路1649弄）32号。至1927年4月，中共中央宣传部一直在此办公。中共中央宣传部办公处设立在过街楼里，承担着多重功能。它是机关刊物的编辑处，是召开会议的重要场所，同样是中央干部的住所。当时中共中央宣传部由彭述之、蔡和森、瞿秋白三人负责。彭述之等均在此办公，编辑中共中央机关刊物《向导》，还编辑《新青年》丛书。当时中央局的很多会议都曾在此召开。1927年上海工人第三次武装起义前后，陈独秀也曾住在这里的亭子间，在这里听取上海区委汇报，也曾在这里召开中央局会议，领导工人武装起义。此处停止办公后成为中共中央交通处。原建筑现已不存。,0,0,4,,,,
1,4684994784530814,中国网直播,2021-09-24 16:47:42,【对于考古工作 有时一个遗址需要一个人十几年甚至一辈子的付出和探索】中共中央宣传部定于2021年9月24日（星期五）下午3时举行中外记者见面会，会上湖北省博物馆馆长方勤提到：我从事文物考古工作，是从天门石家河遗址开始的。也就是那一年，120万平方米石家河遗址被确认，在中华文明的进程中，具有重要的地位。我有幸参与和见证了这一时刻，也坚定了我从事文物考古工作的初心。坚守是我们博物馆工作和考古领域都需要的一种精神，这个坚守就是要甘于清贫、守得住寂寞、稳得住心神、扛得住责任。比如说文化遗产传承，我们需要的就是润物细无声式的坚持。对于博物馆而言，像我们年复一年、日复一日，看似再平常不过的保管、研究和宣传，这种职责和坚持也是“莫高精神”的生动写照。对于考古工作来说，有时一个遗址需要一个人十几年甚至一辈子的付出和探索，这也是“莫高精神”的直接体现。@中国网直播 @政视频  中国网直播的微博视频,0,0,0,,,,
1,4651177372812056,长白山发布,2021-06-23 09:09:23,#奋斗百年路 启航新征程# 【长白山老黑河遗址被中共中央宣传部命名为全国爱国主义教育示范基地】在庆祝中国共产党成立100周年之际，中央宣传部新命名111个全国爱国主义教育示范基地。吉林省的长白山老黑河遗址、中车长客股份公司高速动车组制造中心位列其中。 ,2,0,0,,,,
1,4644061899920288,上海普陀,2021-06-03 17:55:02,#学党史 悟思想 办实事 开新局# 【沪西工人半日学校遗址纪念标识今天揭幕！】6月3日上午，上海市重要革命遗址旧址纪念标识揭幕活动举行。位于静安区的中共中央秘书处机关遗址、位于黄浦区的中共中央特科机关遗址、位于虹口区的中共中央宣传部遗址、位于杨浦区的电通公司遗址（《义勇军进行曲》纪念地）、位于普陀区的沪西工人半日学校遗址、位于长宁区的中共中央组织部干训班旧址、位于崇明区的1929年中共崇明县委机关旧址等7处革命遗址旧址纪念标识分别在各区同步揭幕。区委书记曹立强在普陀为沪西工人半日学校遗址纪念标识揭幕。区委常委、宣传部部长郝炳权出席。 沪西工人半日学校遗址纪念标识今天揭幕！,3,0,3,,,,
2,4394329210635391,武汉临空港,2019-07-15 14:46:28,#七一建党98周年#【探访武汉红色遗址：92年前，瞿秋白来汉主持中宣部和中共中央工作】武汉市江岸区吉庆民俗街边，矗立着一栋两层小楼。92年来，这座老房子于繁华中静守岁月变迁。位于吉庆街126号的这栋灰墙红门建筑，曾见证中国共产党在武汉的革命斗争和宣传工作历史。它就是汉口中共中央宣传部旧址暨瞿秋白旧居陈列馆。（记者谭德磊 摄像辜雪莲  制作熊丽）  长江日报的微博视频,0,0,2,,,,
2,4165669937329695,聂景秀,2017-10-22 15:16:10,#聂说美味# 著名活动家奥利维耶•卡佩兰（Olivier Kaeppelin）策展的大型绘画展览《生命场-刘商英》昨日在阿拉善盟额济纳旗红城遗址开幕。谢娜刘嘉玲奚梦瑶袁弘聚首祝贺，本次展览由中央美术学院与中共阿拉善盟委员会宣传部共同主办，中央美术学院院长范迪安担任学术主持，法国索菲娅艺术基金会倾情支持。,3,3,11,,,,
2,4058344690313530,庆阳那些事儿,2016-12-30 11:23:57,#庆阳身边事# 【庆阳两景区入选全国红色旅游经典景区名录】根据国家发展和改革委员会、中共中央宣传部、财政部、国家旅游局等14个单位《关于印发全国红色旅游经典景区名录的通知》，庆阳市华池县陕甘边区苏维埃政府旧址、环县山城堡战役遗址入选全国红色旅游经典景区名录。（甘肃发布） ,1,0,13,,,,
2,4046012596977465,湖北经济学院记者团,2016-11-26 10:40:37,#团队文化#尹青山部长，何老师，陶老师和大学生记者团的成员们来到了汉口中共中央宣传部旧址参观红色遗址，现场气氛盎然，感受到革命先驱的伟大精神，也让我们更加珍惜现在。大家看团草帅不帅 ,1,2,5,,,,
