页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,3991384430057234,天津日报,2016-06-28 16:47:47,【你知道吗？这里曾是中共中央驻津单位】坐落在和平区黑龙江路的一座普通楼房是中共中央北方局旧址，这里曾是刘少奇来津工作和居住过的地方。唐山道南侧47号就是中共中央在津秘密印刷厂旧址，它是新民主义革命时期党中央唯一驻津单位。（记者傅桂钢 文并摄） ,17,6,19,,,,
1,4930931499205222,天津和平,2023-08-04 08:32:24,【云游红色影像 追寻红色历史（三）——中共中央在津秘密印刷厂旧址】开栏语：今年是建党102周年，为深入挖掘和平区红色遗迹中蕴含的历史故事，我们特别开设“云游红色影像 追寻红色历史”专栏，将和平区22处红色遗迹“搬”上网络，让大家足不出户，就游览红色遗迹，让这些红色遗迹以当代风貌更好地续写时代篇章。 天津和平的微博视频,0,2,2,,天津,天津,中国
1,4866988444227897,文明天津,2023-02-08 21:45:32,《天津市红色资源名录（第一批）》分为两大类：一是重要旧址、遗址、纪念设施或者场所类红色资源，共151处，包括旧址58处，遗址64处、纪念设施或者场所29处。中共中央在津秘密印刷厂旧址、国民饭店、中共中央北方局旧址、十八集团军驻津办事处旧址、曾延毅旧居、觉悟社旧址、中共天津历史纪念馆均在列；二是重要档案、文献和实物类红色资源，共92件（套）。（天津政务信息发布）,0,0,0,,天津,天津,中国
1,4816600794663405,上图历史文献中心,2022-09-22 20:43:00,#上海文化地标#中共中央秘密印刷厂旧址黄浦区梅白克路（今新昌路）99号。1931年初，中共中央派中共中央出版发行部经理毛泽民与钱之光在齐物浦路元兴里（周家嘴路998弄）146-148号筹建中共中央秘密印刷厂。同年4月，中共中央负责保卫工作的顾顺章在汉口被捕叛变，秘密印刷厂面临暴露的危险。于是，转移到梅白克路的一幢新建红砖三层公寓内，底楼开设烟纸杂货铺，二楼两间为住房，三楼作秘密印刷厂（印刷、装订车间）。中共中央秘密印刷厂的主要领导者为毛泽民，实际负责人是钱之光。为了安全起见，钱之光化名“徐之先”，以烟纸店老板身份作掩护。施有章、赵锡群负责印刷，杜梅臣负责铸字、印模、制型版，杜延庆、霍彤光负责排字，何实山、何实嗣、钱宛正作装订、包装。后来，由于印刷业务加大，钱宝林、钱广才也加入印刷厂的工作，主要负责店铺的营业。印刷厂的任务是翻印苏区来的文件、文章，印制宣传形势、罢工斗争的传单，出版《党的建设》《红旗周报》《布尔塞维克》《实话》等刊物。1932年夏，为避免引起邻居怀疑，印刷厂搬至麦特赫斯脱路（今泰兴路），后又转移至武定路、张家宅路。2001年6月，中共中央秘密印刷厂旧址被黄浦区政府命名为区爱国主义教育基地。2014年，被公布为上海市文物保护单位。,2,0,1,上海,上海,上海,中国
1,4654114686898702,上图文献提供,2021-07-01 11:41:13,【建党百年庆 与馆员读行8 | 红色印记：祥康里】祥康里：中共中央秘密印刷厂在上海的光辉岁月。祥康里，坐落在梅白克路（今新昌路）上，面对只剩两块牌子的旧址，图书馆员用丰富的馆藏文献，讲述好这个红色故事。欢迎点击。 上图文献提供的微博视频 ,0,0,3,,,,
1,4645821343598376,蓟州发布,2021-06-08 14:26:25,#讲述红色故事 牢记初心使命#【天津闹市区“隐藏”着的一座“红色印刷厂”】和平区，唐山道南侧，坐落着几排青砖二层砖楼，其中的47号便是中共中央在津秘密印刷厂旧址。这个旧址是新民主主义革命时期中共中央唯一驻津单位。1982年被列为天津市文物保护单位。据资料记载，印刷厂在两年的时间里，承印了党中央的重要决议、指示、文件和通电，还排印党的刊物，其中包括《布尔什维克》《向导》《中国青年》《红旗》《共产主义的ABC》等书刊，印刷顺直省委主办的刊物《北方红旗》《铁路工人》，此外还翻印马克思主义书籍《反杜林论》等，唐山道这个“秘密印刷厂”就在险象环生的环境中，在极端困难的条件下，为党和人民作出了可贵的贡献。#蓟州资讯##关注# 网页链接,1,0,3,,,,
1,4645085397914121,新民晚报新民网,2021-06-06 13:42:03,【市中心开秘密印刷厂，他们为何有如此胆量？】#红色弄堂# #上海闹市弄堂里的秘密印刷厂#祥康里，离人民广场不远，是地处上海市中心的一片新式里弄。谁能想到，90年前在这片已坐拥闹市喧嚣与繁华的弄堂里，竟藏着中共中央秘密印刷厂......via 新民晚报 市中心开秘密印刷厂，他们为何有如此胆量？| 红色弄堂⑥ 新民晚报新民网的微博视频 ,6,2,9,,,,
1,4625505892435018,津云,2021-04-13 13:00:05,#津云微视# 【天津革命文物巡礼：中共中央在津秘密印刷厂遗址】1928年12月，经中央研究决定，从上海调中共中央出版发行部负责人毛泽民来津建立秘密印刷厂。1929年初，毛泽民带领部分同志，携带印刷机器，在天津原英租界福安里4号建立了中共中央秘密印刷厂，负责印刷党中央和顺直省委的重要文件及一些革命著作、刊物、传单。 津云的微博视频,0,0,0,,,,
2,4625029273223448,动漫中的西柳村,2021-04-12 05:26:10,天津革命文物巡礼：中共中央在津秘密印刷厂遗址和吉鸿昌旧居 网页链接 ,0,0,0,,,,
2,4602264867576806,天津和平,2021-02-08 09:48:33,【毛泽民：在天津有他的“红色印刷”记忆】顺着营口道与耀华中学的交叉口一路走下去，不多远，在紧挨小白楼的繁华区域的唐山道上，有栋灰色小楼引起了我的注意，这栋天津市历史风貌建筑原是中共中央在津秘密印刷厂的旧址。即使历经百年，透过斑驳的墙壁，也能让我体会到当时的时代过往。 　　作为曾经的“原中共中央秘密地下印刷厂”，这里曾短暂地留下过毛泽民的经历过往，他为了中共革命事业，在此创办印刷厂，从事党的秘密工作。 　　毛泽民是毛泽东的弟弟，在1921年参加革命后，辗转过上海、武汉、天津等地，在1928年12月，由于党中央在上海的秘密印刷厂遭到敌人破坏，考虑到中央出版发行机关的安全，中央决定调毛泽民带着部分印刷厂的同志和印刷机器去天津工作。 　　1929年初，带着一批精干人员来到天津后，毛泽民把英租界广东道福安里4号（今唐山道47号）一所一院两厢的青砖楼房作为厂址，将印刷机器迅速安装起来。几天后，一个挂着“华新”招牌的印刷公司在一片鞭炮声中开张了。 　　据毛泽民的堂侄毛远耀10年前回忆，当时印刷厂里有21人，都是党团员，大多是毛泽民从上海带来的，印刷厂对外名为“华新印刷公司”，当时毛泽民化名周韵华，公开身份为华新印刷公司的东家和经理。　　毛远耀清楚记得当时很多的细节，“当时，印刷厂的旁边是一块空地，行人少。一边是绸布庄，后面就是稻田，无人来往。出于秘密工作的需要，毛泽民等人对院内外作了巧妙的布置。印刷厂的一边开了个布店，用布裹住纸，掩护印刷需要的纸张；一边搞了个家具维修门市，专门监视外来人员。一楼右厢房设接洽外来业务的柜房，柜房内设办公桌，桌下有暗铃。侧厢房做机房，设印刷机3台。”　　来到天津，毛泽民和夫人钱希均在小白楼先农里租了一套房子作为中央出版发行部秘密机关，夫妻俩以家庭形式作掩护开展工作，使收件地点和印刷厂分开。党内需印刷的文件，先由地下交通员送到毛泽民住所，经毛泽民审查同意，再送印刷厂打出清样，由钱希均分送顺直省委负责同志定稿。 　　为了配合毛泽民的地下印刷厂，顺直省委在天津最繁华的劝业场附近（法租界24号路17号）开办了北方书店，作为印刷厂的秘密转运站，印刷厂印出的书刊先送到这家书店，再由书店分发、邮寄出去。 　　当时，中共顺直省委还在法租界五号路（今吉林路与营口道交口）一处砖木结构的临街门面房，开了一家名为“华北商店”的古玩店，负责同共产国际、党中央联系，接转党的文件和党的经费。　　时任中共顺直省委秘书长的柳直荀（化名刘克明）是古玩店的东家兼经理，当时中共地下印刷厂在津印制的文件多由柳直荀负责定稿，毛泽民常到古玩店来，以打麻将牌作为掩护研究工作。　　由于组织严密，秘密印刷厂在津两年中，印刷了大量党的文件和刊物，一直未被敌人发现。 　　“毛泽民表面上是印刷厂老板，夫妇穿戴都很体面。毛泽民提着一个棕色的公文皮包。钱希均常穿一件藕色底烟色图案的平绒夹袄，一双古铜色的皮鞋。实际上他们每月生活费只有十几元钱，大部分用来买西装、皮鞋。为了营造安全的环境，他们偶尔还会请邻居吃饭，和服装店老板、老板娘一起打麻将，还故意输上两盘，让老板娘高兴。”毛远耀当时回忆说。 　　据了解，为了党的事业，毛泽民在生活上很节省。中午，他一般不回家，在印刷厂工作时，他就买两个烧饼，用开水泡着吃。如果在外边，他就在街上买一碗最便宜的面充饥。　　华新印刷公司在天津运转了两年时间，尽管还能开工，但回旋余地较小，报刊的发行和资金运转都极为困难。而天津离上海党中央太远，中央印刷宣传品和文件很不方便。　　1931年初，中央要毛泽民立即去上海重建印刷厂。他把天津华新公司的工作和设备全都转交给中共顺直省委，自己带着一批精兵强将重新杀回“上海滩”。　　从1921年25岁在毛泽东的引导下投身革命，到1943年47岁被反动军阀盛世才杀害，毛泽民短暂的一生全部奉献给党的事业，直至付出自己的生命。　　“如果你以后有机会回延安，请转告毛泽东同志：我毛泽民无愧于是一个中国共产党党员，无愧为毛泽东的弟弟，也无愧为毛泽覃的哥哥！”这是1943年，毛泽民牺牲前对战友说的话。这铿锵有力、坚贞不屈的话语仿佛他的生命一样，镌刻在党的光辉历史上！　　（津云见习记者 苑美丽 摄影 蒲永河）网页链接,1,1,1,,,,
