页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4966118399413113,中国文明网,2023-11-09 10:52:35,【#文明中国# · 上海丨在家门口就能上“大学必修课”，是一种什么体验】截至2023年3月，招募2000余名志愿者，服务时长超2.5万小时。这是中共四大纪念馆开馆以来的志愿服务成果。志愿者中，最小的7岁，年长的已过九旬。他们来自各行各业，但都有一个共同的名字——中共四大纪念馆“力量之源”志愿服务总队。在家门口就能上“大学必修课”，是一种什么体验丨文明中国·上海,210,5,7,,,,
1,4866196615203355,我的型爆老公,2023-02-06 17:19:05,@香港光頭警長 中共四大纪念館、胜利电影院、艺葭文化中心 ,69,265,6875,,,,
1,4848422475800718,上海虹口,2022-12-19 16:11:00,【中共四大纪念馆在等你 |《听90后说 我的二十大》之⑩】《听90后说 我的二十大》系列短视频第十期上线！本期主人公是来自中共四大纪念馆的王力，她将为你讲述如何用更加顺应时代的方式讲好红色故事↓ ,9,1,0,,,,
1,4869908146162966,上海发布,2023-02-16 23:07:23,【中共一大·二大·四大纪念馆国家5A级旅游景区今日挂牌】#最新#@乐游上海 介绍，文化和旅游部发布公告，确定中国共产党一大·二大·四大纪念馆成功创建成为#国家5A级旅游景区#，这也是我市第4个国家5A级旅游景区。详见↓ 中共一大·二大·四大纪念馆国家5A级旅游景区今日挂牌 ,8,3,22,,,,
1,4995926672277713,央视国家记忆,2024-01-30 17:00:00,【#中共四大纪念馆镇馆之宝#】在中国共产党第四次代表大会纪念馆存有一份珍贵档案，1924年8月31日由时任中共中央局兼中央局秘书的毛泽东亲笔签发。为确保安全，他落款为“钟英”，即“中共中央”的谐音，而档案内容则是通知召开党的第四次全国代表大会。#人民的选择# #国家记忆# @央视国家记忆 @微博纪录片 央视国家记忆的微博视频,10,2,31,,,,
1,4990907465603973,青春上海,2024-01-16 20:35:29,#宜居安居在上海##沪团有话说# 【两会倒计时｜市人大代表童科：红色旅游大巴优化升级后，期待青年人打卡红色地标成为新时尚】这一年，对市人大代表、中共四大纪念馆馆长童科来说，自己的一条关于将红色资源串珠成链串链成网的建议在红色旅游大巴的优化升级中落地。他更期待着，青年人打卡红色地标在申城成为新时尚。网页链接（青年报·青春上海记者 刘昕璐/文 施培琦/图、视频） 青春上海的微博视频,13,5,127,,,,
1,4811079521403418,江江bot,2022-09-07 15:03:25,#历史上的今日#  2012年9月7日，中共四大纪念馆在上海市虹口区正式开馆。 ,4,5,72,,,,
1,4743705225070238,上海长安网,2022-03-05 17:02:02,【青年、民警、守护者……如今他们又多了一个身份】为传承红色基因，弘扬红色文化，以青春之我、奋斗之我献礼中国共青团成立一百周年，值此#3月5日学雷锋纪念日#来临之际，虹口公安分局与辖区中共四大纪念馆开展党建联建签约活动，并举行青年民警成立“虹鹄”青年志愿服务队，积极参与到四大纪念馆的义务讲解员队伍中。 看看新闻KNEWS的微博视频,79,40,56,,,,
1,4864288017876092,微言教育,2023-02-01 10:55:00,#星火联播#【访红色地标，抒爱国情怀……上海学子这样过寒假】上海市新中高级中学开展“学习二十大，永远跟党走”红色地标学习教育活动，学生在旧址中走进党史“课堂”，在史料中阅读党史“教材”；上海市复兴高级中学同学们通过参观中共四大纪念馆，重温革命历史，瞻仰革命先烈伟绩，充分领悟红色文化独特的精神内涵；宝山区广育小学的同学们纷纷来到自己身边的红色地标，为大家讲述红色故事……今年寒假，上海各区中小学围绕学习贯彻党的二十大精神，组织开展了丰富多彩的主题活动，通过各类活动，沪上青年弘扬光荣传统、赓续红色血脉。@上海教育,9,3,5,,北京,北京,中国
1,4994490710622961,青年报,2024-01-26 17:54:01,【上海是国旗的孕育地国歌的创作地国徽的制作地，背后的故事要深入讲】上海是党的诞生地，上海还是国旗的孕育地，国歌的创作地，国徽的制作地，但关于这“三国”的红色故事，很多公众并不清楚。今年两会，市人大代表、中共四大纪念馆馆长童科在接受青年报采访时说，其中蕴含的红色故事值得仔细讲述。（青年报·青春上海记者 刘昕璐/文 施培琦/视频） 青年报的微博视频,0,0,0,,上海,上海,中国
