页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4876583539572839,早报网,2023-03-07 09:13:00,#中国全国两会# 【晋升党和国家领导人序列 官媒：吴政隆将出任国务委员兼国务院秘书长】中国官媒证实，中共江苏省委原书记吴政隆已任国务院机关党组副书记，显示他将接替肖捷出任国务委员兼国务院秘书长，晋升“党和国家领导人”序列。同时，文化和旅游部部长胡和平已出任中央宣传部分管日常工作的副部长，预计他将在两会后卸下文旅部部长职务。晋升党和国家领导人序列 官媒：吴政隆将出任国务委员兼国务院秘书长,63,0,257,,,,
1,4777312527320859,龙华英烈,2022-06-06 10:45:26,如今#我们活在披荆斩棘换来的幸福里#  @龙华英烈 邀请新青年们#纪念陈乔年牺牲94周年# 1928年2月16日，中共江苏省委机关遭到上海国民党反动派的破坏，陈乔年等被捕。在狱中，敌人对陈乔年施尽酷刑，他坚贞不屈，始终严守党的秘密。陈乔年被捕身份暴露后，深知既入虎口，势难生还。他在狱中受尽各种酷刑的反应——横眉冷对，不吐一字。敌人将他们押走行刑前，陈乔年对狱友们说：“让我们的子孙后代享受前人披荆斩棘的幸福吧！”,12,12,146,,,,
1,4386754813202672,央视新闻,2019-06-24 17:08:32,【检察机关依法对缪瑞林、邢云、钱引安三案提起公诉】近日，山东、辽宁、广东检察机关依法对江苏省人民政府原副省长缪瑞林涉嫌受贿案，内蒙古自治区人大常委会原党组副书记、副主任邢云涉嫌受贿案，中共陕西省委原常委、秘书长钱引安涉嫌受贿案提起公诉。（央视记者程琴） ,89,84,703,,,,
1,4323440502354012,江苏政法,2019-01-01 00:00:03,【重磅！“江苏政法”微博上线啦！】2019年1月1日，中共江苏省委政法委微博@江苏政法 正式上线！我们将紧扣江苏平安法治的脉搏，成为人民群众与政法机关之间的桥梁。期望你的关注和转发，也欢迎提供素材和线索。让我们一起守望平安、守望生活、守望梦想。 ,194,22,32,,,,
1,3989600516698619,头条新闻,2016-06-23 18:39:09,【福州市委原书记杨岳调任江苏省委常委】中共中央批准：杨岳任中共江苏省委委员、常委。杨岳，男，1968年7月出生，曾任北京市通州区委副书记，团中央书记处书记；2008年12月，杨岳“空降”福建任职，先后担任福建省委常委、秘书长兼省直机关工委书记、福州市委书记等职务。福州市委原书记任江苏省委常委 ,202,647,403,,,,
1,4233896932042560,南京大学,2018-04-28 21:45:52,#南大新闻# 【我校代表参加江苏民盟纪念“五一口号”发布70周年座谈会】4月27日，民盟江苏省委纪念中共中央发布“五一口号”70周年座谈会在南京召开。江苏省政协副主席、民盟省委主委胡刚，中共江苏省委统战部副部长瞿超出席会议。民盟省委机关干部、省直属基层组织和南京市盟员代表共90多人与会。我校党委常委、统战部部长、党办主任王云骏，民盟南京大学委员会委员、南京大学历史学院教授陈仲丹参加活动并先后发言。网页链接 南京·南京大学,1,0,33,,,,
1,4719917725385057,美东侨报,2021-12-30 01:39:00,【涉包庇纵容黑社会 江苏政法委原书记王立科被公诉】中共江苏省委原常委、政法委原书记王立科涉嫌受贿、行贿、包庇纵容黑社会性质组织、伪造身份证件案，由中国监察委员会、吉林省长春市公安局分别调查、侦查终结。长春市检察院已向长春市中级法院提起公诉。大陆央视29日报道，检察机关起诉指控：被告人王立科利用担任辽宁省北镇满族自治县公安局副局长，北宁市公安局政委，北宁市公安局党委书记、局长，锦州市公安局副局长，葫芦岛市副市长、市公安局党委书记、局长，辽宁省公安厅党委副书记、副厅长，大连市副市长、市公安局党委书记、局长，江苏省省长助理、副省长、省公安厅党委书记、厅长，江苏省委常委、省委政法委书记等职务上的便利以及职权、地位形成的便利条件，为他人谋取利益，非法收受他人财物，数额特别巨大。检察机关还指控，王立科为谋取不正当利益，给予国家工作人员以财物，情节特别严重；身为国家机关工作人员，长期、多次包庇、纵容黑社会性质组织进行违法犯罪活动，情节严重；多次安排他人违法伪造居民身份证件，情节严重，应当以受贿罪、行贿罪、包庇纵容黑社会性质组织罪、伪造身份证件罪追究其刑事责任。中共中央纪委今年9月22日通报，王立科严重违纪违法被开除党籍和公职。通报指王立科特权思想严重，生活奢靡腐败，严重破坏任职地区政法系统特别是公安系统的政治生态。通报还指王立科纵容、默许亲属利用其职权谋取私利，腐化堕落，大搞钱色交易；贪婪妄为，为谋取不正当利益向他人贿送巨额财物，肆无忌惮大搞权钱交易，利用职务便利在企业经营、贷款办理、职务调整等方面为他人谋利，并非法收受巨额财物，长期为黑恶势力充当“保护伞”。公开简历显示，今年57岁的王立科是山东蓬莱人，早年长期在辽宁省公安系统工作，曾任锦州市公安局副局长、葫芦岛市副市长、市公安局局长，辽宁省公安厅副厅长、大连市副市长、市公安局局长等职。2013年3月，王立科南下调任江苏省省长助理，省政府党组成员，公安厅党委书记、厅长，同年12月晋升江苏省副省长。2015年11月，王立科出任江苏省委常委、政法委书记，并兼任省公安厅厅长至2017年9月。2020年10月24日，王立科主动投案、接受调查。#侨报新闻速递# 网页链接,48,8,28,,,,
1,4204095353009437,北京青年报,2018-02-05 16:05:03,【江苏省原常务副省长李云峰已被提起公诉】据最高检消息，江苏省委原常委、原常务副省长李云峰涉嫌受贿案已被公诉。检察机关起诉指控：被告人李云峰利用担任中共江苏省委副秘书长、办公厅主任、省委常委、秘书长、江苏省人民政府常务副省长的职务便利，为他人谋取利益，非法收受他人巨额财物，依法应当以受贿罪追究其刑事责任。该案经最高检指定，由山东省人民检察院侦查终结后移送山东省菏泽市人民检察院审查起诉。近日，菏泽市人民检察院已向菏泽市中院提起公诉。（北青报记者 孟亚旭）,9,13,26,,,,
1,4386758084702221,新华社,2019-06-24 17:21:32,【检察机关依法对缪瑞林、邢云、钱引安三案提起公诉】近日，山东、辽宁、广东检察机关依法对江苏省人民政府原副省长缪瑞林涉嫌受贿案，内蒙古自治区人大常委会原党组副书记、副主任邢云涉嫌受贿案，中共陕西省委原常委、秘书长钱引安涉嫌受贿案提起公诉。       江苏省人民政府原副省长缪瑞林涉嫌受贿一案，由国家监察委员会调查终结，经最高人民检察院指定，由山东省青岛市人民检察院审查起诉。近日，青岛市人民检察院已向青岛市中级人民法院提起公诉。检察机关起诉指控：被告人缪瑞林利用担任江苏省宿迁市人民政府副市长、市长、中共宿迁市委书记、南京市人民政府市长、江苏省人民政府副省长等职务上的便利，为他人谋取利益，非法收受他人财物，数额特别巨大，依法应当以受贿罪追究其刑事责任。       内蒙古自治区人大常委会原党组副书记、副主任邢云涉嫌受贿一案，由国家监察委员会调查终结，经最高人民检察院指定，由辽宁省大连市人民检察院审查起诉。近日，大连市人民检察院已向大连市中级人民法院提起公诉。检察机关起诉指控：被告人邢云利用担任中共内蒙古自治区伊克昭盟委副书记、伊克昭盟行政公署盟长、中共伊克昭盟委书记、中共内蒙古自治区党委常委、包头市委书记、中共内蒙古自治区党委常委、政法委书记、内蒙古自治区人大常委会副主任等职务上的便利，为他人谋取利益，非法收受他人财物，数额特别巨大，依法应当以受贿罪追究其刑事责任。        中共陕西省委原常委、秘书长钱引安涉嫌受贿一案，由国家监察委员会调查终结，经最高人民检察院指定，由广东省广州市人民检察院审查起诉。近日，广州市人民检察院已向广州市中级人民法院提起公诉。检察机关起诉指控：被告人钱引安利用担任西安市长安县人民政府县长、长安区人民政府区长、中共长安区委书记、中共雁塔区委书记、西安市人民政府副市长、宝鸡市人民政府市长、中共宝鸡市委书记等职务上的便利和职权、地位形成的便利条件，为他人谋取利益，非法收受他人财物，数额特别巨大，依法应当以受贿罪追究其刑事责任。        对以上案件，检察机关在审查起诉阶段，分别依法告知了被告人享有的诉讼权利，讯问了被告人，听取了辩护人的意见，依法保障了被告人各项诉讼权利。,4,15,47,,,,
2,4941120981434649,最简单的生活最真实,2023-09-01 11:21:45,City walk No.18/30 上海 小雨朋友推荐的衡山路红色之旅，一个人慢悠悠的走在永嘉路上（行走路线：嘉澜庭（统战文化广场） → 中共江苏省委机关旧址（王尧山旧居） → 新四军驻上海办事处旧址 → 钱壮飞旧居  → 南国艺术学院旧址 → 张澜旧居 → 中共秘密电台旧址(建国西路) → 夏衍旧居/草婴书房）景点更多的只剩下门牌号，沿着永嘉路一直走到永嘉庭，再到衡山路1号线老地方结束🔚，继续1号线地铁回家。用一份安静的心体验这个城市留下的那份历史印记，心情很好👌下周继续..#带着边框一起拍#,0,0,2,上海,上海,上海,中国
