页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4981167072480095,最高人民检察院,2023-12-20 23:30:38,#全国检察机关双先表彰#【全国检察机关队伍建设工作会议暨第十次“双先”表彰大会召开】12月20日，全国检察机关队伍建设工作会议暨第十次“双先”表彰大会在京召开，深入总结检察队伍建设成效，隆重表彰全国检察机关先进集体和先进个人，部署加强新时代新征程检察队伍建设工作。中共中央政治局委员、中央政法委书记陈文清出席会议并讲话，在会前接见受表彰代表。最高人民检察院党组书记、检察长应勇主持会议并强调，持续锻造忠诚干净担当的检察铁军，努力以检察队伍建设新成效奋力推动检察事业开创新局面，为强国建设、民族复兴贡献更大检察力量。#聚焦全面深化人才强检#  全国检察机关队伍建设工作会议暨第十次“双先”表彰大会召开,511,29,47,,,,
1,4993993249919033,中国长安网,2024-01-25 08:57:17,【陈文清在福建调研时强调 深入学习贯彻习近平总书记对政法工作的重要指示 以政法工作现代化支撑和服务中国式现代化】中共中央政治局委员、中央政法委书记陈文清21日至24日在福建福州、泉州、宁德调研时强调，福建政法机关要深入学习贯彻习近平新时代中国特色社会主义思想，深入学习贯彻习近平总书记对政法工作的重要指示，忠诚履职、担当作为，以政法工作现代化支撑和服务中国式现代化，为全面推进强国建设、民族复兴伟业提供坚强安全保障。 陈文清在福建调研时强调,798,103,171,,,,
1,4992586131967130,最高人民法院,2024-01-21 11:45:54,【人民法院报评论员：重视自身建设 锻造法院铁军】打最硬的铁，须是铁打的人。推动法院工作高质量发展，必须要有一支过硬的队伍。日前，习近平总书记对政法工作作出重要指示强调，要加强政法机关党的政治建设，锻造忠诚干净担当的新时代政法铁军。中共中央政治局委员、中央政法委书记陈文清在中央政法工作会议上强调，要坚持党对政法工作的绝对领导，锻造过硬政法铁军。 人民法院报评论员：重视自身建设 锻造法院铁军,139,23,39,,,,
1,4929145379489862,观察者网,2023-07-30 10:15:00,【中央政法委：#从重打击境外电诈活动境内协同犯罪人员#】中共中央政治局委员、中央政法委书记陈文清近日主持召开中央政法委员会全体会议，交流中央政法单位学习贯彻习近平新时代中国特色社会主义思想主题教育调研成果，要求政法机关贯彻以人民为中心的发展思想，把主题教育成果转化为做好当前政法工作的实效。点击查看大图会议指出，主题教育开展以来，中央政法单位认真贯彻习近平总书记关于调查研究的重要论述和重要指示批示精神，围绕牵头负责的重点课题，深入一线扎实开展调研，取得阶段性成效。下一步，要深入贯彻落实以学铸魂、以学增智、以学正风、以学促干的要求，强化调研成果转化运用，将调研成果转化为高质量的制度成果、理论成果、工作成果，推动政法工作创新发展。会议强调，要结合主题教育切实做好当前政法工作，统筹推进法治建设、安保维稳、防控风险、化解矛盾等各项工作。要贯彻落实习近平法治思想和总体国家安全观，坚持以人民为中心，坚持系统治理、依法治理、源头治理，依法从重打击境外电信网络诈骗等违法犯罪活动，依法从重打击境内协同犯罪人员，坚决维护人民群众切身利益。要加强宣传教育，不断提高人民群众识别电信网络诈骗、防范电信网络诈骗的意识和能力。王小洪、张军、应勇出席会议。（新华社）,28,22,104,,,,
1,4966119178764425,平利检察,2023-11-09 10:55:40,【第二十一次上海合作组织成员国总检察长会议开幕陈文清出席开幕式并致辞】第二十一次上海合作组织成员国总检察长会议8日在西安开幕，会议主题是“检察机关在服务国家现代化中的作用”。中共中央政治局委员、中央政法委书记陈文清出席开幕式并致辞。  第二十一次上海合作组织成员国总检察长会议开幕陈文清出席并致辞 ,23,9,131,,,,
1,4923534780399938,今日俄罗斯RT,2023-07-14 22:40:28,【#克拉斯诺夫会见陈文清#推动俄中执法司法合作】7月13日，俄罗斯联邦总检察长克拉斯诺夫在北京会见中共中央政治局委员、中央政法委书记陈文清。克拉斯诺夫表示，愿推动双方执法司法合作取得新进展。陈文清表示，希望两国执法司法机关全面贯彻落实两国元首重要共识，深化战略协作，在各执法司法合作机制框架内开展深入交流，推进多领域、各层级务实合作，为更好维护两国共同利益、推动中俄关系行稳致远作出更大贡献。 今日俄罗斯RT的微博视频,6,8,101,,,,
1,4986063817544393,央视国家记忆,2024-01-03 11:48:33,【#年仅27岁的他受尽酷刑仍坚守党的秘密#】1928年4月15日，中共临时中央政治局常委罗亦农因叛徒出卖，在上海被捕。国民党反动派妄图趁此将中共在上海的秘密机关一网打尽，查获共产党的机密文件。时任中央秘书处内部交通科科长的张宝泉挺身而出。他快速赶到中共中央机关刊物《布尔塞维克》编辑部，紧急通知有关人员撤离，不幸被捕。得知消息的国民党政府费尽周折，将张宝泉引渡到龙华监狱，但是无论威逼利诱还是严刑拷打，都无法让张宝泉有任何屈服。无计可施的敌人将张宝泉拖到院子中，猛打两百军棍后，又对他连开七枪，随后残忍地用三把刺刀刺向他的身体。年仅27岁的张宝泉壮烈牺牲。 #国家记忆# @央视国家记忆 央视国家记忆的微博视频,59,12,110,,,,
1,4841276435075166,华商报,2022-11-29 22:55:11,【中央政法委：坚决依法打击敌对势力渗透破坏活动】中共中央政治局委员、中央政法委书记陈文清28日主持召开中央政法委员会全体会议，传达学习党中央近期决策部署。会议强调，政法机关要以有力举措贯彻落实党的二十大精神，坚决维护国家安全和社会稳定。会议围绕党的二十大报告涉政法工作部署要求，研究政法机关今后一个时期贯彻落实的任务目标、具体举措，要求全面贯彻党的二十大精神，深刻领悟“两个确立”的决定性意义，坚决做到“两个维护”，深入贯彻习近平法治思想和总体国家安全观，强化底线思维和斗争精神，加快建设更高水平的平安中国、法治中国，以政法工作现代化保障中国式现代化。会议强调，要坚持以人民为中心，提高政治站位，不断增强政治判断力、政治领悟力、政治执行力。要及时疏导化解矛盾纠纷，帮助解决人民群众实际困难。要坚决依法打击敌对势力渗透破坏活动，坚决依法打击扰乱社会秩序的违法犯罪行为，切实维护社会大局稳定。会议研究了安全生产工作，强调要推动各地区各职能部门落实安全生产主体责任，全面排查整治风险隐患，坚决防范和遏制重特大事故发生，保障人民生命财产安全。王小洪、周强、张军出席会议。（新华社）,113,0,541,,,,
1,4841260391602917,香港文匯網,2022-11-29 21:51:26,【中央政法委：坚决依法打击敌对势力渗透破坏活动】共中央政治局委员、中央政法委书记陈文清28日主持召开中央政法委员会全体会议，传达学习党中央近期决策部署。会议强调，政法机关要以有力举措贯彻落实党的二十大精神，坚决维护国家安全和社会稳定。中央政法委：堅決依法打擊敵對勢力滲透破壞活動 ,24,0,155,,,,
1,4829143454453686,四川公安,2022-10-27 11:23:03,【全省公安机关召开学习贯彻党的二十大精神视频会议】#学习二十大精神# 10月26日下午，全省公安机关召开学习贯彻党的二十大精神视频会议，传达学习党的二十大和二十届一中全会精神，传达中央政治局和公安部党委、省委、省政府党组有关会议精神，并对做好当前维护安全稳定工作作了具体安排。 全省公安机关召开学习贯彻党的二十大精神视频会议,289,93,48,,,,
