页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4652346493112918,新华网,2021-06-26 14:35:03,#共产党宣言首个中文全译本印刷所旧址开放#【印刷《共产党宣言》首个中文全译本的又新印刷所旧址试运营开放】6月25日，印刷《共产党宣言》首个中文全译本的又新印刷所旧址，修缮布展后试运营开放。 新华网的微博视频 ,339,161,3651,,,,
1,4894430865654561,上海黄浦,2023-04-25 15:11:55,"【真理的味道非常甜 又新印刷所内的一节特殊思政课】近日，来自上海市光明中学的思政教师与外语教师们，在又新印刷所为学生上了一堂生动的思政课：“现在我们所在的地方就是又新印刷所旧址的所在地。其实，说是旧址，严格意义上讲，应该算是新址。因为，国家为了更好地保护此处，将这栋石库门建筑平移了128米。如今，又新印刷所旧址已经被列为上海市第八批爱国主义教育基地。”一起跟着记者的镜头看看吧→“真理的味道非常甜！”又新印刷所内，一节特殊的思政课开讲（记者：瞿煌俊,邵林峰 编辑：张紫怡 ）#又新印刷所# #真理的味道#@文明上海 @文明黄浦 @黄浦新青年 @上海教育 @黄浦教育 #黄浦校园",6,0,10,,,,
1,4611394979496454,上海松江发布,2021-03-05 14:28:20,【打响红色文化品牌，让红色根脉厚植人心】上海复兴中路上，一幢旧式砖木结构石库门里弄建筑正紧锣密鼓地修缮。去年11月，该建筑完成平移，将于今年5月交付，7月1日前对外开放。这里，是又新印刷所旧址。网页链接 ,10,1,1,,,,
1,4978074079201075,上海黄浦,2023-12-12 10:40:11,【#快闪茶馆#，打造传统文化修身行动新阵地】近日，“品茗论道·知礼笃行”市民修身行动特色项目活动在又新印刷所旧址外小广场举行。活动引入了“快闪茶馆”的概念元素，以茶文化作为#弘扬中华优秀传统文化#、#倡导文明礼仪新风尚#。（记者 / 王登轩 编辑 / 刘晓静 图片 / 王登轩 视频 / 王登轩）#茶文化##品茗##茶馆#茶馆#中国茶文化#茶道@文明上海 @文明黄浦 上海黄浦的微博视频,4,0,7,,上海,上海,中国
1,4969388705054874,学术月刊,2023-11-18 11:27:36,#学术月刊# 2023年第10期《邬国义｜成裕里7号：《共产党宣言》中文全译本的诞生地新考》】又新印刷所是《共产党宣言》中文全译本的诞生地，陈望道翻译的首部《共产党宣言》中文全译本便在这里印刷出版。其旧址位于今上海市复兴中路221弄（原法租界辣斐德路成裕里）12号，作为《上海市第二批革命文物名录》，近日正式向公众开放。几乎所有的论著与介绍，无一例外，都是这么说的，似乎谁也没有怀疑过其会出错。据《新青年》第8卷第1号刊登的又新印刷所的广告，当时出版的《上海商业名录》《上海指南》等相关记录，笔者认为，其准确的地址应为成裕里7号，而非成裕里12号。邬国义｜成裕里7号：《共产党宣言》中文全译本的诞生地新考,0,0,0,上海,上海,上海,中国
1,4915908364993844,东华大学机械工程学院社会实践团,2023-06-23 21:35:50,参观又新印刷所旧址。又新印刷所原址在复兴中路221弄12号，作为中共最早建立的红色印刷机构，第一个中文全译本《共产党宣言》就诞生于此，并先后印刷了李汉俊译的《马格斯资本论入门》和陈独秀著的《政治主义谈》等书。虽然，他的生命是短暂的，似萤火，如流星，但却为马恩思想在当时中国的传播点下星星之火，刹那亦是永恒。@爱东华爱实践,0,0,2,上海,上海,上海,中国
1,4903890414207235,钚苛取玳FS,2023-05-21 17:40:46,"#分享文保建筑,留下城市记忆#  上海·黄浦·又新印刷所旧址 上海 ",1,3,4,上海,,上海,中国
1,4903506064182363,弄堂馒头Summer,2023-05-20 16:13:31,银行博物馆，又新印刷所旧址，党校旧址 ,0,0,0,上海,上海,上海,中国
1,4865299184615552,移民2000804,2023-02-04 05:53:01,上海5A级景区（四）上海中囯共产党一大、二大、四大纪念馆景区（2）1、中共一大纪念馆。2、中共一大代表宿舍旧址。3、《星期评论》编辑部遗址。4、又新印刷所旧址。5、《新青年》编辑部旧址。6、周公馆。7、上海孙中山故居纪念馆。8、马恩雕像广场。9、一大会址。10、序厅。11、会议室。12、一大会址全貌。13、中共一大纪念馆。14、陈列序厅。15、二大会址纪念馆。16、序厅。17、四大纪念馆。18、序厅。,2,0,18,广西,百色,广西,中国
1,4776032752898585,上图历史文献中心,2022-06-02 22:00:05,#上海文化地标#又新印刷所旧址位于上海市黄浦区复兴中路221弄(原辣斐德路成裕里)12号。1920年，上海共产党早期组织决定以“社会主义研究社”的名义出版陈望道翻译的《共产党宣言》。陈独秀租下辣斐德路成裕里12号，建立一个小型印刷所，取“日日新又日新”之意，把印刷所命名为“又新印刷所”。第一次印的1000本很快售罄。这本书封面上是马克思半身坐像，封面最上端，印着“社会主义研究小丛书第一种”，“马格斯、安格尔斯合著”（马格斯即马克思，安格尔斯即恩格斯），由于疏漏，封面标题错印成了“共党产宣言”。9月再版，错印的书名纠正为《共产党宣言》，印制的1000册，也依然销售一空。借着《共产党宣言》的火爆销售，又新印刷所又印刷了《马克思资本论入门》等一批革命书籍，为马克思主义在中国大地上的广泛传播作出贡献。又新印刷所旧址于2007年12月被卢湾区文化局公布为不可移动文物，现为黄浦区文物保护点。成裕里现已拆迁改造，旧址现原地原状保护。,1,0,4,,,,
