页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4622232313923317,警民直通车-上海,2021-04-04 12:12:03,#致敬公安英雄# #2021清明祭英烈#【守护·2021清明祭英烈】“天地英雄气，千秋尚凛然。”英雄是国家历史的重要体现，是民族精神的重要来源。近日，崇明分局组织民警、辅警前往崇明区烈士馆，祭扫革命烈士、学习英烈事迹、继承先烈遗志，在缅怀牺牲烈士的同时牢记初心使命、坚定理想信念！@警秀崇明 ,251,223,187,,,,
1,4951688214481111,上海崇明,2023-09-30 15:12:11,【缅怀英烈祭忠魂，抚今追昔思奋进！崇明区举行烈士公祭活动】#崇明新闻# 9月30日是国家设立的烈士纪念日，崇明在区烈士馆举行烈士公祭活动，铭记历史缅怀先烈，激励全区党员干部群众以史为鉴、砥砺前行、接续奋斗、开创未来，奋力谱写新时代世界级生态岛建设新篇章。缅怀英烈祭忠魂，抚今追昔思奋进！崇明区举行烈士公祭活动 ,1,0,0,,,上海,中国
1,4932865659510834,上海崇明,2023-08-09 16:38:04,【崇明学子纷纷来到这里，在心中“种下”红色基因】#崇明新闻# 浇花浇根，育人育魂。提起学生时代，很多崇明人都有一些共同的青春回忆。崇明区烈士馆作为其中一个地标建筑，承载着崇明学子红色基因的传承与发展。近日，在新河镇新东居委假日学校老师的带领下，14名中小学生来到这里，深刻学习革命烈士以救国救民为己任的红色革命精神。“历史是最好的教科书。”讲解员顾熠馨介绍，馆内保存着不同时期牺牲的烈士档案，部分烈士遗物、照片、图片和文书档案。一幅幅图片、一段段文字，生动再现了战争年代、社会主义建设时期人民子弟兵前赴后继、英勇奋斗的光辉形象。参观完毕后，学生代表诵读了《写给英烈周济凡的一封信》，“抗日战争爆发的时候，您在应时小学教书育人，经常在学校教学生学唱‘打倒东洋’等歌曲，开展抗日救亡的宣传……”全场鸦雀无声，学生们在心中默默致敬革命先辈。在红色知识答题竞赛环节，学生们一个个拿着题目找答案，时不时求助现场的工作人员，每一题都答得格外认真。活动不仅增加了学生参观的趣味性，也让他们更深刻地感悟革命先辈坚定的理想信念、深厚的爱国情怀。红色知识竞赛把思政课堂搬到红色景点，让孩子们沉浸式感受了一场“有风景的思政课”，边走边学的学习模式，实现红色教育润物细无声。一上午的红色游学活动结束了，同学们收获颇丰，纷纷交流起自己的心得感悟，互相学习，碰撞出思想的火花。崇明区烈士馆工作人员表示，“组织这样的活动，既可以丰富孩子们的假期生活，也能帮助未成年人了解红色故事，在实践中提升社会责任感。”截至目前，今年崇明区烈士馆参观人数达到了6000多人次。作为崇明设施最完整、规模最大的革命烈士纪念馆，崇明烈士馆的“身影”写在了几代崇明人的青春故事里，也写在了七十多年风雨岁月里。崇明学子纷纷来到这里，在心中“种下”红色基因,0,0,0,,上海,上海,中国
1,4899141425043190,上海检察,2023-05-08 15:10:00,#检察机关深入开展主题教育#【感悟先烈精神，赓续红色基因！这场对话穿越时空】历史的枪声已渐行渐远，可英雄从不会被岁月遗忘。五四前夕，上海检察青年来到宝山烈士陵园、上海市奉贤区曙光中学、侯绍裘烈士纪念碑、崇明区烈士馆，缅怀革命英烈，汲取奋进力量。让我们跟随他们的脚步，一起感悟先烈精神，赓续红色基因！网页链接,0,0,0,,上海,上海,中国
1,4819422729998112,上海崇明,2022-09-30 15:36:22,【崇明区隆重举行烈士纪念日公祭活动】#崇明新闻# 山河肃穆，松柏常青，今天（9月30日）是我国第九个烈士纪念日，崇明在区烈士馆举行烈士纪念日公祭活动，区党政军领导，各民主党派、人民团体负责人和全区各界群众代表怀着无比崇敬的心情，向人民英雄敬献花篮，缅怀革命先烈、弘扬英雄精神，牢记历史，砥砺前行，进一步汇聚建功新时代、奋进新征程的磅礴力量，奋力创造世界级生态岛建设新奇迹。区委书记缪京，区委副书记、区长李峻，区人大常委会主任薛红，区政协主席邹明，区委副书记杨元飞等出席。9时30分，烈士公祭式正式开始。礼兵迈着铿锵有力的步伐，分列行进到纪念碑前伫立。全体肃立，奏唱《中华人民共和国国歌》，全体人员脱帽，向为民族独立、人民解放、国家富强和人民幸福英勇牺牲的烈士们默哀。随后，少先队员献唱中国少年先锋队队歌《我们是共产主义接班人》，表达继承烈士遗志、弘扬烈士精神的坚定决心。伴随着深情的《献花曲》，礼兵抬起花篮，缓步走向烈士纪念碑，将花篮整齐摆放至纪念碑基座上。缪京、李峻等神情庄重，缓步登上纪念碑基座，驻足凝视，仔细整理花篮缎带，全体人员向烈士纪念碑行三鞠躬礼。区四套班子领导、区退役军人事务工作领导小组成员单位、各乡镇、各民主党派、有关人民团体主要负责同志，驻区部队、烈军属、学生代表等依次缓步向纪念碑敬献鲜花，追思先烈们艰苦奋斗的革命历程。,0,0,0,,上海,上海,中国
1,4727050000664770,上海市志愿者协会,2022-01-18 18:00:07,【“永远跟党走”——“百位志愿者讲百年党史”系列视频】上海市精神文明建设委员会办公室、上海市志愿者协会共同策划，精心拍摄制作“永远跟党走”——“百位志愿者讲百年党史”红色文化传播志愿服务系列视频。百位志愿者将围绕“永远跟党走”主题，传承红色基因，讲述红色故事，弘扬志愿精神。瞿犊的一生，是维护正义、追求真理的一生！一起跟着崇明区烈士馆志愿服务基地红色文化传播志愿者，来认识这位舍小家为大家、无私忘我、义无反顾的革命烈士！#上海志愿服务动态# #新时代文明实践# 上海市志愿者协会的微博视频,2,0,0,,,,
1,4717884481473547,上海规划资源,2021-12-24 10:59:37,【《上海红色文化地图》——崇明区烈士馆】#业务动态# 崇明区烈士馆位于新河镇新开河路279号。始建于1951年，原名崇明烈士纪念塔1957年更名为崇明县烈士馆，2017年更名为崇明区烈士馆。1970年建成烈士纪念碑，1983年建造烈士事迹展览室，1990年建成崇明县革命史迹展览室。2017年，烈士纪念塔、烈士纪念碑被确定为崇明区不可移动文物。崇明区烈士馆占地面积14520平方米，建筑面积1600平方米，绿化面积6003平方米。崇明区烈士馆为上海市爱国主义教育基地。,1,1,0,,,,
1,4687193409060962,上海崇明,2021-09-30 18:24:14,【缅怀革命先烈，赓续精神血脉！崇明区举行烈士公祭活动】#崇明新闻# 苍松翠柏卫忠魂，革命烈士永不朽。今天（9月30日）是国家设立的烈士纪念日，骄阳映照下的崇明区烈士馆，分外肃穆。崇明区举行烈士公祭活动，缅怀革命先烈，赓续共产党人精神血脉。详戳：缅怀革命先烈，赓续精神血脉！崇明区举行烈士公祭活动 ,1,0,1,,,,
1,4621912204645891,警秀崇明,2021-04-03 15:00:03,#清明祭英烈# 【守护·2021清明祭英烈】“天地英雄气，千秋尚凛然。”英雄是国家历史的重要体现，是民族精神的重要来源。近日，上海市公安局崇明分局组织民警、辅警前往崇明区烈士馆，祭扫革命烈士、学习英烈事迹、继承先烈遗志，在缅怀牺牲烈士的同时牢记初心使命、坚定理想信念！@警民直通车-上海 @上海崇明 @上海长安网,1,2,1,,,,
1,4245421410777890,廉洁上海,2018-05-30 17:00:03,"【上海红色之旅•崇明区：崇明县烈士馆】崇明县烈士馆始建于1951年,原名烈士纪念塔。烈士馆资料室保存烈士档案427份,烈士遗物22件、照片301张以及各种文书档案50卷。其中有崇明县最早参加革命的陆铁强、俞保元等著名烈士和新时期黄东华烈士的部分手迹、书信、遗物等。网页链接 ",1,1,2,,,,
