页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4780918721741536,我苏特稿,2022-06-16 09:35:10,【#江苏第二批100个红色地名发布#】张闻天陈列馆、颐和路社区将军馆、云台山抗日烈士陵园……日前，江苏省第二批100个红色地名正式向社会发布。其中，按类别分：村落区片14个、革命遗址纪念地和建筑物85个、山河湖岛1个；按年代分：新民主主义革命时期92个、社会主义建设时期4个、改革开放时期4个。 弘扬红色地名 传承优秀文化 江苏省第二批100个红色地名发布,11,9,58,,,,
1,4551522640464292,红城发布,2020-09-21 09:17:03,红城信息播报# 【毛主席住居陈列馆正式免费开放】作为第十二届遵义旅发大会的重要观摩点之一，9月19日上午，毛主席住居陈列馆正式开馆。开馆仪式上，市人大常委会主任范元平、市政协主席石邦林共同为毛主席住居陈列馆揭牌。据悉，新建成的陈列馆由遵义会议纪念馆、韶山毛泽东纪念馆、张闻天纪念馆、王稼祥纪念馆组成，于今天正式免费开放，开放时间为每天8:30—17:00。,27,5,66,,,,
1,4482309832915516,扬子晚报,2020-03-14 09:30:04,【#江苏#多家博物馆陆续恢复开放】随着国内新冠肺炎疫情防控形势持续向好，多家博物馆近日陆续宣布恢复开放。3月13日，常州博物馆恢复开放，3月14日（今天）起，无锡博物院及下属的周怀民藏画馆、程及美术馆、张闻天旧居和无锡碑刻陈列馆等全面恢复对外开放。目前江苏省省级博物馆、各设区市的市级博物馆也逐渐开始开放。在县区级的文博场馆中，宜兴市博物馆、无锡东林书院也陆续开放了。记者注意到，各博物馆在恢复开放的同时，也针对疫情做出了相应防控措施。江苏 （扬子晚报/紫牛新闻记者   张楠 马奔 张建波）江苏多家博物馆陆续恢复开放 扬子晚报的微博视频,6,7,17,,,,
1,4443254991022209,中国文博,2019-11-27 15:00:03,#文物动态#近日，经过三个多月的整体修缮，无锡博物院下属省级文物保护单位无锡县学旧址（无锡碑刻陈列馆）和张闻天旧居，通过市文物局预验收后于近日正式对外开放。无锡碑刻陈列馆是利用原无锡县学古建筑明伦堂和讲堂辟建的，是以保护、收藏、陈列、研究地方碑刻、碑帖为宗旨的专业性公益机构。此次修缮，除对屋面进行整体翻修、对墙体防水加固、木构件油漆外，最大的工程要属对馆藏的95块碑刻全部重新整修。陈列馆主任李文华介绍，尽管修缮的目的是要让碑上的字迹变得清晰，但按照“不改变文物原状”的修缮原则，还是要尽可能多的保存历史信息、历史遗存，根据实际保有现状进行合理施工，体现原有特色。位于汤巷45号的张闻天旧居上一次修缮还是在2000年。“由于地势低洼，往年夏天一发大水，这里就淹了。”负责人王玲介绍，此次修缮增设了集水井，疏通了下水道和天沟，屋面也进行了翻修。施工过程中，根据真实性原则，对原构件如砖、石、瓦、木等最大可能地使用。,2,0,12,,,,
1,4248177458330198,浦东时报,2018-06-07 07:31:36,【本周六，浦东这4个地方免费开放！在你家附近吗？】6月9日是我国的“文化和自然遗产日”，国家文物局主题为“文化遗产的传播与传承”。本周六，97处文物建筑将免费对公众开放。其中浦东共有4处，分别是张闻天故居、黄炎培故居、陈桂春住宅和浦东开发陈列馆。还有全市97处全名单哦↓ ,11,0,6,,,,
1,4963001432280464,西北信息报,2023-10-31 20:26:52,10月31日上午，#沿着红色足迹·从胜利走向胜利# 沿着红色足迹·从胜利走向胜利 网络主题活动第二站来到了吴起革命纪念馆（吴旗革命旧址），采访团走进毛泽东、刘亚楼、张闻天、王稼祥旧居，参观吴起革命斗争史陈列馆，讲述从土地革命时期、抗日战争时期、解放战争时期到社会主义建设各个时期，吴起人民为中国革命的胜利艰苦奋斗的动人故事。@延安宣传 @吴起宣传,6,0,7,,西安,陕西,中国
1,4953230637798010,浦东时报,2023-10-04 21:21:13,【鹤鸣九皋，声闻于天，这个名人故居你去过吗？】浦东张闻天故居坐落在上海浦东东海之滨的祝桥镇邓三村，是一座一正二厢房庭园。总占地面积有13000平方米，建筑面积有2328平方米（其中故居部分为936平方米，陈列馆部分为1392平方米），是体验红色之旅、接受革命传统教育、品位江南农村民宅特色的理想去处。,0,0,0,,上海,上海,中国
1,4787632917453194,浦东发布,2022-07-04 22:15:00,【7月5日，浦东又有4座博物馆恢复开放啦】#上海战疫# 小布从浦东新区文物保护管理所获悉，根据上海市疫情防控工作总体安排，文保所所属博纪场馆张闻天故居、黄炎培故居、浦东开发陈列馆将于7月5日（本周二）恢复开放。浦东新区南汇博物馆、上海吴昌硕纪念馆闭馆改陈修缮，暂不对外开放。详见↓ #上海加油#,1,0,3,,上海,上海,中国
1,4781050801163130,江苏微旅游,2022-06-16 18:20:01,#江苏游资讯# 【#江苏第二批100个红色地名发布#】张闻天陈列馆、颐和路社区将军馆、云台山抗日烈士陵园……日前，江苏省第二批100个红色地名正式向社会发布。其中，按类别分：村落区片14个、革命遗址纪念地和建筑物85个、山河湖岛1个；按年代分：新民主主义革命时期92个、社会主义建设时期4个、改革开放时期4个。弘扬红色地名 传承优秀文化 江苏省第二批100个红色地名发布,0,0,1,,南京,江苏,中国
1,4646997485160200,钟山清风,2021-06-11 20:20:00,#奋斗百年路 启航新征程#【“宁听红色巴士课堂”再出发】巴士途经张闻天陈列馆、渡江胜利纪念碑、梅园新村纪念馆等多处南京红色印记，讲解点则由此辐射，展现中国共产党百年奋斗历程和辉煌成就。南京日报社数字报刊 ,0,1,1,,,,
