页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4831323452345345,大秦腔,2022-11-02 11:45:35,"#讣告# 秦腔著名须生演员马世中先生于2022年11月2日5时许于渭南逝世！马世中，曾用名马笃，秦腔著名须生，生于1934年，长安郭杜长里村人，2022年11月2日凌晨5时许于渭南逝世,享年88岁。1948年入西安晓钟剧校学艺，师承刘毓中icon、惠济民等人。1956年随文光剧团调入渭南，代表作《祭灵》《二启箭》《杀庙》《烙碗计》《回荆州icon》《周仁回府》《追韩信》《十五贯》等。为刘毓中艺术流派主要传承人之一，张佐群、左西元、王宏义icon等曾得其教诲。",3,0,4,陕西,,陕西,中国
1,4648087408085780,上海汉未央传统文化促进中心,2021-06-14 20:30:58,2021年6月12日 石门二路街道“我们的节日·端午”主题活动 圆满举行  汉未央全程策划 献演傩舞《驱疫迎祥》 典礼《端午英雄祭》 原创红色微剧《晓钟剧团的青春之歌》 以及舞蹈《我的祖国》  同时开设了丰富多彩的工艺手作体验板块 为社区居民奉献了一场端午盛宴 上海·康定东路85号 ,0,0,0,,,,
1,4641222826135438,上海汉未央传统文化促进中心,2021-05-26 21:53:34,在静安区石二街道1.09平方公里辖域内 竟藏着32座历保建筑 这其中 深藏红色遗址  有的鲜为人知   新闸路750弄6号 晓钟剧团旧址 我们的红色叙事 就从这里讲起 【汉未央】专题丨汉未央推出原创红色微剧《晓钟剧团的青春之歌》 ,0,0,0,,,,
1,4641193080132462,上海汉未央传统文化促进中心,2021-05-26 19:55:22,汉未央推出原创微剧《晓钟剧团的青春之歌》 演绎1940年代上海地下党发起晓钟剧团的红色故事  上海汉未央传统文化促进中心的微博视频 ,0,0,1,,,,
1,4484227447795201,陕西秦之声,2020-03-19 16:29:58,【查俊卿“王宝钏”嫩biabia的身子硬邦邦的嘴（附精彩视频）】查俊卿1936—2017陕西西安人秦腔旦角名家完小毕业后即从事秦腔表演曾在彬县剧团、耀县剧团三意社、正俗社短期演出1953年参加兴平剧团与焦晓春贾秀芳为剧团三大主演被观众合称为“焦查贾”查俊卿表演师承崔晓钟又受苏蕊娥杨金凤李正敏封至模等人指点常演剧目有《火焰驹》《宇宙锋》《双凤钗》《金琬钗》《白玉楼》《断桥》《三娘教子》等视频欣赏↓↓↓网页链接,0,0,0,,,,
1,4302252501876634,慈实素食,2018-11-03 12:46:31,晓钟剧团遗址 新闸路750弄6号，是一幢很普通的石库门房子，可是有谁知道，在日寇和汪伪的血腥统治时期，这里曾经是私立维德小学的校舍，也是中共地下组织领导的晓钟剧团的团址。  地址：新闸路750弄6号 ,0,0,5,,,,
1,4285218040597721,中国文艺网,2018-09-17 12:37:39,#艺坛大家#中央戏剧学院原院长#徐晓钟#：人类对于善与美以及高尚的追求，就好像在大海上的一个苦行者，一步一步勇往直前完整视频链接：网页链接作为创始人之一，著名戏剧教育家徐晓钟与日本戏剧大师#铃木忠志#等共同推动#中国戏剧家协会##国际剧协#韩国中心和#日本利贺铃木剧团#于1994年一起创办了#中韩日戏剧节#。1995年他又与#日本四季剧团#合作，在#中央戏剧学院#开创#音乐剧#教学，培养我国自己的音乐剧人才，积极推动#中国戏剧#的国际交流。徐晓钟认为，中国当代戏剧需要继承#现实主义#的美学传统，在更高层次上学习包括戏曲艺术在内的传统文学艺术；有分析地吸收西方现代戏剧的一切有价值的成果，辩证地兼收并蓄，以‘我’为主，以求中国戏剧艺术不断革新。徐晓钟现任#国家大剧院#戏剧艺术总监。他一共进行了40余部话剧、歌剧和戏曲的导演创作，包括歌剧#图兰朵#（1995年）京剧#天下归心#（2002年）#雷雨#（2003年）#浮士德#（2008年）等。@国家大剧院 @罗锦鳞 中国文艺网的秒拍视频,2,0,3,,,,
1,4045678726560250,吹笛小牧童1,2016-11-25 12:33:56,这是封至模先生最得意弟子吕凝馨（旦）、杨作翰《武松杀嫂》的剧照。吕、杨是封先生艺术观成熟时的学生。吕是周至后来旦角兴盛的功臣，杨后为咸阳大众剧团的教练。杨系文武全才，任哲中当年是他的二路角色（剧中饰演西门庆）。吕于2014年去世，他与马振华，崔晓钟齐名，擅表演。他们均因为某院歧视男旦，吕去周至，崔上兴平，故周至兴平旦角盛吕崔之功。【摘自与“秦之人”兄聊天记录】,2,0,2,,,,
1,3578259860051242,天津malu,2013-05-15 16:38:14,印象中，四季剧团的老板浅利庆太先生并非是商人或资本家的形象，几次交往都是在课堂上，由徐晓钟先生介绍彼此交流戏剧。他对戏剧的敏锐及对戏剧的崇高让我对他充满敬仰，他几乎不向我们介绍他商业的成功，更强调的是对戏剧的痴迷和戏剧理念的彼此分享，其实我以为他对戏剧的态度就是商业成功的本源。 ,1,1,1,,,,
1,3560243122088422,王翔浅,2013-03-26 23:26:08,有四位文艺界的长者和专家为＜艺术与经营的奇迹＞的出版撰写了推荐语，他们是徐晓钟老师、作曲家王祖皆老师、濮存昕濮哥、另一位就是陈立老师。提起四季剧团，陈立老师总是充满激情。我的荣幸。感谢！,1,7,1,,,,
2,3347520277538893,周美丞,2011-08-17 23:21:31,莫斯科艺术剧院演出第二场《白卫军》，调度感很强的舞台、演员精湛的表演、到位的枪火设计，处处细节体现这个剧团的专业和敬业。台下名人群聚，看见可爱的徐晓钟老师，开心！ ,1,2,0,,,,
