页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4983129542757048,新民周刊,2023-12-26 09:28:48,#毛泽东与上海# #毛主席诞辰130周年#【#毛泽东曾在上海留下无数光辉足迹#】　　1919年3月14日，他第一次来到上海，为89位赴法勤工俭学学生送行，其中有43位是来自湖南的学生。1920年陈独秀等在上海筹建共产党早期组织时，6月间毛泽东来到老渔阳里2号陈独秀寓所，讨论了湖南的一些计划，一起探讨马克思主义。同年8月，陈独秀去信请毛泽东在湖南建党，毛泽东后来对斯诺说，这是“一生中最关键时刻”。毛泽东在湖南创建了共产主义小组，把自己入党时间定为1920年。　　1921年6月29日晚，毛泽东与何叔衡在湘江岸边登舟，辗转来到上海，7月23日晚在望志路106号，作为湖南代表参加中共一大。当晚举行第一次会议，简要介绍各自情况和确定会议议程；24日举行第二次会议，报告各地建党情况和经验体会；25日至26日休会，起草党的纲领和今后工作计划；27日至29日三天，集中讨论此前起草的纲领和决议；30日晚原定议题是通过党的纲领和决议，选举中央机构，后突遇密探，迅速分散转移到嘉兴南湖。　　1945年4月21日，中共七大预备会议在延安召开，毛泽东第一次正式回顾了中国共产党在上海诞生过程。毛泽东说：“我们中国《庄子》上有句话说，其作始也简，其将毕也必巨。我们现在还没有‘毕’，已经很大。”毛泽东深情地说：“从古以来，中国没有一个集团，像共产党一样，不惜牺牲一切，牺牲多少人，干这样的大事。”　　1949年5月，毛泽东在香山双清别墅，亲自改定了新华社就上海解放写的社论。留下了毛泽东许多改动笔迹的《祝上海解放》写道：“上海是中国工人阶级的大本营和中国共产党的诞生地，……是中国工人运动、革命文化运动和各民主阶层爱国民主运动的主要堡垒之一”，阐明了烙印在上海的红色基因。这是一个伟大政党及其创始人，对于初心历史的深深敬重、对于国之重镇的无限期许。　　1968年，中国轰-6飞机试飞成功后，中央领导提出能否在轰-6基础上设计一种喷气式客机。1970年7月中旬，毛泽东主席来上海视察。在参观了几个工厂后，毛主席说，上海的工业基础这么好，可以搞飞机嘛。　　7月28日，有关部门传达毛主席指示，上海要搞飞机，由三机部与上海联系。8月21日，国家计委、中央军委国防工业领导小组原则批准了航空工业领导小组提出的《关于上海试制生产运输机的报告》，任务定名为“708工程”，飞机代号“运-10”（Y-10）。　　1980年9月26日，四发大型喷气式客机运-10首次试飞成功，在国内外引起了强烈反响 。　　2023年12月26日，是毛泽东130周年诞辰。毛泽东的丰功伟绩，深深镌刻在上海、中国和世界的历史上。 毛泽东与上海,1,6,20,,,,
1,4890351040463342,中国历史研究院,2023-04-14 09:00:08,【宋克祥：毛泽东等人领导的新民学会，对建党作出了哪些贡献？】1918年4月14日，在毛泽东、蔡和森等倡导下，新民学会在长沙湘江之畔蔡和森寓所成立。毛泽东、蔡和森领导的新民学会历经国内外探索实践，为中国共产党的创立和发展奠定了思想理论基础、组织人才基础和斗争实践基础，作出了贡献。 宋克祥：毛泽东等人领导的新民学会，对建党作出了哪些贡献？,21,5,72,,,,
1,4620389659968530,新疆检察,2021-03-30 10:10:00,#党史故事100讲#·建党篇之【一大首聚 开天辟地】1921年7月23日晚8时，中国共产党第一次全国代表大会在上海召开。一大会址就设在上海法租界望志路106号李书城与其弟李汉俊的寓所。一共有15位出席者。会议原定由陈独秀主持，由于他在广州公务繁忙未能出席会议，大会临时推选张国焘主持，毛泽东、周佛海担任记录。7月24日，大会召开第二次会议。7月27日、28日、29日，大会举行第三、四、五次会议。会议集中讨论了《中国共产党的第一个纲领》。7月30日晚上，按原先计划，代表们仍聚集在李公馆举行第六次会议。准备在这次会上通过《纲领》和《决议》，选举中央机构，宣告中共一大闭幕。但就在此时，有密探闯入，使得会议临时中断。随后，部分代表们转移到嘉兴南湖一艘游船上，进行了最后的会议决议。至此，具有划时代意义的中国共产党第一次全国代表大会宣告闭幕。中国共产党肩负着民族复兴的期望和人民解放的重托，在灾难深重的中国正式诞生了。  新疆检察的微博视频,11,1,9,,,,
1,4651238643204171,上海地铁shmetro,2021-06-23 13:12:50,【小编在现场：搭地铁讲党史说安全】现在我们身后这个地标就非常有意义，那就是毛主席寓所旧址！很多喜欢《觉醒年代》等影视剧的小伙伴可能都没用注意到，毛主席其实来过三次上海。除了参加一大，还有送赴法勤工俭学的同学，以及协助陈独秀主持中共中央日常工作，就在这里不远处，有上海毛泽东旧居陈列馆，陈列馆里有很多珍贵文物和书稿，还有各种新媒体技术呈现的往昔故事。,1,1,6,,,,
1,4983265231113938,上海孙中山故居纪念馆,2023-12-26 18:27:58,今天是毛泽东同志诞辰130周年纪念日。在党的创建和大革命时期，毛泽东曾13次来到上海，寻求救国真理，开创建党伟业，推进国民革命。其中，1924年5月5日，毛泽东在上海莫利哀路29号孙中山寓所（今香山路7号），出席为纪念孙中山就任非常大总统3周年举行的庆祝集会，有300余人出席，毛泽东、邓中夏、罗章龙等共产党人都出席了这次会议，并摄影留念。,0,1,4,,,上海,中国
1,4983129851562150,七环视频,2023-12-26 09:30:01,#毛主席诞辰130周年#【毛泽东在上海的家】今天，我们迎来伟人毛泽东130周年诞辰。上海是中国共产党的诞生地，毛泽东同志一生与这座光荣之城结下了不解之缘。位于上海茂名北路的毛泽东旧居，是他在上海居住时间最长、最富家庭生活气息的一处寓所。网页链接 七环视频的微博视频 ,2,0,2,,上海,上海,中国
1,4852298923122054,上海宋庆龄故居,2022-12-30 08:54:37,每当观众进入上海宋庆龄故居主楼参观时，总会留意到脚下铺设的一套梅花图案的羊毛地毯。这套地毯共有六件，分别铺设于寓所客厅、餐厅、办公室和楼梯等处。很多人并不知道，这套精美的地毯，原件正是毛泽东赠送的。🔍宋庆龄文物故事 | 从梅花图案地毯说起：宋庆龄与毛泽东的情谊#地毯# @国家名誉主席宋庆龄陵园 @上海孙中山故居纪念馆 @上海孙宋文管委,0,1,6,,太原,山西,中国
1,4717951305386040,抚州崇仁发布,2021-12-24 15:25:09,毛泽东在上海居住时间最长的寓所 网页链接 ,0,0,0,,,,
1,4663218884313229,辽阳市人民检察院,2021-07-26 14:38:02,【党史学习教育】《党史故事100讲》第4讲1921年7月23日晚8时，中国共产党第一次全国代表大会在上海召开。一大会址就设在上海法租界望志路106号李书城与其弟李汉俊的寓所。一共有15位出席者。会议原定由陈独秀主持，由于他在广州公务繁忙未能出席会议，大会临时推选张国焘主持，毛泽东、周佛海担任记录。【党史学习教育】《党史故事100讲》第4讲,0,0,0,,,,
1,4640840821248466,上海静安,2021-05-25 20:35:37,【确保馆藏文物安全和游客人身安全，他们将如何做？】#关注静安# 5月25日，“助力红色场馆 共建平安静安”静安区消防救援支队参与红色场馆平安建设聘任仪式在中共上海地下组织斗争史陈列馆暨刘长胜故居举办。活动中，上海毛泽东旧居陈列馆、1920年毛泽东寓所旧居、中国劳动组合书记部旧址陈列馆、中共上海地下组织斗争史陈列馆暨刘长胜故居、中共淞浦特委机关旧址陈列馆、中共二大会址纪念馆和中共中央军委机关旧址纪念馆等七家静安区所属的红色革命场馆分别聘请专家担任各自场馆的名誉副馆长……详见：确保馆藏文物安全和游客人身安全，他们将如何做？,12,2,1,,,,
