页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4633127345459679,同济大学,2021-05-04 13:45:01,#听Ta说同济大学移动直播间#  来自时代声音青年讲师团和“理论+”宣讲团的四位青年讲师：张琪、张乐、王耀国、任荷灵，将带领大家走入中国社会主义青年团中央机关旧址纪念馆 重温那段薪火相传的岁月，寻觅百年渔阳里的初心与使命 点燃信仰之火，融入红色基因，激发精神力量！ 同济大学的微博视频 ,2,3,105,,,,
1,4633132739593208,广西日报,2021-05-04 14:06:27,【#感党恩跟党走·党史知识大家答# 第323期】____是中国社会主义青年团中央于1922年1月15日创办的机关刊物。 A.《先驱》 B.《新青年》 C.《少年中国》  网页链接 ,2,0,144,,,,
1,4613696887718200,上海发布,2021-03-11 22:55:18,【上海市首批革命文物名录公布！数数你知道多少？】#最新# 市文旅局今日正式公布《上海市第一批革命文物名录》，其中包括：中国共产党第一次全国代表大会会址（含宿舍旧址）、中国共产党第二次全国代表大会会址、中国社会主义青年团中央机关旧址等150处不可移动革命文物；1920年9月出版的陈望道译《共产党宣言》、1949年5月上海市人民政府成立时的第一块招牌等208件/套可移动革命文物。具体名单详见↓ 上海市首批革命文物名录公布！数数你知道多少？,25,2,20,,,,
1,4541864738555405,上海黄浦,2020-08-25 17:39:59,【团中央机关旧址纪念馆“拍了拍”你，邀你倾听……】#黄浦播报#百年前的8月22日，在中国共产党发起组指导下，第一个团的早期组织——上海社会主义青年团在新渔阳里6号成立了。一百年间，渔阳里见证了一代代青年不一般的奋斗。如今，迎来了一位新朋友，周冬雨担任渔阳里青年志愿服务大使，她在这里等着和你们一起倾听渔阳里的声音。详团中央机关旧址纪念馆“拍了拍”你，邀你倾听……,12,31,138,,,,
1,4407982571927669,党史网,2019-08-22 07:00:04,【党史上的今天】1920年8月22日　在上海共产党早期组织领导下，上海社会主义青年团成立。在当地共产党早期组织领导下，北京、武汉、长沙、广州也先后成立社会主义青年团，在先进青年中发展团员。同年11月成立团的临时中央局，俞秀松为书记。 党史网的微博视频 ,18,6,24,,,,
1,3441563353371170,青春上海,2012-05-03 11:35:07,#五四#为纪念建团90周年，由中国社会主义青年团中央机关旧址纪念馆主办的“纪念中国共产主义青年团建团90周年团的历次代表大会图片展”，将以流动展览的形式，于今年5月4日起，在“渔阳里”正式展出，并计划于5月11日起至7月底期间，赴机关、社区、学校等单位巡回展出。 ,27,1,0,,,,
1,4253401493724292,廉洁上海,2018-06-21 17:30:03,【上海红色之旅•黄浦区：中国社会主义青年团中央机关旧址纪念馆】中国社会主义青年团中央机关旧址是幢砖木结构的石库门建筑，建于1915年。中国社会主义青年团机关旧址是全国重点文物保护单位，旧址纪念馆为全国爱国主义教育示范基地、上海党史教育基地。网页链接 ,5,2,2,,,,
1,4641118703061230,闵行梅陇镇,2021-05-26 14:59:49,【梅陇镇翔梅公司组织青年参观中国社会主义青年团中央机关旧址纪念馆】近日，由翔梅公司团支部组织公司35岁以下青年参观中国社会主义青年团中央机关旧址纪念馆，大家在活动中重温中国共产党从成立到发展壮大的伟大光辉历程，弘扬了“爱国、进步、民主、科学”的“五四”精神。通过参观实践教育活动，引导公司青年从党史中启迪思想、获得力量，翔梅公司的青年在参观过程中每一次对党史的回望，都是一次对精神的洗礼。,17,0,24,,,,
1,4003674978333710,青春达州,2016-08-01 14:46:02,"#团情快讯# 【八月团情】[推荐][推荐]1、中国第一个青年团，早期组织上海社会主义青年团于1920年8月诞生。2、1922年8月1日，旅欧少年创办了机关刊物《少年》月刊。3、由团苏区中央局负责动员组织的、主要由团员和青年组成的红军部队-少共国际师于1933年8月5日正式成立。4、1927年8月12日,共青团在武汉召开了驻武汉全体中央委员会议,传达党的八七会议精神,史称”汉全会议” ……@四川共青团 @共青团中央",8,4,5,,,,
1,4980400612708642,上海静安,2023-12-18 20:45:00,【恰少年，正青春！红领巾们向阳而生，逐光而行】#关注静安# 近日，“国旗下成长”上海青少年升国旗暨爱国宣讲主题活动在中国社会主义青年团中央机关遗址纪念广场——先锋广场举行，本活动在团市委、市少工委的指导下，由静安团区委、区少工委等单位主办，大宁路街道团工委、社区少工委和绿化市容团工委承办。详见：恰少年，正青春！红领巾们向阳而生，逐光而行,2,0,0,,上海,上海,中国
1,4958913012957647,中国计量大学,2023-10-20 13:40:57,#党史上的今天# 1923年10月20日 中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊，先后担任该刊编辑的有恽代英、萧楚女、林育南、任弼时、邓中夏、张太雷、李求实等。1927年11月被迫停刊。1962年10月20日　中国边防部队在中印（度）边界东西两段举行自卫反击战。11月21日，中国政府发表声明，重申：中印边界问题必须通过谈判解决；并宣布从22日零时起中国边防部队在中印边境全线停火，从12月1日起，中国边防部队即从1959年11月7日的中印双方实际控制线后撤20公里。随后，中国政府还主动把缴获的武器弹药和其他军用物资全部交还印方，释放和遣返了全部被俘的印度军事人员。1974年10月20日　毛泽东派人转告周恩来和王洪文：总理还是我们的总理，四届人大的筹备工作和人事安排由总理和王洪文一起主持，同各方面商量办理。针对11月间江青多次写信提出她对党政领导人事安排意见，11月12日，毛泽东在对江青的一封来信的批示中，指出江青有“组阁”的野心，说“不要多露面，不要批文件，不要由你组阁（当后台老板）”，“人贵有自知之明”。1984年10月20日　中共十二届三中全会在北京举行，讨论并通过《关于经济体制改革的决定》。《决定》阐明加快以城市为重点的整个经济体制改革的必要性、紧迫性，规定了改革的性质、基本任务和各项基本方针政策，明确提出:改革是社会主义制度的自我完善，改革的基本任务是建立起具有中国特色的、充满生机和活力的社会主义经济体制。《决定》突破了把计划经济同商品经济对立起来的传统观点，确认我国社会主义经济是公有制基础上的有计划商品经济；充分发展商品经济，是社会经济发展不可逾越的阶段，是实现我国现代化的必要条件。这是中国共产党对马克思主义政治经济学的新发展，为建设有中国特色的社会主义经济提供了新的理论指导，是进行经济体制全面改革的纲领性文件。1987年10月20日　中共十二届七中全会在北京举行。全会决定，1987年10月25日在北京召开中共十三大。全会讨论并通过了中央委员会向十三大的报告和《中国共产党章程部分条文修正案》。全会讨论并原则同意《政治体制改革总体设想》，并决定将其主要内容写入十三大报告。全会确认1987年1月16日中央政治局扩大会议关于接受胡耀邦辞去中央委员会总书记职务和推选赵紫阳代理中央委员会总书记的决定。2003年10月20日 胡锦涛出席在曼谷召开的亚太经合组织第十一次领导人非正式会议并发表讲话，就促进亚太地区和全球经济的发展，加强成员间的合作提出新思路，探索新途径，提出三点主张：第一，要加强相互信任，保持亚太地区稳定。稳定是发展的前提。第二，要采取有效措施，促进经济社会协调发展。第三，要推动相互开放市场，健全多边贸易体制。2011年10月20日 温家宝会见出席第八届中国—东盟博览会和中国—东盟商务与投资峰会开幕式的外国政要。温家宝积极评价中国同东盟各国的双边关系，表示中国愿同各国一道，落实好达成的各项共识，推动双边关系取得新进展。东盟国家领导人均认为，发展同中国的友好关系至关重要，前景广阔，愿与中方一道，推动双边框架下的互利合作深入发展。,2,0,2,浙江,杭州,浙江,中国
1,4958857408285262,美丽中华行栏目,2023-10-20 10:00:00,历史上的10月20日： 1923年10月20日 中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊 1948年——辽沈战役之黑山阻击战。 1958年——酒泉卫星发射中心成立 2003年——中央电视台财经频道早间新闻类节目《第一时间》开播 #美丽中华行# #历史上的今天# ,0,0,1,,,北京,中国
1,4955258301186781,上海黄浦,2023-10-10 11:38:26,【这些天各一方的学校有何特别？这场连线宣讲有答案】近日，一场主题为“同学们好！”的中共创建时期创办的学校历史三馆连线宣讲举行。活动由共青团上海市黄浦区委员会主办，中国社会主义青年团中央机关旧址纪念馆承办，平民女校、沪西工人半日学校协办。这些天各一方的学校有何特别？这场连线宣讲有答案（记者 / 盛寅敏 编辑 / 张紫怡 图片 / 中国社会主义青年团中央机关旧址纪念馆） #党课# #红色教育# @青春上海,2,0,3,,上海,上海,中国
1,4887815853181458,上海徐汇发布,2023-04-07 09:06:13,【红色骑行、线下课堂……徐汇“青马工程”开班以来，到底有多精彩？】在中共一大纪念馆，追忆红色初心；去中共二大会址纪念馆，上一堂红色思政课；来到中国社会主义青年团中央机关旧址纪念馆，找寻红色记忆；齐坐在线下课堂，深入学习党的二十大精神……自徐汇“青马工程”开班以来，学员们的生活可谓是精彩纷呈，享受了一道道丰盛的“精神大餐”。红色骑行、线下课堂……徐汇“青马工程”开班以来，到底有多精彩？,0,0,0,,上海,上海,中国
1,4826754151614631,长宁区图书馆,2022-10-20 21:08:49,#党史上的今天# #10月20日# 1923年，中国社会主义青年团中央机关刊物《中国青年》（周刊）在上海创刊，先后担任该刊编辑的有恽代英、萧楚女、林育南、任弼时、邓中夏、张太雷、李求实等。1945年，毛泽东为中共中央起草致各中央局、区党委，各兵团首长电。1962年，中国边防部队奉命对印度军队的武装进攻进行自卫反击作战。1984年，中共十二届三中全会召开。全会通过《关于经济体制改革的决定》，规定以城市为重点的经济体制改革的任务、性质和各项方针政策；提出社会主义经济是公有制基础上的有计划的商品经济。2014年，中共十八届四中全会召开。全会通过《关于全面推进依法治国若干重大问题的决定》，指出全面推进依法治国，总目标是建设中国特色社会主义法治体系，建设社会主义法治国家。,1,0,1,,上海,上海,中国
1,4785668977592904,中国青年网,2022-06-29 12:11:00,【#跟着总书记打卡百年青运史#，打卡中国社会主义青年团中央机关旧址】在上海成都北路大沽路交叉口，一块老石库门牌楼低调地矗立着，100年前，青春的思想在这里碰撞。#把青春华章写在祖国大地上#  习近平总书记在庆祝中国共产主义青年团成立100周年大会上指出，中国共产党一经诞生，就把关注的目光投向青年，把革命的希望寄予青年。让我们跟随“青运地图”来到中国社会主义青年团中央机关旧址，回望始终如一的青春初心，打卡#地图上的青运史#吧。@中国青年报 @青春上海  共青团中央的微博视频,5,0,5,,北京,北京,中国
1,4785625124833463,中国共青团杂志,2022-06-29 09:16:45,【#跟着总书记打卡百年青运史#，打卡中国社会主义青年团中央机关旧址】在上海成都北路大沽路交叉口，一块老石库门牌楼低调地矗立着，100年前，青春的思想在这里碰撞。习近平总书记在庆祝中国共产主义青年团成立100周年大会上指出，中国共产党一经诞生，就把关注的目光投向青年，把革命的希望寄予青年。让我们跟随“青运地图”来到中国社会主义青年团中央机关旧址，回望始终如一的青春初心，打卡#地图上的青运史#吧。#永远跟党走、奋进新征程# @中国青年报 @青春上海 共青团中央的微博视频,1,0,2,,昆明,云南,中国
2,4773311471683839,深圳市中级人民法院,2022-05-26 09:46:41,#鹏法圳青春#1922年1月，中国社会主义青年团临时中央局创办机关刊物（   ），由北京社会主义青年团组织出版。（正确答案见评论区！）    网页链接 ,0,1,0,,深圳,广东,中国
2,4767549998499574,新传土拨鼠,2022-05-10 12:12:39,#共青团建团100周年中的新闻史# 《先驱》是中国社会主义青年团的机关报，1922年1月25日创办于北京，因遭到北洋军阀政府查禁，从第4期起迁至上海，成为团临时中央局机关刊物。从第8期起改由团中央执行委员会编辑出版，《先驱》成为团中央机关刊物，在传播马克思列宁主义理论，国际共产主义运动等方面作出了重要的贡献。,0,0,5,上海,上海,上海,中国
2,4766461312634972,河南青年时报,2022-05-07 12:06:36,"【河南青年教师用漫画讲百年团史】“不是应该叫共产主义青年团吗？这里怎么是社会主义青年团呢？”“别着急，咱们边看边说。”画面中，一个叫周小美的主人公打开了时光之门，三位21世纪的学生团员从渔阳里6号（中国社会主义青年团中央机关旧址纪念馆）瞬间穿越到20世纪，共同寻找关于共青团的一些答案。5月4日上午10点，这组以团史百年为主题的漫画作品正式上线。据了解，这组作品由河南工程学院马克思主义学院教师师远志创作，整个创作计划是8期，呈现不同历史时期共青团建设与发展的光辉历程，向更多青年学生普及团史知识，献礼建团百年。师远志介绍说，团史主题的创作从筹划到落地成型，大概有三个月左右的时间，目前除了借助公号“马克思漫漫说”、“河工青年”、学习强国等平台进行发布传播，也借助团队在上海、广西的宣讲基地，陆续开展一些宣讲活动，为广大青少年提供沉浸式动漫情景思政课程。用漫画讲团史，这个并非灵感乍现，而是师远志在日常教学中不断进行的创新探索。39岁的师远志，从2016年开始从事马克思主义理论教学工作。初任教师时，他有一大苦恼：马克思主义原理课思想性和抽象性比较强，感性资料比较少，怎样才能把这门课上好、上活泼？怎样才能激发学生的学习兴趣？师远志注意到，当代青年学生成长过程中，动漫是伴随他们成长的重要艺术形式，很多知识都做成了动漫。他转念一想，用动漫来讲述马克思主义理论行不行呢？在随后的课堂教学中，师远志就有意识地加入一些动漫内容，将“原理”课中思辨、抽象的理论用具体化、形象化、可视化的形式展示出来，深入浅出，生动形象，便于学生理解和记忆。2020年，师远志在上海的朋友正好创办了一家动漫公司，俩人就商量着围绕马克思主义理论政治经济学内容做个系列，并取名为《马克思漫漫说》。师远志介绍说：“我们刚开始先做了两三期，做出来后一边播放一边讲解，后来发现不论是在学生中，还是在网络上，还是挺受欢迎的。学生们还出谋划策，帮我想该怎么去做，就一直坚持做了下去。后来，这组作品入选国家广电总局《2021年第三季度优秀网络视听作品优秀作品目录》，对我们更是一个极大的鼓励。”截止目前，师远志撰稿完成的《马克思漫漫说》第一季（17话）和第二季（25话）作品，已在公众号“马克思漫漫说”B站、学习强国上海平台、抖音等各大媒体平台投放，其中，B站上播放量达47.1万，网友评分9.7分，还在评论区中不断催更。团史百年系列动漫也在陆续更新中。严肃知识通俗化，会面临怎样的难题？师远志表示，创作过程中，要处理的一个很大的问题就是知识的严肃性、系统性和动漫形式的通俗性、碎片性之间的矛盾，以团史动漫为例，人物可以穿越，但历史不能穿帮，历史的真实性与严肃性是不容篡改的，这就要求非常注意细节问题。“比如第三期中，从早期的团中央机关刊物《先驱》到后来的团中央机关刊物《中国青年》，我设计的是主人公周小美手里拿着《先驱》，旁边的青年看到后，把新的机关报《中国青年》递给他，完成这样的转换。那么这个合不合理，我就要去查资料，先驱是1923年8月停办的，《中国青年》是同年10月创办的，这个是合理的，我们才能用。”查阅历史文献，构思主题思路，落笔着手创作，师远志每创作一期漫画作品，大概需要10天左右时间，“有时候对一个细节问题就得反复核对，确保史实不出错。”“团史和马克思主义理论动漫只是我们红色动漫的一部分，后续我们会继续把马克思主义理论动漫完成，并且在后续推出迎接党的二十大的系列动漫。”师远志介绍说，团队还计划做《马克思漫漫说》日语版、英语版进行广泛传播，同时拓展线下阵地，出版实体漫画书，打算在河南工程学院申请成立红色动漫文化孵化中心，并依托团队力量在国内其他地方建立“红色动漫文化孵化中心”，开展红色文化IP产学研、大中小思政一体化和家校社思政大课堂的建设。师远志说：“作为一名青年思政课教师，深刻体会到‘讲中国故事是时代命题,讲好中国故事是时代使命’，我们将继续守正创新，讲好思政课，讲好中国故事，向更多青少年传播红色文化，赓续红色基因，增进文化自信。”S（河南青年时报·东风新闻记者 魏文杰）",0,0,0,,郑州,河南,中国
2,4764356040726003,贵州监狱,2022-05-01 16:41:00,#百名青年讲百年团史#【石库门里的渔阳薪火—中国社会主义青年团中央机关旧址】 贵州监狱的微博视频 ,2,2,1,,贵阳,贵州,中国
2,4761702471829871,重生之考研再就业,2022-04-24 08:56:40,新闻史#学习打卡# 来啦  选择题——中国社会主义青年团中央的第一份机关报是( )  #2023考研##新传考研#  新传考研每日打卡  网页链接 ,0,1,6,,南京,江苏,中国
2,4748496932702351,安徽团省委,2022-03-18 22:22:34,【#青运史上的今天# ·3月18日】1922年3月，中国社会主义青年团第一个机关报《先驱》从北京迁到上海，从第四期开始由上海的团临时中央局编辑出版。#百年青运读团史##团史百年天天读# ,0,1,15,,,,
2,4748058615615896,文旅之声,2022-03-17 17:20:51,#第一批全国重点文物保护单位#【中国社会主义青年团中央机关旧址】1920年8月22日，在中国共产党早期组织的领导下，俞秀松等8名青年发起成立了中国第一个社会主义青年团——上海社会主义青年团。团的机关设在当时法租界霞飞路新渔阳里6号（今淮海中路567弄6号）。上海社会主义青年团的创建，对各地社会主义青年团的建立起了发动和指导的核心作用。为了掩护和团结进步青年，同年9月，于此开设“外国语学社”，同时在《民国日报》上公开刊登招生广告。刘少奇、任弼时、肖劲光、罗亦农等由各地团组织推荐来“外国语学社”学习，并先后赴苏联学习。1921年11月，青年团临时章程中明确规定：在“正式团的中央机关未组成时，以上海团的机关代理中央职权”。中国社会主义青年团中央机关旧址，是一幢建于1917年的石库门建筑。1961年3月4日，由中华人民共和国国务院公布为全国重点文物保护单位。2004年修复后对外开放。,0,0,1,,,,
2,4742296636229140,上海静安,2022-03-01 19:44:48,【潮流文化结合红色文化，大沽路即将焕新！】#关注静安# 大沽路堪称南京西路商圈最“红”后街，一侧是中共二大会址纪念馆，另一侧是中国社会主义青年团中央机关遗址。3月1日，第二届上海青年知行计划·城市微更新设计大赛启动仪式在大沽路室外广场举行，旨在通过凝聚青年智慧，从空间上、精神上打造一条党建带团建的薪火相传、初心传承之路。上海团市委副书记邬斌出席启动仪式……详情见：潮流文化结合红色文化，大沽路即将焕新！  上海静安的微博视频,0,0,1,,,,
