页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4819330535526305,警民直通车-上海,2022-09-30 09:30:01,#公安心向党 护航新征程##全国各地烈士陵园祭扫# 【开展烈士纪念日公祭活动】近日，金山分局治安支队前往金山区烈士陵园开展英烈祭扫活动，缅怀革命先烈，传承红色基因。金山警务百事通的微博视频 ,82,118,211,,,,
1,4639021390630967,新京报我们视频,2021-05-20 20:05:51,【#上海金山火灾牺消防员汤佳伟安葬#烈士陵园】5月20日，上海金山火灾牺牲消防员汤伟佳烈士骨灰安葬仪式在龙华烈士陵园举行。母亲伤心过度晕倒在儿子骨灰盒前。4月22日，金山区一电子科技公司发生火灾，消防员汤伟佳不幸牺牲。4月26日，上海市政府评定汤伟佳为烈士。 新京报我们视频的微博视频 ,2,7,52,,,,
1,4653467535410158,上海长安网,2021-06-29 16:49:40,#逐梦百年# 【33名烈士鲜血 铸就红色金山】金山区烈士陵园的前身名为“漕泾33烈士墓”，解放战争时期，33名英勇烈士们为漕泾的解放作出了巨大牺牲。陵园中还存放着“枫泾暴动”牺牲烈士和和平年代舍身救人的英烈们的墓碑。作为守护人民平安的卫士，我们也誓将“红色基因”融入到公安血脉中，传承先烈之意志，奋勇前进，严厉打击各类违法犯罪行为，守护一方百姓之平安。 金山警务百事通的微博视频,44,24,31,,,,
1,4726204407744403,淮南帮,2022-01-16 10:00:02,淮南 #淮南生活# 【魂归故里！淮南救火英雄余向红“回家”！】2021年4月22日，上海市金山区胜瑞电子科技（上海）有限公司发生火灾，寿县板桥镇余向红在参与搜救过程中不幸遇难。经上海市人民政府评定为烈士。1月15日，余向红烈士将安葬在寿县小甸革命烈士陵园，余向红烈士将长眠于此。via 寿县人,12,24,56,,,,
1,4819362483277827,新民晚报新民网,2022-09-30 11:36:58,【#上海首次为5位烈士颁授光荣证#】今天是国家第9个烈士纪念日，上午，上海市首次颁授《烈士光荣证》仪式，在龙华烈士陵园举行。此次被授予《烈士光荣证》的5位烈士中，丰晨敏、汤伟佳、余向红、戚朋涛4位烈士，在2021年4月22日金山区胜瑞电子科技有限公司火灾事故中，为救援被困群众英勇牺牲；上海知青袁志刚烈士，于1980年8月15日在大兴安岭呼中区为抢救落水群众不幸牺牲。烈士袁志刚42年前牺牲时，女儿袁雁卿才4岁，今天她来到现场接受烈士证，仍然难掩激动。“父亲牺牲后这么多年，被追认为烈士，这对我们亲属来说，是很大的告慰。在今天这个时代，我们还是要多倡导见义勇为的精神，看到别人有难时，要勇敢地去帮助解决，哪怕献出自己的生命！”袁雁卿说。#烈士纪念日向人民英雄献花篮#新民晚报 新民晚报新民网的微博视频,1,1,14,,上海,上海,中国
1,4951684907010537,金山传播,2023-09-30 14:59:02,今天是烈士纪念日，上午，我区在区烈士陵园举行升国旗和向人民英雄敬献花篮仪式暨主题教育“以学铸魂”专题联组学习。金山区党政军领导，各民主党派、人民团体负责人和全区各界代表，以及上海石化、公卫中心、中核五公司、上海蓝滨相关领导，一起怀着无比崇敬的心情，来到区烈士陵园，向人民英雄敬献花篮，缅怀革命先烈、弘扬英雄精神、传承红色基因。 今天，金山各界致敬英烈丨主题教育,0,0,1,,,浙江,中国
1,4951237545165493,金山分局治安支队,2023-09-29 09:21:23,#公安心向党 护航新征程##全国各地烈士陵园祭扫#【缅怀先烈 致敬英雄】 近日，金山分局治安支队民辅警前往金山区烈士陵园开展英烈祭扫活动，铭记先烈丰功伟绩，传承红色基因。 金山分局治安支队的微博视频 ,0,1,0,,,上海,中国
1,4912089745327930,金彩庄行发布大厅,2023-06-13 08:42:00,#红色教育基地活动#吕桥村组织党员参观红色教育基地活动为缅怀革命先烈，赓续红色血脉，汲取信仰力量，6月10日，吕桥村组织全体党员同志参观金山区烈士陵园、朱学范故居。进一步涵养了党员们的家国情怀，厚植为人民服务的坚定信念，同时珍惜今天来之不易的安定生活，以史为鉴，展望未来。 ,0,0,0,,上海,上海,中国
1,4898352036839457,江川社情,2023-05-06 10:53:14,#江川居委动态#【 缅怀革命先烈，传承革命精神】#瑞丽#        为追随英雄足迹，继承先烈遗志，弘扬民族精神，增强历史责任感和使命感，瑞丽社区于5月5日组织志愿者、楼组长参观金山烈士陵园。金山区烈士陵园位于漕泾镇东海村镇南2042号，是一个集纪念、缅怀、教育、宣传等多功能为一体的爱国主义教育基地。大家在讲解员的引导下，怀着无比崇敬的心情缅怀先烈。烈士陵园最初为1950在漕泾海滩牺牲的33位烈士而建，大楼建筑面积2115平方米，以图文展板、雕塑、半景画等，运用多媒体技术展现了金山英烈的丰功伟绩，教育人们缅怀先烈，珍惜现在的幸福生活。战火硝烟早已散去，但烈士英灵常在。通过开展这场缅怀之旅，学习之旅，大家都充分感受到革命先辈奋斗的艰辛，让我们致敬革命先辈，汲取奋进力量，传承红色基因。,10,9,12,,上海,上海,中国
1,4886810675121802,警民直通车-上海,2023-04-04 14:32:00,#2023清明祭英烈#【清明祭扫寄哀思 缅怀先烈承遗志】近日，金山分局张堰派出所组织民警、辅警到金山区烈士陵园开展清明祭扫活动。虽然革命英烈已离去，但烈士们忠于职守、勇于献身的精神永远值得学习。通过此次活动，进一步引导民辅警学习革命先烈坚定的政治立场，勇于担当的责任意识，把爱党、爱国、爱民的情怀转化为实际行动。金山警务百事通的微博视频,117,5,164,,上海,上海,中国
1,4819409678110334,上海徐汇发布,2022-09-30 14:44:30,【#上海首次为5位烈士颁授光荣证#】今天是国家第9个烈士纪念日，上午，上海市首次颁授《烈士光荣证》仪式，在龙华烈士陵园举行。此次被授予《烈士光荣证》的5位烈士中，丰晨敏、汤伟佳、余向红、戚朋涛4位烈士，在2021年4月22日金山区胜瑞电子科技有限公司火灾事故中，为救援被困群众英勇牺牲；上海知青袁志刚烈士，于1980年8月15日在大兴安岭呼中区为抢救落水群众不幸牺牲。烈士袁志刚42年前牺牲时，女儿袁雁卿才4岁，今天她来到现场接受烈士证，仍然难掩激动。“父亲牺牲后这么多年，被追认为烈士，这对我们亲属来说，是很大的告慰。在今天这个时代，我们还是要多倡导见义勇为的精神，看到别人有难时，要勇敢地去帮助解决，哪怕献出自己的生命！”袁雁卿说。#烈士纪念日向人民英雄献花篮#新民晚报 上海徐汇发布的微博视频,1,0,4,,上海,上海,中国
1,4819405713969305,金山传播,2022-09-30 14:28:45,今天（9月30日）是我国第九个烈士纪念日。上午，金山区在区烈士陵园举行升国旗和向人民英雄敬献花篮仪式。金山区党政军领导，各民主党派、人民团体负责人和全区各界代表一起怀着无比崇敬的心情，来到区烈士陵园，向人民英雄敬献花篮，缅怀革命先烈、弘扬英雄精神、传承红色基因。#我会好好爱护你浴血守卫的山河# #今日鲜花祭英魂# 今天，向英烈致敬！,0,0,1,,上海,上海,中国
1,4801228191830571,设定控主页,2022-08-11 10:37:46,目前推荐的上海数字博物馆，上海博物馆、 上海市历史博物馆、上海天文馆、中共第一次全国代表大会纪念馆（高清推荐）、龙华烈士陵园、中国证券博物馆、金山区博物馆、鲁迅纪念馆（在维护）。 ,8,0,6,天津,天津,天津,中国
1,4726319395373732,最淮南,2022-01-16 17:36:56,#淮南生活# 【魂归故里！淮南救火英雄余向红“回家”！】2021年4月22日，上海市金山区胜瑞电子科技（上海）有限公司发生火灾，寿县板桥镇余向红在参与搜救过程中不幸遇难。经上海市人民政府评定为烈士。1月15日，余向红烈士将安葬在寿县小甸革命烈士陵园，余向红烈士将长眠于此。via 寿县人 ,0,1,0,,,,
2,4648282409928688,松江叶榭,2021-06-15 09:25:50,为庆祝建党100周年，扎实推进党史学习教育深入开展，上海叶榭投资开发有限公司（以下简称“投资公司”）党支部在“七一”建党节来临之际，组织支部全体党员于6月11日前往金山区烈士陵园参观学习。【学党史 悟思想】感受红色情怀 追忆革命精神 ,0,0,0,,,,
2,4628007559632209,上海金山检察,2021-04-20 10:40:49,缅怀先烈重温历史 护航青春重塑“未”来为更好地缅怀先烈，传承发扬革命精神，加强对罪错未成年人的教育感化，金山区院未检组与青少年社工携手举办“缅怀先烈 重塑未来”的祭扫及团体辅导活动。活动伊始，检察官联合社工带领未成年人来到金山区烈士陵园，在毛泽东同志手书的“为人民而死虽死犹荣”纪念碑前，7名未成年人进行了庄严肃穆的哀悼，并向烈士墓敬献寄托着哀思的白菊花。之后，检察官带领同学们参观了金山烈士纪念馆，从枫泾暴动的陆龙飞到投身中国共产党的李一谔，从革命抗战到抢险救灾，通过了解金山革命历史上的烈士事迹，追忆先烈，缅怀历史。参观完金山区烈士陵园，检察官带领同学们开展团体辅导活动，来自不同区域的未成年人彼此并不相识，为营造轻松氛围，减少抵触心理，检察官组织大家先以“你画我猜”、“你做我猜”的小游戏开场，轻松愉快的氛围，让同学们很快融入其中。在团体辅导环节，检察官借助“真心话大冒险”的小游戏让大家敞开心扉，畅所欲言。通过互动问答、交流分享、分组游戏等方式，检察官让同学们在群体交往中学会观察、学习、体验，通过增强他们与同龄朋辈之间的正面联结，让他们学会正确认识自我，学会调整和改善与朋友、家人等的关系，恢复社会功能，让青春重新焕发光彩。缅怀，重温，寄语，前行，通过此次活动，不仅让同学们深刻认识到未成年人作为祖国栋梁，须铭记血与泪的历史，感恩先辈为现今强大祖国、和平生活所付出的一切，同时也让他们接受了一次自省自励的心灵洗礼，重新审视自我，反思过去，对未来也有了更深刻的思考。,0,0,0,,,,
2,4621868689002067,金山分局象州路派出所,2021-04-03 12:07:08,#清明祭英烈# 近日，象州路派出所来到金山区烈士陵园开展祭扫，缅怀革命先烈，传承红色精神。@警民直通车-上海 @金山警务百事通 ,0,1,0,,,,
2,4621191958237095,警民直通车-上海,2021-04-01 15:18:03,#致敬公安英雄##2021清明祭英烈#【翠柏青松伴英烈 清明祭扫寄哀思】金山公安分局青年民警们来到金山区烈士陵园举行祭扫仪式，并参观了烈士纪念馆。时间的长河流淌不息，却冲不淡我们对革命英烈的缅怀。铭记，是为了更好的前行！致敬！@金山警务百事通 ,231,268,299,,,,
2,4421903042801044,金山传播,2019-09-29 16:55:03,9月29日上午，烈士纪念日前夕，金山区庆祝新中国成立70周年升国旗和向人民英雄敬献花篮仪式在金山区烈士陵园隆重举行。区领导赵卫星、胡卫国、杜治中、王美新、刘健等，市委第五巡回指导组副组长赵英，同社会各界人士代表一起出席仪式，向人民英雄敬献花篮！ ,0,0,2,,,,
2,4356984524394940,上海金山教育,2019-04-03 13:32:02,#祭奠英烈#【清明祭扫】缅怀革命先烈，传承红色精神，清明节，漕泾中小幼学生走进位于漕泾镇南的金山区烈士陵园，祭奠英雄。在革命烈士纪念碑前，师生们列队向革命英烈默哀致敬，敬献花篮，深切表达对英烈们的无限哀思和崇高敬意。在金山烈士纪念馆，师生们重温历史，追忆为国献身的铮铮铁骨，感受革命先烈的精神力量。,0,0,2,,,,
2,4076153285169927,上海规划资源,2017-02-17 14:48:57,【金山区规土局开展“两学一做”参观学习活动】#业务动态#为深入开展“两学一做”学习教育活动，丰富学习形式，日前，金山区规土局组织局系统全体党员、入党积极分子（申请人）赴松江区烈士陵园、泰晤士小镇规划展示馆进行参观学习。通过参观学习，金山区规土系统广大党员进一步坚定了理想信念，强化了宗旨观念，激发了干事创业的热情。大家都表示会在推动金山区的规划土地管理工作过程中，更加积极主动，敢于担当和作为，为加快推进“三个金山”建设做出更大贡献.,0,0,0,,,,
