页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4153642666228828,南昌发布,2017-09-19 10:44:05,【南昌的红色印记——陈云旧居】#江西红色故事微博接龙##美丽江西秀天下##秀美江西#陈云，伟大的无产阶级革命家、政治家，杰出的马克思主义者，中国社会主义经济建设的开创者和奠基人之一。陈云于1969年10月22日抵达南昌，后被安排住进福州军区青云谱干休所（现省军区第一干休所）8号房。在南昌，陈云的“工作”是到位于干休所北邻的江西化工石油机械厂（现江西锅炉化工石油机械联合公司）“蹲点”。期间，陈云曾于1971年9月到新余和萍乡，考察了新余钢铁厂、焦化厂和江西钢厂、萍乡钢铁厂，又到安源参观了安源纪念馆和毛泽东、朱德在安源的住所。陈云对江西的农业生产也很关心，于1971年5月到南昌县罗家公社，视察了胡家大队和公社农科所。后又到南昌县八一公社淡溪大队考察。陈云指示社、队干部要发展生产，只有生产发展了，才能提高大家的生活水平。陈云旧居基本保持了原来的陈设，陈列了陈云同志及工作人员用过的家具等物品，共27种126件。同时，通过旧居广场、铜像、场景复原、专题展览、影视播放，再现陈云在青云谱期间生活、学习、工作的场景；展示了陈云在长达70余年的革命生涯中为中国革命、建设、改革各个历史时期建立的不可磨灭的功勋；表达了江西人民对老一辈无产阶级革命家的无比崇敬和爱戴。@南昌青云谱发布 @南昌市旅发委 @江西发布 @民生江西,24,14,15,,,,
1,4285632651580982,悠游吉林,2018-09-18 16:05:10,#青春相约红色吉林# 红色旅游行·大学生筑梦之旅的同学们抵达了震惊中外的“四保临江”战役的所在地临江市。同学们跟随讲解员参观了陈云同志的旧居，陈云将军在这里指挥了“四保临江”战役，这里是陈云同志工作和战斗过的地方，陈云同志旧居是国务院重点文物保护单位。 吉林省旅游发展委员会的秒拍视频 ,13,6,6,,,,
1,3932009884152745,上海青浦消防,2016-01-16 20:34:32,青浦区十大场所及周围50米禁放烟花爆竹1 青浦区人民政府、青浦区人民法院、青浦区人民检察院、各镇人民政府、各街道办事处等政府机关驻地；2 泖塔、陈云旧居等市级文物保护单位，课植园、涵大隆酱园、大清邮... #烟花爆竹#青浦消防提醒☞遵守烟花限放规定 争做文明守法市民 ,9,3,2,,,,
1,3737371897597941,新浪江西,2014-07-28 18:12:40,#江西红色游景点#【八一建军节 南昌红色游走起】第87个八一建军节要来啦，@江西发布 整理了南昌著名的红色旅游景点：①江西革命烈士纪念堂；②方志敏烈士陵园；③小平小道；④新四军军部旧址；⑤朱德旧居；⑥贺龙指挥部；⑦叶挺指挥部；⑧南昌起义纪念馆；⑨陈云故居……家乡的红色景点，你去过几个？ ,16,10,10,,,,
1,4993038629474222,新宾宣传,2024-01-22 17:43:58,“红旗漫卷黑土地—东北解放战争红色故事汇”作品展播（五十三）陈云旧居纪念馆《一锤定音》#追寻先烈足迹辽宁在行动#  辽沈战役纪念馆的微博视频 ,0,0,0,,抚顺,辽宁,中国
1,4991896579739214,网信南票,2024-01-19 14:05:52,“红旗漫卷黑土地—东北解放战争红色故事汇”作品展播（四十六）陈云旧居纪念馆《呕心沥血干革命 鞠躬尽瘁为人民》#追寻先烈足迹辽宁在行动#辽沈战役纪念馆的微博视频 ,4,0,0,,葫芦岛,辽宁,中国
1,4982837395066111,网信锦州,2023-12-25 14:07:54,#追寻先烈足迹辽宁在行动#“红旗漫卷黑土地—东北解放战争红色故事汇”作品展播（四十一）陈云旧居纪念馆《亲赴南满 危中脱险》#红色锦州英雄之城##辽沈战役胜利暨东北解放75周年#辽沈战役纪念馆的微博视频 ,2,0,0,,锦州,辽宁,中国
1,4930961344823541,悠游吉林,2023-08-04 10:31:00,#白山松水寻红季##红色吉林# 陈云旧居纪念馆是系统展示陈云生平业绩的传记性专馆，是全国廉政教育基地之一，2000年6月6日建成开馆。在陈云旧居陈列馆内，一件件实物、一幅幅照片，清晰再现了陈云同志在江西两年零七个月岁月中的思想和实践，展现了一代伟人陈云同志的思想品德和优良作风。地址：吉林省白山市临江市临江林业局院内,0,0,0,,长春,吉林,中国
1,4913736109787769,四川森林消防,2023-06-17 21:44:04,长征精神永不忘 红色基因代代传。四川森林消防再一次来到这个红军战斗过的地方，深入灵关陈云出川史实陈列馆、陈云旧居、红军长征翻越夹金山纪念馆、红军广场烈士纪念碑以及毛泽东、周恩来、朱德旧居等红色教育基地现场教学，进一步了解“三越夹金山”的历史背景和史实，深刻领会革命先烈不屈不挠的勇士精神。四川森林消防 四川森林消防的微博视频,1,0,9,,成都,四川,中国
1,4904253065531355,江西省社会科学院微博,2023-05-22 17:41:50,　　为深入开展学习贯彻习近平新时代中国特色社会主义思想主题教育，强化党员理论学习与实践体验，5月19日下午，年鉴处党支部全体党员前往南昌市陈云旧居陈列馆开展“红色走读悟初心 忠诚担当勇争先”主题党日活动。  　　活动中，全体党员在讲解员的带领下，先后参观了陈云旧居陈列馆，展厅里的图片、文献、实物和影音资料生动展现了陈云同志波澜壮阔的革命经历，使大家亲身感受共产党人为人民谋幸福、为民族谋复兴的革命奋斗精神，增强党员献身伟大事业的意志和决心。　　活动结束后，大家表示，在今后工作中要继承革命先辈的优良作风，赓续红色血脉，增强责任感和使命感，立足自身岗位，扎实工作，埋头苦干，勇于创新，锐意进取，为推动全省地方志事业高质量发展建立新功。,0,0,0,,南昌,江西,中国
