页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4825504965723005,上海杨浦,2022-10-17 10:25:00,#小杨带你看新闻# 【梦想再起航：上海党员干部，如何踏上新的“赶考”？】可以有很多种颜色来形容上海。但红色无疑是其中最重要的一种。1921年7月23日，中国共产党第一次全国代表大会在这里召开，中国历史最为波澜壮阔的征程从这里出发。一个世纪后，太平湖畔，新落成的中共一大纪念馆与一大会址隔街相望，成为火热的红色新地标。,0,0,0,,上海,上海,中国
2,4825161775710954,云南网,2022-10-16 11:41:17,【云南各地各界干部群众收听收看党的二十大开幕会盛况】红河哈尼族彝族自治州蒙自市，中共云南第一次代表大会会址查尼皮，当地干部群众正集中收听收看中国共产党第二十次全国代表大会开幕会。#二十大时光#（云南网通讯员 曹凡喜） ,1,0,0,,昆明,云南,中国
2,4824168702677807,天津市场监管,2022-10-13 17:55:10,【带您读懂中国共产党历次全国代表大会】来源：光明网1921年7月23日晚，中国共产党第一次全国代表大会在上海正式开幕。出席大会的代表13人，代表全国50多名党员。中共一大会址1922年7月，中国共产党第二次全国代表大会在上海召开，出席大会代表共12名，代表全国195名党员。之后截止到建国前，中国共产党又召开了中共三大、四大、五大、六大、七大，由于战争等因素，会议地点从广州、上海到武汉，从莫斯科到延安，出席大会人数和党员人数与日俱增。中共七大的时候，共有代表755人，代表全国121万党员。建国之后，历次党代会均在北京，并且逐渐开始形成了每5年举行一届的传统。今年，中国共产党第二十次全国代表大会召开在即，代表选举工作已经顺利完成。全国各选举单位分别召开党代表大会或党代表会议，共选举产生了2296名出席党的二十大代表。从一大到二十大、从南湖红船到人民大会堂、从13名党代表到两千多名党代表、从50多名党员到世界第一大执政党……今天，一个历经风雨洗礼的百年大党，发挥千锤百炼铸就的独特优势，正以永不懈怠的精神状态、一往无前的奋斗姿态，为实现中华民族伟大复兴而扬帆远航、砥砺前行。2022年10月16日，中国共产党第二十次全国代表大会将在北京开幕，让我们共同期待！ 天津市场监管的微博视频,3,0,1,,天津,天津,中国
2,4808811271946257,三秦学子,2022-09-01 08:50:12,#三秦青年三下乡##2022暑期“三下乡”社会实践# @西安交通大学【探寻建党之源，传承初心使命】 恰逢中国共产主义青年团成立100周年，为寻访红色之旅，探索中国共产党人的精神家园，感受中国共产党激昂的开篇，西交筑梦实践队于八月中旬前往参观位于上海市的中国共产党第一次全国代表大会会址（主址）以及中共一大纪念馆。在馆内的史迹陈列面前，队员们感受到了党的建设初期的艰难不易与复兴民族国家的决心，亲身感受到了肩负于自身的历史责任感与使命感。   此外，实践团队还通过发布线上问卷、采访中共一大纪念馆党员志愿者等方式，调研了当今社会大众对中国共产党党史的了解情况及学习意愿，并进行了线上和线下宣讲，以实际行动为党史的普及与宣传贡献了自己的力量。,0,0,1,,,陕西,中国
2,4798683847330442,云南日报,2022-08-04 10:07:27,#全国著名作家看云南#【作家团走进中共云南一大会址】8月4日，“全国著名作家看云南”文学采风活动走进中国共产党云南第一次代表大会会址查尼皮。查尼皮位于蒙自城东25公里处，1928年10月13日至14日期间，为及时指导新形势下的革命斗争，云南党组织决定在查尼皮村党员李开文家的茅草屋里召开“中共云南第一次代表大会”，有来自蒙自、昆明、易门、马关、石屏的17名农民、工人、学生、知识分子、教员等组成的代表参加了本次会议。这是中共云南地方组织在地下党活动时期召开的唯一一次全省性党员代表大会，是中共云南地方组织史上具有重大意义的会议。会址历经2000年、2014年两次扩建，已由原来的文物保护单位、爱国主义教育基地变为享誉州内外的红色旅游革命胜地。（云南网记者 赵岗 夏方海）,0,0,1,,昆明,云南,中国
2,4786462886990257,博白检察,2022-07-01 16:45:43,"【喜迎二十大·党建基层行之&quot;七一&quot;特别报道|检察长共话革命根据地的检察故事】1921年7月23日,中国共产党第一次全国代表大会在上海开幕。 　　2017年10月,习近平总书记带领中共中央政治局常委专程瞻仰上海中共一大会址,回顾建党历史,重温入党誓词,从我们党诞生的地方寻找继续前进的精神动力。 　　2021年6月,中共一大纪念馆建成开馆。这里是中国共产党梦想起航的地方,也是中国共产党人的精神家园。中国共产党一经诞生,就把为中国人民谋幸福、为中华民族谋复兴确立为自己的初心使命。 　　欲知大道,必先为史。身处党的诞生地、初心始发地,红色基因深深融入每一个黄浦检察人的血脉。全院干警坚定理想信念,砥砺初心使命,不断增强“四个意识”、坚定“四个自信”、做到“两个维护”,自觉在思想上政治上行动上同党中央保持高度一致。 （检察日报）喜迎二十大・党建基层行之&quot;七一&quot;特别报道|检察长共话革命根据地的检察故事",0,0,0,,玉林,广西,中国
2,4785715285592606,CGTN西班牙语频道,2022-06-29 15:15:01,"【沿着中国共产党走过的足迹：走进中共一大纪念馆 感悟党的初心与使命｜Salón Conmemorativo del Primer Congreso Nacional del Partido Comunista de China】中共一大纪念馆地处上海市黄浦区，由中国共产党第一次全国代表大会会址、宣誓大厅、新建展馆等部分组成。Situado en el distrito de Huangpu de Shanghai, China, el Salón Conmemorativo del Primer Congreso Nacional del Partido Comunista de China (PCCh) está formado principalmente por la sede del Primer Congreso Nacional del PCCh, la Sala de Juramento y el nuevo pabellón de exhibiciones. Más: 网页链接",2,1,1,,北京,北京,中国
2,4770979240742178,文明三门峡市第三中学,2022-05-19 23:19:14,#学海拾贝# [外国邮票上的中国共产党第一次全国代表大会会址] 1921年，13名中共一大代表在上海石库门内酝酿“开天辟地的大事变”，会议被迫中断，转移到浙江嘉兴南湖一叶小船上，继续发出铿锵有力的声音：“中国共产党万岁！”除中国外，其他国家也曾多次发行邮票，纪念中国共产党第一次全国代表大会的召开。#豫见新一代# 外国邮票上的中国共产党第一次全国代表大会会址,1,0,6,河南,,河南,中国
2,4755688783612101,焦作大学团委,2022-04-07 18:40:25,#红色经典永流传# 中共一大纪念馆中国共产党第一次全国代表大会纪念馆，简称中共一大纪念馆，是中国共产党的诞生地。会址位于上海市兴业路76号（原望志路106号），是一幢沿街砖木结构旧式石库门住宅建筑，坐北朝南。中国共产党第一次全国代表大会于1921年7月23日至7月30日在楼下客厅举行。中共一大会址在1952年后成为纪念馆，1959年5月26日公布为上海市文物保护单位。1961年被国务院列为第一批全国重点文物保护单位。1997年6月成为全国爱国主义教育示范基地。2016年9月入选“首批中国20世纪建筑遗产”名录。,1,0,2,,,,
2,4749049942512562,汉中市文化和旅游局,2022-03-20 11:00:02,#第一批全国重点文物保护单位#【中国共产党第一次全国代表大会会址纪念馆】中国共产党第一次全国代表大会会址纪念馆（现上海市兴业路76号，原望志路106号）是一栋上海典型石库门式样的建筑。俄国十月革命的胜利、马克思主义的传播、“五四”运动的发展，为中国共产党的成立做好了准备。1920年秋至1921年春，上海、北京、长沙、济南等地的共产主义小组纷纷成立。1921年7月23日，中国共产党第一次全国代表大会在此举行，出席会议13人，代表全国53名党员，宣告中国共产党的诞生。为避开法租界巡捕房注意，最后一天（31日）大会转移到浙江省嘉兴县南湖的一条游艇上举行。大会通过了第一个党纲和工作任务决议，选举产生了党的领导机构。中国共产党第一次全国代表大会会址纪念馆是介绍中国共产党诞生史迹的革命旧址纪念馆，建于1952年，由“一大”会议室、中共创建史陈列室和革命史专题临时陈列室3部分组成。纪念馆内的家具与物品均按当年原样陈列。中共创建陈列室有历史文献、文物和照片170余件，陈列内容为中国共产党成立的历史背景、各地共产主义小组的产生及其活动、中国共产党的诞生。革命史专题临时陈列室曾分别举办过毛泽东、周恩来在上海的史料展览。中国新闻网的微博视频,1,0,1,,,,
