页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4829580973836275,青春北京,2022-10-28 16:21:36,瞻仰延安革命纪念地：弘扬伟大建党精神和延安精神！   （光明日报）#青春百年心向党##延安革命旧址是一本永远读不完的书##习近平带领中共中央政治局常委赴延安# 青春北京的微博视频 ,5,0,26,,北京,北京,中国
2,4829566852139738,青岛发布,2022-10-28 15:25:29,【习近平：#延安革命旧址是一本永远读不完的书#】“延安革命旧址见证了我们党在延安时期领导中国革命、探索马克思主义中国化时代化的光辉历程，是一本永远读不完的书。”“巍巍宝塔山，滚滚延河水。延安用五谷杂粮滋养了中国共产党发展壮大，支持了中国革命走向胜利。”习近平带领中共中央政治局常委赴延安，瞻仰延安革命纪念地。转存金句！（央视新闻）#30个知识点带你学习党章#,12,0,23,,青岛,山东,中国
2,4829549717888458,卓尼融媒,2022-10-28 14:17:24,习近平：延安革命旧址是一本永远读不完的书央视新闻客户端2022-10-28 05:00:00浏览量867432党的二十大闭幕不到一周，中共中央总书记、国家主席、中央军委主席习近平带领中共中央政治局常委李强、赵乐际、王沪宁、蔡奇、丁薛祥、李希，专程从北京前往陕西延安，瞻仰延安革命纪念地。监制丨李浙制片人丨王兴栋主编丨战星岑编辑&amp;制图丨徐啸校对丨高少卓责任编辑：赵汗青,0,0,1,甘肃,甘南藏族自治州,甘肃,中国
2,4829536447107344,坊子融媒,2022-10-28 13:24:40,习近平：延安革命旧址是一本永远读不完的书 网页链接  来源：央视新闻 山东潍坊坊子融媒：杨敏 ,6,0,7,,潍坊,山东,中国
2,4829533779788502,中国妇女报,2022-10-28 13:14:04,【习近平：#延安革命旧址是一本永远读不完的书#】“延安革命旧址见证了我们党在延安时期领导中国革命、探索马克思主义中国化时代化的光辉历程，是一本永远读不完的书。”“巍巍宝塔山，滚滚延河水。延安用五谷杂粮滋养了中国共产党发展壮大，支持了中国革命走向胜利。”#习近平带领中共中央政治局常委赴延安#，瞻仰延安革命纪念地。转存金句！,5,0,13,,北京,北京,中国
2,4829523880974172,共青团中央,2022-10-28 12:34:44,【不忘来时路！#习近平带领中共中央政治局常委赴延安金句#】“延安革命旧址见证了我们党在延安时期领导中国革命、探索马克思主义中国化时代化的光辉历程，是一本永远读不完的书。”“巍巍宝塔山，滚滚延河水。#延安用五谷杂粮滋养了中国共产党发展壮大#，支持了中国革命走向胜利。”从延安革命纪念地出发，向新征程奋进！,165,99,410,,北京,北京,中国
2,4829521712254012,央视军事,2022-10-28 12:26:07,【习近平：#延安革命旧址是一本永远读不完的书#】“延安革命旧址见证了我们党在延安时期领导中国革命、探索马克思主义中国化时代化的光辉历程，是一本永远读不完的书。”“巍巍宝塔山，滚滚延河水。延安用五谷杂粮滋养了中国共产党发展壮大，支持了中国革命走向胜利。”#习近平带领中共中央政治局常委赴延安#，瞻仰延安革命纪念地。转存金句！（央视新闻）,34,0,70,,北京,北京,中国
2,4829507465251358,解放军报,2022-10-28 11:29:30,【习近平：#延安革命旧址是一本永远读不完的书#】“延安革命旧址见证了我们党在延安时期领导中国革命、探索马克思主义中国化时代化的光辉历程，是一本永远读不完的书。”“巍巍宝塔山，滚滚延河水。延安用五谷杂粮滋养了中国共产党发展壮大，支持了中国革命走向胜利。”#习近平带领中共中央政治局常委赴延安#，瞻仰延安革命纪念地。转存金句！@央视新闻,19,0,62,,北京,北京,中国
2,4829506265416982,各界新闻网官微,2022-10-28 11:24:43,【沿着总书记的足迹·新闻多一点 | 杨家岭中央大礼堂：见证了具有重要里程碑意义的党的七大】　27日上午，习近平总书记带领中共中央政治局常委李强、赵乐际、王沪宁、蔡奇、丁薛祥、李希，瞻仰了中共七大会址。   中共七大会址即中央大礼堂位于陕西延安城西北的杨家岭革命旧址筹建于1940年，建成于1942年可容纳千余人，是一座中西合璧的建筑物，外表吸收了西式建筑风格，　内部采用窑洞的拱形结构，是当年延安唯一没有木梁和木柱的大型建筑物。   　1945年4月23日，党的历史上具有重要里程碑意义的中国共产党第七次全国代表大会在杨家岭中央大礼堂开幕。代表全国121万名党员的547名正式代表和208名候补代表参加会议，这是中国共产党第一次在自己修建的房子里召开代表大会。    今天的礼堂内部按七大会场原貌布置，主席台上方的标语是七大的政治口号，“在毛泽东的旗帜下胜利前进”，礼堂后墙“同心同德”四个大字，是毛泽东亲笔为七大题写的主题词。    党的七大是党在新民主主义革命时期召开的一次极其重要的全国代表大会，标志着我们党在政治上思想上组织上走向了成熟，党的七大在党的历史上具有极其重要的地位，为党后来不断从胜利走向胜利，指明了正确方向、开辟了正确道路。     　记者：贺占军、陈晨、张博文、李华、李浩　　 视觉 | 编辑：吴晶晶、唐兴         新华社国内部、新华社陕西分社联合出品网页链接,0,0,1,,西安,陕西,中国
2,4829501131854963,央视新闻,2022-10-28 11:04:20,【习近平：#延安革命旧址是一本永远读不完的书#】“延安革命旧址见证了我们党在延安时期领导中国革命、探索马克思主义中国化时代化的光辉历程，是一本永远读不完的书。”“巍巍宝塔山，滚滚延河水。延安用五谷杂粮滋养了中国共产党发展壮大，支持了中国革命走向胜利。”#习近平带领中共中央政治局常委赴延安#，瞻仰延安革命纪念地。转存金句！,1169,429,2871,,北京,北京,中国
3,4829484187126081,云南红河发布,2022-10-28 09:57:00,【习近平：延安革命旧址是一本永远读不完的书】党的二十大闭幕不到一周，中共中央总书记、国家主席、中央军委主席习近平带领中共中央政治局常委李强、赵乐际、王沪宁、蔡奇、丁薛祥、李希，专程从北京前往陕西延安，瞻仰延安革命纪念地。来源：央视新闻客户端（点击链接查看原文）习近平：延安革命旧址是一本永远读不完的书,0,0,0,,红河哈尼族彝族自治州,云南,中国
3,4829318217731033,央视新闻,2022-10-27 22:57:30,【#向着新的奋斗目标出发#】二十大闭幕不到一周，#习近平带领中共中央政治局常委赴延安#，瞻仰延安革命纪念地。总书记说，延安革命旧址是一本永远读不完的书，每次来都温故而知新。延安精神穿越时空、历久弥新，放到今天仍有非常丰富的时代价值和现实意义。他强调，要弘扬伟大建党精神和延安精神。沿着中国共产党人奋斗前行的足迹，回望历史，汲取力量、坚定方向。让我们踏上新征程，向着新的奋斗目标，出发！#主播说联播# 央视新闻的微博视频,455,306,1534,,北京,北京,中国
3,4829285070412688,卓尼融媒,2022-10-27 20:45:47,重温初心使命 传承红色精神——走进杨家岭革命旧址央视新闻客户端2022-10-27 17:06:47浏览量904666中共中央总书记、国家主席、中央军委主席习近平带领中共中央政治局常委李强、赵乐际、王沪宁、蔡奇、丁薛祥、李希，赴陕西延安瞻仰延安革命纪念地。10月27日上午，习近平等来到杨家岭革命旧址。杨家岭革命旧址曾是中共中央驻地，1938年11月至1947年3月，毛泽东等老一辈无产阶级革命家在此居住。在杨家岭期间，我们党召开第七次代表大会，确立了毛泽东思想的指导地位；开展延安整风运动，使全党达到空前团结和统一；发起大生产运动，实现“自己动手、丰衣足食”目标；召开延安文艺座谈会，吹响新民主主义先进文化号角；领导抗日民族统一战线，赢得全面抗战伟大胜利。监制丨申勇 冯旭宏策划丨史伟 王鹏飞记者丨卢心雨 潘毅摄像丨韩锐 陆泓宇航拍丨刘海涛 钱金库统筹丨闫岭 闫伸 刘建昌制作丨郭鹏责任编辑：杨亚澜,0,0,0,甘肃,甘南藏族自治州,甘肃,中国
3,4829265668083182,CCTV4,2022-10-27 19:28:41,【重温初心使命 传承红色精神——走进杨家岭革命旧址】中共中央总书记、国家主席、中央军委主席习近平带领中共中央政治局常委李强、赵乐际、王沪宁、蔡奇、丁薛祥、李希，赴陕西延安瞻仰延安革命纪念地。10月27日上午，习近平等来到杨家岭革命旧址。杨家岭革命旧址曾是中共中央驻地，1938年11月至1947年3月，毛泽东等老一辈无产阶级革命家在此居住。在杨家岭期间，我们党召开第七次代表大会，确立了毛泽东思想的指导地位；开展延安整风运动，使全党达到空前团结和统一；发起大生产运动，实现“自己动手、丰衣足食”目标；召开延安文艺座谈会，吹响新民主主义先进文化号角；领导抗日民族统一战线，赢得全面抗战伟大胜利。重温初心使命 传承红色精神——走进杨家岭革命旧址（来源：中央广播电视总台央视新闻）,1,0,10,,石家庄,河北,中国
3,4799114892545792,上海黄浦,2022-08-05 14:40:16,【感受先辈爱情，黄浦区七夕集体结婚颁证】8月4日是传统的七夕佳节，不少新人选择在这一天走进婚姻的殿堂。8月4日上午，黄浦区在中共中央政治局机关旧址（1928-1931）举行以“爱在黄浦，红色露天博物馆”为主题的2022年黄浦区结婚登记集体颁证仪式，三对新人在红色革命遗址感受了革命先辈们在革命生涯中忠贞不渝的爱情故事。（记者：刘惠明）,0,0,1,,上海,上海,中国
3,4752244052066655,解放军报,2022-03-29 06:32:17,【起床号】①3月28日下午，中共中央政治局召开会议，研究近期有关工作。会议开始时，经中共中央总书记、国家主席、中央军委主席习近平提议，出席会议的中共中央政治局委员等全体起立，向“3·21”东航MU5735航空器飞行事故遇难同胞默哀。②近日，第八批全国重点文物保护单位、人民空军东北老航校旧址（原称人民空军起飞遗址）保护展示工程荣获第三届全国革命文物保护利用十佳案例表彰，这标志着全军不可移动文物保护工作取得新成效。更多详情请点击↓↓  起床号,15,3,47,,,,
3,4729117712322965,东方日记本,2022-01-24 10:56:28,【红色故事·馆长说（52）：三年间，这座红色中枢见证了中国革命的风云变幻】云南中路171-173号，这里地处上海闹市区，紧邻天蟾逸夫舞台，曾是党的最高领导机关所在地，也是中共中央机关在上海使用时间最长的一处办公地。让我们走进中共中央政治局机关旧址（1928-1931年），聆听白色恐怖下红色中枢的故事。红色故事 | 馆长说（52）三年间，这座红色中枢见证了中国革命的风云变幻,0,0,0,,,,
4,4717987993224997,微扎西,2021-12-24 17:50:56,扎西镇江西会馆----中央政治局扩大会议旧址 【深化党史学习教育  探访红色革命遗址】扎西镇江西会馆----中央政治局扩大会议旧址 ,0,0,0,,,,
4,4715861975763915,李沧检察,2021-12-18 21:02:54,#党史日历##党史百年天天读#  1934年12月18日，中共中央政治局在贵州黎平召开会议，根据毛泽东的建议，通过决议，放弃到湘西北同红二、红六军团会合的计划，改向贵州北部进军。图为会议旧址。#那年·今日##党史上的今天##原汁原味读党史##党史# 陕西检察的微博视频 ,18,0,14,,,,
4,4682314501849147,网信南阳,2021-09-17 07:17:12,#山河岁月#【#你不了解的天蟾剧场#】天蟾舞台是上海历史最悠久的戏剧演出场所之一。直到近来大规模翻修这座剧场，才发现这里竟隐藏一道暗门，连通着隔壁的中共中央政治局机关旧址。1928年，这里表面上是一家布行“福兴商号”，实际上却是中央政治局开会的地方。一旦发现可疑迹象，参会者就可以从后门撤离，和剧场观众一同消失在人流中。#南阳网信学党史# @CCTV9纪录  CCTV9纪录的微博视频,0,0,0,,,,
4,4680945154920781,上海黄浦,2021-09-13 12:35:55,"【黄浦区部分红色场馆临时闭馆通知】#黄浦播报#受台风“灿都”影响,为确保市民、游客的安全,中国共产党发起组成立地(《新青年》编辑部)旧址、中共中央政治局机关旧址（1928-1931年）、又新印刷所旧址、中共上海区委党校旧址、复兴·颂将于9月14日（周二）临时闭馆，9月15日（周三）正常闭馆。已通过网络预约9月14日参观的团队观众，将有工作人员与您电话联系。",0,0,1,,,,
4,4672301759726387,上海三中院,2021-08-20 16:10:08,#教育整顿# 为深入推进党史学习教育，抓紧抓实队伍教育整顿学习教育，引导广大干警传承红色基因，学习和发扬革命斗争精神，8月19日，上海三中院（知产法院、铁路中院）组织参观中共中央政治局机关旧址（1928-1931年），党组书记、院长陈亚娟率班子成员、副处级以上领导干部参加。 上海三中院组织参观中共中央政治局机关旧址 ,0,0,0,,,,
4,4661861226385878,福建海博TV,2021-07-22 20:43:12,#八闽学习#【福建：省委常委会召开会议】省委书记尹力今天（22日）主持召开省委常委会会议，认真学习习近平总书记在中央政治局常委会会议听取中国共产党成立100周年庆祝活动总结报告时的重要讲话、向#第四十四届世遗大会# 致贺信的精神和关于革命文物旧址、对防汛救灾工作的重要指示要求，研究我省贯彻落实措施；听取省委和省政府工作检查各组情况和上半年经济运行情况汇报，研究分析经济形势；审议《加快推进福州地区大学城高质量发展三年行动计划（2021-2023年）》。会议还研究了其他事项。#防抗台风烟花# 省委常委会召开会议,0,0,1,,,,
4,4661442467599782,抚州乐安发布,2021-07-21 16:59:12,#党史学习教育# 【历史瞬间】7月16日 图为中共满洲省委旧址。1929年6月，中共中央政治局决定刘少奇任中共满洲省委书记。7月，刘少奇到达奉天（今沈阳）赴 ,0,0,0,,,,
5,4658576553417076,长沙政法频道,2021-07-13 19:11:05,#奋斗百年路 启航新征程·热血湘女#【长沙广电大型融媒体视听节目《奋斗百年路 启航新征程·热血湘女》第十三集：隐蔽战线杰出代表、红色巾帼朱端绶】在地处上海闹市区的云南中路上，有一排坐西朝东钢筋水泥结构的两层沿街楼房，它就是80多年前，中共中央政治局机关使用时间最长的一处旧址。它不但见证了惊心动魄的政治风云，还催生了一段浪漫的传世良缘。而这段传世良缘的主人公就是朱端绶、熊瑾玎。  长沙政法频道的微博视频,0,0,8,,,,
5,4654859795565964,北京消防,2021-07-03 13:02:01,#庆贺建党百年# #党史百年天天读# 1939年7月3日，中共中央政治局召开会议，讨论中央为纪念抗战两周年对时局宣言和致国民党意见书等文件。党史百年天天读 · 7月3日图为广州农民运动讲习所旧址 ,2,0,0,,,,
5,4651293099166389,陕西都市快报,2021-06-23 16:49:14,#陕西红色宝藏#【瓦窑堡革命旧址】瓦窑堡革命旧址，位于陕西省子长县（瓦窑堡）城内下河滩小东门，为一排五孔砖窑。1935年12月下旬在此召开了毛泽东主持的中共中央政治局会议，讨论了抗日民族统一战线等问题。12月27日毛泽东又在瓦窑堡城内天主堂作了《论反对日本帝国主义的策略》的报告，阐明了党的统一战线的根据，建立了抗日民族统一战线的理论基础。2016年12月，瓦窑堡革命旧址被列入全国红色旅游经典景区名录。,0,0,1,,,,
5,4650170907628047,石家庄文旅之声,2021-06-20 14:30:03,【西柏坡故事 | 这里是立规矩的地方】#石家庄身边事#在西柏坡中共中央机关旧址，有一间长方形、不足百平方米的土黄色平房，是当年中央机关的食堂，也是中共中央政治局9月会议会址。西柏坡时期，解放战争形势发生重大变化。小规模的游击战争过渡到大规模的战争，原本分散的根据地，变为统一的大解放区。战争形势的变化，要求在组织纪律方面作出相应的加强。为此，在九月会议上，毛泽东再次强调请示报告制度、强化纪律的重要性。  西柏坡故事 | 这里是立规矩的地方,0,4,4,,,,
5,4648314932822254,STV新闻透视,2021-06-15 11:35:03,【新闻透视：#革命旧址风云#（三）：隐蔽战线】在熙熙攘攘的福州路云南中路，天蟾逸夫舞台边的这扇小门里藏着的故事，你一定想不到。时光拨回至近百年前，在当时白色恐怖的艰难环境中，中共中央政治局机关，中共中央秘书处机关，中共中央特科机关等机构，身处逆境，忠于使命，留下一个个动人故事。《革命旧址风云》的最后一集，让我们去“五址”中的另外三个旧址，去了解那段惊心动魄的隐蔽战线上的斗争。 STV新闻透视的微博视频,0,0,4,,,,
5,4644106699801899,长江云新闻,2021-06-03 20:53:03,#红色印记荆楚行#【鄂南秋收暴动指挥部】旧址，位于赤壁市赤马港办事处莲花塘村三组的石家，是鄂南秋收暴动的指挥中心。1927年9月6日，时任中共中央政治局委员、长江局书记兼湖北省委书记罗亦农在这里召集鄂南六县负责人会议，发动了八七会议后湖北第一个大规模的农民起义。为何这次重要会议选在石家？赤壁市档案馆主任科员、党史专家黄海国为您解读。楚天交通广播的微博视频,0,0,0,,,,
5,4644005737926136,半两财经,2021-06-03 14:11:52,【探访中共一大会址，感知百年前的“觉醒年代”】上海黄浦区红色底蕴深厚，在中共一大会址周边坐落着众多的革命旧址，《新青年》编辑部、中共中央政治局旧址等，透过革命旧址和一件件真实的历史文物，让我们更加深刻地领悟到这段历史所蕴含的精神力量。 壹现场的微博视频 ,1,0,9,,,,
5,4643398827118980,逐浪新闻,2021-06-01 22:00:13,#红色印记荆楚行#【鄂南秋收暴动指挥部旧址】位于赤壁市赤马港办事处莲花塘村三组，是鄂南秋收暴动的指挥中心。1927年9月6日，时任中共中央政治局委员、长江局书记兼湖北省委书記罗亦农在这里召集鄂南六县负责人会议，发动了八七会议后湖北第一个大规模的农民起义。 ,0,0,1,,,,
5,4641564200011316,北京大兴,2021-05-27 20:30:04,【#我们一起学党史# 永远的丰碑——遵义会议】站在遵义市政府的后山上远眺，位于琵琶桥畔的遵义会议旧址恰似琵琶的弦枕，而86年前，琵琶桥畔的这支琵琶弹奏出了中国革命的经典乐章。1935年１月15日至17日，中共中央政治局在遵义召开扩大会议，着重总结了第五次反“围剿”失败的经验教训，并制定了红军尔后的任务和战略方针。会议决定红军渡过长江在成都之西南或西北地区建立根据地。会后，又根据敌情的变化，决定中央红军在川滇黔三省广大地区创造新的根据地。遵义会议还改组了中央领导机构，增选毛泽东为中共中央政治局常务委员。并决定取消“三人团”，仍由中革军委主要负责人朱德、周恩来指挥军事，周恩来为下最后决心的负责者。遵义会议结束了“左”倾教条主义错误在中央的统治，确立了毛泽东在红军和中共中央的领导地位。这些成果，是在中国共产党同共产国际中断联系的情况下独立自主取得的，标志着中国共产党在政治上开始走向成熟。遵义会议在中国共产党和红军的历史上是生死攸关的转折点。以毛泽东为核心的党中央，制定了一条正确的政治路线和军事路线，屡遭挫折的红军从此有了从胜利走向胜利的保证！戳视频，一起来追溯过去那段红色的记忆~#建党百年百日打卡# 北京大兴的微博视频,0,0,1,,,,
5,4639309636833264,育见新闻,2021-05-21 15:11:14,【赣州瑞金：红井圣地党旗红】举世闻名的红井位于江西省瑞金市沙洲坝村。1933年初，中央党、政、军、群机关集中驻扎在此1年零4个月，进行了治国安邦的伟大实践，因此沙洲坝村有了“红井圣地”的美誉。境内还有“二苏大”、中革军委、中央政治局等三十多处革命旧居旧址。在苏区时期至解放战争时期，沙洲坝儿女在党的领导下抛头颅、洒热血，投身到滚滚的革命和建设洪流之中，先后共有450多人参加革命，360多人为革命捐躯，有名有姓的烈士207人；认购革命战争公债和经济建设公债8400多元，支援粮食2300多担。#奋斗百年路# 网页链接,1,0,2,,,,
