页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4714607907701062,君口常开,2021-12-15 09:59:40,#苏大强# 【一所基层党校何以引起全国关注？】溧水区委党校位于南京南郊，是一所区级党校，如今已成为全国性重要会议和外地到南京学习培训争相选择的目的地。这个党校虽然规模不大，级别很低，但极具特色。校园坐落在无想山脚下，建筑风格上参酌古今，庄重优雅，拱圈连廊的设计来自遵义会议旧址，而红砖元素则取之于上海“一大”会址，彰显了党校鲜明的红色文化特征。学校环境优美，设施齐备，秩序井然，拥有一流的培训服务保障能力。该校还依托红色李巷、大金山国防园、铜山战斗纪念广场等区内红色教育资源拓展教育培训，形成了自己的办学特色，成为一所又红又火的基层党校！@海阔天空范sky @流年微博星 @江苏好网民 #苏大爱##苏大爱#,8,106,64,,,,
1,4432674988852873,南海发布,2019-10-29 10:18:55,#不忘初心# 【南海：坚持以问题为导向，推动主题教育取得扎实成效】在第二批“不忘初心、牢记使命”主题教育深入开展之际，昨日上午，市委常委、南海区委书记闫昊波深入区委主题教育办、中共南海县委旧址和丹灶镇委党校、仙岗村、“城西片区”改造项目开展“不忘初心、牢记使命”主题教育专题调研。网页链接,10,4,1,,,,
1,4996991893635148,橘子小姐9988,2024-02-02 15:32:49,"弘扬闽中革命精神 赓续红色血脉荔城区委党校在开展干部培训、理论宣讲、专题调研，发挥好党校职能作用的同时，积极选派教职工参与全区中心工作、重点工作。组织7名教职工在哲理钟楼（党团混合支部旧址）展馆、玉湖新城以及兴化府历史文化街区常态化开展义务讲解工作,2023年累计开展宣传解说182场次，受众约4713人次。  （荔城党校  宣）",0,0,0,福建,莆田,福建,中国
1,4958240112642657,老冯说,2023-10-18 17:07:05,读《寄情岁月》，有的文章写得真好。对延安党校的历史有了更多更深的了解。解放前的部分不够独立，解放后从陕北区委党校起，校名多次变更，校址先后驻地有清凉山、七里铺、马家湾、王家坪（原八路军总部旧址）、金盆湾、王家坪（原中国女子大学旧址）至今。,0,2,2,陕西,西安,陕西,中国
1,4927682490142905,通州发布,2023-07-26 09:22:00,【区委党校异地新建项目开工奠基】7月25日上午，区委党校举行异地新建奠基仪式。2019年4月党校旧址被鉴定为危房，整体搬迁至妇儿中心临时过渡，学校培训学制班次、组训调训等工作受到了一定程度的制约。区委党校新址位于通州中医院新址西侧地块，占地面积约55.2亩，总投资约3.9亿元。建成后将满足全区57000余名党员轮训、1000余名领导干部培训需求。,0,0,0,,南通,江苏,中国
1,4924999037881736,楷楷KK1214,2023-07-18 23:38:55,今天陪儿子参观了又新印刷馆和中共上海区委党校旧址，场馆虽然不大，但是能感受到浓浓的红色基因，为儿子的爱国情怀又埋下了深深烙印！儿子你很棒！ ,0,0,0,上海,上海,上海,中国
1,4924539597226696,上海规划资源,2023-07-17 17:13:15,【冠华里：中共上海区委党校旧址】#档案# 1926年11月，中共上海区委党校在今复兴中路239弄4号（原法租界辣斐德路冠华里）设立，对外挂牌“启迪中学”。学员均为区委所属江、浙地区及上海市区的基层党组织负责人，也有青年团干部，约三四十人，按地区分成若干个小组。详情点击【档案】冠华里：中共上海区委党校旧址 ,0,1,0,,上海,上海,中国
1,4924429740280626,萍乡安源发布,2023-07-17 09:56:44,区委书记李水清督导安源景区、安源党校旧址修缮提升设计工作网页链接 ,0,0,0,,萍乡,江西,中国
1,4914757575116724,两江交汇,2023-06-20 17:23:00,#江汉新闻#【在汉口宁波会馆旧址，江汉“拾光青年团”成立了】近日，江汉区委党校“90讲师团”与江汉区教育局“正青春江教团”签约结对，共同组建为“拾光青年团”，用青春的话语传播党的创新理论，讲好红色故事，为广大师生上好一堂大思政课。（大武汉客户端）网页链接 ,0,0,0,,武汉,湖北,中国
1,4890115954970914,裕安区人民政府发布,2023-04-13 17:26:00,【中国太平保险（澳门）股份有限公司来我区开展学习交流活动】4月7日-10日，中国太平保险集团境外机构太平澳门副总经理陈日湘带队来我区开展学习交流活动。副区长黄建伟，区委党校、区教体局、石板冲乡等有关负责同志陪同或参加相关活动。      太平澳门一行先后前往淠史杭工程展览馆、独山革命旧址群、六安瓜片茶文化园、梅山水库、金寨县花石乡大湾村、集团帮扶项目伊甸园合作社油茶精炼中心参观学习，并向六霍起义纪念塔敬献了花篮。     此行，太平澳门积极参加消费帮扶活动，现场采购定点帮扶农副产品。此外还开展了捐资助学活动，向石板冲乡第二小学全体学生捐赠了运动服套装、运动鞋和体育用品，助力乡村教育振兴。,0,0,0,,六安,安徽,中国
