页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4031204884470006,上海发布,2016-10-16 14:00:03,【张闻天故居】#上海记忆#张闻天故居位于浦东新区施湾乡邓三村张家宅。1900年8月30日无产阶级革命家和理论家张闻天在此地出生。故居是一幢具有浦东农村传统风格的一正两厢的瓦房，前面有木亭，俗称“秀才亭”。 ,26,12,30,,,,
1,4546211371813906,浦东发布,2020-09-06 17:31:58,#浦东涨知识# 张闻天故居位于浦东哪个镇呢？  网页链接 ,0,0,204,,,,
1,3644914737162714,上海青年志愿者,2013-11-15 15:00:55,#志关注#近期，张闻天故居邀请久牵志愿服务社社长张轶超老师，为五十多位讲解员志愿者进行关于志愿精神传承的演讲。在场的大志愿者和小志愿者们都听得很仔细，还提了很多很有趣很有意义的问题。 ,5,2,0,,,,
1,4790866587421213,无锡eTV全媒体,2022-07-13 20:24:27,【东林书院、薛福成故居、秦邦宪故居、顾毓琇纪念馆、钱锺书故居、张闻天旧居明日起恢复开馆】1、2022年7月14日起#六场馆恢复开放# ，场馆开放时间为9:00-17:00(16:30停止入馆)。2、场馆入口处对游客进行“门铃码”、“行程卡”、核酸报告查验，体温检测，“门铃码”、“行程码”显示为“绿码”、持有 72 小时核酸阴性证明或 24 小时核酸采样证明且体温正常的游客方可进入场馆。#无锡疫情防控#,6,7,22,,,,
1,4715642438025611,斗山星辰,2021-12-18 06:30:32,#百年今锡 锡位出道# 【自在人文线乐游3号线】“无锡红”是乐游3号线“自在人文线”的主色调。乘坐乐游3号线，沿路串联起秦邦宪、张闻天、荣氏家族等传承红色基因的无锡名人遗迹。乐游3号线班次间隔40-50分钟，每日计划班次12个，途径惠山古镇、薛福成故居、阿炳故居、钱钟书故居、崇安寺景区、小娄巷历史文化街区、南禅寺景区、古运河游船码头、南长街历史文化街区等地。#遇见锡引力##我爱吾锡##行摄无锡# @无锡发布 @无锡市文广旅游局  @网信无锡@微博读城@锡山发布@无锡新吴在线@无锡滨湖发布@无锡梁溪发布,1,0,2,,,,
1,4452977047550259,玩乐上海,2019-12-24 10:52:03,【上海迪士尼边上的古镇，有空过去兜兜吧↓】#上海打卡季#  川沙新镇是中国历史文化名镇 ，隶属浦东新区，西靠黄浦江，东南端水域为长江与东海的汇合处。黄炎培故居、宋氏家族居住地、川沙天主堂、张闻天故居、川沙公园、川沙古城墙……有时间来逛逛吧~：浦东发布 上海  上海发布的秒拍视频,2,1,10,,,,
1,4248177458330198,浦东时报,2018-06-07 07:31:36,【本周六，浦东这4个地方免费开放！在你家附近吗？】6月9日是我国的“文化和自然遗产日”，国家文物局主题为“文化遗产的传播与传承”。本周六，97处文物建筑将免费对公众开放。其中浦东共有4处，分别是张闻天故居、黄炎培故居、陈桂春住宅和浦东开发陈列馆。还有全市97处全名单哦↓ ,11,0,6,,,,
1,4143218998201184,无锡市文广旅游局,2017-08-21 16:24:09,#人文无锡# 无锡汤巷45号，张闻天故居，位于无锡城中幽静的汤巷内，一幢西班牙式的红色、两层、三开间楼房，庭院植有白玉兰、石榴花、龙柏，把这里装点得格外葱茏。旧居小巧别致、清幽静谧，建筑占地面积约 500 平方米，红砖砌就的主楼南大门上方悬挂着薄一波题写的“张闻天旧居”匾额，楼前约 2 米处竖有张闻天汉白玉半身塑像。,5,2,4,,,,
1,4953230637798010,浦东时报,2023-10-04 21:21:13,【鹤鸣九皋，声闻于天，这个名人故居你去过吗？】浦东张闻天故居坐落在上海浦东东海之滨的祝桥镇邓三村，是一座一正二厢房庭园。总占地面积有13000平方米，建筑面积有2328平方米（其中故居部分为936平方米，陈列馆部分为1392平方米），是体验红色之旅、接受革命传统教育、品位江南农村民宅特色的理想去处。,0,0,0,,上海,上海,中国
1,4932954604702090,济南教育电视台,2023-08-09 22:31:30,7月15日，来自南京工程学院材料科学与工程学院的“红色遗产探寻之旅”成员前往上海市浦东新区张闻天故居参观学习，实践团队成员参观学习珍贵的历史图片和文物史料，深刻意识到青年一代作为新生代主力军，应该时刻铭记心中信仰，坚定不移听党指挥、跟党走，为建设社会主义现代化强国而不断努力奋斗。 ,0,0,2,,济南,山东,中国
