页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4789244054996016,新京报,2022-07-09 08:57:05,【#毛泽东香山旧居台灯上为什么盖块布# 听她讲述《照亮中国的光》】香山双清别墅曾是毛泽东进京后生活和工作的地方，双清别墅的办公桌上放着一盏台灯，台灯上却盖着一块布，很多游客游览至此都会发出疑问。@新京报 记者邀请北京人艺著名演员王斑重游香山双清别墅，游览中，首都金牌讲解员、香山公园讲解员姜楠为大家揭秘为何主席的台灯上盖着一块布？听她讲述《照亮中国的光》。#非凡十年# 新京报我们视频的微博视频,6,19,87,,,,
1,4441702540264340,青春上海,2019-11-23 08:11:11,【追寻红色足迹 传承红色基因 】今天，2019 年“党的诞生地”上海百万青少年#红色大寻访#城市定向赛(静安站)在静安公园正式开赛！参赛选手将以城市定向的方式，打卡中共二大会址、四行仓库、毛泽东旧居、刘长胜故居以及中国劳动组合书记部旧址，跟随坐标指引，翻阅历史画卷，缅怀革命先烈，在党的诞生地一起感悟初心。青年们，准备好了吗！@共青团中央,36,15,17,,,,
1,4450885058540080,湖北省博物馆,2019-12-18 16:19:13,#行走荆楚#【武汉农民运动讲习所旧址】武汉农民运动讲习所旧址位于湖北省武汉市武昌区红巷（旧称黉巷）13号，包括毛泽东旧居。是大革命时期国共两党合作创办的培养农民运动干部的学校。2001年，武汉农民运动讲习所旧址由国务院公布为第五批全国重点文物保护单位。1927年2月底，国民党中央执行委员会第七十六次会议，决定将湘鄂赣三省农民运动讲习所扩大为中国国民党中央农民运动讲习所，由中国国民党中央农民运动委员会管理。推定邓演达、毛泽东、陈克文担任常务委员，组成学校最高领导机构，毛泽东主持工作。当时许多著名的共产党员、国民党左派和知名人士如瞿秋白、李立三、恽代英、彭湃、方志敏、陈荫林、于树德、李汉俊、何翼人等在农讲所任教。1927年3月开学，有来自全国各地的学员八百余人，同年6月毕业，大多数被委任为农协特派员，到农村领导农民运动。武汉农民运动讲习所旧址原为清末湖广总督张之洞创办的北路学堂，大革命失败后一度为军队驻地，后一直为学校。旧址坐北朝南，有房屋四栋，占地面积13000平方米，建筑面积5110平方米。1958年筹建旧址纪念馆，1963年正式开放。毛泽东旧居位于武昌都府堤41号，距武汉农民运动讲习所约200米，是1927年上半年毛泽东主持农讲所工作并在武汉从事革命活动时的居所，也是毛泽东、杨开慧一家最后团聚的地方。旧居为一栋晚清庭院式民居建筑，坐东朝西，砖木结构，青砖灰瓦顶。面阔三间，进深四重。原建筑1954年因建武昌公园被拆除，1967年按原貌重建，内设有复原成列，对外开放。,4,1,15,,,,
1,4447515670172817,上城发布,2019-12-09 09:10:29,【有颜值还有故事！上城这些老建筑为你敞开大门，不来看看？】#关注#一个有历史文化底蕴的城市才具有吸引力，而古建筑犹如城市的一面镜子，映照出一座城市的历史风貌和人文底蕴。钱学森旧居、太平天国听王府、毛泽东视察小营巷纪念馆、胡宅、杭州绸业会馆……上期上城区小营街道的“老房子”为我们推开了历史记忆的大门，今日我们慢下脚步，走进“清波”，探访“湖滨”，再次感受一把“老城遗韵”。,33,32,29,,,,
1,4416475210840114,新京报我们视频,2019-09-14 17:26:47,【揭秘香山革命纪念地：毛泽东香山旧居双清别墅】9月13日，香山革命纪念地正式向公众开放。香山革命旧址是香山革命纪念地的重要组成部分。1949年3月25日，中共中央入驻香山后，毛泽东同志居住在双清别墅，1949年9月21日，毛泽东同志移居中南海菊香书屋。新京报我们视频的秒拍视频 ,3,7,47,,,,
1,4170097834897867,CGTN法语频道,2017-11-03 20:31:03,【《奥利弗游中国》系列——毛泽东旧居】Le tour de Chine d’Oliver: L’ancienne résidence de Mao Zedong. CGTN法语频道的秒拍视频 ,8,1,15,,,,
1,3610378145768175,央视网快看,2013-08-12 07:44:49,【强降雨致延安毛泽东旧居部分坍塌】7月初以来，罕见的持续强降雨致使陕西延安市内百余处文物旧址严重受损。毛泽东旧居的三孔窑洞后墙几乎完全被雨水浸透，部分已经坍塌。朱德旧居严重变形，用多根木头支撑。管理处主任说，朱德旧居已被专家鉴定为危房，目前已经出现坍塌迹象。（新华网）下图为资料图 ,67,49,7,,,,
1,3610228098570194,和讯网,2013-08-11 21:48:35,【强降雨致延安毛泽东旧居部分坍塌 朱德旧居严重变形】7月3日至今，延安遭遇持续多轮强降雨，总降水量为往年5倍达到百年一遇标准。目前毛泽东旧居的三孔窑洞后墙几乎完全被雨水浸透，部分已经坍塌，墙体上有多条裂缝。朱德旧居严重变形，用多根木头支撑。目前已现坍塌迹象。网页链接 ,35,35,6,,,,
1,3573903383126148,首都百万师生微党课,2013-05-03 16:07:09,【“读书石”前思读书】 井冈山大井毛泽东旧居门前，有一块大石头，当年毛泽东经常坐在石头上读书、看报、批阅文件、思考中国革命的命运和前程。如今人们亲切地称这块石头为“读书石”。像毛主席那样热爱学习，美好的“中国梦”就会早日实现。网页链接 转 ,10,0,2,,,,
1,4981740731370725,中国新闻网,2023-12-22 13:30:09,#小新在直播#【行走的思政课 | 武汉革命博物馆：寻访“中国第一红街”的先辈足迹】长江之滨、黄鹤楼下的一条街巷，坐落着武汉最负盛名的红色圣地——武汉革命博物馆。中共五大会址、毛泽东旧居、武昌农讲所、起义门、中国共产党纪律建设历史陈列馆集聚于此，被誉为“中国第一红街”。跟随武汉革命博物馆副馆长万玲上一堂思政课，在光影摇曳间回望风雷激荡的1927年，寻访英雄城市武汉的红色记忆。  中国新闻网的微博视频,8,22,29,,,,
