页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,5142377086583695,谢宗桓,Sun Mar 09 20:01:41 +0800 2025,3月7日，东莞市东华高级中学的学生们在收到#高中双休政策#通知后，兴奋大吼：“你知道我这三年怎么过的吗？三年的单休，解放了！” 谢宗桓的微博视频 ,46,305,1053,中国香港,福州,香港,中国
1,5143302378881657,忠贞不渝艾吉奥,Wed Mar 12 09:18:28 +0800 2025,网友对高中双休制的看法。  话说，山东、湖北、江苏的高中生们有没有一种突然解脱的感觉？ ,5,63,90,福建,南京,福建,中国
1,5143155101665209,三个老爸实验室,Tue Mar 11 23:33:14 +0800 2025,#强制下班是中国企业文化的进步#这绝对不是啥欧盟要求导致的，一天四个热搜，只有可能是国家要求搞了。 前两天还有另一个新闻#高中周末双休陆续落地# ，这两件事应该不是孤立的。 ,24,42,346,江苏,杭州,江苏,中国
1,5142975873550599,陈老师的黑板报,Tue Mar 11 11:41:03 +0800 2025,最近教育界发生了一件大事高中双休，这可是破天荒的头一次，高中双休的背后其实有一盘大棋，影响最大的其实是小学，90%的家长都看不懂背后的深意。#亲子[超话]##家庭教育[超话]##小学##父母必看##一年级[超话]# http://t.cn/A6B4VFdo ​,33,5,35,浙江,北京,浙江,中国
1,5139492801351744,温爸教子,Sat Mar 01 21:00:34 +0800 2025,"高中双休，取消早晚自习，你和孩子做好准备了吗？

#高中双休政策##高中双休##教育聊一聊# http://t.cn/A61n4DNZ ​",26,19,73,北京,北京,北京,中国
1,5143087896068173,猫头鹰视频,Tue Mar 11 19:06:10 +0800 2025,【#高中周末双休家长意见两极# ，双方发声】近日，全国多地逐步推进落实普通高中双休制度引发家长争议，支持者表示现在的教育太压榨学生，很多人出现心理问题，反对者认为双休会增加普通家庭的经济压力。山东高一学生家长张先生（化名）说多数家长反对双休，双休对普通家庭不是好事，孩子长时间双休家长肯定考虑上教辅机构，一个月下来几千块钱，经济压力太大。#反对双休家长说交补课费经济压力大#河北的高一学生家长王女士（化名）希望孩子能过双休，她说自己孩子已经有脱发、不来例假等问题，一说上学就哭、手抖。（双休前）5点40出宿舍到22点20下课，一个月放一天半，晚上熄灯后还有人打着手电筒继续学习，“孩子就是一个学习的机器，卷到变态，除了学习外特别冷漠，有同学摔倒都没人报告老师。”#家长说河北学生卷到变态# @猫头鹰视频 猫头鹰视频的微博视频,2,2,3,北京,北京,北京,中国
1,5143119055292604,新浪眼,Tue Mar 11 21:10:00 +0800 2025,#高中周末双休家长意见两极#你觉得高中生应该有周末吗？  网页链接 ,1,7,744,山东,日照,北京,中国
1,5143091619828316,_白六,Tue Mar 11 19:20:59 +0800 2025,最近高中双休的风刮的很大我还是挺支持的，毕竟看到这群高中孩子过得确实太痛苦了，能让他们回家多休息一会儿都变成了一种恩赐。现在学校里的双休也只是两周一休，休息的时间从一天变成了两天，比之前好了一点点￼￼￼￼。现在的教育教不出人才，或者说人才不是教出来的。￼既然这样子的话，还不如让学生过得开心一点。￼,0,3,4,内蒙古,宁波,山东,中国
1,5142907279901530,云中不良人,Tue Mar 11 07:08:29 +0800 2025,网友说高中双休之后的盛况，可信吗？ ,16,68,1110,浙江,北京,内蒙古,中国
1,5143123966820765,小镇教书匠_Zz,Tue Mar 11 21:29:30 +0800 2025,浙江高中周末双休胜利在望，希望可以一直推行下去，另外寒暑假也记得监管一下#高中周末双休陆续落地# ,0,4,2,吉林,长春,浙江,中国
