页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4753745894441409,龙华英烈,2022-04-02 10:00:03,#桃花祭英烈# #我们来看望您# @龙华英烈 邀请新青年与我们一同居家、缅怀，参加“云祭扫”第一步：点击视频右上角播放按钮，回顾往年清明祭扫场景；第二步：回顾完成，点击“跳过”进入云浏览界面；第三步：可点击相应区域“云游览”龙华革命烈士纪念地；第四步：点击左上角“我要献花”按钮，向英烈鲜花；第五步：选择您心仪的花束，点击“完成”按钮，为英烈献花；第六步：留下您想对英烈说的话，共同向英雄致敬！点击链接，为革命英烈献花，向人民英雄致敬！网页链接,483,728,697,,,,
1,4686762678948536,澎湃新闻,2021-09-29 13:52:41,【烈士纪念日来临之际，龙华革命烈士纪念地这样缅怀英烈】“距离烈士纪念日还有两天，国庆节还有三天，介于纪念和庆贺之间……为倒在黎明前的先烈，也为有幸生于天光大亮后的我们，此刻相聚，既为追念，亦为传承。”9月28日下午，《青春龙华》纪念追思活动在龙华革命烈士纪念地举行。#国庆节致敬英烈# 烈士纪念日来临之际，龙华革命烈士纪念地这样缅怀英烈  澎湃新闻的微博视频,25,36,67,,,,
1,4506008712525522,娱圈大蜀黍,2020-05-18 19:00:56,虽然疫情不能亲临现场，幸好还可以看线上龙华革命烈士纪念地无剧场话剧#那年桃花#@龙华英烈 扒圈皇叔的微博视频 ,247,100,178,,,,
1,4287089359691307,人民日报,2018-09-22 16:33:36,【1700多名革命英烈安葬“龙陵”：一半烈士牺牲时不足30岁】9月30日将迎来第五个烈士纪念日。作为著名英烈最集中纪念地，上海龙华烈士陵园安葬着1700多名为民族赴死的英烈：他们牺牲时年龄不到40岁的有74%，近一半烈士牺牲时甚至不足30岁。转发，致敬他们的血性青春！梨视频上海频道的秒拍视频 ,564,322,3521,,,,
1,4945268045514794,真不是毒蘑菇,2023-09-12 22:00:43,#记录旅行##寻美上海##寻美中国#上海最大的红色革命纪念地，龙华烈士陵园。“龙华千古仰高风，壮士身亡志未穷。墙外桃花墙里血，一般鲜艳一般红。”龙华观桃是上海历史上的胜景，但鲁迅先生确说：“至于看桃花的名所，是龙华，也有屠场，我有好几个青年朋友就死在那里，所以我是不去的。”龙华，一个洒满烈士鲜血的场所。如今的烈士陵园，曾经的国民党淞沪警备司令部和龙华革命烈士就义地。1927年至1937年间，国民党当局在这里关押、杀害了数以千计的共产党人和爱国志士，其中有罗亦农、彭湃、陈延年及“龙华二十四烈士”等。上下两层的龙华烈士纪念馆集中展示了257位英雄人物的生平事迹，“龙华24烈士”，每个人的事迹都令人动容他们中有夫妻、有恋人、有兄弟，有的没有留下一张照片，有1人至今还不知道他的名字，牺牲时平均年龄才20多岁，年纪最小的仅17岁。烈士墓区由烈士纪念堂和烈士墓地及无名烈士墓组成，安息着1700多名革命烈士的英灵。烈士墓地呈半圆形月亮状，与呈圆柱形的烈士纪念堂相对应，寓意烈士精神与日月同辉。墓地安葬着恽代英、陈延年、陈乔年、李白等有姓名的烈士800余名。无名烈士陵安息着271位英灵，陵前有一束长明火，象征着烈士不息的生命之火和永驻的革命精神。昨日烈士的身躯倒在这片土地上，他们的血肉化成沃土；今天英雄的名字被深刻在石头上，他们的精神铸就山河。苍松翠柏，桃树鲜花，草坪火炬，他们与日月同辉。 上海·龙华烈士纪念馆,56,74,465,,,,
1,4944585023291746,黑敀,2023-09-11 00:46:38,上海的匆匆一日 由于没怎么规划，所以随便去了些地方，一座外向包容的城市，和北京完全是两种感觉 行程：国际饭店→龙华塔→龙华寺→龙华革命烈士纪念地→徐家汇天主堂→徐光启墓→上海交通大学早期建筑→真如寺大殿→上海博物馆→上海外滩建筑群→上海邮政总局→四行仓库抗战旧址 ,30,53,224,,,,
1,4622283589550470,解放军报,2021-04-04 15:35:48,【上海龙华烈士陵园联合75家烈士纪念设施一起祭扫革命先烈】4日，在党的诞生地上海，同一时间、不同地点，包括龙华烈士陵园在内的全市75家烈士纪念设施，一起向革命先烈致以敬意与哀思。活动还以线上直播等方式，让更多的观众通过网络对英烈表达缅怀之情。　　记者在主会场龙华革命烈士纪念地看到，100名祭扫人员手捧菊花朝着龙华革命烈士纪念地正中央缓缓走去。礼兵点燃英雄圣火，全体人员肃立，向革命烈士三鞠躬，大家以齐声诵读英烈名字的方式向英烈表达深切追思。　　随后，100名祭扫人员相继前往烈士墓区，他们戴着白手套，手握白毛巾，俯下身子，认真细心地擦拭墓碑。　　“每一次对英烈的缅怀，都是一次庄严的洗礼。”来自社会各界的祭扫者们纷纷表示，不仅要记住这些英烈的姓名，还要铭记英烈功勋、弘扬英烈精神。　　龙华烈士纪念馆党委书记左大鹏表示：“在清明节联动全市多家纪念设施举办祭扫活动，是为了纪念党的百年华诞，继续弘扬共产党人用信仰坚守初心、用生命践行使命的牺牲奋斗精神，也是为了在全社会继续营造尊崇英雄、学习英烈红色精神的良好氛围。”　　1927年至1937年，国民党当局在龙华革命烈士纪念地相继关押近万名革命志士，公开或秘密杀害近千名共产党人，包括一批党的早期领导人以及“龙华二十四烈士”等。（新华社）,5,4,111,,,,
1,4622336723256207,看看新闻KNEWS,2021-04-04 19:06:55,【#上海#75家烈士纪念设施一起祭扫革命先烈】清明节当天，上海市龙华烈士陵园联合全市各区烈士纪念设施，共同开展“我们来看望您”缅怀先烈活动。据了解，本次活动系上海首次举办。在主会场龙华革命烈士纪念地，100位祭扫人员手捧菊花从四面八方，朝着龙华革命烈士纪念地正中央花海缓缓走去。礼兵点燃英雄圣火，全体人员肃立，向革命烈士三鞠躬，随后以齐声诵读英烈名字的方式，向英烈表达深切追思。看看新闻KNEWS的秒拍视频,1,2,31,,,,
1,4616517733581135,VariaBere,2021-03-19 17:44:20,上海红色革命纪念地打卡 | No. 1-龙华烈士陵园-讲真，我也没想到就这么巧，觉醒年代大结局日的下午我来了去之前还以为桃花全谢了，没想到还开着，真的是大片大片鲜艳的红色绕着外围走到头就是墓碑群，延年和世炎挨在一起，乔年和罗亦农挨在一起，今天很巧的看到澎湃的后人来祭奠。本来不打算拍照的，因为觉得不尊重，后来真的走进来之后，心情只有平静，想想也没啥，于是留下了照片然后绕到正中间，因为今天去太迟了，发现纪念馆关了下次有机会去里面逛逛纪念馆右边是碑林，也是时间问题，没仔细看碑林左边走到头就是一些老建筑，只有两个老监狱开放展览，内个走廊哦，觉醒里面延年就义场面复原了，就是长了点看完保安还给了纪念册，不错子再往里走就是就义点，电视剧也复原了，真的可以总之，这次逛得很匆忙，但因为有桃花就很满足下次有时间有机会会好好逛逛的,1,5,22,,,,
1,4506020703508996,超爱综艺档,2020-05-18 19:48:35,第一次在龙华革命烈士纪念地的看守所旧址看话剧#那年桃花#。@龙华英烈 ,240,101,0,,,,
