页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4654460523514549,经济和信息化在线-上海,2021-07-02 10:35:27,【学思践悟砥砺初心 比学赶超勇担使命】#党史专题党课# 市经济信息化委对外经济发展协调处党支部赴中国共产党发起组成立地（《新青年》编辑部）旧址、中国共产党代表团驻沪办事处纪念馆（周公馆）开展主题党日活动。市经济信息化工作党委委员、市经济信息化委副主任戎之勤以普通党员身份参加主题党日活动。根据党史学习教育总体部署，在参观见学之后，戎之勤结合所学、所思、所悟，为支部全体党员上了一堂生动的专题党课。【党史专题党课】学思践悟砥砺初心 比学赶超勇担使命,0,0,0,,,,
2,4654180834478495,上海体育发布,2021-07-01 16:04:04,#百年初心映党旗#【上海首条红色经典步道启用 串联起14个红色景点】日前，以“一大”周边13条市政道路为纽带的上海首条“红色经典步道”建成。通过这条步道，市民游客以中共一大会址为起点，可以漫步到中国共产党发起组成立地（《新青年》编辑部旧址）、又新印刷所旧址等14个红色景点。一起来打卡吧！（来源：@上海发布 ） 上海首条红色经典步道启用 串联起14个红色景,12,9,53,,,,
2,4653790761061075,上海女性shwomen,2021-06-30 14:14:03,【上海首条！7.1公里步道带你一次打卡14个景点，太值啦】上海首条“红色经典步道”近日亮相——通过这条步道，市民游客以中共一大会址为起点，可以轻松漫步到中国共产党发起组成立地（《新青年》编辑部旧址）、又新印刷所旧址等14个红色景点→上海首条！7.1公里步道带你一次打卡14个景点，太值啦 ,2,0,3,,,,
2,4653337523260914,中国教育报,2021-06-29 08:13:03,【上海市黄浦区教育信息中心献唱《星火初燃》】#唱支赞歌给党听# 《星火初燃》是一首在参观了中国共产党发起组成立地（《新青年》编辑部）旧址史迹陈列展后有感而发创作的原创歌曲，旧址位于上海市黄浦区南昌路100弄2号（老渔阳里2号）的石库门内，1920年初，陈独秀从北京来到上海，居住在此，《新青年》编辑部也随迁于此。在《新青年》编辑部发起成立第一个共产党早期组织，积极推动马克思主义同中国工人运动的结合。中共一大召开，会议的筹备、联络工作均在这里完成，中国共产党最早的党中央领导机关就设在这里。歌曲运用了男女声对唱、合唱、rap说唱等表现形式，回顾了中国共产党最早走过的路，表达了新时代青年不忘初心使命，坚定理想信念，为实现中华民族伟大复兴的中国梦而努力奋进的信心和决心。 中国教育报的微博视频,4,0,5,,,,
2,4648308201491966,STV新闻透视,2021-06-15 11:08:19,【新闻透视：#革命旧址风云#（一）：星火初燃】党的诞生地，已成为上海最鲜亮的一张名片。在建党百年之际，上海不仅摸清了红色家底，也让一大批革命旧址修缮开放。目前上海一馆五址已全部完成修缮，新闻透视将推出《走进革命旧址 重温历史风云》系列报道，聚焦中国共产党发起组成立地旧址、中共中央政治局机关旧址、中共中央军委机关旧址、中共中央秘书处机关旧址以及中共中央特科机关旧址这五址。第一集，让我们一起走进中国共产党发起组成立地——《新青年》编辑部旧址。  STV新闻透视的微博视频,0,0,0,,,,
2,4646982478466822,上海住房城乡建设管理,2021-06-11 19:20:22,【共10个！第二届上海市建筑遗产保护利用示范项目推介名单公布啦！】 近日，第二届上海市建筑遗产保护利用示范项目推介名单发布啦！包括中共一大会址（含博文女校）保护修缮工程、中国共产党发起组成立地（《新青年》编辑部）旧址修缮工程等10大示范项目。详见↓ 共10个！第二届上海市建筑遗产保护利用示范项目推介名单公布啦！ ,0,0,0,,,,
2,4636037068101260,上海黄浦,2021-05-12 14:27:13,【永远跟党走！五四火炬在淮海退役军人与交大青年学子之间传递】#黄浦播报# 为庆祝中国共产党成立100周年，纪念五四运动102周年，5月4日，淮海中路街道退役军人服务站与上海交通大学“老有得看”大学生志愿者团队前往中国共产党发起组成立地（《新青年》编辑部）旧址、团中央机关旧址、复兴公园马恩广场等地，开展党史学习教育“五四”特别活动。,0,0,0,,,,
2,4636036540662962,上海静安,2021-05-12 14:25:07,【中建五局百名青年党员讲述项目所在地的百个红色故事】#关注静安# 精致的雕花门头传出宣讲马克思主义的先声，平缝砖墙的老弄堂里星火初燃……近日，来自中建五局安装公司华东公司综合办主任刘雨纶，前往上海老渔阳里2号——中国共产党发起组成立地(《新青年》编辑部)旧址，面对镜头，向大家讲述并回顾建党早期的那段峥嵘岁月……记者了解到，这是由中建五局安装公司开展的“百人百地颂百年初心”党史宣讲主题活动其中的一幕。据悉，今年是中国共产党成立100周年，为全面贯彻落实党中央关于党史学习教育的重大决策，来自中建五局安装公司100名党员青年们在项目所在地的红色教育基地讲述一百个党史故事，教育引领广大党员干部学史明理、学史增信、学史崇德、学史力行，学党史、悟思想、办实事、开新局。  上海静安的微博视频,6,4,9,,,,
2,4632353147977870,话匣子FM,2021-05-02 10:28:37,【#中国第一个共产党党组织# 平凡的石库门里燃起的革命火种】#上海此刻# 南昌路100弄2号，曾经有个名字——老渔阳里2号，这里是《新青年》编辑部旧址，也是中国共产党发起组成立地，老渔阳里2号，当年到底有多火？革命的火种又是如何在这里点燃？记者实地探访。#微博直播台#  话匣子FM的微博视频 ,2,0,13,,,,
2,4630952116226663,黄浦教育,2021-04-28 13:41:26,#党史教育# 黄浦区阳光学校党支部组织参观中国共产党发起组成立地旧址 黄浦区阳光学校党支部：组织参观中国共产党发起组成立地旧址 ,0,0,0,,,,
