页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,打卡记录监督
2,5020596373558985,昨夜澎湃感,2024-04-07 18:48:36,/小孙的减肥贴  好了 在吃完最后一口猪脚饭 我要开始减肥了（现在回味起来有点腻想yue…  此博为证 评论区打卡 @多肉小丸仔 赵老师监督我 已经突破最高体重记录了 ,0,1,3,广东,广州,广东,中国,打卡记录监督
2,5020594405904743,什么奶绿-,2024-04-07 18:40:47,镜头是会说话的 我一直在被记录。出去玩的时候我总是记不得带上相机 但是邓烨恒总是会把能带的相机都带上 知道我喜欢拍照 呆在家无聊的时候 他会找好打卡的咖啡店让我挑自己喜欢的然后监督我化妆带我出去拍照 他会不断打光不断拍照 一直找角度不停的调光换相机 随着年龄的长大我越发不喜欢拍照 相册里的自拍远不如以前多 知道我拿起他的手机才发现他手机里我的照片真的太多了 随时被记录被夸奖的日子真的会让人越来越漂亮 其实我原来很丑的 至少跟他在一起之前 我不认可自己是一个漂亮的人 但是现在不管我是不是真的漂亮 在他眼里 我可能就是最美的,0,0,0,辽宁,大连,辽宁,中国,打卡记录监督
2,5020496714268809,有只黑喵叫小白,2024-04-07 12:12:35,这条是打卡微博 记录我每天做了什么，我真的一点都想不起来 顺便监督一下自己能不能戒掉短视频[摸鱼] ,0,2,0,河南,南阳,河南,中国,打卡记录监督
2,5019889610000833,清鱼233_如果被屏蔽了请私我TT,2024-04-05 20:00:11,gidle在娃超记录一下自己 定了一个小目标 积德＋帮助全世界最美好的女孩子 也希望少花点钱（） 我会在本帖打卡请大家监督 1.每个月捐30片卫生巾 2.出卡10％都存到卫生巾基金里 每月一交 3.一次签售捐100片 ,0,21,37,广东,深圳,广东,中国,打卡记录监督
2,5019134591505577,工人日报,2024-04-03 18:00:00,#年轻人寻找存钱搭子#【社交网络上年轻人热衷找“搭子”存钱】近期，社交网络上兴起一阵“存钱搭子”理财潮。不少有着相同存钱爱好或理财需求的年轻人通过群聊、小程序、APP等联系集聚，组成伙伴关系，相互监督完成存钱理财目标。“通过每日打卡记录自己的支出，不知不觉中不必要的花费减少了。”26岁的沐沐（化名）介绍说，“存钱搭子”群里大家都是陌生人，会统一使用群主设定好的模板，以打卡晒数据的方式进行交流，比较简单直观。现在群里有300多人，大家为了同一目标而相互监督，有很强的督促激励作用。中信证券首席经济学家明明表示，“存钱搭子”群兴起，一方面是因为许多年轻人对于人生有着更强的规划意识，目标明确；另一方面是因为这样的社群提供了相互激励和经验交流的平台，心理上的归属感有助于增强存钱动力和学习理财技巧。黑龙江朗信银龙律师事务所律师田宪策表示，“存钱搭子”群为热爱存钱的群体提供了一个交流沟通的渠道。但存下来的钱如何理财，需要因人而异地制定理财策略，尤其是要对违法违规活动、转账等行为保持警惕，灵活应对经济挑战，实现个人财富的稳健增长。网页链接 （工人日报）调查：#存钱搭子真的有用吗#  网页链接,0,0,5,,北京,北京,中国,打卡记录监督
2,5018981772298484,8号楼财经,2024-04-03 07:52:45,【#年轻人热衷找搭子存钱#】#你需要监督存钱吗# 近期，社交网络上兴起一阵“存钱搭子”理财潮。不少有着相同存钱爱好或理财需求的年轻人通过群聊、小程序、APP等联系集聚，组成伙伴关系，相互监督完成存钱理财目标。“通过每日打卡记录自己的支出，不知不觉中不必要的花费减少了。”沐沐介绍说，“存钱搭子”群里大家都是陌生人，会统一使用群主设定好的模板，以打卡晒数据的方式进行交流，比较简单直观。现在群里有300多人，大家为了同一目标而相互监督，有很强的督促激励作用。（工人日报）,0,0,0,,,,,打卡记录监督
2,5018925394034866,哈哈想不到名字了,2024-04-03 04:08:44,减肥打卡  自制力差到要靠超话监督自己了 从明天开始记录饮食和体重 立个flag 瘦到50kg ,0,0,0,德国,,,德国,打卡记录监督
3,5018822904119725,一颗星星从头再来,2024-04-02 21:21:28,四月人间，处处皆安 好好生活，天天健身，打卡记录，做好监督 ,0,1,0,山东,青岛,山东,中国,打卡记录监督
3,5018208887636561,赢宝静待花开,2024-04-01 04:41:35,哥哥春游，记录一下，嘴上说没意思，心里其实还开心  终于去黑山羊培训了，弟弟去测试一下。口语听力都不错，就是语法不行，要从基础开始上课。每天打卡单词，老师会监督。周日一天。上午9：30开始上课。3号线到南部商务区也方便的。      弟弟很配合周一就开始打卡，7号就上课。加油😊,0,0,1,浙江,宁波,浙江,中国,打卡记录监督
3,5016439524953887,细细的_红头绳,2024-03-27 07:30:46,今天是2024年3月27号，星期三。今天开始轻断食减重，为了监督自己，每天打卡记录一下。今日体重72.8公斤。减重的原因是血糖高了，医院抽血血糖12点多，糖化血红蛋白9点多，医生开了胰岛素和二甲双胍片。本人不想过这种每天打针和吃药的生活。下决心改变。之前试过很多减肥方法都失败了，自从抖音看到了老龚减重的视频，有点启发，决定试一试。,0,0,0,山西,太原,山西,中国,打卡记录监督
