页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5024275690160629,新浪新闻,2024-04-17 22:28:53,#为什么有人会从欺负别人中得到快感##韩国明星中为何那么多霸凌咖# 据简单心理：研究发现，欺凌者成为反社会人格障碍的风险是普通人的 4-5 倍。更早期的研究表明，随着欺凌者的成长，他们往往会遇到更多的工作问题，更多人际关系问题，更多的毒品和酒精问题，并且更有可能犯罪。此外，以校园欺凌作为获得控制感和宣泄情绪的手段，与欺凌者成年后情绪失调有关。回观《黑暗荣耀》，就算没有文东恩，吸毒的金莎拉、一心只想嫁入豪门的空姐、没有工作能力还出轨的妍珍，他们本就漏洞百出的生活也早晚会崩盘。  网页链接,16,28,1283,,北京,北京,中国
2,5024472262772403,金牛法院,2024-04-18 11:30:00,【#听说她爸爸还坐过牢#？#一条漫画长图普法校园欺凌#】听说她爸爸还坐过牢……NO！一条漫画长图普法校园欺凌，详戳↓↓（全媒体记者 刘志月 通讯员 廖琰璨） ,0,2,2,,成都,四川,中国
2,5024472061183235,周宁县检察院,2024-04-18 11:29:12,【妇女儿童权益保护普法课堂：什么是校园欺凌？】 周宁县检察院的微博视频 ,1,1,3,,宁德,福建,中国
2,5024471037510222,无敌丑陋大王,2024-04-18 11:25:07,反对校园欺凌 从你我做起#拒绝校园欺凌# ,0,0,0,广东,东莞,广东,中国
2,5024470957556299,南哥2023,2024-04-18 11:24:49,杜绝校园欺凌，从我做起；要为我们的未来与身体健康着想；  邯郸三名初中生霸凌同学致死，杀害并埋尸在离家不足100米的废弃蔬菜大棚，霸凌者居然完事后还躺在床上淡定的打游戏。我觉得他们这种行为十分恶劣，我们要杜绝这种情况再次发生，一是为了各位的未来着想，二是为了每一位青少年的心灵进行保护。,0,0,0,广东,中山,广东,中国
2,5024467170364255,用户7874522437,2024-04-18 11:09:46,看了邯郸欺凌事件，我们意识到预防校园欺凌有多么的重要如何预防校园欺凌1.不做受害者（1）不携带较多的钱和手机等贵重物品，不公开显露自己的财物（2）前往校园周边巷子拐角等校园欺凌可能多发地时尽量结伴而行（3）与同学友好相处，宽容、理性、平和解决矛盾，不采用过激方式2. 不做欺凌者3. 不做附和者或冷眼旁观者六、预防校园欺凌口诀讲文明，懂礼貌，校规校纪要记牢。不打架，不骂人，不说脏话不造谣。与人为善大道宽，盛气凌人朋友少。以强凌弱不可取，团结友爱最重要。玩笑打闹别过火，小磕小碰别发飙。情绪过激事端起，理性沟通矛盾消。有益活动勤参与，良师益友多结交。懂法守法能自律，身心健康乐逍遥。,0,0,0,广东,东莞,广东,中国
2,5024465680860217,人间奇妙之旅,2024-04-18 11:03:51,近期4名12至13岁“问题少年”被判刑！最高法：从严从早处理校园欺凌。真的值得拍手称快！希望邯郸三名杀人恶魔也能尽早判刑！审判过程最好能全国直播。 ,0,1,12,浙江,杭州,浙江,中国
2,5024465589636852,殷都区伦掌镇西柏涧中心小学,2024-04-18 11:03:29,#校园安全# 为增强学生安全意识，提高自护自救能力，杜绝安全事故发生，伦掌镇西柏涧中心小学开展了“中高年级防欺凌、防溺水、交通安全”专项教育活动。       主题教育会上，周文朝校长讲述了近期周边发生的系列安全事故，深入分析了原因，对防溺水、防校园欺凌、交通安全提出具体要求，争取让防溺水、防校园欺凌、交通安全工作的教育入脑入心，让每一位学生都能珍惜自己的生命，真正做到远离危险，与安全为伴，快乐成长！  @殷都区伦掌镇中心学校 @殷都区教体局 @安阳市教育局 @安阳视点,0,0,0,河南,,河南,中国
2,5024465208218168,活力王顶堤,2024-04-18 11:01:58,【e起学法 共筑新“堤”】王顶堤街普法小课堂——未成年人普法系列（四）这些都是校园欺凌？#点赞天津##e起学法 共筑新“堤”# 活力王顶堤的微博视频 ,0,0,0,,,天津,中国
3,5024464513533919,河南法制报,2024-04-18 10:59:13,【远离校园欺凌 争做阳光少年】为进一步提高青少年学生的法律意识和自我保护意识，营造良好的法治环境，建设平安校园。4月17日，郑州航空港区大马司法所联合大马派出所、大马乡平安建设办公室开展了以“远离校园欺凌 争做阳光少年”为主题的教育讲座，特邀上海段和段（郑州）律师事务所金革律师为同学们授课。⑱网页链接,0,0,0,,郑州,河南,中国
