页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5024507251654707,查无此人的失踪人口,2024-04-18 13:49:01,#王栎鑫请规范自己的言行# #王栎鑫粉丝为校园霸凌洗地# 还有人不知道王栎鑫家粉丝的经典发言吗？“酥醒夸王栎鑫是为了pua他。” ,1,1,8,重庆,,重庆,中国
2,5024506794479321,小葵花鹿鹿心,2024-04-18 13:47:13,希望我们都可以远离校园霸凌,0,0,0,山西,阳泉,山西,中国
2,5024504855660692,强势的张小浪,2024-04-18 13:39:31,保护少年的你 向校园霸凌说不🙅 ,0,1,4,辽宁,葫芦岛,辽宁,中国
2,5024254133799011,晏凌羊,2024-04-17 21:03:14,人彰显力量的方式有三种：第一种，摧毁，主要摧毁别人。比如当年日本通过侵略、杀戮等方式，证明自己的力量比中国强。比如，搞校园霸凌、职场霸凌，在凌虐别人的过程中获得快感。又比如，见不得别人好，把宝贵的生命能量用于把别人拉下来。第二种，往上飞升。比如，遇到重压，爆发生命力，卯着劲儿往上走，往高处走。第三种，俯身奉献。比如，原谅一切，悲悯一切，舍身为人。像张桂梅老师那样的。越往后，等级越高，站在这个等级上面的人也越少。我们普通人所能见到的绝大多数人，是第一种。,14,20,91,广东,广州,广东,中国
2,5024504025188926,一颗欣欣子0,2024-04-18 13:36:13,#致命游戏# “我的腿没有了，你的给我好吗” 这么阳光的小女孩为什么要遭受校园霸凌，呜呜校园霸凌的人都该死，佐子最后没有杀江信鸿，还是善良的，如果江信鸿当时勇敢一点就好了 ,0,2,3,浙江,温州,浙江,中国
2,5024498101258838,你自己看看这好笑吗,2024-04-18 13:12:41,看电视的时候看见女主被校园霸凌，看哭了…我爹在旁边说男孩儿小时候就是调皮不懂事，我听了以后直接炸毛了我说校园霸凌的人就是坏就是贱，他还搁旁边笑嘻嘻地说哪那么严重，真的要崩溃了。其实这么多年过去了，我一直以为自己已经从校园霸凌的阴影里走出来了，但是只要涉及相关话题还是容易激动，它带给人的伤害真的是一生的，以至于到现在我只要一想到就会恶毒地诅咒那些霸凌我的人。听到这句话的时候感觉我脑子都嗡嗡的，我一直以为我经历的这些痛苦对我的家人也是一种伤痛，没想到被伤到的原来只有我自己，甚至是我的家人都没办法为我着想。我跟他说有没有想过我之前也一直被校园霸凌，甚至只要一去学校就会条件反射地想呕吐，一度都想退学。而我什么都没有做，仅仅是转学然后又很瘦弱，就从入学开始就一直被欺负排挤。他又不说话了哈哈,0,0,0,江苏,淮安,江苏,中国
2,5024496819372092,比嘉真琴,2024-04-18 13:07:34,其实我觉得s4 11的形象也崩了啊😢她之前是什么人啊，多有逼格啊，形容一下就是谁能接受张起灵被校园霸凌啊？ ,0,0,0,湖南,,湖南,中国
2,5024462967145585,唯有千千卷,2024-04-18 10:53:04,唯有千千卷#转发赠书# |【转赞评+关注@唯有千千卷】揪两个小可爱赠《女儿的身体冻结成冰：旭川女中学生霸凌冻亡事件》！记得点下想读哟～失踪后的38天，女孩冻结成冰的身体被发现在积雪之中。一起震撼日本的校园性霸凌案，成为重启调查的纪实报道。揭穿未成年犯罪背后的教育缺位×网络性别暴力×受害者有罪论。纪实文学《女儿的身体冻结成冰：旭川女中学生霸凌冻亡事件》向你揭示没有罪名的恶。爽彩的十四年人生绝不是以简单的死亡作为结尾。由此长达两个月的系列报道引发国会关注，“文春在线”与母亲的不懈努力得以让更多人知道爽彩曾经努力抗争霸凌的事实。本书以多方证词追溯事件全貌，捕捉未成年作恶背后成年人的谎言。追踪采访受害者亲友、相关学生及监护人、教育委员会、市议会，以及被牵连的人士。用客观冷静的语言，现场还原爽彩生前遭受的性别暴力和二次伤害。在遭受霸凌的前后，爽彩作品中原本明艳的彩绘被粗直的黑白覆盖。在母亲悼念亡女的长信中，更是透露出爽彩的孤独症病情。那么，社会应当如何保障少数人活下去的权利？面对校园霸凌，教育者又要承担什么责任？在霸凌这件事情上，没有旁观者，只有暂时的幸存者。愿我们所有人都有不沉默的勇气，从现在开始，从爽彩事件开始。#世界读书日##这本书在我心里封神了#,46,38,41,福建,厦门,福建,中国
2,5023791749793018,唐哲同学,2024-04-16 14:25:53,#近期4位不满14周岁未成年被判刑# 邯郸初中生遇害案后，看到句细思极恐的评论：“全国的校园霸凌者，都在等着这三个人渣的处理结果。”  ,11,9,154,广东,深圳,广东,中国
3,5024490123692208,如初啊73502,2024-04-18 12:40:59,今天中午吃饭的时候邻桌在和她的伙伴讲她小时候被校园霸凌的经历，怎么说呢，我不是她，永远无法做到真正的感同身受。为她开心，因为能做到像现在能坦然自若的在朋友面前提起，心里的钉子应该已经消除了吧，时间会抚平很多东西，但伤痕依旧存在永远相信这个世界终会是一个充满爱的世界，正义永远不会缺席,0,1,0,江西,赣州,江西,中国
3,5024485879054706,看看那件旧衬衫,2024-04-18 12:24:06,校园霸凌，还有理了？拎不清有一手//@魔法少女拥护者巴莱:又看了下这个作家解释校园霸凌，只能说倒吸一口气 查看图片 //@从神田川到末广町:意林？,1,0,1,浙江,杭州,浙江,中国
3,5024192568754297,0IZxx,2024-04-17 16:58:35,有时候回老家发现快递员或者理发师是以前搞校园霸凌的小混混，感觉蛮爽的 ,0,3,38,浙江,杭州,浙江,中国
3,5024482714193727,独立思考正三观,2024-04-18 12:11:32,#海淀区人北实验学校校园霸凌#对方估计是黑三代四代 ,0,0,0,河南,郑州,河南,中国
3,5024195484320403,番茄娱乐,2024-04-17 17:10:11,#欧阳娜娜曾遭校园霸凌##欧阳娜娜9岁时照片被同学扎钉子# 无法想象，欧阳娜娜内心得多强大，才能这么笑着说出小时候被校园霸凌的经历，真的反对一切校园霸凌行为好吧！ ,204,201,212,山西,太原,山西,中国
3,5024478779934351,半圆姨,2024-04-18 11:55:54,#校园霸凌#孩子正面临着，昨天哭得很伤心……同学排挤她，造谣她。考试全班第二，同学说她抄的。昨天和同学做值日，那个同学突然和她说“某某说你三年级时偷过她东西？是真的吗？”（孩子现在五年级）…… 现在的孩子怎么造谣都不带打草稿的！这么小心眼儿怎么这么坏？ ,0,0,0,北京,北京,北京,中国
3,5024478592243599,月之瞳-财倍倍,2024-04-18 11:55:09,所以拒绝校园霸凌，校园霸凌造感他人生病或死亡，施暴者的罪行应该记入档案中,1,0,0,上海,上海,上海,中国
3,5024477484681298,和林格尔县法院,2024-04-18 11:50:45,#和法课堂# 【关于校园霸凌的法律责任】校园霸凌绝非“开个玩笑”。一旦施暴，霸凌者将面临严重的处罚。即使霸凌者未成年，也会被同样追责。面对校园暴力，被霸凌者要勇敢说出来并及时报警，不做“沉默的羔羊”。CCTV今日说法的微博视频 ,0,0,0,,呼和浩特,内蒙古,中国
3,5024477226472693,黛穹MayuzumiSora,2024-04-18 11:49:44,给纸片人封建死人做反黑条的样子比饭圈丢人多了，也就是某某没有校园霸凌、某某不是骗婚gay这俩丢人出圈，其实大部分瓜条都半斤八两。 ,0,3,4,中国,,,中国
3,5024476486174628,iSu嘻哈猫,2024-04-18 11:46:47,#王栎鑫请规范自己的言行# #王栎鑫粉丝为校园霸凌洗地# //@止愿丶:回复@Ada_as:#王栎鑫粉丝为霸凌洗地# wyx#王栎鑫请规范自己的言行# 我也来加个码，加个🧧80（拒绝80）和苏醒新专一张，等发布后🉑buy了就可以找我兑换（允许王栎鑫稍微还算正常的粉丝来chou）//@Ada_as: 抽奖详情,1,0,0,重庆,,重庆,中国
4,5024476028733905,爆笑小猪猪,2024-04-18 11:44:58,希望世界上不再有校园霸凌校园校园霸凌正义有用的知识  #亿点曝光计划# 爆笑小猪猪的微博视频 ,0,2,0,贵州,六盘水,贵州,中国
4,5023823659796217,会魔法的卢卡斯,2024-04-16 16:32:41,《黑暗荣耀》“李莎拉”演员与中学时期霸凌过的受害者达成和解：此前韩媒报道称“演员金赫拉初中时期曾加入太妹组织、并对别人实施校园暴力。金赫拉承认加入过该组织，但表示自己只是旁观者身份，没有实质性参与校园暴力”本月16日，她所属经纪公司最新表示：金赫拉已经和当年霸凌过的受害者见过面，并且达成了和解，对以前的所作所为感到很抱歉，表示从今以后会安分守己、改过自新来重新做人”,4,13,85,美国,,美国,美国
4,5024275690160629,新浪新闻,2024-04-17 22:28:53,#为什么有人会从欺负别人中得到快感##韩国明星中为何那么多霸凌咖# 据简单心理：研究发现，欺凌者成为反社会人格障碍的风险是普通人的 4-5 倍。更早期的研究表明，随着欺凌者的成长，他们往往会遇到更多的工作问题，更多人际关系问题，更多的毒品和酒精问题，并且更有可能犯罪。此外，以校园欺凌作为获得控制感和宣泄情绪的手段，与欺凌者成年后情绪失调有关。回观《黑暗荣耀》，就算没有文东恩，吸毒的金莎拉、一心只想嫁入豪门的空姐、没有工作能力还出轨的妍珍，他们本就漏洞百出的生活也早晚会崩盘。  网页链接,16,28,1283,,北京,北京,中国
4,5024469745141231,东阳发布,2024-04-18 11:20:00,【启用！东阳首个“反校园霸凌法官信箱”】4月17日上午，“巍风细语法官信箱”启用仪式在巍山镇中学举行。据悉，这是我市首个“反校园霸凌法官信箱”，旨在预防、减少校园霸凌事件发生，守护未成年人身心健康，助力构建平安和谐校园。 ,0,0,0,,,浙江,中国
4,5024467191595841,静瑄-开始吧,2024-04-18 11:09:51,#防止校园霸凌##家长需要懂的儿童心理学# 如果家庭的成长环境让儿童感到焦虑或害怕，那么他们在认知和情绪的发展中会遇到更多困难。儿童的成长关键要素是时间、耐心和爱。儿童心理学研究表明，温暖和适时回应是获得最佳成长的关键。“适时回应”指的就是立即回应儿童的提议并关注儿童所关注的事情，当儿童感受到成长的环境是安全的，那么他们就会放心的将自己放在环境中，而家长就能够及时的知道孩子真正的需求。,0,0,1,广东,深圳,广东,中国
4,5024466698767058,晚风O-O,2024-04-18 11:07:54,校园霸凌无小事，一朝不慎悔终身 ,0,0,0,广东,东莞,广东,中国
4,5024463374516838,Aliosha_,2024-04-18 10:54:41,1“我们从小的娱乐就是看人吵架，每个上午、下午、晚上，不是每天有，是每个时刻都有，好好地在饭店里吃饭，隔壁两桌吵起来了，太多了，全国各地都这样，不光上海。现在真是文明多了，现在你们不太吵架了，你们要么是校园霸凌，要么就三个小孩把另外的小孩杀掉了。”2“你们没有好的长辈，因为你们的长辈是我们。就是 50 后、60后、一部分70 后。断层从我们这儿开始。我们小时候的长辈其实是民国人，民国有一种讲话的方式。它讲话很清楚，就是木心说的，说一句是一句，没那么多废话。后来那种很夸张的白话文还没出现，堆砌很多辞藻的话还没出现，就很朴实的，一句是一句。”,0,0,3,四川,达州,四川,中国
4,5024458768908674,iSu嘻哈猫,2024-04-18 10:36:22,#王栎鑫请规范自己的言行# #王栎鑫粉丝为校园霸凌洗地# 这段可是明确造谣了，已取证哦@糖果糊佳佳,0,0,0,重庆,,重庆,中国
4,5024458458272237,康师红烧牛肉面,2024-04-18 10:35:09,尼玛道明寺不信任杉菜，然后杉菜又被校园霸凌了电频车还被烧了啊啊啊啊啊啊，你们这些同学都丝了 ,0,2,0,上海,上海,上海,中国
4,5024458362325657,好谢翔,2024-04-18 10:34:46,我是真没有想到，很多成年人也和中学生一样，对他人毫无恶意的言行心生敌意。这未免也太幼稚——大部分校园霸凌都是这个心理，视对方为不高级想要惩治。 ,0,1,5,上海,上海,上海,中国
5,5024458291809296,静瑄-开始吧,2024-04-18 10:34:29,保护孩子#防止校园霸凌#霸凌的类型，包括但不限于如下：● 言语霸凌：它是指被人用语言进行辱骂、贬低、嘲笑或威胁。这类霸凌可以是面对面的、书面的或是通过手机进行的，它也包括用语言进行性骚扰。● 肢体霸凌：这包括被人殴打、推搡，绊倒，或是东西被他人偷盗和损坏，它还包括被人性虐待。● 社交霸凌：包括在社交中被故意孤立，冷落、忽视或是造谣，这通常是最难识别和处理的霸凌类型之一。● 心理霸凌：这一类型的霸凌也很难被精准地定义，它包括被人用轻蔑的目光注视、跟踪。它通常不像其他类型的霸凌那么明显，你可能会觉得这一切都只是你的想象而已。● 网络霸凌：这类霸凌包括在社交网站上被人用邮件、短信中伤或是骚扰。这是目前最易被低估伤害程度的霸凌方式。,0,3,5,广东,深圳,广东,中国
5,5024185468322714,是雨晗呀,2024-04-17 16:30:23,我哥去小学宣讲去了（下颚线都胖没得了） 反对校园霸凌暴力 他想用我的ppt，哪知道我是三年前宣讲的，ppt不知道被我扔哪了 ,0,26,30,湖北,襄阳,湖北,中国
