页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022364587263175,心软的米小鸭,2024-04-12 15:54:51,河财纯净版 求助！！有没有上过吕瑞萍老师犯罪心理学课的友友，她的结课题目应该怎么答呀，有没有什么方法 ,0,2,2,河南,郑州,河南,中国
2,5022357850686585,goashoreeee,2024-04-12 15:28:04,法硕非法学 求助类推解释到底是禁止的还是不禁止的啊 如果是禁止的 为什么有的题目还是会选类推解释 ,0,9,1,陕西,渭南,陕西,中国
2,5022035186551124,ESTJ戒尺交流中心,2024-04-11 18:05:56,estj285 | 提问与求助  你好，这里是大四心理学的毕业生，毕业论文的题目是mbti和人生观相关，做了个调查问卷，目前非常缺estj的反馈，可以帮忙发一下问卷嘛，打扰了！  网页链接   #mbti##estj# ,0,9,13,北京,,北京,中国
2,5021923333899840,你如清风拂我面x,2024-04-11 10:41:28,求助大家，帮忙填填毕业问卷，题目是音乐节对游客旅游意愿影响研究，提前谢谢大家了🥺🥺🥺#音乐节##大学生互填问卷# ,1,12,0,浙江,杭州,浙江,中国
2,5020843279387839,PETD亚洲善待导师组织,2024-04-08 11:09:43,省流版题目“要不要放弃QS排名100-200的英国全奖商科phd offer，重新申请排名更好的学校。”导您好～关于phd申请很纠结，想请您发一个求助贴。BG和具体细节：英本+非牛剑G5英硕，毕业成绩first class+distinction。有三年高校TA工作经历+接近一年兼职RA，有三个project在做，但暂时没有发表。今年网上冲浪时看到英国这所学校的项目，不抱希望地申请了一下结果拿到了，目前纠结的点在于它的优点缺点都很突出。缺点：排名不是很高，计划毕业回国找教职的话会觉得卷不过别人。同时这个学校发offer超级快，面试后两小时就来了。所以有点怀疑会不会其实我有机会去更好的学校。优点： 大方给了全奖，研究方向的自由度很高没有限制，不延毕的话四年可以毕业，和面试的委员会互动的时候感觉氛围很友好，学校氛围感觉比较supportive. 如果想毕业留在英国的话这个学校应该是不错的选择。目前自己的评估是，如果愿意自费的话，应该会有机会去上更好的学校，但是目前不是很想自费。全奖或者半奖的话，由于现在越来越卷，重新申请的话会很担心落空。所以想请教一下大家的意见。谢谢！🙏,1,18,138,北京,北京,北京,中国
2,5021363356831159,每天都哈哈哈哈哈哈的笑,2024-04-09 21:36:19,西安科技大学 求助材料工程调剂复试题目类型，开放性题目多不多 ,0,0,0,陕西,西安,陕西,中国
2,5021095277101082,是圆圆_57,2024-04-09 03:51:03,国旻 跑弹里 学校篇 背旻过低杆护住旻手肘，还有两人一队答题，果打电话给妈妈求助答歌题目，果妈表白旻 ,0,1,7,广东,惠州,广东,中国
2,5020482108129869,kbl_lrx爱吃米饭的玮玮,2024-04-07 11:14:33,求助：辩论题目是菀菀类卿和兰因絮果哪个更可悲 我是反方，就是兰因絮果那个 该怎么写啊 ,0,0,0,上海,,上海,中国
2,5020442925206017,小满乍满,2024-04-07 08:38:51,白荆回廊 求助！请问笛卡姆剩下的成就任务怎么完成！一直都是6/8！再去初遇之章做题目已经做到52了手滑点错了又从零开始，心态崩了呜呜。 ,0,3,0,江苏,苏州,江苏,中国
2,5020284631386787,karinniewon,2024-04-06 22:09:51,柳智敏 p1宝宝求助&quot;妈妈！我碰到了一道好难好难的题目 o(╥﹏╥)o &quot; p2辅导作业的温柔妈妈&quot;宝宝，你看这个这样写哦&quot; p3乖乖的宝宝看着妈妈写&quot;嗯！妈妈我懂了！&quot; ,0,0,2,上海,,上海,中国
3,5019505896459092,周提夏,2024-04-04 18:35:26,最近真的不太对，会在开心过后突然伤心，而且会想起小时候不好的事（童年创伤吧），最近的考试成绩也开始下滑，题目也看不懂了（之后补上去吧，和别人的差距全考物理拉开一点）不想跟朋友分享事情，得不到回应，也就放弃了，现在不知道该怎么办，求助#童年的创伤#MBTIintp ,0,0,0,广东,汕头,广东,中国
3,5019202785904579,听不见_呦,2024-04-03 22:30:59,高考 家人们！有没有生物大佬！求助求助求助求助求助题目比较基础！ ,0,0,0,山东,青岛,山东,中国
3,5018446057705290,登微博寄通江连柳四州,2024-04-01 20:24:01,3616 【求助】缟纻为社团专场写了中唐主题元白66的剧本，主要内容就是f4人生的重要节点，大致主题有些类似“悠悠天地内，不死会相逢”，现在需要缟纻起一个3-4字的专场题目，想直接从诗句里摘或者化用……请问起什么比较合适[淚][淚] ,0,3,24,黑龙江,哈尔滨,黑龙江,中国
3,5018504608612599,写手一吐为快,2024-04-02 00:16:41,64156bot好，递治疗荨麻疹的药以前因为强迫要求背书导致没有发现诗词的美好（）所以想求助一下各位有无那些很好的诗词鉴赏书籍推荐，有解析什么的是更好的，软件网站也行，毕竟高柱真的脑袋空空，别人可以用几个字甚至是一个字能取个绝妙的题目，高柱笨人还得想半天最终随随便便取了一个，主要是高柱本人绞尽脑汁真的不会取名字，别人可以用一句诗词而高柱只能尽量搞一点看着令人发笑的标题,1,10,19,西班牙,,西班牙,西班牙
3,5018458591334186,胡不喜c,2024-04-01 21:13:49,朋友圈有人发了这道题，问怎么做？ 我看了又看，连题目都没看懂又急切想知道答案，只好求助百度了 不得不说答案出来的那一刻恍然大悟 但是这题一定要这么出吗？？？ 小时候的题好像不是这样的吧，还是我忘了？ 能辅导小孩作业的家长，理解能力一定很牛。 ,0,0,0,中国,,,中国
3,5017721269914626,重生之品客同人女怎么你了,2024-03-30 20:23:58,【问卷求助/4082】啵特好，不知道问卷求助可不可以发这里有一份关于大学生网络圈层参与与选择倾向的调查问卷，问卷内容仅会用于学术研究分析用，有大学生朋友感兴趣可以填写下题目还是比较有意思的，很想听到大家对一些问题的看法，对后续研究感兴趣的同学也可以留下自己的联系，给啵特和朋友们鞠躬了！网页链接,0,22,25,浙江,温州,浙江,中国
3,5017438988534624,认真生活的小朱,2024-03-30 01:42:17,我一直在劝自己活得戾气不要那么重。 我好像是能做到。可是有的人怎么就是学不会摒弃戾气，上网冲浪在别人的评论区下留下自显优越感的评论。 这很蠢，因为你连题目都没读明白。 我发的是求助帖，而不是显摆自己的肌肉，我练得很差我自己知道。 ,0,1,0,上海,,上海,中国
3,5016985534727967,祈语时风,2024-03-28 19:40:25,毕业论文求助，会计专业毕业论文写的题目的企业存货内部控制，这个需要论述企业存货内部控制现状，有没有办法获取到这个企业的存货管理制度啊，现在要换公司但是因为没有办法获取这个数据导致公司更换不了，但是大后天就要交初稿了，救救孩子吧 ,0,0,1,陕西,西安,陕西,中国
4,5015873099665488,糖醋排骨腌笃鲜,2024-03-25 18:00:00,60岁的父亲不会用微信，也不会打字，曾因为下载微信的问题多次向她求助。而工作繁忙的她因为没时间与父亲交流，教父亲学微信这事便一直拖着。有一天，父亲问她，如何下载微信。她正跟一个编辑谈新书题目谈得热火朝天，父亲突然的问话打断了她的思路。于是，她不耐烦起来：“老爸，你没看到我正在跟编辑有事吗？好好好，你等一下可以吗？”父亲不说话，只在她身边坐着。等女儿忙完了之后说：“我现在不中用了，凡事都需要人教，你说教我微信，这都拖大半年了，到今天也没教我。你看你刚才的态度，多伤人。我是你父亲，可你这一等让我等了大半年。”,0,18,22,浙江,,浙江,中国
4,5015485051312230,温科研究备用机,2024-03-24 16:18:02,2003求助语文作文怎么样提高 或者有没有好的作文书 缟纻作文一直在43-46之间 想提到稳定在50左右难吗 缟纻有时候看到一些很莫名的题目就不会写 如开学考作文主题“有知者更应有畏”缟纻没思路怕写不完就一直在写流水账 艰难地写到刚好800字 虽然这次语文大爆发考了119但作文只有44.5 不想被作文拖后腿,0,4,7,重庆,,重庆,中国
4,5015422045259293,果立方都是汉臣,2024-03-24 12:07:40,28927 【求助】有没有老公记得之前微博上热转过一个研究草草（生子？）同人的博士论文，求问这篇论文的题目叫什么……以前马过但现在死活搜不到了…… ,0,6,4,江苏,南京,江苏,中国
4,5014870930753495,jo-ning0507,2024-03-22 23:37:44,Python求助，哪里出错了，题目是要求输入一串数字到输到A的时候就停止输入。我写出来输入一个数字换行就直接报错找不到A ,0,0,0,江苏,无锡,江苏,中国
4,5014822054268163,李小花袖口补丁,2024-03-22 20:23:31,考研心理学关于这个题目，我想求助萧妈，明明探究的是，情绪对不同记忆类型 的定向遗忘，这里我认为自变量是 情绪和记忆类型 因变量是定向遗忘程度，结果答案是 情绪和指令类型这是咋回事呀@心理萧宵老师 ,0,0,0,山东,泰安,山东,中国
4,5014765385288097,叩殳白,2024-03-22 16:38:20,求助：泰安 教师编 高中政治题目 ,0,20,37,山东,济南,山东,中国
4,5014537210955692,大腚的小屁股,2024-03-22 01:31:39,西安科技大学求助学长学姐，西安科技大学管理科学与工程复试的题目和指导 ,0,5,0,内蒙古,包头,内蒙古,中国
4,5013771456350510,都写东西了让我一下,2024-03-19 22:48:49,一开始写作业就会发生类似的事情：一道题目看了好几遍不明白它是什么意思，看完了题目终于入脑以后却发现我贫瘠的知识无法解答它，于是只能够求助于百度，因为写作业以前已经下定了决心告诉自己不能够触碰手机，但是甫一有了能够触碰手机的机会，于是告诉自己：我拿起手机起来不是为了玩乐，而是为了查找资料，于是心安理得地用指纹开了锁，发现了之前没有关闭的页面（一般来说是大眼），然后就开始刷起来大眼了比如说现在,0,0,0,广东,广州,广东,中国
5,5013327122268487,写手一吐为快,2024-03-18 17:23:12,62873【投稿】我最近在为我的CP激情产文，题目过大涉及神明层面导致卡文，最近在帮朋友供奉守护灵，点香的时候没忍住抱怨了几句，被守护灵大哥误以为求助，晚上入了我的梦，思考半天建议结婚，第二天还给我传递消息建议还是结婚。第二天晚上卡文，守护灵大哥再次给了灵感，最终结局的婚宴上守护灵大哥坐了主桌。,4,16,89,西班牙,,,西班牙
5,5013277077668881,超爱喝柠檬水202210,2024-03-18 14:04:20,求助为什么事实三中，赵某要构成故意伤害啊，题目中并没有交代轻伤以上啊#法考##柏浪涛# @柏浪涛 柏浪涛 ,0,0,0,江苏,徐州,江苏,中国
5,5013261622182236,全直食堂,2024-03-18 13:02:54,3698 【求助】推文中插问卷打扰大家了😭毕业论文定成了同人文化研究，现在实在不知道该去哪撒网打捞网友助力毕业了🥺附上链接网页链接基本上都是很简单的题目，非常非常感谢大家帮忙！ ,0,20,13,四川,德阳,四川,中国
