页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5026009323932411,西安培华学院,2024-04-22 17:17:44,#培你学党史#  中央强调，在十七大代表选举工作中要认真贯彻执行民主集中制，充分发扬党内民主，把（   ）贯穿于选举工作的全过程。  网页链接 ,0,0,1,,,陕西,中国
2,5013362087297280,smile2to4life,2024-03-18 19:42:07,小团体内部的民主简称党内民主 ,0,0,0,四川,成都,四川,中国
2,5010421064928946,孤鸿泽v2,2024-03-10 16:55:34,中国是一个封建历史很长的国家，我们党对封建主义特别是对封建土地制度和豪绅恶霸进行了最坚决最彻底的斗争，在反封建斗争中养成了优良的民主传统；但是长期封建专制主义在思想政治方面的遗毒仍然不是很容易肃清的，种种历史原因又使我们没有能把党内民主和国家政治社会生活的民主加以制度化，法律化，或者虽然制定了法律，却没有应有的权威。这就提供了一种条件，使党的权力过分集中于个人，党内个人专断和个人崇拜现象滋长起来……--《关于建国以来党的若干历史问题的决议》,3,6,48,北京,北京,北京,中国
2,5003590501142789,狼尾巴草,2024-02-20 20:33:20,•优先考虑经济、物质和社会发展；•使马克思列宁主义思想灵活变通，适应国情；•打击腐败，加强党纪建设；•党、政府和军队领导人员的轮换、退休和变动各级；•促进“党内民主”和“党外协商”；•改革和振兴地方党支部；•提高干部能力、招聘和培训；•防范西方颠覆和“和平演变”；•关注一系列社会发展问题；•善待少数民族和知识分子；•奉行开放和融入国际社会的外交政策,0,0,0,江苏,南京,江苏,中国
2,5003172508865430,miviya,2024-02-19 16:52:23,胖东来的民主评议就是我党一直以来党内民主集中制的模式，如果党员违规都要按类似这样流程来最后落实，也是每年各基层组织要对党员一年工作生活开展的民主测评 能有多新鲜呐…只是平时少有人提及，也可能少有组织真正落实……导致有些人吧一看到“民主”就想到美西方的模式，无语啦… ,0,1,2,上海,,上海,中国
2,4997109185778185,LX_霄,2024-02-02 23:18:54,2023-05-25 03:30:34当反右倾斗争发展成反右派运动的时候，党内民主已经遭到破坏，思想认识上也就存在对形势的过度估计。为了正本清源，必须极左才能打倒右派。在没有撞到南墙，无路可走之前，保持极左有政治上的必要，又有成功的经验背书。实现左与右的平衡，好像就是一个瞬时动作。对于极权体制来说，保党永远大于保国，在这点上，国共两党其实不分伯仲。极权本不是问题，但需要明主。,0,0,0,重庆,,重庆,中国
2,4996226006912304,lanier7,2024-01-31 12:49:28,扎实做好民主生活会“后半篇”文章要以开展民主生活会为契机，进一步坚定理想信念。开展民主生活会对提升党内民主决策水平，提高党内决策的科学性、民主性和透明度，加强党内监督和自我纠错能力具有重要意义。作为党的干部，我们必须坚定捍卫“两个确立”、坚决做到“两个维护”，在真学真信中坚定理想信念，在学思践悟中牢记初心使命，把“两个维护”落实到工作全方面各领域，作为一切工作的政治原则、政治保障，以党的旗帜为旗帜、以党的方向为方向、以党的意志为意志，自觉把爱党、忧党、为党、护党贯穿始终，充分发挥党委“领航把关”作用，按照主题教育“学思想、强党性、重实践、建新功”总要求，教育引导广大党员干部不断提高政治判断力、政治领悟力、政治执行力，形成层层传导、人人落实的良好氛围。,0,0,1,浙江,丽水,浙江,中国
2,4996202816865449,白小白小白小白小白小白_6556,2024-01-31 11:17:19,扎实做好民主生活会“后半篇”文章一、要以开展民主生活会为契机，进一步坚定理想信念开展民主生活会对提升党内民主决策水平，提高党内决策的科学性、民主性和透明度，加强党内监督和自我纠错能力具有重要意义。作为党的干部，我们必须坚定捍卫“两个确立”、坚决做到“两个维护”，在真学真信中坚定理想信念，在学思践悟中牢记初心使命，把“两个维护”落实到工作全方面各领域，作为一切工作的政治原则、政治保障，以党的旗帜为旗帜、以党的方向为方向、以党的意志为意志，自觉把爱党、忧党、为党、护党贯穿始终，充分发挥党委“领航把关”作用，按照主题教育“学思想、强党性、重实践、建新功”总要求，教育引导广大党员干部不断提高政治判断力、政治领悟力、政治执行力，形成层层传导、人人落实的良好氛围。二、要以查摆问题为抓手，进一步强化为民情怀开展专题民主生活会让大家“露丑揭短”，能够营造出共同面对问题、共同解决问题的良好氛围，对提高党组织的凝聚力和战斗力起到了重要作用。我们要更加坚定把党的初心内化为个人真心、诚心、忠心的信念，进一步树牢了“以人民为中心”的发展思想，增强为民服务的公仆情怀。作为联系民生的最前线、最紧密，要自觉做到心里装着群众、感情亲近群众、行动走进群众，以“人民的勤务员”为工作标准，以“向群众汇报”为政治站位，落实好“向群众汇报”制度，定期深入一线、深入基层、深入群众，了解情况、解决问题。要坚持聚焦重点，积极响应在全党大兴调研之风的号召，深化运用“四下基层”制度，始终坚持问题导向，直奔问题而去，直面困难而来，在“基础研究”的大思路、大方向、大背景下深入一线单位，对当前党员干部在实际工作中存在的问题，需要关心关爱的方面进行大排查、大梳理，寻找问题的共性与差异，把问题研究具体、研究深入，把解决问题的好招实招提出来，把“问题清单”转化为“成效清单”，让人民群众切实感受到解决问题的实际成效。三、要以问题整改为依托，进一步强化责任落实作为新时代党的干部，要紧绷思想之弦，自觉肩负起作风建设和执行力建设的主体责任和具体责任，实现效果最大化，找准工作落实“第一责任人”的根本定位，强化思想自觉和行动自觉，准确判断当前面临的形势与任务，多啃“硬骨头”，敢于“打硬仗”，练就“硬本领”。同时要充分发挥“关键少数”带头作用，落实党风廉政建设“一岗双责”，坚持以身作则、以上率下，带头遵守廉洁纪律，时时处处严以律己，把年度全面从严治党任务同主题教育结合起来，把“当下改”“长久立”结合起来，形成长效保障机制，以优良党风革政风促民风。,0,0,0,贵州,安顺,贵州,中国
3,4995551013636677,花海溪雪,2024-01-29 16:07:17,谈心谈话“三部曲”在党内广泛开展谈心活动是我们党的优良传统，是发扬党内民主、增进党内团结、推动党的事业发展的有效途径和形式，对于加强党的自身建设、保持党的先进性具有重要意义，是构建党员长期受教育、永葆先进性长效机制的一项重要任务。为更好的开展谈心谈话，确保活动扎实推动干部工作开展，应当做到以下几点。谈话前要“未雨绸缪”。要以谈话对象为中心，全面了解其履职情况、思想动态、家风建设等方面情况，不但要清楚“八小时内”的工作状态，也要知道“八小时外”的生活作风。在此基础上确定谈话“目标”，梳理谈话内容，确定谈话形式，引导谈心对象说出真话、实话，提出日常不愿提、不便提的意见。以实际存在问题为导向，增强针对性，有的放矢的去谈，避免千篇一律、不着边际，做到“谈之有物”、“谈准根源”、“谈而有效”。谈话时要“秉公而谈”。批评要有坚持真理的勇气，切实掌握好批评与自我批评这个‘思想武器”。要摒弃私心杂念，打消思想顾虑，本着对同志对事业高度负责的态度，把问题摆上桌面，把意见提在当面，不文过饰非、敷衍塞责。要敢于打破情面，展开健康、积极的“思想交锋”。在原则问题上必须亮明态度，不采取事不关已、高高挂起的自由主义态度，不奉行明哲保身、患得患失的处世哲学，不搞姑息迁就、一团和气那一套。谈话对象要敢于“淬烈火”，把问题听清、把根源找准、把措施想好，通过“红红脸”“出出汗”分析自己的问题和不足，深入查找问题根源所在，明确整改方向。谈话后要“常耕不辍”。在谈话工作后，更要紧抓谈话对象整改效果，谈话只是手段，推动干部更好的开展工作才是意义所在。实行“一人一档”制度，收集整理谈话过程中的所提出的问题，对后续整改行动进行跟踪督导，每月对各项问题整改情况进行分析汇报，形成整改实效。对整改力度大，整改效果好的干部进行正面典型树立，让大家看到努力的方向是什么，整改的标准是什么，对敷衍了事、“一谈了之”的干部要再次约谈警示，防止谈时热、做事冷，说做“两面皮”。把谈心谈话的成果在实际工作的“答卷”中体现。,0,0,0,山西,大同,山西,中国
3,4995522287634695,金牛座晨光草原,2024-01-29 14:13:08,浅谈如何开好基层主题教育专题民主生活会和专题组织生活会要想加强党内监督，充分发扬党内民主，仅仅依靠领导班子自身力量来解决矛盾和问题的重要方式我认为有欠缺，并且也不是唯一途径。必须做到：一，首先召开高质量的专题民主生活会和组织生活会，是主题教育检视整改的重要载体，也是对主题教育成果的盘点检视。开好专题民主生活会和组织生活会，是一次政治体检，也是检验主题教育成效的一项重要内容。二、其次要对照理论学习、政治素质、能力本领、担当作为、工作作风、廉洁自律等6个方面突出问题，特别是对照习近平总书记关于以学铸魂、以学增智、以学正风、以学促干的12条具体要求，对标对表习近平新时代中国特色社会主义思想和党中央重大决策部署，系统梳理调研发现的问题、推动发展遇到的问题、群众反映强烈的问题，结合巡视巡察、审计监督发现的问题，形成全面、准确、具体、针对性强的问题清单。三、在召开民主生活会时一定要结合自身工作实际：1、把自己摆出来，既那些应该做那些不应该做或者没做到位，一一罗列，进行查缺补漏。2、把自身工作职责摆到桌面，既工作范畴做到不越线、不打折扣、不打亲情牌，3、把自身业务学习提到生活会上，做到精益求精，不盲从、不跟风。把工作摆进去，结合学、查、改、批进行自我刨铣再进行开展自我批评，从政治思想、业务能力、工作作风、履职尽责纪律等方面进行深刻分析，找准遗漏弊端，将灵魂深处的病根对照检视出来，再对症下药势必会起到事半功倍的效果。四是开展批评要真枪实弹，切莫华而不实走流程、走过场，敢于碰硬，勇于肢解思想上的被动、守旧、追寻先辈红色足迹，重塑全新自己。五、相互批评要谈实际问题、点真问题，模棱两可的话不说，达到一针见血目的，而不是仅仅出出汗、红红脸的望梅止渴的微小效果。对检视发现的问题，一项一项制定整改措施，能改的马上改，一时解决不了的，要盯住不放，持续整改达到真正排毒治病的效果。 兴安,0,0,1,内蒙古,兴安,内蒙古,中国
