页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049069213059293,抚顺检察,2024-06-25 08:29:30,【北京市法学会举办2024年“百名法学青年英才”党性教育及业务能力培训】#民法典通解通读# 为切实加强对青年法学英才的政治引领，提升专业素质能力，建设德才兼备的高素质青年法治人才队伍，2024年6月19-20日，市法学会与中国人民大学合作举办“百名法学青年英才”党性教育及业务培训，共计80余名青年英才参加培训。BRTV民法典通解通读的微博视频,0,0,0,,抚顺,辽宁,中国
2,5048901493330544,呼和浩特铁路运输法院,2024-06-24 21:23:03,『学条例 明规矩 知敬畏 强党性 | 呼铁法院法警大队组织开展党纪学习教育』学条例 明规矩 知敬畏 强党性 | 呼铁法院法警大队组织开展党纪学习教育 ,0,0,0,,呼和浩特,内蒙古,中国
2,5048781190202982,西铁资讯,2024-06-24 13:25:00,#西铁微视角# 乘坐红色列车，感悟初心使命，6月20日，西安房建公寓段150名党员干部乘坐57942次“延安号”红色列车向革命圣地延安出发，参观延安革命纪念馆开展“传承延安精神，强化党纪教育”主题党日活动，提升全体党员学纪、知纪、明纪、守纪的自觉性，激发爱国热情，接受一次深刻的思想洗礼和党性教育。（肖赛）,4,23,23,,西安,陕西,中国
2,5048835943174102,威海妇幼,2024-06-24 17:02:34,近日，威海市妇幼保健院组织220余名党员干部分批次赴胶东（威海）党性教育基地刘公岛教学区开展“遵规守纪 砥砺本色”党纪学习教育主题党日活动，接受党性教育，传承红色基因，凝聚奋进力量，推动党纪学习教育走深走实。威海市妇幼保健院开展“遵规守纪 砥砺本色”党纪学习教育主题党日活动 ,0,0,0,,威海,山东,中国
2,5048827300284367,呼和浩特市赛罕区中专路街道,2024-06-24 16:28:14,【【主题党日】创业社区党委组织参观赛罕区廉政教育基地】为增强纪律规矩意识，教育引导党员常敲思想警钟、常紧纪律之弦、常存敬畏之心，不断提高党性修养和拒腐防变能力，6月24日上午，创业社区党委组织党员参观赛罕区廉政教育基地。 ,0,0,0,,呼和浩特,内蒙古,中国
2,5048822502000168,廉洁青白江,2024-06-24 16:09:09,【脑子里要有个“紧箍咒”】做到脑子里始终有个“紧箍咒”，需要党员干部具备崇高的理想信念、坚强的党性修养。有了坚定的理想信念和深厚的党性修养作支撑，党员干部才能提高遵守纪律的自觉性。各级党组织要抓好理想信念教育，帮助党员干部筑牢信仰之基、补足精神之钙、把稳思想之舵，不断固本培元、提升境界、强化自律，成为党规党纪的自觉尊崇者、坚定执行者、忠实捍卫者。网页链接,0,0,0,,成都,四川,中国
2,5048777415853125,中国市场监管报,2024-06-24 13:10:00,【于都多种形式开展党纪学习教育】为深入开展党纪学习教育，进一步锤炼党性修养，6月18日，江西省于都县市场监管局组织班子成员、各支部书记、机关党委委员、“小个专”党委委员、基层分局局长、机关各股室长等45人赴禾丰镇红三军团二师五团团部旧址及禾丰镇兰园廉政教育馆开展“学纪、知纪、明纪、守纪”党纪学习教育，推动党纪学习教育走深走实。在红三军团二师五团团部旧址，党员们看着一句句二师五团留下的宣传标语，仿佛看到了当年烽火连天的革命岁月，大家纷纷表示要走好我们这代人的新长征路。在兰园廉政教育馆，一句句警语、一幅幅图片、一桩桩案例，为党员干部敲响警钟，让大家接受了一场沉浸式党性党风党纪教育，大家表示深受震撼，要在工作生活的方方面面厚植清廉价值理念。在兰园廉政教育馆会议室，大家集体学习交流，研读《中国共产党纪律处分条例》。上党纪学习教育专题党课，交流发言，分享感悟。会议强调，党纪是党的生命线，信仰是前进的动力。市场监管干部要在党纪学习中不断明确方向，在工作生活中持续筑牢信仰，以更加坚定的信念、更加务实的作风、更加昂扬的斗志，为突出打造“四大品牌”、建设“四个于都”贡献市场监管力量。大家纷纷表示，要以此次学习教育为契机，将党纪学习教育与践行“干部要干、思路要清、律己要严”要求贯通起来，把党纪学习教育的成果转化为促进本职工作的有效举措，以更加奋发有为的精神状态和只争朝夕的工作作风，为奋力谱写中国式现代化市场监管篇章作出新的更大贡献。（王雨林）,0,0,0,,,北京,中国
2,5048739668427362,天津西青,2024-06-24 10:40:00,【西青区大寺镇梅江康城社区邀请市委党校老师讲党课】#西青新闻速递# 为深入学习宣传贯彻习近平总书记视察天津重要讲话精神，教育引导党员干部不断提升党性修养，自觉遵守党的纪律，筑牢拒腐防变的思想防线，日前，大寺镇梅江康城社区党委特邀到市委党校李燕教授、赵静静老师为社区党员带来生动的党课讲座。西青区大寺镇梅江康城社区邀请市委党校老师讲党课,0,0,0,,天津,天津,中国
2,5048731078495909,美丽燕子矶,2024-06-24 10:05:53,通过下庙社区新时代文明实践站组织的党纪学习教育专题党课学习，让党员干部更加坚定了理想信念，增强了党性修养，以更高的标准要求自己，坚决杜绝各种违反纪律的行为，做到知敬畏、存戒惧、守底线。同时，将学习党纪与实际工作相结合，将纪律要求贯穿于工作的各个环节，以纪律为保障，努力提高工作效率和质量。（拟稿人：王岚 审核：张宝凤 发布：任子金） ,0,0,0,,南京,江苏,中国
3,5048729604720331,BRTV民法典通解通读,2024-06-24 10:00:01,【北京市法学会举办2024年“百名法学青年英才”党性教育及业务能力培训】#民法典通解通读# 为切实加强对青年法学英才的政治引领，提升专业素质能力，建设德才兼备的高素质青年法治人才队伍，2024年6月19-20日，市法学会与中国人民大学合作举办“百名法学青年英才”党性教育及业务培训，共计80余名青年英才参加培训。 BRTV民法典通解通读的微博视频,4,0,0,,北京,北京,中国
