页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049168221440384,儋州检察,2024-06-25 15:02:56,《“七一”主题系列活动（二）：警示教育会》为推动党的纪律要求入脑入心，始终做到心怀敬畏、心存戒惧、心中有纪，不折不扣把党纪要求落实到检察履职之中，近日，我院召开警示教育会，院党组书记、检察长罗凡兴出席会议并讲话，院领导及全体干警参加会议。网页链接 ,0,0,0,,儋州,海南,中国
2,5049138419075268,阳光宝安,2024-06-25 13:04:30,【争分夺秒抓经济 以最大努力争取最好结果】6月24日，宝安区委常委会召开扩大会议，同时套开区委理论学习中心组学习会、区委党的建设工作领导小组会议，深入学习贯彻习近平总书记关于全面加强党的纪律建设的重要论述和中央党的建设工作领导小组有关通知精神，认真学习新修订的《中国共产党纪律处分条例》，以及省、市有关会议精神，研究贯彻落实措施。宝安日报数字报,0,0,0,,深圳,广东,中国
2,5049112624106053,热土铁山港,2024-06-25 11:22:00,【北海市铁山港区机构改革动员部署会议召开】6月24日，北海市铁山港区机构改革动员部署会议在区政务服务综合楼五楼会议室召开。区委书记莫华福出席会议并讲话。区政协主席彭岳军出席会议。莫华福指出，这次机构改革是在党的十九届三中全会以来党和国家机构职能实现系统性、整体性重构基础上推进的，是党的二十大和二十届二中全会作出的一项重大战略部署。各级各部门要深入学习贯彻习近平总书记关于深化党和国家机构改革的重要论述，进一步增强做好机构改革工作的责任感使命感和紧迫感，健全完善机构职能和体制机制，不断增强铁山港区高质量发展的动力活力。要把深化机构改革的出发点和落脚点放到顺应人民群众期待，破解人民群众反映突出的问题上来，不断健全完善民生领域的机构职能体系，推动资源、服务、管理向基层下沉，解决人民群众最关心最直接最现实的利益问题。莫华福强调，要全面准确把握深化机构改革各项目标要求，坚持和加强党的全面领导，不断夯实基层政权建设，将党的领导充分落实到基层。要紧扣服务保障中心大局和重点工作的基本要求，合理调整优化重点领域机构设置和职能配置。要聚焦提升治理能力和治理水平，持续深化行政执法体制改革，调整完善乡镇机构设置和管理体制，不断健全完善机构职能体系。要遵循优化协同高效的原则，对议事协调机构进行全面梳理、整合优化，做到科学规范从严管理。莫华福要求，要进一步加强组织领导，把机构改革工作作为当前一项重大政治任务来抓，牢固树立“一盘棋”思想，共同完成好机构改革任务。要做好思想政治工作，引导广大党员、干部带头贯彻党中央、自治区党委、市委和区委部署，积极支持机构改革。要严明纪律规矩，自觉服从大局，确保机构、职责、人员等按要求及时调整到位。要加强监督和执纪问责，严肃查处机构改革工作中的违规违纪问题，严肃追究相关人员责任，确保改革方向不偏离，改革任务不落空、不走样、不变形。会上，区委常委、组织部部长李佳振作机构改革方案具体说明。区委常委、办公室主任张良主持会议。区四家班子领导成员，铁管委领导班子成员，区人民法院院长、区人民检察院主要负责人，区直各有关单位、各镇党委政府主要负责同志参加会议。北海市铁山港区机构改革动员部署会议召开,0,0,0,,北海,广西,中国
2,5049109888633230,铜陵发布,2024-06-25 11:11:08,#铜陵要闻#【丁纯在市委理论学习中心组学习会议上强调：全面加强党的纪律建设 推动党纪学习教育取得实效张梦生刘亚东昌红梅等出席】6月24日下午，市委理论学习中心组召开学习会议，深入学习习近平总书记关于全面加强党的纪律建设的重要论述，传达学习中央党的建设工作领导小组有关文件精神，开展交流研讨；听取全市党纪学习教育开展情况汇报，研究部署下步重点工作。市委书记丁纯主持会议并讲话。省委讲师团团长张彪到会指导。市领导张梦生、刘亚东、昌红梅、潘荣华、洪建春、何田、郑刚、胡启书、马军等出席会议。部分市委理论学习中心组成员作研讨发言。 市委理论学习中心组召开学习会议,0,0,0,,铜陵,安徽,中国
2,5049108554845009,黔南检察,2024-06-25 11:05:50,#黔南检察转播# 6月20日，广东省潮州市潮安区检察院召开警示教育大会。会议组织学习了习近平总书记关于全面加强党的纪律建设的重要论述，通报违纪违法典型案例，引导全体检察人员以反面案例为戒，不断加强纪律作风建设，始终做忠诚干净担当的检察人。（来源：检察日报） ,0,0,2,,黔南布依族苗族自治州,贵州,中国
2,5049095951223090,民政为民,2024-06-25 10:15:45,民政部召开直属机关警示教育会6月20日，民政部召开直属机关警示教育会，深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，以案说德、以案说纪、以案说法、以案说责，教育引导党员干部反躬自省、自我警醒，推动党纪学习教育不断走深走实。民政部党组书记、部长陆治原出席会议并讲话。部党组成员、副部长、机关党委书记唐承沛主持会议。部党组成员出席会议。陆治原指出，习近平总书记关于全面加强党的纪律建设的重要论述，立足新时代全面从严治党伟大实践，为全面加强党的纪律建设、解决大党独有难题、推动全面从严治党向纵深发展提供了有力武器。要结合警示教育要求，学深悟透重要论述，始终把严守政治纪律和政治规矩放在首位，坚持以严的基调深化正风肃纪反腐，加强纪律教育，标本兼治筑牢拒腐防变的堤坝，进一步压紧压实“两个责任”，切实增强遵规守纪的政治自觉、思想自觉、行动自觉。陆治原强调，要坚持以案为鉴、正视问题根源，时刻保持永远在路上的清醒和坚定。深刻汲取理想信念动摇的教训，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂，不断筑牢对党忠诚的思想基础；深刻汲取纪律规矩意识淡化的教训，自觉将纪律规矩内化于心、外化于行，做到学纪、知纪、明纪、守纪；深刻汲取权力观、政绩观、事业观偏差的教训，始终一心为公、为民务实、担当尽责；深刻汲取家风家教不严的教训，始终公私分明、怀德自重、修身慎行，不断筑牢拒腐防变的家庭防线；深刻汲取教育管理不到位的教训，把落实管党治党责任作为最根本的政治担当，坚持从严管理、以严管体现厚爱。陆治原强调，要强化以案促学、促改、促治，推动党章党规党纪入脑入心，牢固树立“警”、“改”、“治”的意识，扎实推进全面从严治党向纵深发展。要强化组织领导，牢牢牵住责任制这个“牛鼻子”，层层压紧压实管党治党政治责任。要加强教育管理监督，锤炼党员干部忠诚干净担当，强化纪律意识、加强自我约束、提高免疫能力。要持续深化正风肃纪反腐，锲而不舍落实中央八项规定精神，不断织密扎牢制度的笼子，涵养风清气正的政治生态。要大力开展民政领域群众身边不正之风和腐败问题治理，注重从源头上纠治、从制度机制上破解，促进民政事业健康发展。会上，机关纪委通报了近年来查处的部直属机关有关党员干部违纪违法典型案例。驻部纪检监察组、各司（局）、中国老龄协会、各直属单位全体党员干部参加会议。,0,0,0,,沈阳,辽宁,中国
2,5049086991925559,北疆女声,2024-06-25 09:40:08,"#小北播报#【北疆巾帼铸魂之包头篇：“鹿城巾帼之声”“三融合”宣讲模式,让党的创新理论“宣”出特色、“声”入人心】为深入学习贯彻习近平新时代中国特色社会主义思想，全面贯彻落实党的二十大、中国妇女十三大、第七次妇女儿童工作会议精神，以铸牢中华民族共同体意识为主线，讲好“六句话的事实和道理”，更好发挥理论宣讲统一思想、凝聚力量、鼓舞斗志作用，引领广大妇女拥护“两个确立”、增强“四个意识”、坚定“四个自信”，从6月份开始，自治区妇联将以“北疆巾帼铸魂”为主题，持续推送盟市妇联“十百千万”北疆巾帼大宣讲中特色亮点，为庆祝中华人民共和国成立75周年，营造爱国奉献、团结奋进的浓厚社会氛围。今天，我们为大家推送的是包头市妇联采取“三融合”宣传宣讲模式，实现宣讲队伍融合、丰富优化内容形式，实现宣讲内容融合、线上线下齐发力，实现宣讲平台融合，全力打造“鹿城巾帼之声”宣讲品牌，让党的创新理论“宣”出特色，“声”入人心，引领鹿城妇女感党恩、听党话、跟党走。来源：来源：内蒙古自治区妇联宣传部 @包头女性  #坚定跟党奋进新征程 北疆巾帼建功新时代# 北疆巾帼铸魂之包头篇：让党的创新理论“宣”出特色、“声”入人心",0,0,1,,呼和浩特,内蒙古,中国
2,5049084065351920,西宁中院,2024-06-25 09:28:31,西宁中院召开党组（扩大）会议传达学习习近平总书记考察青海重要讲话精神6月24日下午，西宁中院党组书记、院长韩忠义主持召开党组（扩大）会议，专题传达习近平总书记考察青海重要讲话精神和省委、市委常委会（扩大）会议精神，研究全市法院学习宣传贯彻工作。会议指出，党的十八大以来，在新中国成立75周年和党的二十届三中全会即将召开的重要时刻，习近平总书记第三次考察青海并发表重要讲话，充分体现了对青海工作的高度重视、对青海人民的深切关怀，充分彰显了人民领袖的独特魅力和巨大号召力，让我们深切感受到人民领袖的深厚为民情怀，让我们深受鼓舞、倍感振奋、衷心拥护和由衷爱戴，习近平总书记的重要讲话为推动西宁在现代化新青海建设上走在前作表率提供了根本遵循。会议强调，全市法院要迅速行动起来，掀起学习宣传贯彻习近平总书记考察青海重要讲话精神的热潮。要深刻认识习近平总书记来青海考察调研的重大意义，把学习好、宣传好、贯彻好习近平总书记考察青海重要讲话精神作为当前和今后一个时期的首要政治任务，要从习近平总书记考察全过程和重要讲话的字里行间，深思细悟习近平总书记的殷殷嘱托。要坚决提高政治站位，增强政治机关意识，旗帜鲜明讲政治，坚定拥护“两个确立”，增强“四个意识”，坚定“四个自信”， 坚决做到“两个维护”，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂筑牢根本、锤炼品格强化忠诚，把“从政治上看”与“从法治上办”统一起来，聚力“干部要干、思路要清、律己要严”，以走在前作表率的实际行动，扛牢责任，真抓实干，不折不扣推动习近平总书记重要讲话精神在西宁法院落地见效。一要强化示范带动。班子成员和领导干部要带头学习，发挥“头雁”效应，先学一步、学深一层，以上率下领学促学，采取多种方式途径向广大干警、普通群众宣讲好习近平总书记重要讲话精神。要在深入学习领会中，进一步激发干警对习近平总书记和党中央的感恩之心、爱戴之情，进一步激发学习贯彻习近平总书记考察青海重要讲话精神的自觉性主动性。二要狠抓任务落实。要在深入学习领会的基础上，认真思考谋划分管工作和本部门本条线贯彻落实的思路举措，研究学习宣传贯彻习近平总书记考察青海重要讲话精神的意见，全面体现法院贯彻落实习近平总书记重要讲话精神的态度决心、工作思路和重点任务。要发扬“钉钉子”精神，结合工作实际，清单化、具体化推进，加大督查检查问效力度，形成一级抓一级、层层抓落实的良好局面。三要广泛宣传动员。要采取多种形式，全方位、多角度开展宣传宣讲。要持续宣传全市法院学习贯彻情况，特别是贯彻落实的新思路新举措新成效等，推动形成深入持久的强大舆论氛围，不断坚定全市法院为西宁在现代化新青海建设上走在前作表率提供更加有力的司法服务和保障的信心决心。会议要求，全市法院要自觉把思想和行动统一到习近平总书记对青海工作的重大要求上来，全面领会、全面把握、全面落实，把习近平总书记重要讲话精神落实到法院工作的全过程各方面。一要围绕培育产业体系，在服务保障大局上更有力度。要聚焦产业“四地”建设中的“一个创新基地、三个中心城市”定位，为具有西宁特色的现代化产业体系提供优质司法保障。要把顾大局的理念贯穿商事审判始终，妥善化解盐湖化工、清洁能源、生态旅游、特色农牧业等领域矛盾纠纷。要服务新质生产力，司法保障创新驱动，加强知识产权全链条保护，持续深化知识产权“三合一”审判机制。要通过案件审理分析研判反映的经济社会问题，二要围绕生态文明建设，在环境司法保护上更有强度。要深入践行习近平生态文明思想，切实扛牢生态环境保护重大司法责任，在构筑国家西部生态安全屏障上展现司法担当。要严厉打击违法排污、非法采砂等污染环境、破坏生态犯罪行为，服务青藏高原生态文明新高地山水林田湖草沙一体化保护和修复工程。要严格贯彻《青藏高原生态保护法》，着力做好高原生物多样性司法保护，严厉打击惩处非法捕杀国家重点保护的珍贵、濒危野生动物等破坏森林和野生动植物资源犯罪，依法保护生态环境。三要围绕保障改善民生，在司法服务群众上更有温度。要以“有诉必应马上办”机制为抓手，坚持“如我在诉”理念，持续完善司法为民举措，深入开展“枫桥式人民法庭”创建活动，努力解决好人民群众在打官司过程中急难愁盼的问题。要紧盯人民群众在教育、就业、医疗、社会保障、生态环境等方面更高层次的公平正义需求，在维护正义、救济权利、保障安全、优化服务等方面打造更加优质的司法产品。要追求案结事了政通人和的实质解纷效果，进一步做实诉前调解，着力推进诉源治理工作，破解“程序空转”。四要围绕民族团结进步，在增强法治担当上更有高度。要围绕创建铸牢中华民族共同体意识示范市目标，把铸牢中华民族共同体意识融入法院各项工作中。认真学习贯彻习近平总书记关于铸牢中华民族共同体意识的重要论述，把铸牢中华民族共同体意识纳入干警教育和宣传工作要点。要坚持法律面前人人平等的宪法原则，积极发挥审判职能，为各族群众创造良好法治环境。五要围绕党纪学习教育，在打造过硬队伍上更有深度。要坚持真抓实学、善始善终，“严”字当头，“实”字落地，以铁的纪律来确保公正与效率，以为大局服务、为人民司法的实际成效体现党纪学习教育成果。要持续深化警示教育成果和以案促改专项教育整治，常态化排查整治违反防止干预司法“三个规定”问题。要坚持党性党风党纪一起抓、正风肃纪反腐相贯通，集中整治群众身边不正之风和腐败问题，一体推进不敢腐、不能腐、不想腐。要通过从严抓实全员考核工作，充分激发广大干警真抓实干、能动履职的内生动力，激励全体干警奋进新征程、建功新时代，坚定不移沿着习近平总书记指引的方向奋勇前进。,0,0,0,,西宁,青海,中国
2,5049073054515902,台州发布,2024-06-25 08:44:46,【李跃旗率团赴西藏对接对口支援工作】今年是全国对口援藏30周年。6月24日，市委书记李跃旗率团赴西藏自治区对接对口支援工作，并召开台州·嘉黎对口支援联席会议，深入学习贯彻习近平总书记关于西藏工作的重要指示精神和新时代党的治藏方略，共商对口支援大计，共谋交流合作新篇，在新起点上推动对口援藏工作走深走实。台州市领导朱巧湘、林先华，西藏自治区那曲市政协副主席、嘉黎县委书记何林等参加有关活动；嘉黎县有关领导和台州援藏干部人才、西藏台州商会代表等参加会议。网页链接,0,0,1,,台州,浙江,中国
2,5049064808518576,文明延庆,2024-06-25 08:12:00,#文明延庆# 【区委理论学习中心组专题学习习近平经济思想】6月21日，区委理论学习中心组举行以“深入学习贯彻党的二十大和中央经济工作会议精神，全面贯彻落实习近平经济思想，加快新质生产力发展，为推动地区高质量绿色发展提供强大动能”为主题的学习（扩大）会议。区委书记于波，区委副书记、区长叶大华，区人大常委会主任吕桂富，区委副书记刘瑞成参加学习。会议首先播放了视频纪录片《加快形成新质生产力》，随后，邀请中央党校经济学部区域经济学教研室主任、教授、博士生导师施红，就“习近平经济思想”作专题辅导报告。专题辅导中，施红紧紧围绕习近平经济思想科学内涵，对为什么要发展、实现什么样的发展、怎样实现发展、怎样保证发展四个问题作了阐释，并着重讲解了什么是新质生产力、新质生产力的内涵与特征。辅导报告内容丰富、重点突出，既有理论高度，又有实践深度，为延庆区深入抓好习近平经济思想的学习贯彻拓展了思路、开阔了视野、提供了借鉴。于波强调，高质量发展是全面建设社会主义现代化国家的首要任务，发展是我们党执政兴国的第一要务。全区各单位、各部门、各级领导干部都要持续强化学习，进一步学懂弄通习近平经济思想蕴含的世界观和方法论，不断深化新时代做好经济工作的规律性认识，持续提升抓经济、促发展的能力和水平，切实成为领导和推动经济建设和高质量发展的行家里手，在推动京津冀协同发展走深走实、加快发展低空经济领域新质生产力、打造优化营商环境“北京服务”品牌、深入推进生态文明建设和绿色低碳发展等方面实现新增长、取得新突破，为首都高质量发展作出延庆贡献。会议以视频会议形式召开，区委、区人大常委会、区政府、区政协领导，区法院领导，以及各部门单位、街道乡镇、区属国有企业负责人等在主会场和视频分会场参加。会前，区委理论学习中心组成员还围绕学习主题充分开展个人自学，认真学习了习近平总书记关于推进中国式现代化的重要论述和习近平总书记关于推动高质量发展的重要论述，仔细研读了《习近平关于金融工作论述摘编》等权威书籍。,0,0,0,,北京,北京,中国
