页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5034687173231131,蓝天白云黑土10,2024-05-16 16:00:25,而道德和法律是全社会的底线和行事准则，并不是党员干部才有的。国外的政党纪律主要是对党的决策程序和决策内容负有保密和统一执行的义务。 ,0,0,0,北京,,北京,中国
2,5032503725002134,太原政法,2024-05-10 15:24:10,“谨言慎行，守口要密”说的是君子保守秘密的处世之道。我是保密法治代言人张智峰，今天要讲的是“科研人员出卖核心机密之黄宇案。国家安全部官方微信公众号推出专题《创新引领·国安砺剑》中，总结回顾总体国家安全观提出十年来，特别是党的二十大以来国家安全机关破获的十个重大间谍案件。其中披露了一起“科研人员出卖机密--黄宇案&quot;。一次单位改革中末位淘汰，黄宇被通知待岗，他认为是领导在排挤自己，出于怨恨心理，他便出卖自己掌握的核心机密以报复单位，同时攫取巨额利益。我国保密信息就这样落入了外方手中，给国家安全带来了严重的危害。最终黄宇被法院以间谍罪判处死刑。他的妻子和姐夫也因“过失泄露国家秘密罪”分别被判处五年和三年有期徒刑。黄宇一案能够警醒每人，在面对各种诱惑的时候，一定要牢牢坚守作为中国公民的底线，国家安全是每一个公民的共同责任，无论身处何种岗位、拥有怎样的知识和能力，都不能忘记自己的初心和使命，不能因一时的私欲而作出背叛国家和人民的事情。通过一个个真实的保密故事，我们应从故事中传承党保密工作的优良传统，把保密工作贯穿于各领域全过程，为保守党和国家秘密作出贡献。尖草坪检察的微博视频,0,0,0,,太原,山西,中国
2,5029171765707057,雄安发布,2024-05-01 10:44:08,【新修订保密法，今日施行】#雄安发布# 2月27日，《中华人民共和国保守国家秘密法》（以下简称保密法）经第十四届全国人民代表大会常务委员会第八次会议修订通过，于2024年5月1日起正式施行。这次保密法修订，将党的十八大以来保密工作成熟有效的政策措施和实践经验上升为法律制度，为维护国家秘密安全奠定了坚实基础。一起学习新法的10个知识点➡️,0,0,1,,石家庄,河北,中国
2,5028925745135815,luo罗含,2024-04-30 18:26:32,出事了第一时间就是想怎么保密，果然是党的好干部啊… ,0,0,0,广东,肇庆,广东,中国
2,5025967481815411,邛崃文旅,2024-04-22 14:31:27,【#2024年全国保密宣传教育月# 】在生活中从不会提及任何党的机密，不应该说的事，不说；不应该问的事，不问；不应该看的文件，不看。一个严守保密纪律的共产党员——周恩来四川文旅的微博视频 ,0,0,1,,成都,四川,中国
2,5024833952023722,南京政务服务,2024-04-19 11:27:14,#小宁有礼了##保密宣传月# 今天的题目来啦⬇️转发附上正确答案参与抽奖哦奖品是充电宝一个哦～党的二十大报告提出，要全面加强国家安全教育，提高各级领导干部统筹发展和安全能力，增强全民国家安全意识和素养，筑牢国家安全（    ）。A.人民防线B.政治防线C.思想防线D.根本防线  抽奖详情,64,56,51,,南京,江苏,中国
2,5024814901233835,山西省通信管理局,2024-04-19 10:11:32,山西省通信管理局组织开展保密学习教育培训4月16日，为深入贯彻落实总体国家安全观，切实增强干部职工保密意识，提升机关保密工作水平，山西省通信管理局党组书记、局长姜玉波带领干部职工赴山西省保密教育实训平台开展保密专题教育培训活动。培训中，工作人员系统介绍了党的保密工作史及保密工作优良传统，分析了新时期保密工作面临的形势任务，讲解了窃密泄密典型案件。以文字图片展示、现场互动演示等方式，讲解计算机、手机、打印机等办公自动化设备的窃密泄密攻防技术及日常风险防控要点。讲解结束后，全体干部职工集体观看了保密警示教育片，并在现场参与保密知识答题。通过本次实地教育培训，参训干部职工更加深刻认识到保密工作的极端重要性，切实增强了“保守机密，慎之又慎”的政治责任感，树牢了“保密工作无小事”的底线思维和红线意识。大家纷纷表示，将进一步提高政治站位，履行保密责任，严守保密纪律，时刻紧绷保密这根弦，共同筑牢保密安全防线，自觉维护党和国家的安全和利益。,0,0,0,,太原,山西,中国
2,5024573634906495,玉溪市生态环境局,2024-04-18 18:12:49,【元江县丨元江分局组织关于开展保密与密码宣传教育月系列活动】 为做好服务保障党的安全保密环境，切实提升做好新时代机要密码和保密工作的责任感和使命感。玉溪市生态环境局元江分局以“你我都是保密人”为主题开展元江县保密与密码宣传教育活动。 元江县丨元江分局组织关于开展保密与密码宣传教育月系列活动 ,0,0,0,,玉溪,云南,中国
2,5024186934497274,贵州省司法警官学校,2024-04-17 16:36:13,【主题党日】树牢总体国家安全观   筑牢民族复兴根基4月17日下午，戒毒社区矫正业务教研室党支部开展“树牢总体国家安全观  筑牢民族复兴根基”主题党日活动。旨在学习贯彻落实党的二十大精神，深入学习习近平总书记国家安全观的重要论述，切实强化全体党员的国家安全意识、国防意识、保密意识等安全防线，全面践行总体国家安全观。全体党员先是学习党的二十大报告关于推进国家安全体系和能力现代化，坚决维护国家安全和社会稳定，《习近平著作选读》（第一卷）之坚持总体国家安全观以及《中华人民共和国国家安全法》《中华人民共和国保守国家秘密法》等法律法规，然后观看视频国防大学国家安全学院程炜教授主讲的坚定不移贯彻总体国家安全观，确保新时代新征程国家安全。引领支部党员坚持以习近平新时代中国特色社会主义进一步强化维护国家安全的意识，增强防范安全风险的能力。党员们表示，国家安全无小事！要认真学习贯彻习近平总书记关于国家安全的重要论述精神，牢固树立国家安全意识，把自己融入国家安全大局，在工作和生活中始终绷紧安全保密这根弦，做维护国家安全的积极践行者和模范遵守者。,0,0,0,,贵阳,贵州,中国
2,5023741895509272,四川司法警院,2024-04-16 11:07:47,#全民国家安全教育日# 从阅读《毛泽东与保密工作》，到学习《中华人民共和国保守国家保密法》，从红军时期“遵守秘密，服从纪律”，到如今“严守党的纪律，保守党的秘密”时刻提醒我们：常敲“保密钟”，绷紧“保密弦”，筑牢保密之盾，守护家国安全！（视频来源：蓬安法院）@蓬安政法 蓬安政法的微博视频,0,42,35,,成都,四川,中国
3,5023507299174476,市说新语,2024-04-15 19:35:35,【“4·15”全民国家安全教育日：筑牢保密防线，守护国家安全】2024年是习近平总书记提出总体国家安全观10周年，今天，我们迎来了以“总体国家安全观 创新引领10周年”为主题的第九个全民国家安全教育日。党的二十大报告强调：“国家安全是民族复兴的根基，社会稳定是国家强盛的前提。必须坚定不移贯彻总体国家安全观，把维护国家安全贯穿党和国家工作各方面全过程，确保国家安全和社会稳定”。进入新时代，国际国内形势发生深刻变化，面对新问题、新挑战，保密工作始终处于反窃密防泄密斗争的第一线，与国家安全领域高度融合，是国家安全体系的重要组成部分，必须深入贯彻落实总体国家安全观，做到国家安全领域拓展到哪里，保密工作就覆盖到哪里。国家安全与每一个人息息相关，让我们做好新时代新征程保密工作，携手筑牢保密防线，共同守护国家秘密安全！（来源：保密观）,3,1,0,,北京,北京,中国
3,5023448095263858,正义五河,2024-04-15 15:40:20,【全民国家安全教育】党的十八大以来，习近平总书记一直高度重视国家安全宣传教育，反复强调要以总体国家安全观为指导，全面实施国家安全法，深入开展国家安全宣传教育。中华人民共和国保守国家秘密法第九条   国家采取多种形式加强保密宣传教育，将保密教育纳入国民教育体系和公务员教育培训体系，鼓励大众传播媒介面向社会进行保密宣传教育，普及保密知识，宣传保密法治，增强全社会的保密意识。第三十三条   报刊、图书、音像制品、电子出版物的编辑、出版、印制、发行，广播节目、电视节目、电影的制作和播放，网络信息的制作、复制、发布、传播，应当遵守国家保密规定。当发现泄露或可能泄露国家秘密时，有以下举报途径：1.拨打国家安全机关举报受理电话：123392.登录国家安全机关互联网举报受理平台网站：www.12339.gov.cn3.到国家安全机关当面举报4.向国家安全机关投递信函5.通过其他国家机关或举报人所在单位向国家安全机关报告 正义五河的微博视频,0,0,1,,蚌埠,安徽,中国
3,5023356149301690,烟台音乐广播,2024-04-15 09:34:58,【1059听天下】今年是长春电影制片厂建厂80周年，长影集团进一步盘活丰厚的红色资源，利用长影译制片配音人才的团队优势，借助“声音的艺术”为电影艺术传播另辟蹊径，打造 “长影百部红色经典电影广播剧”项目。据悉，首批10部作品制作完成。目前，首部作品《保密局的枪声》已上线播出。随后，《党的女儿》《董存瑞》《红孩子》《黄河少年》《甲午风云》《两个小八路》《战火中的青春》《祖国的花朵》《钢铁战士》9部经典电影广播剧也将陆续上线。（更多新闻，请关注收听FM105.9#烟台音乐广播#每逢半点播出的《1059听天下》）,0,0,0,,烟台,山东,中国
3,5022743374596551,北京大兴,2024-04-13 17:00:01,#全民国家安全教育日# 中华人民共和国成立以来，保密工作在巩固党的执政地位和人民政权建设、维护国家的安全和利益、保障社会主义现代化建设事业的顺利进行中发挥了重要作用。新时代新征程，我们要强化使命担当，严格依法治密，不断推进保密工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业贡献保密力量！保密观的微博视频,0,0,1,,北京,北京,中国
3,5022416214955350,重庆轨道交通,2024-04-12 19:20:00,#全国保密宣传教育月# 【干惊天动地事 做隐姓埋名人】“以身许国，誓干惊天动地事；潜心科研，甘做隐姓埋名人。”黄旭华院士用自己的人生诠释了这句话；“一句誓言，一辈子力量。”保密是党的优良传统，黄旭华奉献无悔青春，坚守保密防线，用最饱满的家国情怀给出了答案！ 重庆轨道交通的微博视频 ,2,3,9,,重庆,重庆,中国
3,5022383163313529,小昱箝股问势,2024-04-12 17:08:40,转发：保密工作做的不错日前，国务院印发《关于加强监管防范风险推动资本市场高质量发展的若干意见》（以下简称《意见》）。《意见》指出，要以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届二中全会精神，紧紧围绕打造安全、规范、透明、开放、有活力、有韧性的资本市场，以强监管、防风险、促高质量发展为主线，更好发挥资本市场功能作用，推进金融强国建设，服务中国式现代化大局。《意见》强调，必须坚持和加强党的领导，确保资本市场始终保持正确的发展方向；必须始终践行金融为民的理念，更加有效保护投资者特别是中小投资者合法权益；必须全面加强监管、有效防范化解风险，确保监管“长牙带刺”、有棱有角；必须始终坚持市场化法治化原则，进一步全面深化资本市场改革，统筹好开放和安全；必须牢牢把握高质量发展的主题，更加有力服务国民经济重点领域和现代化产业体系建设。《意见》要求，要严把发行上市准入关，提高主板、创业板上市标准，完善科创板科创属性评价标准，扩大现场检查覆盖面，强化发行上市全链条责任，加大发行承销监管力度，严查欺诈发行等违法违规问题。要严格上市公司持续监管，构建资本市场防假打假综合惩防体系，严厉打击各类违规减持，强化上市公司现金分红监管，推动上市公司提升投资价值。要加大退市监管力度，进一步严格强制退市标准，畅通多元退市渠道，精准打击各类违规“保壳”行为，健全退市过程中的投资者赔偿救济机制。要加强证券基金机构监管，强化股东、业务准入管理，积极培育良好的行业文化和投资文化，完善行业薪酬管理制度，坚决纠治不良风气，推动行业回归本源、做优做强。要加强对高频量化等交易监管，严肃查处操纵市场恶意做空等违法违规行为，加强战略性力量储备和稳定机制建设，将重大经济或非经济政策对资本市场的影响纳入宏观政策取向一致性评估，增强资本市场内在稳定性。要大力推动中长期资金入市，大力发展权益类公募基金，优化保险资金权益投资政策环境，完善全国社会保障基金、基本养老保险基金投资政策，鼓励银行理财和信托资金积极参与资本市场。要进一步全面深化改革开放，推动股票发行注册制走深走实，提升对新产业新业态新技术的包容性，促进新质生产力发展，完善多层次资本市场体系，坚持统筹资本市场高水平制度型开放和安全。要加强资本市场法治建设，加大对证券期货违法犯罪的联合打击力度，深化央地、部际协调联动，打造政治过硬、能力过硬、作风过硬的监管铁军，推动形成促进资本市场高质量发展的合力。 小昱箝股问势的微博视频,2,0,2,河南,郑州,河南,中国
