页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047641789959596,国资小新,2024-06-21 09:57:26,【国网青岛供电公司：多维并进，提升党纪学习教育成效】开展#党纪学习教育#是以习近平同志为核心的党中央作出的重大决策部署，是党的政治生活中的一件大事。国网青岛供电公司紧紧围绕党纪学习教育要求，坚持学习、警示、实践一体推进，切实提升党纪学习教育成效。围绕“党纪学习教育”这一核心主线，系统化推进“一体化”学习；把握“两个关键”，推进警示教育；做好“三个结合”，提升“实践式”成果。@国网山东电力  国网青岛供电公司：多维并进，提升党纪学习教育成效,0,1,5,,北京,北京,中国
2,5047634157374487,青白江区委党校_,2024-06-21 09:27:06,【郭改英：推动党纪学习教育走深走实】       开展党纪学习教育是以习近平同志为核心的党中央作出的重大决策部署，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。我们要深入学习贯彻习近平总书记的重要讲话和重要指示精神，落实中共中央办公厅印发的《关于在全党开展党纪学习教育的通知》要求，准确把握党纪学习教育的目标要求，深化思想认识、抓住学习重点、压紧压实责任，强化党的政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律教育，做到学纪、知纪、明纪、守纪，把遵规守纪刻印在心，内化为言行准则，进一步推动党纪学习教育走深走实。（马研网）网页链接,0,0,0,,成都,四川,中国
2,5047627735108144,雅安生态环境,2024-06-21 09:01:35,6月19日，绿美雅安·环保攻坚专项行动动员部署电视电话会议召开，市委副书记、市长彭映梅出席会议并讲话，强调要深入学习贯彻习近平生态文明思想，全面落实党的二十大精神和省委、省政府有关决策部署，不断厚植生态本底、筑牢绿色屏障，全力推进高质量发展与高水平保护相得益彰。厚植生态本底 筑牢绿色屏障 绿美雅安·环保攻坚专项行动动员部署电视电话会议召开 ,0,2,1,,雅安,四川,中国
2,5047339152843119,喜马拉雅豆芽,2024-06-20 13:54:52,从古田到延安，这次重要会议传递哪些鲜明信息？：在这次中央军委政治工作会议上，习主席充分肯定了新时代政治建军的历史性成就。他说，党的十八大以来，党中央果断决策召开古田全军政治工作会议，以整风精神推进政治整训，坚定不移全面从严治党、全面从严治军，决心之大前所未有，力度之大前所未有，新时代政治建军取得历史性成就。 从古田到延安，这次重要会议传递哪些鲜明信息？,0,0,0,陕西,宝鸡,陕西,中国
2,5047318678605059,正义的小六,2024-06-20 12:33:30,【#深入学习贯彻新时代中国特色社会主义思想# 着力提高调查研究质量】［#调查研究#］着力提高调查研究质量，运用党的创新理论研究新情况、解决新问题，是深入学习贯彻重要讲话精神、贯彻落实党中央决策部署、深入开展主题教育的必然要求。 着力提高调查研究质量 ,0,0,0,山西,阳泉,山西,中国
2,5047030801764117,航空融媒,2024-06-19 17:29:35,近年来，航空工业通飞坚持和加强党的全面领导，全面贯彻落实中国航空工业集团2024年工作会精神和各项决策部署，完整准确全面贯彻新发展理念，坚持以“高质量发展”为主题、以“不发生系统性风险”为底线，所属单位通飞华南、特飞所、航标等围绕十四五”规划，针对重点型号、科技创新、人才培养开展了一系列工作，取得显著成效。#航空报国 航空强国#  以科技创新汇聚通飞高质量发展新动能,0,0,0,,西安,陕西,中国
2,5047005957326455,青白江交通运输,2024-06-19 15:50:52,【《2023年交通运输行业发展统计公报》评读】2023年是全面贯彻党的二十大精神的开局之年，全国交通运输系统以习近平新时代中国特色社会主义思想为指导，全面贯彻落实党中央、国务院决策部署，奋力加快建设交通强国，各项工作取得积极进展。最新发布的《2023年交通运输行业发展统计公报》中的一组组数据鼓舞人心，描绘了一幅“流动的中国”的美好画卷。《2023年交通运输行业发展统计公报》评读,0,0,0,,成都,四川,中国
2,5046994091376904,草原明珠锡林浩特,2024-06-19 15:03:42,【2024年大学生实习“扬帆计划”岗位征集公告】2024年大学生实习“扬帆计划”岗位征集公告为深入学习贯彻党的二十大精神，落实习近平总书记关于高校毕业生就业工作的重要指示精神和党中央有关决策部署，持续推进共青团促进大学生就业行动落到实处，帮助我市在校大学生、毕业生明确职业目标，提升社会化能力和就业竞争力，加快促进角色转换，锡林浩特市团委开展2024年大学生实习“扬帆计划”，现向全市党政机关、企事业单位征集实习岗位。实习时间2024年全年开展，原则上参加实习的在校大学生实习时间不少于30天，应届毕业生、毕业两年内未就业毕业生实习时间不少于60天。实习对象内蒙古区内外高校大学生（一般院校低收入家庭学生、应届毕业生、毕业两年内未就业的大学生为重点人群）。工作内容1.政务实践。2.企业实习。3.职场体验。专精特新企业、专精特新“小巨人”企业、制造业单项冠军企业可为大学生提供专业对口的职场体验活动，活动内容视情况而定，如参观交流、模拟面试等。工作要求用人单位对参与实习大学生提供人身保险，同时进行安全教育和相关技能培训，并签订实习安全协议。请提供实习岗位的党政机关、企事业单位扫码填写相关信息，后续事宜由团市委工作人员电话通知。用人单位如有问题可与团市委联系联系人：陈佳琪联系电话：0479-8220357,0,0,0,,锡林郭勒盟,内蒙古,中国
3,5046984566377951,中国文博,2024-06-19 14:25:52,#约会博物馆#6月18日，2024北京博物馆月成果发布会暨博物馆之城圆桌对话在首都博物馆举办，标志着为期一个月的2024北京博物馆月落下帷幕。国家文物局副局长罗文利出席活动并致辞。罗文利指出，党的十八大以来，习近平总书记多次考察博物馆并作出系列重要指示批示。全国文博系统认真落实党中央决策部署，纵深推进博物馆改革发展，我国博物馆事业取得新成效、新进展。2024北京博物馆月的成功举办，进一步展示了北京深厚的文化内涵，形成了一批有意义、有价值的特色活动成果。希望北京市以此为契机，着力推进博物馆改革创新，打造陈列展览精品，不断提升城市文化软实力，更好满足人民群众精神文化需求。会上发布2024北京博物馆月展览周、文创周、电影周和阅读周四个主题周成果与《博物馆第一课》线上课程。举办博物馆之城圆桌对话，11位来自博物馆和教育领域的专家学者、中小学校长，围绕博物馆教育主题，开展经验分享和工作交流，共同探讨馆校融合发展之路。国家文物局相关司室，北京市人民政府、北京市文物局有关负责同志参加活动。,1,0,2,,,北京,中国
3,5046712483975221,向阳星闻,2024-06-18 20:24:42,净化党员干部队伍，确保决策落地生根坂中乡 郭楠在《人民日报》的评论文章《坚决清除党员干部队伍中的“害群之马”》中，我们看到了党中央对于全面从严治党的坚定决心和明确态度。这篇文章不仅是对党员干部的一次警示，更是对全体党员的一次深刻教育。作为党的肌体细胞，每一名党员都应当自觉维护党的纯洁性，确保党的决策部署不折不扣地贯彻落实。推动全面从严治党向纵深发展，首先要从思想上正本清源。党员干部要不断加强理论学习，深刻领会习近平新时代中国特色社会主义思想，确保思想上的高度一致。只有思想上的统一，才能保证行动上的坚决。我们要通过不断学习，提高政治判断力、政治领悟力、政治执行力，确保党的理论和路线方针政策深入人心。其次，要从组织上严格把关。党组织要把好选人用人关，严格执行干部选拔任用工作的各项标准和程序，确保选拔任用的干部是政治上的明白人、业务上的内行人、作风上的实在人。对于那些不讲政治、不守规矩、不干实事、不求进取的“害群之马”，要坚决予以清除，绝不姑息养奸，以保持党的高度纯洁性。再次，要从作风上持续改进。作风建设永远在路上。我们要坚持不懈地纠“四风”、树新风，特别是要针对形式主义、官僚主义的问题，深入开展批评和自我批评，切实解决群众身边的不正之风和腐败问题。通过改进工作作风，我们可以更好地服务人民群众，赢得群众的信任和支持。最后，要从制度上强化保障。制度建设是全面从严治党的根本保障。我们要不断完善党内法规制度，加强党内监督，确保制度的刚性执行和有效运作。通过制度建设，我们可以形成不敢腐、不能腐、不想腐的有效机制，为党的长治久安提供坚实保障。总之，全面从严治党是一项长期而艰巨的任务，需要我们每一名党员干部的共同努力。我们要以《人民日报》的这篇评论文章为镜鉴，不断自我净化、自我完善、自我革新、自我提高，确保党的二十大决策部署在我们的工作中得到不折不扣的贯彻落实，为实现中华民族伟大复兴的中国梦贡献力量。,0,0,0,福建,宁德,福建,中国
