页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4991107048408709,苏州人大,2024-01-17 09:48:33,#综述# 书写推进全过程人民民主的人大履职新篇章——苏州市人大常委会2023年工作亮点综述2023年，市人大常委会坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻落实党的二十大精神，认真落实中央、省委、市委决策部署，扎实开展深入学习贯彻习近平新时代中国特色社会主义思想主题教育，立足“四个机关”定位，紧紧围绕全市改革发展稳定大局，依法履职、善作善成，守正创新、担当实干，不断推进人大工作与时俱进、完善发展。2023年，透过全市经济社会澎湃跳动的韵律，人们深切地感受到，苏州高质量发展的坚实步伐中，凝聚着市人大常委会坚定有力的责任担当。详情请戳&gt;网页链接,0,0,0,,苏州,江苏,中国
2,4989677776670489,余姚发布,2024-01-13 11:09:08,#2024余姚两会#傅贵荣：市委将加强对人大工作的全面领导，一如既往地关心和支持人大工作，积极为人大行使职权、开展工作提供良好环境。人大及其常委会要切实把党的领导贯穿人大工作全过程各方面，全面担起宪法法律赋予的各项职责，做到市委决策部署到哪里，人大工作就推进到哪里，更好把人大制度优势转化为治理效能。“一府一委两院”要自觉接受人大监督，依法向人大报告工作，严格执行人大决定决议，全面提升依法行政、依法监察、公正司法的水平。各位代表要牢记“人大代表为人民”，努力提高联系群众、服务发展的能力，更好地为人民发声、为人民履职、为人民服务。,0,0,0,,宁波,浙江,中国
2,4969004889540608,江川社情,2023-11-17 10:02:28,【协商促治理，思学求进步丨多元共治让社区治理“活起来”】网页链接近年来，随着居民主人翁意识逐渐增强，社区党组织和居委会的单一服务已经不能完全解决社区公共事务决策和居民诉求多元化的问题。党的二十大报告指出，“基层民主是全过程人民民主的重要体现”。近年来，江川社会组织服务中心积极搭建社区服务的平台，充分发挥社会组织的专业特长和公益属性，为推动“共建共治共享”的社区治理共同体建设贡献力量。专题培训激发自治火力助推基层有效治理近日，江川社服中心邀请利群社工事务所的培训老师，开展了为期六天的“社区民主协商”专题培训，来自49个居民区的近百名居委会工作人员参加了培训。本次培训从三个方面入手，带给学员一场生动有趣的学习体验。一是从社区民主协商的知识理论切入，学习对话工具技术和方法；二是搭建实景模拟演练平台，提升学员实践能力；三是开展民主协商实战演练，围绕社区急难愁盼问题开展协商议事。在这次培训中，学员们学到了社区民主协商的核心价值观、提升了引导技巧，并能举一反三应用到实际工作中。在小组讨论中，学员们积极分享了对于社区民主协商的看法和感悟，大家不仅探讨了如何将所学应用于实际工作，还讨论了何时应用才能发挥最大的效果。通过学员间的相互切磋还找到了不少社区存在的共性问题，在讨论过程中大家集思广益、互相启发，提出解决问题的新思路新方法。此次培训，让学员们提高了对社区民主协商工作重要性的认识，大家纷纷表示会将培训中所学到的知识和技巧，运用到居委会实际工作当中，进一步完善社区民主协商机制，保障居民民主权利，激发居民自治活力，将“全过程人民民主”贯穿于社区治理各个方面。汇聚民智 共商民事促进社区良治与善治“畅通民意，找到居民公共利益的最大公约数是治理的前提和基础。”江川社服中心负责人说，今年以来，江川路街道各社区居委会常态化开展协商议事，广泛征集居民对于社区服务、环境改善、空间改造、公共设施维护、文明习惯培养等方面的意见建议，鼓励居民表达，形成居民共识议题，引导居民按照居民关心的、社区需要的、切实可行的甄选条件对议题进行排序，作为协商议事清单，为基层治理服务提供行动方向。针对居民之间的小矛盾、小利益纠纷，组建起以居民党员、“两代表一委员”、社区能人为骨干的“微协商”队伍，积极搭建“社区党群服务中心居民议事室”“客厅会室”“庭院板凳会”等“微协商”活动载体，及时解决居民之间、邻里之间的矛盾纠纷。同时，通过举办各类活动，增加社区和居民之间、居民与居民之间的尊重感和认同感，构建起空间上相近、道义上相助、情感上相融的邻里关系，实现居民参与社区治理效能的最大化。“居民是社区的主体，社区的问题需要在居民的行动中找寻答案。”江川社服中心负责人表示，今后江川路街道也将不断深入推进协商议事，完善议事机制和制度，不断激发居民参与社区治理的主动性和积极性，提升居民的幸福感和主人翁意识，使社区治理工作有管理有自治更有温度。,8,6,8,,上海,上海,中国
2,4967590262998264,公务员的考试之路,2023-11-13 12:21:15,荐读国务院办公厅机关干部在党校开展调研的主要做法——努力做到“三个结合”、实现“三个度”（《抓好“三个结合” 推动学以致用》）荐读国务院办公厅机关干部在党校开展调研的主要做法——努力做到“三个结合”、实现“三个度”（《抓好“三个结合” 推动学以致用》）。我们在调研过程中，紧紧围绕党的路线方针政策和中央重大决策部署的贯彻执行，深入研究影响和制约高质量发展的突出问题，全面了解各行各业中出现的新情况，认真总结基层群众创造的新经验，使调研工作同中心工作和决策需要紧密结合起来，不断提高服务决策的水平。（一）既抓住当前热点也望见远处“桅杆”，不断提升调查研究的前瞻性。“好题一半文”，选题的好坏直接决定调研的质量。谋划选题时，坚持把党中央、国务院决策部署作为第一课题，聚焦把握新发展阶段、贯彻新发展理念、构建新发展格局、推动高质量发展、促进共同富裕等，围绕领导关注的重点问题、群众关切的焦点问题以及与职责相关的难点问题找准定位、确定方向。同时，也善于发现“桅杆”，考虑一些对经济社会发展具有深远影响的战略性课题，以及当前表现尚不突出、但有可能带来系统性风险的苗头性、倾向性问题，增强对“黑天鹅”“灰犀牛”的预判预警，领导同志提供更多有预见性、前瞻性的决策参考，牢牢掌握工作主动权。（二）既见“树木”也见“森林”，不断提升调查研究的科学性。在选取调研对象时，做到点面结合，统筹考虑覆盖面和典型性。一方面，开展全局性的“大调研”，既调查机关也调查基层，既调查干部也调查群众，既总结经验也查找问题，通过多层次、多方位、多渠道收集信息，形成反映普遍问题、整体概貌、一般情况的概括性材料；另一方面，进行解剖麻雀式的专、精、细调研，将问题最突出、矛盾最集中的地域、单位、群体作为对象，形成反映局部问题、个别事例、特殊情况的典型材料。二者相辅相成，互为补充，既避免“只见树木、不见森林”，也避免“大而化之、泛泛而谈”。……★附“用新时代中国特色社会主义思想指导分析和解决问题的能力”刘源老师三场免费课专门解读这一官方考纲核心请看“用习近平新时代中国特色社会主义思想指导分析和解决问题的能力”免费课150分钟——刘源老师以国考申论、中央遴选笔试面试真题例析。★公职主观题笔试方法论免费课：以中央遴选《案例分析一科（B类）》真题为例——刘源老师多级三段论“审题、答题、评题”三次100分钟公职主观题笔试方法论免费课：以中央遴选《案例分析一科（B类）》真题为例——刘源老师多级三段论“审题、答题、评题”三次100分钟。★中央遴选历年真题及其答案解析免费课视频回放集（含刘源老师讲解2023中央遴选《案例分析一科（B类）》真题卷及答案一题一题详版）中央遴选历年真题及其答案解析免费课视频回放集（含刘源老师讲解2023中央遴选《案例分析一科（B类）》真题卷及答案一题一题详版）。,0,0,0,上海,,上海,中国
2,4962948472899566,Su666a,2023-10-31 16:56:26,莆田市仙游县自然资源局突出党建引领，紧扣党的政治建设这一核心任务，严格落实党委会“第一议题”制度，把党的政治建设和要求融入到自然资源重大决策部署制定落实全过程、各领域。很给力！ ,0,0,0,福建,莆田,福建,中国
3,4951043744467107,opttpoopt,2023-09-28 20:31:17,志愿军：雄兵出击 我的评分：#电影志愿军：雄兵出击#与长津湖相同，志愿军也是聚焦于抗美援朝战争，但又不同于长津湖着重于讲述一场战役一长津湖战役，志愿军详细讲述了志愿军跨过鸭绿江之前党的决策过程，并描绘了抗美援朝战争前期战斗过程，画面真实，演员演技也很棒。,0,0,0,北京,,北京,中国
3,4950219010347471,同花顺,2023-09-26 13:54:05,【求是网评论员：聚力实现新型工业化这个关键任务】求是网发表评论文章，推进新型工业化是一个系统工程。各地区各部门要进一步把思想和行动统一到习近平总书记关于新型工业化的重要指示、重要论述和党中央决策部署上来，聚力实现新型工业化这个关键任务，坚持把党的全面领导贯穿推进新型工业化的全过程各方面，完善党委(党组)统一领导、政府负责落实、企业发挥主体作用、社会力量广泛参与的工作格局，做好各方面政策和要素保障，开拓创新、担当作为，汇聚起推进新型工业化的强大力量，为全面建成社会主义现代化强国作出新的更大贡献。,1,1,5,,杭州,浙江,中国
3,4948146838312273,昆明市工信局,2023-09-20 20:40:01,#工信动态# 【第二十三届中国国际工业博览会在上海开幕】工信部副部长辛国斌出席开幕式表示，工博会作为对外交流合作的重要窗口，见证了中国工业融入全球工业体系的过程。工信部将深入贯彻落实党的二十大决策部署，坚持推进高水平对外开放，着力共同营造良好营商环境、持续深化国际创新合作、维护全球产业链供应链安全稳定、加强工业文明交流互鉴，为全球工业发展注入更多确定性和正能量，为各国开放合作提供新机遇。（@工信微报）,0,0,0,,昆明,云南,中国
3,4938295622246100,芝麻坨坨,2023-08-24 16:14:48,#宜昌普法# 劲风荡污浊，正气朗乾坤。组织领导是扫黑除恶常态化的重要保证。各地各有关部门充分发挥党总揽全局、协调各方的领导核心作用，把党的领导贯穿到扫黑除恶各方面和全过程，不断增强贯彻落实党中央决策部署的政治自觉、思想自觉和行动自觉，确保扫黑除恶始终沿着正确政治方向前进。各地党委、政府纷纷把扫黑除恶斗争纳入经济社会发展全局谋划推进，作为政法工作和平安建设重点任务进行部署，严格落实属地责任，严格落实主要负责同志第一责任人责任，做到守土有责、守土尽责。各级扫黑除恶斗争领导小组进一步转变工作理念和方式，把主要精力放在“牵”方向、“抓”政策、“统”大事上来，着力推动扫黑除恶重大问题解决。各级扫黑办充分发挥参谋助手作用，深入开展调查研究，加强统筹协调，推动督办落实，确保各项措施不折不扣落到实处。扫黑除恶是一场人民战争，人民群众对扫黑除恶工作最期盼、最有发言权。在拓宽群众举报渠道、广泛收集线索方面，全国扫黑办对12337平台和各成员单位接收的线索，通过大数据等现代科技手段，有效整合利用，加强排查梳理，不断提高对黑恶势力的发现能力。对久查未结或查否后群众仍反复举报的线索，开展“回头看”，努力做到不漏一罪、不漏一人。在持续严打高压态势之下，一些黑恶势力开始隐藏、转型，从“网下”向“网上”、“显性”向“隐性”、“硬暴力”向“软暴力”、“传统领域”向“新兴行业”转变，发现和打击难度更大。对此，各地政法机关严格落实执法办案主体责任，切实发挥好主力军作用，持续抓好打击惩治涉网黑恶犯罪专项行动，深入推进网络治理，压紧压实网络平台主体责任，建立健全预防犯罪长效治理机制，防止其成为滋生黑恶势力的新温床。戎马不解鞍，铠甲不离傍。各地各有关部门始终把打击锋芒对准人民群众深恶痛绝的各类黑恶势力犯罪，把群众满意作为检验扫黑除恶工作的标准，积极探索新形势下专群结合、依靠群众的新途径新办法，让扫黑除恶成效经得起人民、实践、历史的检验。 芝麻坨坨的微博视频,0,0,1,湖北,宜昌,湖北,中国
3,4935288567107109,王艳77027,2023-08-16 09:05:50,调查研究不能流于形式   调查研究就像‘十月怀胎’，决策就像‘一朝分娩’。调查研究的过程就是科学决策的过程，千万省略不得、马虎不得。”调查研究是一种工作方法，是我们党的传家宝，走进问题、解决问题才是根本目的。如若只是避重就轻、交卷了事，那显然是本末倒置。某些干部不愿做深入细致的调查研究，不甘做精雕细琢的基础工作，以为材料一攒就轻松过关，正折射出脱离群众、脱离实际的形式主义和官僚主义歪风，如此敷衍了事，不解决问题，更对不起组织和群众的信任。这样的“懒”，如何偷得？  调查研究是一门致力于求真的学问，一种见诸实践的科学，也是一项讲求方法的艺术。它连着真知与行动，串着信息与决策，更系着党心与民心。新征程上，“改革发展稳定面临不少深层次矛盾躲不开、绕不过，各种风险挑战、困难问题比以往更加严峻复杂”，而推动调查研究走深走实，正是破解难题的金钥匙。而这个最重要的“实”，就是亲力亲为、勤思多悟。   执政为民岂能不深入一线？深入一线岂能轰轰烈烈走过场？真正走下去、沉下去，了解最现实的问题，形成最鲜活的思考，进而总结出最有针对性的报告，一五一十、对症下药，才算把调研做到了位，距离群众才会越来越近。,0,0,0,陕西,榆林,陕西,中国
