页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048211823660289,广州市情,2024-06-22 23:42:33,"为深入学习贯彻习近平总书记关于党纪学习教育的重要讲话和重要指示精神，深入学习习近平总书记关于党的纪律建设的重要论述和党章，推动党纪学习教育走深走实，市委党史文献研究室举办党纪学习教育专题读书班,采取个人自学、辅导培训和集体研讨相结合的方式进行。全体党员干部个人原原本本学习《中国共产党纪律处分条例》，通过广东省干部培训网络学院收看党纪学习教育培训必修课辅导讲座。组织学习《习近平关于全面加强党的纪律建设论述摘编》，并结合“七一”主题党日，开展党课宣讲活动，其中室主任在全室讲纪律专题党课，其他党员室领导陆续在分管处部讲纪律专题党课，支部书记在所在党支部讲党纪教育专题党课。6月21日下午，市委党史文献研究室举办党纪学习教育专题读书班和讲党纪学习教育专题党课，套开市委党史文献研究室理论学习中心组第7次集体学习（扩大）会。市委党史文献研究室主任、一级巡视员黄小晶以《从中共党史发展主线谈遵纪守法》为主题，为全体党员干部讲党纪专题党课，室领导胡巧利、常国光、刘新峰及全体党员干部50人参加学习。室主任黄小晶传达了习近平总书记关于党的纪律建设的重要论述并从五个方面讲授党纪学习教育专题党课，重点分析了中国共产党人坚持正确领导，为人民谋幸福，为民族谋复兴，为世界谋大同的主线，在革命、建设、改革实践中，不断解放和发展生产力，推进中国式现代化；认为研究和编写中国共产党广州历史，要将其放在整个广州近现代史中，探讨和明确中国共产党广州历史发展的主题和主线；指出中国共产党能够找到通往和实现现代化的正确道路，领导革命不断取得胜利，离不开坚持组织严密、纪律严明、理论创新、制度创新和实践创新的良性互动，离不开对无纪律、无组织、无信仰，无廉耻、无知识、无责任、无气节危害性的坚决批判。黄小晶还联系《中国共产党纪律处分条例》第122条、126条、127条、152条、153条，结合实际生活中、组织人事工作中、党史和地方志编纂中的具体事例，讲述了有力有效推动《中国共产党纪律处分条例》《党史学习教育工作条例》相关规定落地落实的重要性和必要性，指出方志人和党史人不仅是一个时代的记录者，不仅要收集史实，还要挖掘史实中更加深邃、更加丰富、更加耐人寻味的道理内涵，对历史进行深化，让历史更加真实、更加深邃，特别是编纂《中国共产党广州历史》第三卷、第四卷，要以事实为依据，分析和把握广州各个时期的特点，分析这些特点是如何体现主线的，要围绕主线写好人民群众的历史诉求、历史活动和历史作用；要逐句逐字学习领会两个条例内容，深入领会习近平总书记指出的:历史研究是一切社会科学的基础，深入领会历史科学中的辩证唯物主义和历史唯物主义的立场观点方法，深刻认识无组织、无纪律的危害性，严肃执行党的纪律，完善制度规范，在实际工作中提升理论认识水平、加强知识智慧挖掘，改进思想工作方法，学会用历史视野、历史眼光、历史思维分析问题和研究问题，不仅仅做到言之有物、言之有理，做到遵纪守法，依法规、有组织、按程序开展工作。在集体研讨环节，方志工作处处长杨宏伟、文献研究部部长贺坤、宣教展陈部部长余宏檩、信息资料处处长颜岳军、机关工会主席姚士静和年鉴工作处党支部书记陈英纳围绕学习《中国共产党纪律处分条例》，特别是对违反群众纪律、生活纪律行为的处分作发言交流。杨宏伟以生活纪律贵在融入日常为主题，结合学习《条例》第十一章第一百五十条至一百五十四条规定，指出生活纪律是党员干部在“八小时之外”日常生活和社会交往中必须遵守的言行规范，党员领导干部要重视家风建设，避免失管失教，指出积善之家，必有余庆，积不善之家，必有余殃；党员干部在生活中要时刻严格约束自己、谨言慎行，做到在岗不在岗一个样、网上网下一个样，为营造良好舆论生态作出表率。贺坤重点围绕《条例》中关于“群众纪律”修订内容，回顾了工农红军三大纪律六项注意的由来，指出群众纪律是党的各级组织和全体党员坚持以人民为中心的发展思想和处理党群关系时必须遵守的行为规则，文献研究部在开展文献查询借阅服务时，需要积极主动作为、严守纪律“红线”，以方便群众，服务群众为宗旨，严守群众纪律，脚踏实地的为民服务。余宏檩认为党员干部必须严守党的纪律，防止和杜绝生活奢靡、铺张浪费、贪图享乐等不良生活作风，群众纪律是党的各级组织和全体党员坚持以人民为中心的发展思想和处理党群关系时必须遵守的行为规则，展厅是连接群众的窗口，今年以来已接待5万多人101个团队，宣教展陈部以全心全意为人民服务为宗旨，不断提高服务水平，以满足群众的参观学习需求。颜岳军重点围绕结合生活纪律第153条内容，结合自身工作特点，指出生活纪律是党员在日常生活和社会交往中应当遵守的行为规则，网络空间不是法外之地，不能成为党纪调整的制度空白，在社交媒体时代，党员干部必须管理好自己的网络言行，心有所戒、言有所畏、行有所止。党员干部在网络上要强化政治纪律意识，严守政治规矩。不参与违反政治纪律的网络传播行为、不参加违反政治纪律的网络活动。必须加强对党员干部网络言行的教育、引导、监督和管理。姚士静围绕《条例》中“六大纪律”的由来、内容和重要性，重点解读群众纪律和生活纪律，结合工会工作的原则要求和实际情况，指出工会工作必须始终做到忠诚、干净、担当，牢固树立以职工为中心的工作导向，要厚植为民情怀，依靠职工、服务职工、为了职工，不断增强服务职工本领，真心实意为职工说话办事，切实维护好干部职工合法权益、竭诚服务干部职工群众，为广州党史文献事业高质量发展提质增效。陈英纳回顾了党的百年奋斗史中群众纪律的发展历程，分析了《条例》第九章第122至129条中关于损害群众利益的两方面违纪行为，指出年鉴处要时刻坚持以人民为中心的历史观，在年鉴编纂过程中要特别注意充分展现人民群众创造历史、书写历史、检验历史的主体地位和主体作用，充分反映人民日益增长的美好生活需要。",0,0,0,,深圳,广东,中国
2,5047751026410856,两江交汇,2024-06-21 17:11:30,#江汉新闻# 【江汉区2024年入党积极分子、发展对象、新党员培训班圆满结业】在中国共产党成立103周年来临之际，为深入学习贯彻党的二十大精神，进一步加强对入党积极分子、发展对象的教育培养，端正入党动机，提高政治素养和党性修养。6月19日至21日，区委组织部、区委直属机关工委联合区委党校举办了2024年入党积极分子、发展对象、新党员区级培训班，来自全区机关、街道社区、企事业单位近120人参加。江汉区2024年入党积极分子、发展对象、新党员培训班圆满结业,0,0,0,,武汉,湖北,中国
2,5047726188793735,河南国资,2024-06-21 15:32:48,#国企资讯# 传承大别山精神 同心共筑豫检梦——豫检集团举办党务骨干能力素质提升培训班“鄂豫皖苏区根据地是我们党的重要建党基地，焦裕禄精神、红旗渠精神、大别山精神等都是我们党的宝贵精神财富。”——摘自习近平总书记2019年9月在河南考察时的重要讲话为深入学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神，聚焦“打造一流企业”的战略目标，豫检集团于6月11日至15日组织党务骨干赴大别山干部学院，在“七一”建党节来临之际，开展以“传承大别山精神 同心共筑豫检梦”为主题的教育培训活动。此次培训采取多元化教学方式，包括课堂教学、现场教学、互动教学和主题研讨等，旨在让学员们在“学思践悟”中重温红色大别山的革命历史，缅怀革命先烈，弘扬红色政治文化，坚定理想信念，并将所学所悟融入实际工作，推动豫检集团高质量发展。开班动员：让大别山精神深入人心豫检集团党委书记、董事长、总经理岳希忠在开班动员讲话中强调，当前集团正处于改革发展的关键时期，希望通过此次培训，进一步提升党务干部的党性修养和党建工作能力，发挥好基层党组织的战斗堡垒作用和党员的先锋模范作用，让大别山精神在豫检集团蔚然成风。专题讲座：理论武装头脑培训期间，学员们聆听了多位专家学者的专题讲座。刘向阳教授深入解读了大别山精神及其时代价值，赵明教授就《中国共产党纪律处分条例》进行了专题辅导，郑乃红教授则从专业视角解读了新时代全面从严治党的深刻内涵。这些讲座不仅丰富了学员们的理论知识，也为他们提供了实践指导。现场教学：追随红色足迹学员们前往鄂豫皖苏区首府烈士陵园、革命博物馆等地进行现场教学，亲身感受红色历史，感悟信仰力量。通过重温入党誓词、追忆红色岁月等活动，学员们更加坚定了理想信念，增强了使命感和责任感。互动教学：凝聚团队力量为增进学员之间的了解，本次培训活动还组织了拓展训练。在融合破冰、激情节拍等游戏中，大家相互配合、团结协作，锻炼身体的同时也增强了团队凝聚力。交流研讨：促进共同提升在小组讨论和结业仪式上，学员们纷纷表示此次培训收获颇丰。来自集团总部、豫检集团计量院有限公司、豫检集团电检院有限公司、豫检集团质检院有限公司、豫检集团锅检院有限公司、豫检集团特检院有限公司、豫检集团食检院有限公司和豫检集团纤检院有限公司的8名学员代表进行交流发言，他们表示将把大别山精神融入日常工作，以矢志不移的信念，胸怀大局的境界，团结协作的意识，勇当前锋的精神为豫检集团的高质量发展贡献力量。“峰峦叠翠大别山，丰碑永驻忠骨眠，薪火相传同奋进，勇当前锋强豫检。”此次培训活动不仅提升了党务干部的综合素养，也加深了对大别山精神的理解和认同。在未来的工作中，集团广大干部职工将继续发扬大别山精神，勇于担当、敢于创新、不断进取，强化业务学习，提升能力素质，在担当中出彩，同心共筑豫检梦，为集团的发展贡献力量。,0,0,0,,郑州,河南,中国
2,5047710883250650,商汇北京,2024-06-21 14:31:58,北京市委统战部、市工商联共同举办民营经济代表人士（商协会负责人）“两个健康”培训班为深入贯彻学习习近平新时代中国特色社会主义思想和党的二十大精神，不断提升北京市工商联商会组织凝聚力和组织效能，提振民营企业发展信心，促进新时代“两个健康”，推动首都民营经济高质量发展，北京市委统战部、市工商联于6月20日在北京会议中心共同举办民营经济代表人士（商协会负责人）“两个健康”培训班，引导民营经济代表人士和工商联商会组织坚定不移听党话、跟党走，汲取开拓进取的智慧和高质量发展的力量。全国工商联原党组成员、原副主席、中国民营经济研究会会长李兆前围绕“发挥职能作用，助力‘两个健康’”作专题辅导报告。市委统战部副部长、市工商联党组书记赵玉金出席开班式并讲话。市工商联党组副书记、副主席（正局长级）王禹主持开班式。与会领导为2023年全国“五好”工商联和全国“四好”商会代表颁发证书。赵玉金在开班动员讲话中强调，要以此次培训为契机，进一步引导民营经济代表人士更加坚定拥护中国共产党的领导，更加深刻理解工商联的责任使命，推动商会改革发展，提升工商联组织建设质效，要扛起政治责任，深入学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神；要围绕中心服务大局，奋力融入新时代首都高质量发展的生动实践；要强化工商联组织体系建设，为更好服务“两个健康”提供坚实保障。下午，培训班继续围绕社会组织内部治理和财务工作为商协会负责人作专题培训。受训学员纷纷表示，将坚持不懈用习近平新时代中国特色社会主义思想和党的二十大精神凝心铸魂，锐意进取，以奋进的姿态彰显从国家战略要求出发来谋划和推动自身发展的责任担当，奋力谱写新时代首都民营经济高质量发展新篇章。全市工商联系统和商协会组织代表共200余人参加培训。（责任编辑：黄康）,1,0,0,,,北京,中国
2,5047679870304974,茂名水东湾新城管委会,2024-06-21 12:28:44,#政务动态# 全省领导干部警示教育会暨第二十二期党章党规党纪教育培训班召开 深入学习贯彻习近平总书记关于全面加强党的纪律建设的重要论述精神 以案为鉴 警钟长鸣 推动党纪学习教育走深走实 黄坤明主持并讲话 黄楚平林克庆孟凡利出席    网页链接 ,0,0,0,,茂名,广东,中国
2,5047638234235412,宝鸡普法,2024-06-21 09:43:18,为深入学习习近平新时代中国特色社会主义思想，全面贯彻落实党的二十大精神，切实提升我市司法行政干部政治素养和业务能力，6月20日，宝鸡市司法局举办2024年全市司法行政系统政治轮训暨业务培训班。 ,0,0,0,,宝鸡,陕西,中国
2,5047418909362892,郑州航空工业管理学院,2024-06-20 19:11:47,#郑航校园##校园生活# 【充电赋能，交流互鉴：这门课程的全省高校专题培训班在我校举办！】为深入学习贯彻习近平总书记关于学校思政课建设的重要指示精神，贯彻落实新时代学校思政课建设工作推进会精神，持续推进习近平新时代中国特色社会主义思想和党的二十大精神进教材进课堂进头脑，推动高校思政课教研室主任专业化成长，省委教育工委、省教育厅举办2024年度全省高校思政课教研室主任综合能力提升专题培训班。更多详情内容，请点击：网页链接,1,3,6,河南,郑州,河南,中国
2,5047406922046005,顺德城市网,2024-06-20 18:24:09,【为思想“筑魂”！均安“两代表”履职培训班代表收获满满】6月20日上午，均安镇党政和人大办、镇党建和组织人事办联合举办镇委党校大讲堂之人大代表和党代表履职培训班，邀请佛山市委党校原四级调研员、哲学教研部主任姚明强作“回顾党的百年光辉历程 坚定理想信念”专题授课，引导“两代表”提高政治觉悟、增强大局意识，更好地担负起代表的光荣使命。网页链接,0,0,0,,佛山,广东,中国
2,5047378195515900,砀山发布,2024-06-20 16:30:00,【砀山县文化馆公益性文化艺术培训班优秀老师招募】为深入学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神，广泛开展基层全民艺术普及活动，推进公共文化服务高质量发展，满足广大人民群众文化艺术需求，砀山县文化馆从即日起开设常年公益性文化艺术培训班，现面向全县招募优秀老师若干名，条件如下：砀山县文化馆公益性文化艺术培训班优秀老师招募,0,0,0,,宿州,安徽,中国
3,5047346987797058,天津西青,2024-06-20 14:26:00,【充电赋能——西青区举办“移动宣讲小分队”面对面培训活动】#政务速报# #工作动态# 党的二十大将“两新”党建拓展为“三新”党建，西青区针对新业态、新就业群体，特别是外卖小哥，采用“网格+骑手”模式，成立“移动宣讲小分队”，利用业余时间进行政策宣传和社会治理。近日，西青区举办培训活动，提升宣讲员能力，推动党的创新理论融入“两企三新”工作，扩大服务覆盖面，加强整体联动性。网页链接,0,0,110,,天津,天津,中国
