页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049088178914664,河口融媒,2024-06-25 09:44:52,【在纪律上管住手脚，在事业上放开手脚（金台潮声）】　　习近平总书记在宁夏考察时强调，要把正在全党开展的党纪学习教育抓紧抓实、抓出成效，推动党员、干部认真学习党纪党规，在遵规守纪前提下，安心工作、放手干事，锐意进取、积极作为。　　没有规矩，不成方圆。新时代全面从严治党的生动实践证明，纪律严明是全党统一意志、统一行动、步调一致前进的重要保障。加强纪律建设，不仅不是发展的束缚，恰恰是事业发展的前提保证。党员干部在纪律上管住手脚，才能在事业上放开手脚。打个比方，纪律规矩就像道路上的红绿灯、标识标线，让行人、车辆清楚何时行、何时止，哪儿可以走，哪儿不能去，看似造成了限制，实则为了更安全有序的通行。倘若对纪律规矩不上心、不掌握、不了解，就容易把不住方向、踩不住刹车，发生事故，酿成悲剧，追悔莫及。　　那些干出非凡业绩，被人民群众铭记的好干部、实干家，无一不是严守党纪，正心、正身、正行的好榜样。焦裕禄服从组织安排，到条件艰苦的兰考工作，在任上秉公用权，不让儿子看“白戏”，建议县委作出“十不准”的规定。自觉受党纪党规约束，没有妨碍焦裕禄干事创业，而是让他赢得了人民的信任，为团结带领群众治“三害”凝聚力量。廖俊波在接待外地客商的过程中，坚持“君子之交淡如水”，对企业家既热情接待，又保持清清爽爽，拒收礼品礼金。自觉受党纪党规约束，没有妨碍廖俊波做好招商工作，而是让他正确处理好了“亲”与“清”的关系。　　对于党员、干部而言，纪律既是“戒尺”，也是“护身符”。党的十八大以来，我们党坚定不移推进全面从严治党，目的就是要通过明方向、立规矩、正风气、强免疫，营造积极健康、干事创业的政治生态和良好环境，使党员干部干干净净做人、踏踏实实做事。党员、干部学纪、知纪、明纪、守纪，将遵规守纪刻印在心，主动在思想上划出红线、在行为上明确界限，养成在受监督和约束的环境中工作生活的习惯，从心所欲而不逾矩，才能放开手脚，充分发挥积极性、主动性、创造性。　　推进中国式现代化是一项前无古人的开创性事业，迫切需要党员干部在实践中大胆探索。越是关键时期，越要坚持从严管理监督和鼓励担当作为相结合，推动完善担当作为激励和保护机制，打消“洗碗越多摔碗越多”的顾虑，以新风正气激发党员干部干事创业的积极性。在新修订的《中国共产党纪律处分条例》中，坚持“三个区分开来”，坚持严管和厚爱结合、激励和约束并重的导向十分鲜明。各级党组织应进一步推动这些制度规定落实落细，引导党员干部把干净和担当、勤政和廉政统一起来，挑重担子、啃硬骨头、接烫手山芋，心无旁骛、满腔热情干事创业，创造经得起历史和人民检验的实绩。@人民日报,0,0,0,,红河哈尼族彝族自治州,云南,中国
2,5049087982309163,宁安法院,2024-06-25 09:44:05,"关于宁安市人民法院开展“领导干部集中接访活动”的公告为进一步学习践行“浦江经验”，深入贯彻落实习近平总书记关于加强和改进人民信访工作的重要思想，全面贯彻落实党的二十大精神，以落实“人民为中心”为理念，按照“三到位一处理”的要求，妥善解决人民群众合法诉求,维护人民群众的根本利益。实实在在为群众解难题，化矛盾。让群众反映问题更加便捷，涉法涉诉问题解决更加有效。宁安市人民法院领导干部按照具体分管战线，侧重解决群众意见较为集中、问题较为突出、矛盾较为复杂的涉诉信访问题。现将宁安市人民法院领导干部集中接访有关情况公告如下：一、首批公告期及预约方式公告时间：2024年6月24日-6月26日预约时间：公告期内每日8:30-11:30，13:30-17:00预约电话：0453-7895582现场预约：6月27日上午到宁安市人民法院一楼院长接待室办理二、首批集中接访时间及地点时间：2024年6月27日（星期四）8:30-11:30地点：宁安市人民法院一楼院长接待室接访人员：宁安市人民法院领导干部三、参与方式宁安市人民法院将按预约群众反映问题分类，及时协调相关领导参加，请预约群众按照《信访工作条例》规定，有序、真实、客观表达合理诉求。四、集中接访领导名单及负责领域王志琨 宁安市人民法院党组书记、代理院长 负责全市涉法涉诉领域的信访事项关春学 宁安市人民法院副院长 负责执行、立案、综合、刑事审判刘桂银 宁安市人民法院副院长 负责民事审判张龙泉 宁安市人民法院党组成员、审判委员会专职委员 负责协助管理执行工作刘瑞成 宁安市人民法院审委会委员 负责协助管理民事审判宁安市人民法院2024年6月21日",0,0,0,,牡丹江,黑龙江,中国
2,5049084649932546,南昌市青山湖法院,2024-06-25 09:30:51,青山湖区法院赴陈云工作车间开展“强警示、明党纪，强党性、迎七一”主题党日活动6月21日，在中国共产党成立103周年之际，青山湖区法院组织党员干部前往陈云工作车间，开展“强警示、明党纪，强党性、迎七一”主题党日活动。“我志愿加入中国共产党，拥护党的纲领，遵守党的章程，履行党的义务……”在陈云同志雕像前，全体党员重温入党誓词，坚定地表达了对党忠诚、为党的事业奋斗终身、永葆党员先进本色的决心。随后全体党员一同参观了陈云故居，通过观看图片、文字、实物、影像资料，了解了一个伟大的无产阶级革命家的丰功伟业和清廉朴素的平常生活，深刻体会到革命道路的曲折艰辛和今日幸福生活来之不易，增强了作为共产党员的责任感与荣誉感。在常学常新中加强理论修养，在真学真信中坚定理想信念，在知行合一中主动担当作为。青山湖区法院全体党员将进一步继承和发扬老一辈无产阶级革命家的光荣传统和优良作风，不断坚定理想信念，提升党性修养，勇担责任使命，真抓实干，能动履职，为奋力谱写中国式现代化江西篇章提供更加有力的司法保障！,0,0,0,,南昌,江西,中国
2,5049078331213780,宜兴发布,2024-06-25 09:05:44,【系列评论 | 纵深推进全面从严治党 着力营造干事创业凝心聚力良好氛围】全面从严治党，是党永葆生机活力、走好新的赶考之路的必由之路。近日召开的市委十四届八次全会强调，要坚决扛起管党治党政治责任，把全面从严治党的防线筑牢、基础打实，充分调动和激发广大党员干部干事创业的积极性、主动性、创造性，为发展新质生产力、推动高质量发展、推进中国式现代化宜兴新实践夯实保证。网页链接,0,0,0,,无锡,江苏,中国
2,5049077190624960,首都专家微博群,2024-06-25 09:01:12,#宣讲家评论# 【严守党的六大纪律】当前，全党正在开展党纪学习教育。中共中央办公厅印发《关于在全党开展党纪学习教育的通知》，组织党员特别是党员领导干部认真学习《条例》，做到学纪、知纪、明纪、守纪，搞清楚党的纪律规矩是什么，弄明白能干什么、不能干什么，把遵规守纪刻印在心，内化为言行准则，进一步强化纪律意识、加强自我约束、提高免疫能力，增强政治定力、纪律定力、道德定力、抵腐定力，始终做到忠诚干净担当。网页链接,0,0,0,,北京,北京,中国
2,5049070140527547,照金景区管委会,2024-06-25 08:33:11,照金景区管委会赴马栏开展主题党日活动 为进一步强化党员干部纪律意识、规矩意识，弘扬党的优良传统和作风，推动党纪学习教育走深走实。6月24日，照金景区管委会组织党员干部赴马栏革命旧址开展主题党日活动，追寻红色足迹，缅怀革命先烈，增强纪律意识，凝聚奋进力量 ,0,0,0,,铜川,陕西,中国
2,5049068545379139,华电广东,2024-06-25 08:26:51,6月24日，华电广东公司召开党纪学习教育警示教育会，深入学习贯彻习近平总书记关于全面加强党的纪律建设的重要论述，以案释纪、以案示警，推动广大党员干部学纪、知纪、明纪、守纪，不断巩固发展风清气正的政治生态，为加快建设一流区域公司、实现高质量发展提供坚强保障。公司党委书记、执行董事郑江涛主持会议并讲话，党委委员、纪委书记郑修国通报典型违纪违法案例。网页链接,1,1,4,广东,广州,广东,中国
2,5048959502386111,儋州政法,2024-06-25 01:13:33,【儋州市检察院举行入党宣誓活动】为引导党员干部坚定理想信念、加强党性修养，永葆党的先进性和纯洁性，在中国共产党成立103周年即将到来之际，6月18日，儋州市检察院举行入党宣誓活动。院党组书记、检察长罗凡兴出席活动，全院近50名党员参加活动。网页链接 ,0,0,0,,海口,海南,中国
2,5048939522821320,启航2023_,2024-06-24 23:54:10,用党规党纪校正思想和行动纪律是管党治党的“戒尺”，也是党员、干部约束自身行为的标准和遵循。没有铁的纪律，就没有党的团结统一，党的凝聚力和战斗力就会大大削弱，党的领导能力和执政能力就会大大削弱。我们党是用革命理想和铁的纪律组织起来的马克思主义政党，组织严密、纪律严明是党的优良传统和政治优势，也是我们的力量所在。红军初创时期，毛泽东同志就高度重视整肃军纪，从“不拿群众一个红薯”的规定，到“三大纪律六项注意”（后来发展成“三大纪律八项注意”），为人民军队的优良作风奠定了坚实基础；辽沈战役期间，锦州乡间的苹果熟了，行军路过的解放军战士虽然饥渴难耐，但一个苹果都不去拿，无论是挂在树上的、收获在百姓家里的、还是掉在地上的；解放上海后，为了不打扰市民，战士们严格执行“不入民宅”的纪律，和衣抱枪露宿在雨后湿漉漉的街头……“加强纪律性，革命无不胜。”一百多年来，正是由于有了建立在高度政治觉悟基础上的铁的纪律，我们党才能始终赢得人民群众爱戴和拥护，团结带领人民取得革命、建设、改革的一个又一个胜利。党的十八大以来，以习近平同志为核心的党中央将纪律建设作为全面从严治党的治本之策，纳入新时代党的建设总体布局，坚持不懈用严明的纪律管全党、治全党，从根本上扭转了管党治党宽松软的状况，为党和国家事业发展提供了坚强纪律保障。新征程上，党面临的国际国内形势越复杂、肩负的改革发展稳定任务越艰巨，就越要加强纪律建设，越要维护党的团结统一，确保全党统一意志、统一行动、步调一致前进。知纪明纪方能遵纪守纪。本次修订后的《中国共产党纪律处分条例》全面贯彻习近平新时代中国特色社会主义思想和党的二十大精神，从党章这个总源头出发，坚持严的基调，坚持问题导向和目标导向相结合，与时俱进完善纪律规范，进一步严明政治纪律和政治规矩，带动各项纪律全面从严，释放越往后执纪越严的强烈信号。要聚焦解决一些党员、干部对党规党纪不上心、不了解、不掌握等问题，组织党员特别是党员领导干部认真学习《条例》，搞清楚党的纪律规矩是什么，弄明白能干什么、不能干什么。准确掌握《条例》的主旨要义和规定要求，进一步明确日常言行的衡量标尺，把遵规守纪刻印在心，内化为言行准则，进一步强化纪律意识、加强自我约束、提高免疫能力，增强政治定力、纪律定力、道德定力、抵腐定力。,0,0,0,河北,邢台,河北,中国
2,5048741304210828,江西仙女湖,2024-06-24 10:46:31,1、周俊华在全区领导干部警示教育会上强调：深入学习贯彻习近平总书记关于全面加强党的纪律建设重要论述，深刻汲取典型案件教训，不断推进党纪学习教育走深走实2、第六届海峡两岸姊妹湖产业协作年会筹备会在仙女湖景区举行3、仙女湖区举办中小学“奋进新时代 传播好声音——红色故事我来讲”演讲比赛 江西仙女湖的微博视频,19,0,0,,新余,江西,中国
3,5048914393172347,人当心如花木皆向阳而生,2024-06-24 22:14:18,深入学习党的创新理论。我们要通过党史学习教育，深入学习新时代中国特色社会主义思想，全面系统掌握党的创新理论，不断提高政治和理论素养。紧密结合实际工作。我们要把学习党的创新理论贯穿到实际工作中，用党的创新理论武装头脑、指导实践、推动工作，不断提高工作水平和质量。加强党员干部队伍建设。我们要加强党员干部队伍建设，通过党史学习教育，提高党员干部的政治觉悟和理论素养，培养一支忠诚干净担当的党员干部队伍。#党史学习教育#,0,0,0,上海,上海,上海,中国
3,5048910934713757,他人之间,2024-06-24 22:00:34,自以上所指为如东县袁庄镇副镇长刘雷，分答千万工程首先在原朱庄村委书记上就有问题利用媒体大肆宣传，请问党员的思想教育前提是什么，甚至还带病提拔这就是身为党的领导干部。 ,0,0,0,江苏,南通,江苏,中国
3,5048903481174492,特二又在摸鱼,2024-06-24 21:30:57,《肖H同志在围城政工会上关于围困封锁O春的OO工作报告提纲》（1948年6月26日）“有的以片面的观点或部分暂时的群众利益，或某些干部的思想中的片面慈善观点，因而对封锁O春不严……这些同志不了解这就是搬石头打自己的脚，客观由也就是资敌，这种现象极不能允许，是与党的封锁任务相抵触的思想。我们要正视并须设法克服它，把它看成是树立围城思想工作之一。”丙、如何进行封锁斗争？第9条，严防敌人疏散市内人口。“因此我对长春外出人员一律阻止，但不能打骂群众，纵有个别快饿死者须要处理时，也要由团负责，但不应为一般部队执行，更不能成为围城部队的思想。”,0,0,0,法国,,法国,法国
3,5048846352650376,铜川发布,2024-06-24 17:43:56,【市委理论学习中心组集体学习会议召开】6月21日，市委理论学习中心组举行会议，认真学习习近平总书记重要文章《时刻保持解决大党独有难题的清醒和坚定 把党的伟大自我革命进行到底》，围绕“深入学习习近平总书记关于党的自我革命和干部作风能力建设的重要论述、关于安全生产工作的重要指示批示，认真贯彻落实《中国共产党纪律处分条例》《中国共产党党委（党组）理论学习中心组学习规则》，深化对推进党的自我革命的思想认识，持续扎实开展党纪学习教育”开展集中研讨交流。　　市委书记李九红主持会议并讲话。市人大常委会主任魏四新，市政协主席刘西林，市委副书记刘丽，市委常委陈浩、吴延旗、郑富超、宋桂合出席。市委常委曹全虎、王廷栋作交流发言。　　会议强调，要深入学习贯彻习近平总书记关于党的自我革命的重要思想，持续深化干部作风能力提升年活动，以“三学三树六提升”为载体和抓手，持之以恒转作风、提能力、强落实，切实以优良作风全面提升工作能力和工作质量。要保持高压态势，持续深化整治权力集中、资金密集、资源富集等领域腐败问题，加大对“蝇贪蚁腐”的查处力度，一体推进不敢腐、不能腐、不想腐，持续营造风清气正的政治环境。　　　　会议强调，要深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，持续深化党纪学习教育，以《中国共产党纪律处分条例》为关键逐项逐条查摆不足，以身边人、身边事为警醒深刻汲取教训，切实把学习成果转化为严格要求自己、约束不当行为的实际行动。要做好结合文章，把开展党纪学习教育同巩固拓展主题教育成果、深化“三个年”活动、群众身边不正之风和腐败问题集中整治结合起来，确保取得实效。　　会议强调，要在思想上再重视、责任上再砸实，严格落实安全生产“党政同责、一岗双责、齐抓共管、失职追责”和“三管三必须”要求，认真落实周末查安全制度，切实把安全生产各项工作抓紧抓实、抓严抓细，最大限度地降低安全风险。要在措施上再加强、排查上再细致，紧盯非煤矿山、燃气消防、建筑施工、道路交通、防汛防滑等重点领域、重点行业，常态长效开展风险隐患排查整治，未雨绸缪做足应急处置准备，切实做到防患于未然、处置于未有。　　会议强调，要更加聚焦主题，把学习贯彻习近平新时代中国特色社会主义思想作为首要任务，及时跟进学习习近平总书记最新重要讲话重要指示精神，坚持学思用贯通、知信行统一，扎实推动理论学习往深里走、往实里走、往心里走。要更加注重实践，用好用活现场观摩、考察学习、实践研学等方式，把理论学习和专题调研紧密结合起来，真正把学习成果应用于具体工作实践中。要更加注重成效，严格按照《规则》要求，加强规范组织，改进学习方式，健全考评机制，确保理论学习任务落到实处，取得实效。（文：陈娜）,0,0,0,,铜川,陕西,中国
3,5048843600922610,河北检察,2024-06-24 17:33:00,#扎实开展党纪学习教育# 对党组织和党的领导干部问责方式有哪些？ ,3,2,3,,石家庄,河北,中国
3,5048838040323757,昆明阳宗海风景名胜区,2024-06-24 17:10:54,#阳宗海发布# 为从严抓好党的纪律建设，进一步深化对加强党的纪律建设重要性与忽视党纪、违反党纪问题的危害性认识。推动广大党员、干部强化遵守纪律的自觉，根据党纪学习教育工作安排，财政分局党支部于6月24日上午开展学习《中国共产党纪律处分条例》（以下简称《条例》）专题教育学习党课。#阳宗海动态#  学条例 守党纪 明规矩 知敬畏,0,3,0,,昆明,云南,中国
3,5048833870135323,喜马拉雅豆芽,2024-06-24 16:54:19,合集|关于《中国共产党纪律处分条例》修订的重点内容：同党中央保持高度一致不仅是政治要求，而且是政治纪律。党员干部要严格执行和维护党的政治纪律，切实提高政治判断力、政治领悟力、政治执行力，自觉维护党中央权威和集中统一领导，自觉在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，以实际行动维护党的团结统一。 网页链接,0,0,0,陕西,宝鸡,陕西,中国
3,5048824217474414,美丽燕子矶,2024-06-24 16:15:59,为进一步加强辖区党员干部的党纪教育，深化党风廉政建设，6月24日上午，石化村社区党委联合栖霞区总工会和太平村社区党委组织数十名党员干部前往栖霞区党的纪律建设教育馆开展“同学党纪、共建支部”主题党日活动。通过实地参观学习，深化党员对党的纪律建设重要性的认识，推动支部共建工作深入开展。（拟稿人：张玉婷 审核：谢凤云 发布：金鑫）,0,0,0,,南京,江苏,中国
