页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5046923632837447,河南国资,2024-06-19 10:23:44,#国企资讯# 河南能源新疆豫能投资集团共建和谐 | 古尔邦节 民族团结心连心中润煤业6月17日，中润煤业职工载歌载舞，共同庆祝“古尔邦节”。该矿持续深入开展民族团结一家亲工作，党员干部与少数民族职工结对互助，注重红色引领，利用文化学习班、主题党日等形式，宣传党的政策、法律法规，帮助少数民族职工提升文化和技能，常态化与少数民族职工沟通交流，开展节日走访慰问，凝聚团结共识，促进和谐发展。众泰煤焦化6月17日，古尔邦节当天，众泰煤焦化开展民族团结一家亲走访慰问活动。该公司组织人员带着米、面、油、牛奶等慰问品分组对“结对认亲”少数民族职工进行慰问，和他们亲切交谈，了解他们工作、生活、家庭等情况，并送上节日祝福，让他们真切感受到企业的关心与关爱。“公司每年过节都给我们送上暖心祝福，我在这里工作很舒心，今后我一定更加努力工作，为企业发展贡献一份力量。”该公司炼焦二车间职工赛麦提·毛尼牙孜说。榆树泉煤矿6月17日，在古尔邦节当天，榆树泉煤矿工会人员对坚守岗位的少数民族员工进行慰问，为他们送上节日慰问品。每到一户，该矿工会工作人员都会详细了解他们的工作及生活情况，询问他们的身体状况以及需要解决的困难与问题，认真倾听他们的意见和建议。“古尔邦节还为我们送来了慰问品，感谢公司对我的关心爱护！”该矿后勤服务公司职工艾力·吾斯曼说。,0,0,0,,郑州,河南,中国
2,5046911205904855,鲅天下,2024-06-19 09:34:21,#扎实开展党纪学习教育# 【新修订的《中国共产党纪律处分条例》解读】在党的各项纪律中，政治纪律是最重要、最根本、最关键的纪律，党员干部要自觉遵守政治纪律和政治规矩，坚持党的领导不动摇，贯彻党的路线方针政策不含糊，始终做政治上的明白人。@安徽检察 安徽检察的微博视频 ,0,0,0,,沈阳,辽宁,中国
2,5044910077772521,老八路求助记,2024-06-13 21:02:35,2016年在人民网省长信箱给湖北省长王晓东写信求助。我介绍了我父亲革命生涯一生中为革命无私奉献的点点滴滴，阐述了2014年湖北省为双故老干部子女落实房改政策过程，我是落实政策对象且符合相关规定，省老干局却把我排挤在党的政策大门之外，请求王省长帮助。 我兴奋的看到了回复。我更加失望的阅读了回复。省长信箱不是针对我的诉求回复，而是对我父亲曾在山西享受公有住房一事无端找事，罕见的如此不懂党的政策的省长。 难道我心目中的靠山———党和人民政府“不可靠”了吗？新的靠山在哪里？,0,0,0,山西,晋中,山西,中国
2,5044563384995079,新疆靓丽女性,2024-06-12 22:04:57,“既然大家叫我一声马大姐，那我就要对得起这声称呼，我是一名警察，我要为老百姓们去解决实事，虽然我老了，但我会继续坚持。”2023年全国最美家庭、退休民警马新华发挥余热，主动承担起“家庭矛盾调节室”“居民家庭党校”等责任，时时处处宣传党的政策，关心和团结各族干部群众，尽己所能为群众做好事、办实事。最美家风润万家//家风故事宣讲新疆接力,0,0,0,,乌鲁木齐,新疆,中国
2,5044111602352848,西部一老兵,2024-06-11 16:09:44,#历史上的今天##那年·今日#1951年6月11日，中央民族学院在北京成立。新中国成立之初，毛泽东根据形势的发展特别是国家建设、民族区域自治、实现共同纲领及贯彻党的民族政策的需要，做出了培养大批少数民族干部的指示。中央人民政府决定在北京建立一所新型大学——#中央民族学院#，任命乌兰夫为首任院长，刘格平为副院长。1951年6月11日，中央民族学院正式开学。中央人民政府副主席朱德、政务院副总理董必武在开学典礼上做了重要讲话。中央民族学院的三项主要任务：一是为国内各少数民族实行区域自治以及发展政治、经济、文化建设培养高级和中级的干部；二是研究中国少数民族问题以及各少数民族语言文字、历史文化、社会经济，发扬并介绍各民族的优良历史文化；三是组织和领导关于少数民族文字方面的编辑和翻译工作，1993年11月该校更名为中央民族大学。,0,0,0,新疆,哈密,新疆,中国
2,5043996639101406,天一子道士,2024-06-11 08:32:54,"人无信不立，国无信则衰。一个没有公信力的社会就如一盘散沙，政不畅令不通，执政成本高企。在这样的社会中，人们缺乏对政府和制度的信任，导致社会秩序混乱，法治难以实施。 公信力是社会稳定和发展的基石。当政府失去公信力时，人们对其政策和决策持怀疑态度，不愿意遵守法规，社会矛盾加剧。没有公信力的政府难以有效地治理国家，社会问题得不到解决，民众的利益无法得到保障。 相反，一个具有高度公信力的社会能够凝聚人心，形成共识。政府的决策能够得到广泛支持和积极响应，政策的实施更加顺利。人们相信政府的公正性和能力，愿意共同努力实现国家的发展目标。 为了建立和维护公信力，政府应该坚持公正、透明和负责的原则。政府的行为应该符合法律和道德规范，决策过程应该公开透明，让民众能够了解和参与。同时，政府也应该履行对民众的承诺，切实解决他们关心的问题。 在个人层面，每个人也应该树立诚信意识，遵守承诺，诚实守信。只有通过每个人的努力，才能共同营造一个具有公信力的社会环境。 综上所述，公信力对于一个社会的稳定和发展至关重要。政府和个人都应该共同努力，建立和维护公信力，让社会更加和谐、有序。#现行法律体系是在党的领导下制定的规则,出现社会矛盾领导干部首先应该遵守法律,遵循法治原则这才是真正服从党的领导、维护党的权威#",0,0,0,陕西,西安,陕西,中国
2,5043417818335741,和美元阳,2024-06-09 18:12:53,上新城乡：凝聚“她”力量，浇筑民族“团结”花为进一步推动各民族交往交流交融，铸牢中华民族共同体意识，上新城乡妇联积极发挥妇联组织连接和服务妇女的桥梁和纽带作用，通过群众喜闻乐见的方式，将民族团结的声音传递到每一个角落。组织各级妇女干部深入农村地区、学校等地，就党的民族政策、妇女权益保障法以及反家庭暴力法等重要议题进行宣讲。通过生动的案例分享和互动问答，不仅提高了妇女群众的法律意识，还引导她们学会用法律武器保护自己的合法权益。同时，倡导文明、健康、和谐的家庭风气，加深对民族政策的理解，凝聚民族团结进步力量。截至目前，共开展各类政策理论知识宣讲11次，惠及10个行政村150余人次。为进一步推动家庭和睦、家教良好、家风端正，上新城乡妇联结合农家书屋、新时代文明实践站等宣传阵地，开展了一系列书香浸润特色活动，鼓励大家分享身边的良好家风故事，促进共同感悟、共同学习、共同成长。同时，妇联还发起了“抵制高额彩礼 倡导文明婚俗”的倡议，引导大家自觉抵制高价彩礼和婚俗陋习，树立文明新风。截至目前，已有10余名妇女干部在全乡范围内组织开展了10次家风故事分享活动。上新城乡妇联还充分发挥典型引领和榜样带动的作用。通过微信公众号、微信群等新媒体平台，加大对各级“民族团结进步示范家庭”先进典型的宣传力度，分享他们的好经验、好做法。同时，加大全乡先进典型的挖掘和选树，引导和激励广大妇女带动家庭成员建设好家庭、涵养好家教、培育好家风，积极推动形成爱国爱家、向上向善、共建共享的社会主义文明新风尚。截至目前，转载、刊发各类事迹和信息10余条。下一步，上新城乡妇联将充分发挥引领妇女、联系妇女、服务妇女的职能优势，紧盯重点问题和薄弱环节，持续加大正面宣传引导，扎实做好凝聚妇女人心、增进民族团结、服务各族妇女儿童的工作，助推全乡民族团结进步工作迈上新台阶。作者：上新城乡 常仙,0,0,0,,红河哈尼族彝族自治州,云南,中国
2,5042939571210527,渭南日报社,2024-06-08 10:32:30,【一封感谢信 浓浓驻村情】“一天时间，你们联系社保部门、跑银行，帮我拍证件照、填写资料。还垫付资金、出人出车、全程陪同，真是好干部。感谢党的好政策，感谢大唐集团！”5月29日，澄城县寺前镇和家楼村三组村民和张红把一封表达心意的感谢信送给了中国大唐集团有限公司派驻和家楼村第一书记李国彪。一封感谢信 浓浓驻村情,0,0,0,,渭南,陕西,中国
2,5042894534346451,吴中直,2024-06-08 07:33:32,【广陵区机关党务干部培训班】党务干部是党组织中的关键角色，负责党内事务管理、党员教育及组织发展等工作。他们需具备坚定的政治立场、良好的组织协调能力，确保党的方针政策得到有效执行，推动党组织健康发展。党务干部的工作对于党的建设和事业发展至关重要。 ,0,0,0,江苏,扬州,江苏,中国
3,5042280050460757,笑着寻梦,2024-06-06 14:51:48,#向着幸福生活奔跑的土家山寨#五年来，中益乡干部群众始终牢记总书记殷殷嘱托，以奋斗的豪情向前奔跑，以奋进的实干挥洒汗水，创造出翻天覆地的山乡巨变，交出脱贫攻坚的历史答卷。因为党的政策好，乡亲们都有使不完的劲，大家在幸福生活的路上感恩奋进、向前奔跑！,0,0,0,浙江,金华,浙江,中国
