页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5039415196126181,青岛市黄岛区人民检察院,2024-05-29 17:07:53,#求是#【谱写新时代党建引领基层治理和基层政权建设新篇章】基层治理是国家治理的基石。巩固党的执政基础、实现国家治理体系和治理能力现代化，必须把基层基础夯实。新时代新征程，中央社会工作部将继续深入学习宣传贯彻习近平总书记关于基层治理的重要论述，紧紧围绕党中央决策部署，积极作为、守正创新，不断推动党的创新理论转化为新时代基层治理现代化的生动实践。,0,0,0,,青岛,山东,中国
2,5039325572763010,鱼小妞妞妞,2024-05-29 11:11:45,确保山东党纪教育不流于形式，是一项至关重要的任务，它直接关系到党员干部的党性修养和党的执政能力。首先，要深化对党纪教育重要性的认识。全体党员干部必须深刻理解党纪教育对于保持党的先进性和纯洁性的重要意义，将其视为一项长期而紧迫的任务。其次，创新党纪教育形式和内容。传统的党纪教育方式可能已无法满足现代党员干部的需求，因此，需要运用新技术、新方法，如在线教育、案例分析等，使教育内容更加生动、直观，增强教育的吸引力和感染力。再次，加强制度建设，确保党纪教育的常态化、制度化。建立健全党纪教育考核机制，将教育成果与党员干部的选拔任用、奖惩激励等紧密挂钩，形成有效的激励约束机制。此外，加强监督检查，确保党纪教育落到实处。定期对党纪教育开展情况进行检查评估，及时发现问题并加以整改，确保教育效果不打折扣。最后，要注重实践锻炼，将党纪教育成果转化为实际行动。通过组织党员干部参与实践活动、志愿服务等方式，让他们在实践中加深对党纪党规的理解和认同，真正做到知行合一。总之，确保山东党纪教育不流于形式需要多方面的努力。只有深化认识、创新形式、加强制度建设和监督检查、注重实践锻炼，才能使党纪教育真正发挥实效，为山东党的建设提供坚强保障。,0,0,0,山东,青岛,山东,中国
2,5039244080579325,魏铁军WTJ,2024-05-29 05:47:56,《增强服务群众意识 提高群众工作能力》群众路线是我们党的传家宝，做好群众工作是党员干部的基本功，任何时候都不能丢。党的群众纪律是密切党同人民群众血肉联系、厚植党的执政根基的重要保证。网页链接 ,0,0,0,吉林,长春,吉林,中国
2,5039110807620871,即小评,2024-05-28 20:58:21,善在“作风场”上“验马”。作风是党员干部政治操守、党性修养和精神境界的集中反映，是党员干部综合素质的“晴雨表”，更是关系巩固党的执政基础的严肃政治问题。对选拔干部来讲，就要着力打造检验作风能力的“验马场”，把干部队伍中那些装得正、藏得深的“两面人”辨识出来，筛选出来。各级组织人事部门要练就察人识人的“火眼金睛”，健全干部培养全链条监督模式。一方面，常态化通过一线观察、专题调研、走访座谈等方式多角度加强对干部的日常了解，动态掌握干部作风能力；另一方面，持续畅通监督渠道，扩大社会监督覆盖面，坚持有线索必问、有问题必查、有责任必究，不断形成压力、传导压力，着力构建起“会干事、能成事、不出事”的良好政治生态。,0,0,0,山东,青岛,山东,中国
2,5039090020647560,瞭望东方周刊,2024-05-28 19:35:45,【加强队伍建设，让社区“管家”更安心】#加强社区工作者队伍建设#，事关保障人民安居乐业，事关维护社会安定有序，事关巩固党的长期执政根基，对于加强基层治理体系和治理能力现代化建设具有重要意义。近日，中共中央办公厅、国务院办公厅印发《关于加强社区工作者队伍建设的意见》（以下简称《意见》）。作为第一个专门关于加强社区工作者队伍建设的中央文件，导向鲜明，为不断壮大城市基层治理骨干力量勾画出了路线图。全国400多万名社区工作者，是党的路线、方针、政策在基层一线的直接执行者，也是基层治理和服务的骨干力量。在疫情防控一线，有他们坚守的背影；在脱贫攻坚战场，有他们挺拔的身姿；在民生服务前沿，有他们忙碌的身影……多年来，广大社区工作者扎根基层，服务居民，化解纠纷，营造邻里和谐氛围，成为实现人民安居乐业、维护社会和谐稳定、筑牢中国特色社会主义大厦根基的重要力量。社区很“小”，它是城市治理的基本单元；社区很“大”，生活起居、吃穿住行，都与它密切相关。社区工作者的能力和素质直接影响到老百姓居住在一个城市的幸福感。《意见》的出台，从制度层面对社区工作者队伍建设作出全面规划，恰逢其时，意义重大，每一座城市既要抓好贯彻落实，又要因地制宜进行积极探索。加强党建引领，持续改进社区工作。党的工作最坚实的力量支撑在基层，经济社会发展和民生最突出的矛盾和问题也在基层。只有在党的领导下，使每个社会细胞都健康活跃，将矛盾纠纷化解在基层，将和谐稳定创建在基层，才能使党建引领基层治理不断焕发新的生机活力。新时代新征程，必须选优配强社区党组织书记，建强社区“两委”班子，把更多资源、服务、管理下沉到基层，着力破解基层治理“小马拉大车”等突出问题，确保基层事情基层办、基层权力给基层、基层事情有人办，不断夯实社会治理基层基础。着力构建社区工作者职业体系，激发一线人员积极性创造性。社区工作者扎根基层，联系群众最直接、服务群众最具体，工作很忙很辛苦。然而，此前缺乏明确制度政策，无法就社区工作任职条件、岗位等级、薪酬待遇等作出合理界定。这也造成了一些人社区工作“活简单”“没前途”等错误认知，影响了社区工作者的积极性和工作效果。健全社区工作者职业体系是一项系统工程，各城市要全面、准确、完整贯彻落实《意见》的措施，让社区工作者像医生、教师等职业一样，有更加明确的工作内容、职业资格和发展路径，改善社区工作者工资待遇低、上升通道窄、职业认同感不强等状况。加强社区工作者能力建设，提高精细化治理、精准化服务水平。从破解老旧小区“停车难”到“小修小补”服务规范有序，从调解化解邻里矛盾到服务“一老一小”，社区工作看似平常琐碎微小，考验的却是社区工作者的综合工作能力。要更好满足日益多元化的社区居民需求，不仅需要花一番绣花功夫，更需要发挥专业才干。《意见》将“加强能力建设”作为其中一章。各城市要在“育”字上持续用力，不断健全培训机制，让社区工作者成为组织动员、矛盾调解、信息技术应用等领域的“多面手”，为实现社区治理服务的精准化、专业化、法治化打下坚实基础。为民服务无小事，千头万绪在基层。让社区工作者在事业上有盼头、生活上有甜头，才能不断激发他们干事业的劲头。社区工作成效如何，社区居民最有发言权。只有社区工作者不断提升专业服务能力，真心实意为老百姓办实事，社区才能更加宜居，城市才能更加美好。网页链接,2,0,0,,北京,北京,中国
2,5037513876702963,向阳星闻,2024-05-24 11:12:43,持续改进工作作风，提振社区工作者爱岗敬业、担当作为的精气神范坑乡  李文浩加强社区工作者队伍建设，事关保障人民安居乐业，事关维护社会安定有序，事关巩固党的长期执政根基，对于加强基层治理体系和治理能力现代化建设具有重要意义。社区社会工作服务，对推动解决工业化、城镇化、市场化、信息化和农业现代化发展衍生的社会矛盾与问题，保障社会安全，维护社会稳定；对增强居民自治能力、培育居民互助意识、扩大社会参与、促进社区融合、增进社区和谐；对强化社区服务功能、深化社区服务内涵、提升社区服务层次、完善社区服务体系，满足社区居民心理疏导、精神慰藉、行为矫治、关系调适、能力提升等新的个性化服务需求；对丰富基层社会管理方式、创新基层社会管理体制、增强基层社会管理能力、强化基层社会管理效果；对落实党和政府惠民政策、彰显人文关怀、扩大和巩固党执政的群众基础，具有十分重要的意义。对社区工作者不断加强培养，将有效发挥这一支基层队伍的力量。当然，基层社会治理当中，从事社区服务的人员素质不够高。一方面，社区服务工作人员的年龄过大，年轻人，特别是高素质的年轻人比重过低。受过高等教育，有较高文化素质、心理素质和身体素质的年轻人多不愿从事低收入的社区服务工作。许多工作人员都是离退休或者下岗人员、再就业困难人员、转业人员等，志愿者就更少了。总体上，专业的服务能力不高，居委会干部的代表是“大妈”，真正接受过社区服务方面的技能培训的年轻人还相当少。高素质的人才，特别是真正受过专业培训和专业训练的大学层次人才能最终被吸引到社区服务岗位当中来得十分有限，社区服务岗位的工作机会难以真正地吸引到他们。这个问题极大地限制了社区服务水平的提高。因此急需建设一支高素质的社区服务队伍，一方面，要广泛发动人民群众参与到社区服务中，壮大服务队伍；同时还要多方吸引高素质的社区服务人才，以提升服务人员的经济待遇为主，放权自主，规范管理；对相关的工作人员加强专业培训，培养基层社区服务工作者的服务意识，对相关工作进行宏观指导，以提升社区服务的水平，使社区服务走上专业化、科学化、规范化和高效化的道路。,0,0,0,福建,宁德,福建,中国
2,5035060547291984,勤学且向上,2024-05-17 16:44:04,#在全党开展党纪学习教育##党纪##从严治党#  自2024年4月至7月在全党开展的党纪学习教育，作为全面从严治党的重要一环，不仅关乎党的形象，更关系到党的执政基础和执政能力的提升。各级党组织和广大党员干部必须深刻认识到党纪学习教育的重要性，将其作为一项重大的政治任务抓紧抓实，将党纪学习教育融入到日常工作中，始终保持清醒头脑，坚定政治立场，以高度的政治自觉、思想自觉和行动自觉推动全面从严治党向纵深发展，为实现中华民族伟大复兴的中国梦提供坚强保障！ 聊城·康庄镇,4,2,6,山东,聊城,山东,中国
2,5035038127426436,永安市燕东街道忠义社区,2024-05-17 15:14:59,加强道德修养是党员干部的人生必修课                                                             永安市燕东街道忠义社区 ——王沛君       党员干部的道德品行修养，是提高领导干部队伍素质的核心问题。也是加强党的执政能力建设和先进性建设的重要内容，是关系到社会主义事业兴衰成败的首要问题。习总书记强调，全党同志特别是领导干部一定要讲修养、讲道德、讲廉耻，追求积极向上的生活情趣，养成共产党人的高风亮节，做到富贵不能淫、贫贱不能移、威武不能屈。推动改革发展事业，关键在党，关键在广大党员干部要有优良的工作作风。       加强道德修养是党员干部一场“必修课”。党的作风是党的形象，是党的性质、宗旨、纲领、路线的重要体现，是党的创造力、战斗力和凝聚力的重要内容。党的作风状况，关系党的生死存亡，关系国家的前途命运。习总书记在此时明确要求各级党组织要弘扬认真精神，强调全党同志特别是领导干部一定要讲修养、讲道德、讲廉耻，养成共产党人的高风亮节，殷殷切切、语重心长，既具有重要警示意义，也关乎党和人民事业的未来。       官员的道德素养就像一个窗口，像一座政治生态的风向标，像一面镜子。切实抓好党的作风建设，是全党同志和全国人民的期望。保持艰苦奋斗的作风，是党员队伍永葆生机活力、党的事业兴旺发达的根本所在。年轻干部，也要时刻谨记艰苦奋斗，不可将党的传统忘记，因为只有艰苦奋斗，不怕苦不怕累，才能推动各项事业不断前进；只有深入到基层中多磨炼，多学习，多奉献，才能让人民群众看到我们党员干部的干劲，才能赢得百姓的认可和支持。      党员干部的道德修养必须以为人民服舒为核心牢固树立正确的权力观，得失观、服务观。加强共产党人道德建设，是保持共产党员先进性的重要内容，是密切党和人民群众血肉联系的必然要求，是拒腐防变的基础防线。领导干部处在党和国家的各级重要岗位上，他们的思想道德状况具有重要的示范和导向作用。因此，加强共产党人思想道德建设，首先要从各级领导干部的思想道德建设抓起。         古语云：“其身正，不令而行；其身不正，虽令不从”。党员领导干部的生活作风不是小事。领导干部必须讲学习、讲政治、讲正气，还必须讲修养、讲道德、讲廉耻。共产党员特别是党员领导干部，应该有高尚的精神追求，做到在拜金主义、享乐主义、极端个人主义和灯红酒绿的侵蚀影响面前，一尘不染，一身正气。,0,0,0,福建,三明,福建,中国
2,5035034866355255,齐齐哈尔铁路运输法院,2024-05-17 15:02:01,#全面从严治党##党纪学习# 党纪学习教育应知应会知识100条54.新时代党的建设总要求：坚持和加强党的全面领导，坚持党要管党、全面从严治党，以加强党的长期执政能力建设、先进性和纯洁性建设为主线，以党的政治建设为统领，以坚定理想信念宗旨为根基，以调动全党积极性、主动性、创造性为着力点，全面推进党的政治建设、思想建设、组织建设、作风建设、纪律建设，把制度建设贯穿其中，深入推进反腐败斗争，不断提高党的建设质量，把党建设成为始终走在时代前列、人民衷心拥护、勇于自我革命、经得起各种风浪考验、朝气蓬勃的马克思主义执政党。,0,0,0,,齐齐哈尔,黑龙江,中国
3,5032417008032693,微红果,2024-05-10 09:39:35,强化社区干部筋骨 共绘幸福生活蓝图        近日，中共中央办公厅、国务院办公厅印发《关于加强社区工作者队伍建设的意见》。《意见》指出，加强社区工作者队伍建设，事关保障人民安居乐业，事关维护社会安定有序，事关巩固党的长期执政根基，对于加强基层治理体系和治理能力现代化建设具有重要意义。广大社区工作者当通过在学思践悟中坚定理想信念、强壮自身筋骨，同人民群众共绘幸福生活蓝图。        用理论武装头脑，“学”以致用。坚定的理想信念是一切行动的准星，只有树牢为民服务理念、践行初心使命，才能把群众放在心上，保持共产党的光荣本色。社区工作者教育培训是社区工作者队伍建设的先导性、基础性、战略性工程，要常态化组织学习贯彻习近平新时代中国特色社会主义思想特别是习近平总书记的重要论述，通过开展“三会一课”、主题党日活动和学习先进典型等，让社区工作者深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，在思想上贴近群众，在情感上亲近群众，在行动上服务群众。        以实践磨砺技能，“用”以为民。家是最小国，国是千万家，社区是连接家国的最小单位，社区干部是联系人民与国家的最前线。习近平总书记要求我们“从实际出发谋划事业和工作，使提出的点子、政策、方案符合实际情况、符合客观规律、符合科学精神”。社区工作者要坚持和发展新时代“枫桥经验”，走出办公室，走进群众间，深入调查研究，炼就可堪大用、能担重任的“硬脊梁”“铁肩膀”，切实维护好群众的合法权益、解决好群众的合理诉求、凝聚好群众的智慧力量，用心用情做好矛盾纠纷化解工作，营造邻里和睦、社区和谐的良好氛围。        常反思总结经验，“悟”以推广。《战国策·赵策一》中有“前事不忘，后事之师”；毛泽东曾言，“今天，当我们遇到不顺时，可以走进革命纪念馆、革命烈士陵园，以革命烈士对比交流”；习近平总书记说，“回望过往的奋斗路，眺望前方的奋进路，我们必须把党的历史学习好、总结好，把党的成功经验传承好、发扬好。”工作中难免会遇到难题，社区工作者需从群众和各地先进社区中找寻工作方法，始终同人民站在一起、想在一起、干在一起，定期总结成熟做法经验，推广典型指导案例，简化矛盾纠纷化解流程，让工作开展更高效便捷，转化成群众看得见、摸得着的“幸福指数”。,0,0,0,,六盘水,贵州,中国
