页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4989010106384662,早睡早起每一天www,2024-01-11 14:56:02,鉴往可以知来，历史是最好的老师。延安时期党通过开展批评与自我批评，作风建设取得了显著的效果，使全体党员在政治、思想、作风、组织上达到统一，增强了党的先进性和纯洁性。这种光荣传统和优良作风是我们党性质和宗旨的集中体现，是我们党区别于其他政党的显著标志，在当今社会，我们作为共产主义接班人，应继承这宝贵精神财富，开展批评和自我批评。,0,0,1,上海,上海,上海,中国
2,4983669787987927,机械设计专业2022级团支部,2023-12-27 21:15:32,1.本次活动开展之前首先以团小组的形式提前熟悉了解相关会议要求2.团支部书记带领大家合唱团歌及进行述职，支部委员开展批评与自我批评，提出合理化推荐和意见，互相监督，共同进步。3.团支部书记给出采取措施：一、加强团员思想政治学习，深入学习党的红色理论；二、加强团支部委员的领导核心作用；三、完善工作机制，开展工作作风纪律整顿；四、继续广泛征求全体同学对团支部的意见，并进行改善。4.张奕恺老师对此次组织生活会进行点评5.全体同学重温入团誓词以及团支书对本次组织活动会进行总结。,0,0,0,河南,周口,河南,中国
2,4983146033188281,用户7324748256,2023-12-26 10:34:19,今天是我们伟大领袖毛泽东同志的生日，我们缅怀老人家，主要是他为人民服务的要求不是停留在口上，而是真真实实落在了社会管理中。他带领制定党的三大作风实事求是，密切联系群众，批评与自我批评为团结各族人民，一心一意抓社会主义现代化建议打下了坚实基础。纪念他，就是希望优良的能被后人传承。 ,0,0,0,重庆,重庆,重庆,中国
2,4977811930218684,洞口笑笑生,2023-12-11 17:18:29,《毛同志远新回忆伯父对他的三次批评》席间免不了谈及党的历史和优良传统，远新回忆起当年伯父的几件往事，是关于如何对待批评与自我批评的。网页链接 ,4,0,12,上海,,上海,中国
2,4977547367156594,米奇凹凸曼,2023-12-10 23:47:13,#每日一善# #阳光信用#   新民主主义革命三大法宝： 统一战线，武装斗争，党的领导  三大优良作风： 密切联系群众，理论联系实际，批评与自我批评相结合  工农武装割据： 土地革命，武装斗争，根据地建设  全面依法治国： 科学立法—前提，严格执法—关键， 公正司法—重点，全民守法—基础 ,0,1,3,湖南,,湖南,中国
2,4974482940495456,用户7355648924,2023-12-02 12:50:17,批评与自我批评是我们党的优良传统。近期，按照党史学习教育要求部署，各地正陆续召开党史学习教育专题组织生活会，“批评与自我批评”是其中一项重要环节，严肃认真开展批评与自我批评，有助于统一思想、解决问题、团结进步、共同提高，凝聚起干事创业强大合力。　　批评贵在“讲党性不讲私情、讲真理不讲面子”，但一些党员在开展批评与自我批评时，就存在“放不下面子”的情况。自我批评的时候，害怕把缺点短板不足暴露出来，出丑掉面子，索性找些不痛不痒的问题敷衍了事；相互批评的时候顾及他人面子，话说重了生怕伤着他人面子，便本着“你好我好大家好”的心态，看似指出问题，实则“隔靴搔痒”，甚至“以贬代褒”。　　回顾百年历程，我们党就是在批评与自我批评中不断实现自我革命和发展壮大的。在一些重大的历史关头，共产党人总是敢于拿起批评与自我批评这一武器，纠正错误思想、整改短板不足、凝聚思想共识，最终保持正确的前进方向，做到团结一致向前看。毛泽东同志曾说，有无认真的自我批评，是我们党和其他政党互相区别的显著标志之一。从党的七大明确把批评和自我批评确立为党内生活的基本方法开始，我们党在前进的道路上牢牢握住批评与自我批评这一有力武器，不断实现自我净化、自我完善、自我革新、自我提高，注入源源不绝的生机与活力，始终保持了马克思主义政党的先进性和纯洁性。　　最是批评显担当，最是批评见党性。“面子思维”是能不能有效开展批评与自我批评的最大“敌人”。无产阶级革命家李立三曾犯过严重“左”倾冒险主义错误，但他不止一次地在公开场合深刻检查，他说：“犯了错误，首先想到党的面子，人民的面子，而不是个人的面子，一个共产党员，究竟有没有党性，就看他能不能对自己的错误，进行认真的自我批评。”真正的共产党人向来是不怕任何批评意见的，准确找到自身缺点并勇于改正，是共产党人身上的优秀品质。陈毅同志“讲真话，天不会塌”，董必武同志“为六角钱作检讨”，陈云同志“要讲真理，不要讲面子”……革命先辈用一言一行为我们作出了最好的示范，我们要坚持以党的历史为鉴，以革命先辈先烈为镜，用好批评与自我批评的武器，传承优良传统，锤炼过硬作风，永葆坚强党性。　　批评就是要敢于真刀真枪、一针见血、不留情面。越是有短板和问题存在，就越要毫无保留、毫不避讳地指出来，并坚决予以整改落实，不能让问题一直存在，进而影响全局。广大党员干部要以对组织、对同志、对自己高度负责的态度，克服“好人主义”，不搞“一团和气”，当好组织生活会上的“诤友”“益友”。对自己要“放得下面子”，虚怀若谷、开诚布公、揭短亮丑，展现“闻过则喜”的宽广胸襟和知错即改的担当气度；对同志要真批实评“不留面子”，不遮遮掩掩、避实就虚，说真话、见真心、吐真情，做到红脸出汗、治病去疴，力求在相互批评中增进团结、统一思想，提升党组织的凝聚力、向心力、战斗力。,0,0,1,湖北,孝感,湖北,中国
2,4973494171337351,即兴64422200610,2023-11-29 19:21:15,"#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功#        自觉遵守新党章。党章是党的最高行为规范,是全体党员必须遵守的基本准则。当前,部分党员甚至领导干部出现了“工作劲头不如入党时大,学习钻研精神不如入党时足,批评与自我批评不如入党时好,对自己要求不如入党时严,模范作用不如入党时突出”的现象,归根结底就是没有自觉遵守党章。我认为,作为一名党员领导干部,应该从自省、自警、自励的角度出发,自觉遵守党章。自省,几千年前孔子曾说过,“见贤思齐,见不贤而内自省。”自省自古以来就是国人提倡的自我修养的最高境界,没有思想的清白,就不可能有作风上的廉洁,为了提高党员领导干部的道德修养水平,党员领导干部要时时处处严格要求自己,经常反思、检查自己的思想和行为,看有没有与党章要求不一致的地方,有没有违背党章的地方,开展自我批评,自我解剖,找出自身的缺点和不足,从而不断提高完善自己。自律,马克思曾经说过,当权力成为一种乐趣的时候,它就会出问题,成为一种责任的时候,它就会平安无事, 等一批党员领导干部被查处,充分证明了权力是一柄双刃剑,“前车之覆,后车之鉴”,广大党员领导干部,尤其是党政一把手要从中认真汲取教训,时时刻刻以党章的要求、他人的教训严以律己,防止沉湎于个人得失。    （外国语学院第三学习小组）@文理先锋",0,0,0,四川,成都,四川,中国
2,4972979016437421,榔头的情绪日记,2023-11-28 09:14:14,每天来一条记不住的： ①【新民主主义革命胜利的基本经验】【统一战线、武装斗争、党的建设】 ②【土地革命、武装斗争、农村革命根据地】是【中国革命走农村包围城市、武装夺取政权必须处理好的关系】 ③【理论联系实际、密切联系群众、批评与自我批评】是【党的三大优良作风】 ,0,0,0,浙江,,浙江,中国
2,4971573987510457,marryppp,2023-11-24 12:11:09,C两个结合。是嘛结合？党的三大作风:理论联系实际，密切联系群众，批评与自我批评 （联系我）。毛思想的活灵魂:实事求是，群众路线，独立自主  （是群主）。邓小平理论精髓:解放思想，实事求是。,0,0,0,湖北,武汉,湖北,中国
2,4964601728861092,求诸子,2023-11-05 06:25:53,厉害的#雍容大度我心飞扬# 的军兄。党的主题教育学得好呀！老规矩，#中国美酒年份原浆# 云敬献中！//@张胜军:#雍容大度我心飞扬# 永远怀着一颗谦卑的心，经常开展批评与自我批评,0,0,3,安徽,合肥,安徽,中国
