页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5044803731721985,廉洁上海,2024-06-13 14:00:00,【#深度关注#推动党纪学习教育走深走实】党纪学习教育开展以来，各地各部门深刻认识其重大意义，压实领导责任，抓住学习重点，确保取得扎实成效。广大党员干部深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，原原本本学习《中国共产党纪律处分条例》（以下简称《条例》），不断增强纪律观念、强化纪律自觉，把遵规守纪刻印在心，始终做到忠诚干净担当。为何必须把纪律建设摆在更加突出的位置？开展#党纪学习教育# ，如何推动走深走实？记者采访了中国人民大学中共党史党建学院教授陈家刚，中国社会科学院大学党内法规与国家监察研究中心主任、政府管理学院教授柴宝勇。（中央纪委国家监委网站）网页链接,0,0,1,,上海,上海,中国
2,5044748979015495,嵩明发布,2024-06-13 10:22:26,#嵩明微头条# 【县委主要领导到党支部工作联系点讲授专题党课】6月12日，县委书记李进波到挂钩村党支部，以“持续加强党的纪律建设，将全面从严治党要求落到实处”为主题，为党员干部讲授党纪学习教育专题党课。他强调，要将党纪学习教育真正落到行动中去，以高度的责任感和扎实的工作作风把家乡建设好、把产业发展好、把村集体经济培育好、把群众收入提上来，真正做到守纪律、重实干、有担当，切实为嵩明的发展贡献力量。县委主要领导到党支部工作联系点讲授专题党课 县委主要领导到党支部工作联系点讲授专题党课,0,0,0,,昆明,云南,中国
2,5044397941721427,__大_顺___,2024-06-12 11:07:32,党纪条例警示教育党课.要求，要扛牢政治责任，高质量推进党的纪律建设向纵深发展。一要筑好“篱笆墙”，严格制度制定和执行，进一步聚焦工作中暴露出的问题，针对廉政风险突出领域、监督管理薄弱环节建章立制，规范权力运行。二要安好“探照灯”，强化干部教育管理监督，特别是加强对“一把手”和年轻干部的教育管理监督，打好监督组合拳，促进各类监督贯通协调。三要立好“风向标”，锲而不舍纠“四风”树新风，大力弘扬党的光荣传统和优良作风，推动党员干部涵养浩然正气。四要通好“高压电”，严肃执纪问责，用好监督执纪“四种形态”，把握好“三个区分开来”，坚决维护党纪的严肃性和权威性。,0,0,0,北京,北京,北京,中国
2,5044047980793154,中南大学湘雅三医院,2024-06-11 11:56:55,湘雅三医院第十一党总支组织开展2024届毕业生党员教育培训系列活动为深入学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神，切实加强毕业生思想政治教育，培养爱国荣校情怀，增强毕业生的归属感、责任感和使命感，营造积极向上、文明和谐的离校氛围，5月26日-6月7日，#中南大学湘雅三医院# 举行了2024届毕业生党员教育培训系列活动。本次培训分为党纪学习教育专题党课《以党纪为“锚” 稳发展之“舵”》、优秀党员先进事迹报告会、观看《榜样8》专题节目和“重温湘雅历史”——赴湘雅医学院院史馆和湘雅护理学院院史馆开展主题实践研学活动四个部分，全体2024届毕业生党员参加活动。,0,0,0,,长沙,湖南,中国
2,5042573076860418,张家口市职教中心官博,2024-06-07 10:16:11,【师德师风】张家口市职教中心成功承办2024张家口市中小学幼儿园教师师德风采演讲比赛        为深入贯彻党的教育方针，加强师德师风建设，提高教师职业素养，提升教师责任意识，教育引导广大教师争做教育家精神的宣传弘扬者、身体力行者，激励广大教师努力成为“四有”好老师、新时代“大先生”，全面落实立德树人根本任务，充分展示教师风采。应张家口市教育局号召，依据《河北省教育厅关于举办第十五届中小学幼儿园教师师德论坛征文暨师德风采演讲活动的通知》（冀教师函〔2024〕6号）要求，张家口市职教中心于2024年6月4日承办2024年张家口市中小学幼儿园“弘扬教育家精神，争做新时代大先生”师德风采演讲比赛。        张家口市教育局副局长白光星，师教科科长陈菁，学校党委书记秦占军，校长张建栋参与活动。        张家口市师德风采大赛评委会主任白薇老师介绍比赛规则和注意事项。       本次演讲比赛是在对各县区教育局和市直各学校所推荐的作品进行初评基础上，遴选出18位教师参加市级演讲比赛。比赛中，参赛老师们紧紧围绕“弘扬教育家精神，争做新时代大先生”的主题，结合当代教育家的先进事迹、自身教学经历和工作感受讲述着一个个立德树人、感人肺腑的师德故事。老师们满腔热情、精神饱满的演讲，充分展现出张家口市教师队伍良好的精神风貌。      经过激烈角逐，最终12位教师获得最佳师德风采奖，并推荐参加分区赛。      比赛还采用网络直播的方式组织全市教师进行观看，观看人数超过161万人次.教育是国家发展的基石，而教育家则是引领教育发展的灵魂。此次师德师风演讲比赛的成功举办，进一步激发广大教师的工作热情和创新精神，营造了积极向上、和谐进取的良好氛围。未来，学校将进一步加强师德师风建设，为推动全市教育系统形成崇尚教育家精神，尊重教师职业，关注教育发展贡献力量！,0,0,0,,张家口,河北,中国
2,5042425051743555,息烽政府办,2024-06-07 00:27:59,【马宁宇为贵阳贵安开发区领导干部讲党纪学习教育专题党课】6月5日，市委副书记、市长马宁宇为贵阳贵安开发区领导干部讲党纪学习教育专题党课。他强调，要深入学习贯彻习近平总书记关于加强党的纪律教育的重要论述，以强烈的政治责任开展好党纪学习教育，进一步强化纪律意识、加强自我约束、提高免疫能力，凝聚起开发区干事创业的强大动力。市人大常委会副主任张建军出席，副市长刘良果主持，市政协副主席、清镇市委书记付涛，市政府秘书长李昂，贵安新区办公室主任李藏龙参加。马宁宇指出，党的十八大以来，习近平总书记围绕自我革命作出了一系列重要论述，为我们指明了方向、提供了遵循。贵阳贵安开发区党员干部要原原本本学习《中国共产党纪律处分条例》，把党的“六大纪律”内化于心、外化于行，做到知敬畏、存戒惧、守底线。要坚定理想信念，进一步筑牢信仰之基、补足精神之钙、把稳思想之舵。要纵深推进反腐败斗争，把严的基调、严的措施、严的氛围长期坚持下去。要坚决反对特权思想和特权现象，做到党规党纪面前人人平等、执行党规党纪没有例外。要深入纠“四风”树新风，推进作风建设常态化长效化。马宁宇强调，要全面加强党的纪律建设，深刻汲取违纪典型案例的教训，不断增强政治定力、纪律定力、道德定力、抵腐定力，始终做到忠诚干净担当。要强化以案说德，提升个人品德、家庭美德、社会公德，培育健康生活情趣、涵养高尚道德情操。要强化以案说纪，以严明政治纪律带动各项纪律全面从严，牢固树立和践行正确政绩观，做到公正用权、依法用权、为民用权、廉洁用权。要强化以案说法，带头尊法、学法、守法、用法，自觉运用法治思维和法治方式想问题、作决策、办事情。要强化以案说责，担好发展之责、建设之责、服务之责、安全之责，坚决扛起“促一方发展”的职责使命。贵阳贵安有关部门，国家级、省级开发区负责人参加。（via.@贵阳市人民政府网 ）,0,0,1,,贵阳,贵州,中国
2,5042226635737947,河南信息广播,2024-06-06 11:19:33,【把学习成果转化为正风肃纪反腐实际成效】全面从严治党永远在路上，党的自我革命永远在路上，要不断强化时时放心不下的责任感和担当作为的精气神，勇挑重担、敢打硬仗。坚持高标准和守底线相统一，以更高标准、更严要求扎实开展党纪学习教育，增强党性修养，坚定理想信念，筑牢廉洁防线，以实际行动彰显铁军本色，不负党和人民的重托。网页链接,0,0,0,,郑州,河南,中国
2,5042219620238943,临河检察,2024-06-06 10:51:40,党纪学习教育·知新自习室 | 纪律是“戒尺”也是“鼓槌”党的纪律是党的生命线，也是党员干部干事创业的保护线。新修订的《中国共产党纪律处分条例》新增16条、修改76条，给党员干部标明了“触雷区”，划出了“责任地”，也吹响了“冲锋号”。广大党员干部须自觉主动学纪、知纪、明纪、守纪，搞清楚党的纪律规矩是什么，弄明白什么不可为、什么可以干，既有敬畏心又有精气神，真正做到忠诚干净担当。　　纪律是管党治党的“戒尺”。知尺才能度量，明纪方能律己。党员干部要以党规党纪为准绳，在党纪学习教育中，关键在于把自己摆进去、把工作摆进去、把职责摆进去，原原本本学、融会贯通学、联系实际学，真正搞清楚党的纪律规矩是什么，深刻领悟《中国共产党纪律处分条例》为什么修订、改了哪些内容，对照六项纪律，量一量自己的言行，用党规党纪这把“戒尺”校正思想和行动，真正使学习党纪的过程成为增强纪律意识、提高党性修养的过程。只有学清楚、弄明白，努力把他律要求转化为内在追求，把遵规守纪刻印在心，才能“从心所欲不逾矩”。　　纪律也是干事创业的“鼓槌”。在现实中，有些同志错误地认为纪律规矩是条条框框，束缚手脚，影响自己自由施展。事实上，规范不是束缚，干事创业离不开一个秩序井然的环境，修订后的《条例》，划出“红线”，标出“禁区”，列出“负面清单”，正是为党员干部更好地履职尽责、行使权力打好基础、指明方向、创造环境。《条例》还坚持严管和厚爱结合、激励和约束并重，将由于不可抗力等原因所引起的行为，同出于故意或者过失区别开来，精准落实“三个区分开来”，用好容错纠错机制，严查诬告陷害行为，旗帜鲜明为担当实干者松绑减负、撑腰鼓劲，体现的正是从严管理监督和鼓励担当作为的高度统一。全面从严治党的目的不是把人管死，而是在于激活“一江春水”，在守好底线的基础上最大限度激发党员干部的积极性、主动性、创造性，促进营造积极健康、干事创业的政治生态和良好环境。　　纪律严明是党的光荣传统和独特优势。新时代全面从严治党的生动实践证明，加强纪律建设，不仅不会不利于发展，恰恰是事业发展的重要保证。遵规守纪才是干事创业的最大底气。“为”与“畏”看似对立，实则统一。从根本上说，有“为”必然有“畏”，有“畏”才能有“为”。严明纪律捆住的是任性用权者和蛮干乱为者的手脚，对那些遵纪守法、严于律己，全力以赴做事的党员干部，纪律的“紧箍”扎得越紧，越是他们做人的坚强后盾、做事的有力保障。没有了顾虑和羁绊，才能轻装上阵、锐意进取，从而一门心思谋实干、心无旁骛抓落实。　　“加强纪律性，革命无不胜。”纪律上的“严”与担当上的“敢”是辩证统一的，对于一名党员干部来说，党纪学习教育就是既要在检身正己中“管住身心”，又要在担当作为上“放开手脚”，让“心存敬畏”护航“行稳致远”。来源：北疆先锋,0,0,0,,巴彦淖尔,内蒙古,中国
2,5039676160738109,河北区发布,2024-05-30 10:24:52,河北区委党纪学习教育工作专班召开第二次全体会议5月28日下午，河北区委党纪学习教育工作专班召开第二次全体会议，深入学习贯彻习近平总书记关于全面加强党的纪律建设的重要论述，传达市委关于党纪学习教育工作有关要求，按照全区党纪学习教育工作计划安排，进一步压实工作责任，扎实推进全区党纪学习教育有序开展。会议指出，要深刻领会习近平总书记关于全面加强党的纪律建设重要论述的科学内涵和实践要求，切实把重要论述各方面要求贯彻到党纪学习教育中。要落实好市委党纪学习教育工作专班第二次全体会议提出的“六个持续用力”具体要求，以党纪学习教育的实际成效推动“四个善作善成”重要要求落地见效。要开好专题交流研讨会，组织好市、区专题展览的集中观展工作，确保用身边事教育身边人达到预期效果。要抓实基层党组织学习教育，抓班子、抓支部，抓机关、抓领域，防止中梗阻、水流不到头。会议要求，要突出抓好重点对象的纪律培训，加强对新提拔干部、年轻干部、关键岗位干部的普遍轮训，切实增强纪律教育的针对性、实效性。要讲好纪律党课，精心做好准备，以讲促学、以讲带学，防止流于形式、走过场。要深入开展“立足岗位做贡献 河北党员争先锋”活动，教育引导广大党员、干部在我区打造现代服务业升级版重点工作中用党规党纪校正思想和行动。要发挥好专班作用，专班成员单位要各司其职、相互协作，推动全区党纪学习教育有力有序、向深向实开展。区委党纪学习教育工作专班副主任和全体成员参加会议。（来源：“津北红帆”微信公众号）,15,112,146,,,天津,中国
2,5039833382649917,广汉融媒,2024-05-30 20:49:36,【广汉新闻】广汉开展省级党员教育师资送教活动5月28日，省级党员教育师资送教活动在四川新升包装科技有限责任公司开展，此次送教内容为深入学习贯彻习近平新时代中国特色社会主义思想和习近平总书记关于党员教育工作重要论述，学习贯彻党的二十大精神，引导广大党员坚定拥护“两个确立”、坚决做到“两个维护”，以实际行动奋力谱写新时期社会主义现代化广汉新篇章。（记者：曾纪翔 编辑：杨蕾）视频链接：网页链接,0,0,0,,德阳,四川,中国
