页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049086726113604,北方47423,2024-06-25 09:39:06,首先，我们要深入学习党的创新理论，掌握其核心要义和精神实质。我们要认真学习新时代中国特色社会主义思想，把握新时代我国社会主要矛盾的变化，增强“四个意识”，坚定“四个自信”，做到“两个维护”。其次，我们要紧密结合工作实际，用党的创新理论指导实践。我们要围绕中心、服务大局，把党的创新理论转化为工作思路和具体措施，切实解决实际问题。在工作中，我们要坚持以人民为中心的发展思想，关注人民群众的利益和需求，为人民办实事。,0,0,0,福建,莆田,福建,中国
2,5049060266870611,上海证券报,2024-06-25 07:53:57,#多家上市公司荣获国家科学技术奖#【科技创新不断突破 发展动能持续提升】从“天和”遨游太空，到“奋斗者号”潜进深海；从“中国天眼”巡天观测，到“深海一号”开发海底……我国科技创新不断突破，创新驱动发展能力持续提升。党的十八大以来，党中央坚持把科技创新摆在国家发展全局的核心位置，把科技自立自强作为国家发展的战略支撑，推动我国科技事业发生历史性、整体性、格局性重大变化。科技创新不断突破 发展动能持续提升,1,0,0,,上海,上海,中国
2,5049034115646295,社科小普,2024-06-25 06:10:02,发布了头条文章：《知图达理 丨 习近平经济思想理论图解——高质量发展的理论体系》 高质量发展是习近平经济思想的重要范畴，党的十八大以来，以习近平同志为核心的党中央突出强调提高经济发展质量和效益，鲜明提出我国经济已由高速增长阶段转问高质量发展阶段。#扎实推动经济高质量发展# #引领新时代中国经济发展的强大思想武器#  知图达理 丨 习近平经济思想理论图解——高质量发展的理论体系,0,0,1,北京,北京,北京,中国
2,5048702817272486,央视新闻,2024-06-24 08:13:35,【时政微视频丨#大国重器要掌握在自己手里#】党的十八大以来，习近平总书记把科技创新摆在国家发展全局的核心位置，多次深入科技创新最活跃的区域，同科技工作者面对面交流，提出深切嘱托和殷切期望。习近平总书记多次提到，关键核心技术是国之重器，强调国之重器一定要牢牢掌握在自己手里：“关键核心技术是要不来、买不来、讨不来的”；“抓创新不问‘出身’，能给国家作出贡献的，就是最重要的”。“雄关漫道真如铁，而今迈步从头越。”科技强国的征途上，我们自立自强，奋勇前进。时政微视频丨大国重器，要掌握在自己手里   央视新闻的微博视频,470,362,2275,,北京,北京,中国
2,5048891034571711,喜马拉雅豆芽,2024-06-24 20:41:29,中共中央 国务院 关于2023年度国家科学技术奖励的决定：党的十八大以来，以习近平同志为核心的党中央坚持把科技创新摆在国家发展全局的核心位置，健全新型举国体制，加快推进高水平科技自立自强，我国科技事业取得历史性成就、发生历史性变革，进入创新型国家行列。 中共中央 国务院 关于2023年度国家科学技术奖励的决定 ,0,0,0,陕西,宝鸡,陕西,中国
2,5048812651677769,河南共青团,2024-06-24 15:30:01,【#豫青大学习#大国重器要掌握在自己手里】党的十八大以来，习近平总书记把科技创新摆在国家发展全局的核心位置，多次深入科技创新最活跃的区域，同科技工作者面对面交流，提出深切嘱托和殷切期望。习近平总书记多次提到，关键核心技术是国之重器，强调国之重器一定要牢牢掌握在自己手里：“关键核心技术是要不来、买不来、讨不来的”；“抓创新不问‘出身’，能给国家作出贡献的，就是最重要的”。“雄关漫道真如铁，而今迈步从头越。”科技强国的征途上，我们自立自强，奋勇前进。#豫青关注# 河南共青团的微博视频,29,14,11,,郑州,河南,中国
2,5048844767727304,今晚报,2024-06-24 17:37:38,【《全面深化改革 中国式现代化万千气象》天津篇在央视播出】改革开放是当代中国大踏步赶上时代的重要法宝，是决定中国式现代化成败的关键一招。党的十八大以来，以习近平同志为核心的党中央以前所未有的决心和力度，开启了气势如虹、波澜壮阔的改革进程。全面深化改革已成为新时代中国的显著标识，也是推进中国式现代化的根本动力。从6月24日起，中央广播电视总台新闻频道、央视新闻客户端和央视频等平台，推出融媒体直播特别节目——《全面深化改革 中国式现代化万千气象》，带观众走进全国31个省、自治区、直辖市，集中展示各地全面深化改革、推进中国式现代化建设的新实践、新成果。其中，天津篇——《笃行奋进 成就“津”彩》由中央广播电视总台天津总站与天津海河传媒中心联合推出，于6月25日上午10:00在央视新闻频道直播，总时长约40分钟，重点展现天津贯彻落实习近平总书记对天津工作提出的“四个善作善成”重要要求，通过聚焦京津冀协同发展、港产城融合发展行动、天开园科技创新产业创新、 “津”派文化等天津具有代表性和典型性的改革领域，呈现中国式现代化天津篇章的见行见效。网页链接,0,0,1,,天津,天津,中国
2,5048837421144062,绝不打酱油1,2024-06-24 17:08:27,工党的“商业友好”宣言是向工人阶级宣战！2024年6月14日工党领袖基尔·斯塔默昨日上午在曼彻斯特发布了该党的“商业友好”竞选宣言，承诺工党政府将把英国资本主义的经济稳定放在首位。工党宣称“创造财富”是宣言的核心，工人们得知斯塔默和工党致力于保护老板和银行家的财富时不会感到惊讶。在直接针对老板们的推销中，宣言承诺不增加公司税，并将该税的上限保持在25%。公司税是政府对英国公司和在英国设有办事处的外国公司的公司利润征收的税。大型企业可能担心利润会受到威胁的任何担忧都已得到解决，因为斯塔默向它们保证，利润税将保持在保守党财政大臣杰里米·亨特（Jeremy Hunt）在2023年设定的水平。降低企业利润税将伴随着“严格的新支出规则，以允许企业规划和增长”。严格的新支出规则意味着不通过借款为政府日常支出提供资金的坚定承诺。这符合保守党和工党的坚定承诺，即通过利息偿还降低目前超过2.6万亿英镑且每周都在增加的巨额国债。在排除了任何增加政府借款和提高公司利润税的可能性后，斯塔默打算如何支付所有声称工党政府将减少医院等待时间、建造数千套房屋并神奇地使英国经济摆脱衰退的费用？,0,0,1,天津,天津,天津,中国
2,5048831882300886,贵州民政,2024-06-24 16:46:26,#贵州民政身边事# 【中共中央 国务院关于2023年度国家科学技术奖励的决定】中国式现代化关键在科技现代化，全面建成社会主义现代化强国关键看科技自立自强。党的十八大以来，以习近平同志为核心的党中央坚持把科技创新摆在国家发展全局的核心位置，健全新型举国体制，加快推进高水平科技自立自强，我国科技事业取得历史性成就、发生历史性变革，进入创新型国家行列。广大科技工作者奋力投身科技创新，不断取得新成果、实现新突破，为中国式现代化建设提供了坚实支撑。为深入贯彻习近平新时代中国特色社会主义思想和党的二十大精神，深入实施科教兴国战略、人才强国战略、创新驱动发展战略，中共中央、国务院决定，对为我国科学技术进步、经济社会发展、国防现代化建设作出突出贡献的科学技术人员和组织给予奖励。根据《国家功勋荣誉表彰条例》、《国家科学技术奖励条例》的规定，经国家科学技术奖励评审委员会评审、国家科学技术奖励委员会审定和科技部审核，党中央、国务院批准并报请国家主席习近平签署，授予李德仁院士、薛其坤院士国家最高科学技术奖；党中央、国务院批准，授予“拓扑电子材料计算预测”国家自然科学奖一等奖，授予“三维流形的有限复叠”等48项科技成果国家自然科学奖二等奖，授予“集成电路化学机械抛光关键技术与装备”等8项科技成果国家技术发明奖一等奖，授予“绿色生物基材料包膜控释肥创制与应用”等54项科技成果国家技术发明奖二等奖，授予“复兴号高速列车”等3项科技成果国家科学技术进步奖特等奖，授予“‘深海一号’超深水大气田开发工程关键技术与应用”等16项科技成果国家科学技术进步奖一等奖，授予“耐寒抗风高产橡胶树品种培育及其应用”等120项科技成果国家科学技术进步奖二等奖，授予约翰·爱德华·霍普克罗夫特教授等10名外国专家中华人民共和国国际科学技术合作奖。党中央号召，全国科技工作者要向国家最高科学技术奖获奖者及全体获奖人员学习，更加紧密团结在以习近平同志为核心的党中央周围，深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，锚定科技强国建设目标，坚持“四个面向”，大力弘扬爱国、创新、求实、奉献、协同、育人的科学家精神，加强基础研究和应用基础研究，打好关键核心技术攻坚战，加快实现高水平科技自立自强，以科技创新支撑高质量发展、保障高水平安全，培育发展新质生产力，为以中国式现代化全面推进强国建设、民族复兴伟业作出新的更大贡献。（来源：新华社）,1,0,0,,海口,海南,中国
2,5048826296012688,鹤壁汽车工程职业学院,2024-06-24 16:24:14,#鹤汽分享# 【时政微视频丨#大国重器要掌握在自己手里#】党的十八大以来，习近平总书记把科技创新摆在国家发展全局的核心位置，多次深入科技创新最活跃的区域，同科技工作者面对面交流，提出深切嘱托和殷切期望。习近平总书记多次提到，关键核心技术是国之重器，强调国之重器一定要牢牢掌握在自己手里：“关键核心技术是要不来、买不来、讨不来的”；“抓创新不问‘出身’，能给国家作出贡献的，就是最重要的”。“雄关漫道真如铁，而今迈步从头越。”科技强国的征途上，我们自立自强，奋勇前进。时政微视频丨大国重器，要掌握在自己手里   央视新闻的微博视频,0,0,0,河南,鹤壁,河南,中国
