页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048813150801786,清风漯河,2024-06-24 15:32:00,#清风资讯# 【省委理论学习中心组举行集体学习研讨 严守工作纪律生活纪律 时刻自重自省自警自励 楼阳生主持并讲话】6月21日，省委理论学习中心组举行集体学习研讨，深入学习《习近平关于全面加强党的纪律建设论述摘编》，重点围绕《中国共产党纪律处分条例》中对工作纪律、生活纪律的要求进行学习。省委书记楼阳生主持并讲话。网页链接,0,0,0,,漯河,河南,中国
2,5048810663579169,成都民政,2024-06-24 15:22:07,新修订的《中国共产党纪律处分条例》（以下简称《条例》）自2024年1月1日起施行。这是党的十八大以来，第3次修订《条例》，体现了党中央坚持全面从严治党，以严明纪律推进党的自我革命的坚定决心。三次分别修订了哪些内容?让我们一起来学习↓↓↓↓↓ ,0,0,0,,成都,四川,中国
2,5048805097999137,新疆反走私,2024-06-24 15:00:00,【每日一学！全面加强党的纪律建设】每天15点，与你一起学习《中国共产党纪律处分条例》，自觉将纪律要求内化于心、外化于行。#那客带你学党纪# #小新学党纪# ,1,2,2,,昌吉,新疆,中国
2,5048805097738981,中国反走私,2024-06-24 15:00:00,【每日一学！全面加强党的纪律建设】每天15点，与你一起学习《中国共产党纪律处分条例》，自觉将纪律要求内化于心、外化于行。#那客带你学党纪# ,1,0,3,,南宁,广西,中国
2,5048796898398008,阿坝州纪委,2024-06-24 14:27:25,《中国共产党纪律处分条例》解读微视频丨如何理解党的纪律建设的总体要求 《中国共产党纪律处分条例》解读微视频丨如何理解党的纪律建设的总体要求 ,0,0,0,,阿坝,四川,中国
2,5048789006287175,磐石发布,2024-06-24 13:56:03,党的十八大以来，《中国共产党纪律处分条例》作出哪些修订？网页链接 ,0,0,0,,吉林市,吉林,中国
2,5048766912004723,长沙微芙蓉,2024-06-24 12:28:16,【严明党的工作纪律 促进履职尽责担当作为】新修订的《中国共产党纪律处分条例》（以下简称《条例》）第十章“对违反工作纪律行为的处分”，紧紧围绕促进党员、干部履职尽责、担当作为，完善工作纪律要求，为进一步全面深化改革、顺利推进中国式现代化，实现新时代新征程党的使命任务提供坚强纪律保障。#快乐芙蓉韵味无穷##千年城心 芙蓉等你##扎实开展党纪学习教育# 严明党的工作纪律 促进履职尽责担当作为,0,0,0,,长沙,湖南,中国
2,5048744992571633,正义临江,2024-06-24 11:01:09,"关于《中国共产党纪律处分条例》组织纪律修订的重点内容 作者：  新闻来源：人民日报严明党的组织纪律 增强组织纪律性——关于《中国共产党纪律处分条例》组织纪律修订的重点内容中央纪委国家监委法规室组织纪律是规范和处理党的各级组织之间,党组织和党员之间以及党员与党员之间关系的行为规则,是维护党的集中统一、保持党的战斗力的基本条件,其本质要求是坚持民主集中制,贯彻落实新时代党的组织路线。习近平总书记指出,党的力量来自组织,组织能使力量倍增,强调“要好好抓一抓组织纪律,加强全党的组织纪律性”。新修订的《中国共产党纪律处分条例》(以下简称《条例》)第七章“对违反组织纪律行为的处分”,着眼贯彻新时代党的组织路线,紧紧围绕落实新时代好干部标准、增强党员组织观念、保障人才评价机制落实等方面,不断严明党的组织纪律。一是推动落实能上能下的选人用人机制,保护党员、干部积极性主动性创造性。习近平总书记强调,着力解决一些干部不作为、乱作为等问题,推动干部能上能下,让那些想干事、肯干事、能干成事的干部有更好用武之地,激发全党坚定信心、鼓足干劲、增强创造活力。党的二十大对“推动干部能上能下、能进能出”作出部署、提出要求。中共中央办公厅2022年9月印发《推进领导干部能上能下规定》,聚焦对不适宜担任现职的领导干部进行组织调整作出系统规范。能否克服“好人主义”,是推进能上能下工作的关键。《条例》新增第八十五条,规定在推进领导干部能上能下工作中,搞好人主义,以党纪政务等处分规避组织调整,以组织调整代替党纪政务等处分,或者有其他避重就轻作出处理行为,情节较重的,给予相应处分。《条例》充实上述惩戒规定,就是要以严明纪律保障推进领导干部能上能下工作要求落到实处,促进形成能者上、优者奖、庸者下、劣者汰的良好局面。二是推动增强党员组织观念,促进不断强化党员意识。《条例》着眼引导党员强化组织原则、组织观念,在第九十一条对党员虽经批准因私出国(境)但存在超出批准范围的行为作出处分规定。按照有关规定因私出国(境)需经组织批准的党员,经批准后出现了需要改变路线、期限等超出批准范围的新情况新变化,应及时向组织报告情况。如果未向组织报告而擅自改变行程,就是违反组织纪律的行为,情节较重的应当给予处分。负有报告义务的党员、干部要切实增强组织观念,充分认识这不是纯粹的个人私事,而是涉及对组织批准事项的调整和变更,该报告的必须履行报告义务。同时,《条例》第八十条新增规定,在党组织纪律审查中,依法依规负有作证义务的党员拒绝作证或者故意提供虚假情况,情节较重的,给予相应处分。作为证人的党员,虽不是案件的当事人,但因为知道案件相关情况,在组织向本人了解有关情况时,应当本着对党内同志、党组织和党的事业高度负责的态度,客观如实反映情况,严肃认真履行作证义务,切实维护纪律审查工作的权威性和严肃性。三是推动服务人才强国战略,促进保障人才评价机制落实。习近平总书记指出,实现高水平科技自立自强,归根结底要靠高水平创新人才,强调“加快建立以创新价值、能力、贡献为导向的科技人才评价体系”“积极营造尊重人才、求贤若渴的社会环境,公正平等、竞争择优的制度环境”。中共中央办公厅、国务院办公厅2018年2月印发的《关于分类推进人才评价机制改革的指导意见》明确,要“从严治理弄虚作假和学术不端行为”。《条例》针对授予学术称号工作中的说情打招呼、搞“圈子评审”、利益交换等突出问题,在第八十六条第一款增写对在授予学术称号中违规谋利、弄虚作假行为的处分规定,促进形成公平公正公开的评选环境,为推动营造识才爱才敬才用才的良好氛围提供纪律保障。维护组织纪律是增强党的凝聚力和战斗力、领导力和执行力的重要保证。党员、干部要切实增强组织观念、强化组织意识,时刻不忘党员应尽的义务和责任,相信组织、依靠组织、服从组织,自觉接受组织安排和纪律约束。[责任编辑：刘彬]",0,0,0,,白山,吉林,中国
2,5048737233371301,横州发布,2024-06-24 10:30:19,#横州市# 【横州市组织收听收看南宁市警示教育大会】6月21日，南宁市警示教育大会召开，深入学习贯彻习近平总书记关于全面加强党的纪律建设的重要论述和关于广西工作论述的重要要求，学习贯彻新修订的《中国共产党纪律处分条例》，贯彻落实自治区警示教育大会精神，深化以案说德、以案说纪、以案说法、以案说责，教育引导全市广大党员干部学纪、知纪、明纪、守纪，知敬畏、存戒惧、守底线，以严明的纪律巩固发展风清气正的政治生态，为奋力谱写中国式现代化南宁篇章提供坚强保障。会议以电视电话会议形式召开，市委书记黄海韬，市委副书记、市长梁枫在南宁主会场参加会议。市人大常委会主任石岩、市政协主席薛文在横州市分会场参加会议。横州市组织收听收看南宁市警示教育大会,0,0,0,,南宁,广西,中国
2,5048728023731222,颍州晚报,2024-06-24 09:53:44,【【党纪学习教育】#对搞政治攀附的处分规定有哪些#？】新修订的《中国共产党纪律处分条例》充实对党不忠诚不老实、破坏党的团结统一的处分条款，在第五十四条增写搞政治攀附行为的处分规定，进一步明确了严守政治纪律和政治规矩的底线要求。　　搞政治攀附是指投靠有权势的人，以谋求自己能够得到提拔重用或者其他政治利益，实质上是在政治上拉关系搭“天线”、找后台寻靠山，搞人身依附。搞政治攀附与党的性质宗旨背道而驰，与党员干部的身份格格不入。　　监督执纪工作中，还要注意搞政治攀附与跑官要官行为的区分。搞政治攀附是政治利益与经济利益交织的搞非组织活动的违反政治纪律问题；而跑官要官是指通过拉关系、走后门，处心积虑地谋取官职和权力的行为，是个人主义思想恶性膨胀的一种表现，是干部选拔任用工作中的一种不正之风，通常不涉及经济利益问题，涉及经济利益的则可能构成买官卖官、搞政治攀附等违纪行为。　　另外，搞政治攀附行为的处分规定是此次修订新增的内容，但并不意味着“搞政治攀附”行为在2024年1月1日前不构成违纪，以往此类行为通常是依照2018年《中国共产党纪律处分条例》第六十九条、第七十六条第一款或者2015年《中国共产党纪律处分条例》第六十二条、第七十三条第一款等规定，按照跑官要官或者违反党的政治规矩性质定性处理。来源：中央纪委国家监委网站,0,0,0,,阜阳,安徽,中国
