页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5040030714171480,宁波经信,2024-05-31 09:53:44,#协会动态# 近日，在市经信局的统一部署和指导下，宁波市经信领域各协会党支部组织召开新修订的《中国共产党纪律处分条例》（以下简称《条例》）专题学习会，以实际行动推进全面从严治党，筑牢党的纪律防线。 ,0,0,2,,宁波,浙江,中国
2,5039291963017318,黄河新闻网吕梁频道,2024-05-29 08:58:12,【中共柳林县委社会工作部揭牌成立】5月27日，中共柳林县委社会工作部正式揭牌成立，县委常委、政法委书记贺柱才，县委常委、组织部部长、党校校长贾杰云出席揭牌仪式。新成立的县委社会工作部，是新组建的党的职能部门，主要负责统筹指导人民信访工作和人民建议征集工作；统筹推进党建引领基层治理和基层政权建设，健全和落实党建引领基层治理领导体制和工作机制；统一领导全县行业协会商会党的工作，协调推动行业协会商会深化改革和转型发展；指导混合所有制企业、非公有制企业和新经济组织、新社会组织、新就业群体党建工作；指导社会工作人才队伍建设，负责志愿服务工作等。加挂“县委非公有制经济组织和社会组织工作委员会”牌子。来源：中共柳林县委组织部,0,0,0,山西,吕梁,山西,中国
2,5038549476836512,健康泗州,2024-05-27 07:47:50,泗县多措并举做优做强卫健行业党建工作近年来，泗县卫生健康行业党建工作指导委员会坚持以习近平新时代中国特色社会主义思想为指导，以扎实推进行业各级党组织标准化建设为抓手，积极做好行业党建工作，切实推进了行业党建工作有力有序开展。健全基层“堡垒”，增强组织力。坚持把完善行业各级党的组织体系当做首要任务，下大力气在强基础、补短板上下功夫，从党支部建设的这个基础着手，全面推进行业基层党组织体系建设。在县人民医院、中医院全面落实党委领导下的院长负责制，分别设立支部13个、9个，把支部建在科室；在县疾病预防控制中心、爱国卫生运动和健康促进中心、卫生监督所、妇幼保健计划生育服务中心等委属单位分别设立6个党支部。在完善公立医院党组织建设基础上，先后在10家民营医院和3家街道社区卫生服务中心等建立了10个基层社会组织党支部（含1个民营医院联合支部），构建起了以中共泗县民营医院综合委员会为主导的民营医院党的组织体系，实现了党的组织和党的工作“两个全覆盖”，为落实和推动行业党的建设奠定了坚实的组织基础。扎牢制度“笼子”，增强凝聚力。一是严格落实集中学习制度。坚持个人自学和集中学习相结合，重点学习党的政策、理论知识，学习卫生健康业务知识，努力提高卫生健康行业党员理论素质和为人民服务本领，增强了其政治敏锐性，永葆其思想先进性，发挥示范和模范作用，为更好地开展卫生健康工作奠定坚实的群众基础。二是坚持民主集中制。医院的重大决策、重要人事任免、重大项目安排、大额资金使用、大型设备和药品的采购、岗位设置等向院内职工公开，广泛征求职工意见，坚持重大事项集体研究、共同决策。在此基础上，大力推行院务、党务公开工作，使党员群众的知情权、参与权和监督权等民主权利得到有效保障。三是坚持党组织组织生活制度。严格执行“三会一课”、组织生活会、民主评议等制度，认真开展批评与自我批评，认真找差距、摆问题、抓整改，进一步提高各级各类医院党支部的凝聚力和战斗力。医院“三重一大”事项均通过支委会研究；通过每年1次的组织生活会、每年1次的民主评议党员活动，党员先锋模范作用充分体现，干部职工合法权益得到有效维护。丰富实践“载体”，增强向心力。结合“党性十分钟教育”和主题党日活动开展，丰富学习载体，充分利用“三会一课”、组织生活会、民主评议党员等形式，拓展学习内容，理论武装实践，使广大党员学有所思、学有所得、学有所用，进一步提高党员干部党性修养、宗旨意识；同时，突出常态化党史学习教育，选树良好典范，强化监督问责，为卫生健康行业营造风清气正的良好氛围，让党中央和省、市、县委各项决策部署在卫生健康行业得到全面贯彻落实。各支部每年利用周一集中学习开展党性教育40余场次，“三会一课”正常开展。结合“第一议题”学习，习近平总书记重要讲话及指示批示得到跟进学习。各支部每年分别开展“我为群众办实事”“让党旗在基层一线高高飘扬”等志愿服务活动、主题实践活动达20场次以上；在全县各医疗卫生机构设立党员示范岗65个，较好展现了卫生健康行业党员的良好素养和精神风貌。做好结合“文章”，增强发展力。一是加强行风建设。组织广大职工认真学习《执业医师法》《医疗机构管理条例》《医疗事故处理条例》《护士条例》等卫生法律法规，加强入职培训和职业纪律、执业素质培训，提高职工文明素养和自律意识。二是服务医院发展。把服务医院健康发展作为开展党建工作的重要目标，竭尽所能帮助医院解决其日常运营管理方面的重点、难点问题，促进医院发展与党建水平整体提升。在行业党建工作指导委员会的统一安排下，各医院党员学习正常开展，每年组织周一集中学习（含主题党日活动）40余次，利用支部党员大会组织学习4次以上，各支部利用支委会组织学习12次以上，党支部书记每年至少为党员上党课1次，较好的提升了医院党员的综合素质，提高了其政治站位和政治意识。同时，积极发挥党支部密切联系群众的桥梁和纽带作用，帮助解决医院对内、对外矛盾问题，进一步凝聚卫生健康行业党员干部干事创业的精气神，为卫健事业健康发展营造了良好的社会环境。（刘国鸿）,0,0,0,,宿州,安徽,中国
2,5038546373312582,陕铁职院管理学院造价3232团支部,2024-05-27 07:35:29,“第五次团代会暨第十次学代会”会议精神主题理论学习2024年5月26日星期日，召开了工程造价3232团支部的第二十七次团日活动，此次的团日活动由团支书、宣委和组委共同组织完成。以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大精神，深入贯彻习近平总书记关于青年工作的重要思想，高举团旗跟党走，挺膺担当新时代，扎实落实学校第三次党代会部署，团结带领陕铁青年在学校“双高”建设、职教本科和高质量发展中挺膺担当、团结奋斗。共青团陕西铁路工程职业技术学院第五次代表大会成功召开后，陕铁院各级团组织相继召开学习团代会精神专题会议，号召团员青年认真学习大会中书记讲话及团代会工作报告，按照“三个五”工作思路，即遵循“牢记一项使命、聚焦一项职责、把牢一条主线、健全一套机制、锻造一流队伍”五项原则，做到“凝聚青年、服务青年、动员青年、依靠青年、淬炼青年”五个坚持，深化“政治引领聚青年、联系服务助青年、区域合作有青年、基层治理汇青年、夯基固本强青年”五大行动，不忘跟党初心，牢记青春使命，奋力走在共青团系统第一方阵，为建设中国特色水平铁路职业技术大学而奋斗，推进高质量发展，建设美丽繁荣和谐陕铁贡献智慧力量。,0,0,0,陕西,渭南,陕西,中国
2,5037245056943019,我和江停无坚不摧,2024-05-23 17:24:32,"思想政治上始终保持端正的态度,一直坚持党的领导,熟记党的指导思想,紧跟党的脚步积极向前,维护党的纲领,时刻以党员的要求严格要求自己。自觉遵守党员义务,履行党员职责,关注国家动态,了解时事热点,不断提升自我的政治素养和精神觉悟,按时参加党组织生活会。",0,0,0,湖北,武汉,湖北,中国
2,5036860184727074,淮北市人民政府发布,2024-05-22 15:55:11,【汪华东走访调研党支部联系点】5月21日上午，市委副书记、市长汪华东前往党支部联系点杜集区矿山集街道双龙社区调研指导工作。他强调，要深入学习贯彻习近平总书记关于基层治理的重要论述，抓好基层党组织和党员队伍建设，把党的领导贯穿基层治理全过程、各方面，以高质量党建引领高效能基层治理。市政府党组成员郭海磊参加。（摄影记者 陈文骁）,0,0,1,,淮北,安徽,中国
2,5036776409008026,杜集区人民政府发布,2024-05-22 10:22:17,【汪华东走访调研党支部联系点】5月21日上午，市委副书记、市长汪华东前往党支部联系点杜集区矿山集街道双龙社区调研指导工作。他强调，要深入学习贯彻习近平总书记关于基层治理的重要论述，抓好基层党组织和党员队伍建设，把党的领导贯穿基层治理全过程、各方面，以高质量党建引领高效能基层治理。市政府党组成员郭海磊参加。社区是基层治理的基本单元，也是服务群众的最前沿。在双龙社区服务大厅，汪华东与社区工作人员、民警亲切交流，详细了解为民办事和矛盾调解有关情况。他叮嘱社区干部，要心里装着群众、真心服务群众，增强社区为民、便民、安民功能，扎实做好为民服务的“最后一米”，真正把惠民生的事办实、暖民心的事办细、顺民意的事办好。要关心关爱社区工作者，健全完善社区干部培训体系，让他们干事有平台、发展有空间。“主要调解哪些矛盾纠纷？群众满意不满意？”汪华东走进韩英调解室，与社区调解员亲切攀谈，并翻看调解卷宗和工作记录。他指出，要坚持和发展新时代“枫桥经验”，健全矛盾纠纷多元调处化解机制，持续擦亮基层治理服务品牌，做好重点人群服务管理工作，及时把矛盾纠纷化解在基层、化解在萌芽状态。近年来，双龙社区突出党建引领，积极推进“红色物业”建设，双龙雅舍小区也被评为“皖美红色物业”示范小区。汪华东实地了解小区环境秩序、物业收费、安全管理等情况，与业主委员会、物业企业负责人深入交流。他指出，要聚焦地下车库整治利用、补齐基础设施短板、电动自行车规范充电和停放等工作，实实在在解决好群众关心关注的实际问题，守牢安全底线，推动物业管理工作提质增效。汪华东在走访调研时强调，要牢固树立大抓基层、抓实基层的鲜明导向，充分发挥基层党组织战斗堡垒作用和党员先锋模范作用，引导居民支持、参与社区治理，进一步凝聚干群合力、激发治理活力，不断提升基层治理体系和治理能力现代化水平。要持续为基层松绑减负，防治“指尖上的形式主义”，让基层干部腾出更多精力服务群众、干事创业。（记者 詹岩　摄影记者 陈文骁）来源：淮北新闻网,0,0,0,,淮北,安徽,中国
2,5036481833336878,江都最新闻,2024-05-21 14:51:44,【征稿开始啦~最高奖金1万元！】为庆祝新中国成立75周年，深入贯彻落实党的二十大精神和习近平文化思想，弘扬中华优秀传统文化，促进青少年绘画艺术繁荣发展，经研究，特举办“若虚杯•青少年美术大展”。现将征稿有关事项公布如下。一、组织机构  指导单位：扬州市文学艺术界联合会学术支持：扬州大学美术与设计学院媒体支持：中央数字电视书画频道、扬州晚报主办单位：扬州市青年美术家协会、扬州市文艺家志愿者协会、扬州市江都区大桥镇党委、政府承办单位：扬州若虚文化艺术中心协办单位：扬州市美术馆、扬州大学美术馆法律顾问：江苏朱玉明律师事务所二、征稿时间即日起至2024年7月31日三、征稿对象本次大展面向全国征稿，凡年龄在45周岁以下（1979年1月1日以后出生）的美术爱好者均可参赛。大展分为三个组别，儿童组（12周岁及以下）、少年组（13-17周岁）、青年组（18-45周岁）。四、征稿要求1.作品主题突出，内容健康向上。构思新颖巧妙，富有创意，线条流畅，结构严谨，形式完美。2.美术作品：油画、国画、版画、水彩（粉）、素描等。3.美术作品尺寸不限，可根据创作内容由作者自选。作品必须由作者本人独立完成。每人限投一幅作品，并在投稿作品的背面右下方用铅笔正楷注明作者的真实姓名、身份证号码、参赛组别、通讯地址、邮编、联系电话以及作品名称。五、投稿方式 寄送件地址：江苏省扬州市江都区大桥镇香榭路扬州若虚文化艺术中心，联系人：刘海鹏；联系电话：13390645709。寄件请注明“若虚杯·青少年美术大展”投稿作品。六、相关说明1.作品征集后，主办方将组织专家进行评审。未通过评审的作品，不参加展览。2.本次大展计划入展作品120幅左右。3.奖项设置：本次大展设特等奖1名，奖金10000元；一等奖3名，每个组别各1名，每名奖金2000元；二等奖6名，每个组别各2名，每名奖金1000元；三等奖9名，每个组别各3名，每名奖金500元；优秀奖30名。以上奖金均为税前奖金。4.获奖、入展作者均颁发证书。5.发现代笔和抄袭现象的作者将取消获奖资格。6.本次大展将印制获奖、入展作品集，凡获奖和入展作者每人赠送一本作品集（邮费自理）。7.推荐3名优秀作者在开幕式当天接受中央数字电视书画频道采访。8.本次大展不收取任何费用，作品不退稿。参展作者享有作品的署名权，作品所有权归承办单位。9.投稿者须保证对作品享有完整版权，若侵犯他人著作权等，举办单位有权取消其获奖和入展资格，涉及法律责任由投稿者自行承担。10.大展的举办单位对参赛作品有推荐、刊发、摄影、录像、出版及宣传等权利。凡参赛提交作品者，视为本人或其监护人已知悉、确认并同意严格遵守本征稿启事中的各项规定。来源：扬州市文联,0,0,0,江苏,扬州,江苏,中国
2,5035754826498461,用户6466378463,2024-05-19 14:42:52,#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功# 党章是管党治党的总章程、总规矩，是中国共产党最根本的党内法规。党章对党的性质和宗旨、路线和纲领、指导思想和奋斗目标、组织原则和组织机构、党员义务和权利以及党的纪律等作出根本规定。中国共产党章程由中国共产党第十九次全国代表大会部分修改，2017年10月24日通过。详见：中国共产党历次党章的制定及修正简况（一大至十九大）。2022年10月9日上午，中国共产党第十九届中央委员会第七次全体会议在京召开。王沪宁就《中国共产党章程（修正案）》讨论稿向全会作了说明。2022年10月22日，中国共产党第二十次全国代表大会通过了关于《中国共产党章程（修正案）》的决议。（成都文理学院第二学习小组）@文理先锋,0,0,0,四川,成都,四川,中国
3,5033890251278492,齐齐哈尔铁路运输法院,2024-05-14 11:13:44,#全面从严治党##党纪学习#《中国共产党纪律处分条例》第一编 总 则第一章 指导思想、原则和适用范围第一条 为维护党的章程和其他党内法规，严肃党的纪律，纯洁党的组织，保障党员民主权利，教育党员遵纪守法，维护党的团结统一，保证党的路线、方针、政策、决议和国家法律法规的贯彻执行，根据《中国共产党章程》，制定本条例。,0,1,0,,齐齐哈尔,黑龙江,中国
