页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5041869928531841,安徽发布,2024-06-05 11:42:07,#直播新闻发布会#党的二十大报告提出“开展新污染物治理”，请问我省新污染物治理目前工作进展如何？发布会问答环节，省生态环境厅总工程师贾良清在回答这一问题时说，新污染物治理是全面推进美丽中国建设、深入打好污染防治攻坚战的重要内容，关系人民群众身体健康和生态环境安全。按照国家统一部署，我省出台了《安徽省新污染物治理工作方案》，以有效防范环境与健康风险为核心、遵循全生命周期环境风险管理理念，健全新污染物治理体系。《方案》印发以来，我厅会同省直有关单位扎实推进，新污染物治理取得重要进展。一是建立健全工作推进机制。建立省生态环境厅牵头、14个省直单位组成的安徽省新污染物治理联席会议制度，明确任务分工、制定年度工作计划，协同开展联合调研，将新污染物治理与绿色转型、农药和兽药减量、产品质量监管、抗菌药物临床应用管理等专项工作统筹推进，形成新污染物治理的工作合力。二是完成新污染物环境风险摸底调查。完成两轮全省化学物质环境信息统计调查，对3823家企业、1838种化学物质开展了环境基本信息调查，摸清全省40种重点关注的化学物质和9种重点管控新污染物的生产使用情况，为下一步开展新污染物环境监测、风险评估和管控提供了基础数据。三是强化重点管控新污染物禁限措施。严格落实生态环境部等六部门联合印发的首批重点管控新污染物清单，对14种类重点管控新污染物实施禁止、限制、限排等全生命周期的环境风险管控措施。其中，2023年底淘汰8种类重点管控新污染物的生产、使用和进出口，包括社会关注度高，曾用于生产学生书包、儿童玩具等的短链氯化石蜡等。四是有序推进新污染物监测和治理试点。结合新污染物环境风险摸底调查结果，在我省重点地区、重点行业、典型工业园区开展新污染物环境调查监测试点。指导各市因地制宜地开展新污染物治理试点工程，促进形成一批有毒有害化学物质绿色替代、减排和治理的示范技术。,0,0,2,,合肥,安徽,中国
2,5040436909441535,脚丫熊,2024-06-01 12:47:48,现在的村委会、居委会，虽然机制上都有党组织的强大领导，但是实际上，对于基层群众来说，要么分不清党组织和自治组织的关系，要么是意识不到党的功能触角对老百姓有实实在在的利益体现。不是整天干一些所谓的创建、创新活动，老百姓无感甚至反感，基层干部也苦不堪言。我们未来的发展，一定是“小政府大社会”的服务型政府，我们的社会力量将会在基层治理层面发挥巨大作用，社会组织、社会工作者将会与普通群众产生很大的互动，让老百姓转变现在对政府“你凭什么管我”“你凭什么不管我”这种矛盾观念，从而接受更加突显社会公平的一种治理状态。最近这二三十年，政府把老百姓养成了“巨婴”，既想要政府给他无尽的好处，又不愿意承担一丁点的社会公共责任。这笔债，将会在之后一段时间由政府自己想办法来偿还。党建工作是能带来实际作用的，而不是打造一个共建阵地，除了迎检，没有什么用。,0,0,0,江苏,南通,江苏,中国
2,5040202485602080,呼伦贝尔市融媒体中心,2024-05-31 21:16:18,为深入宣传党的民族理论政策，内蒙古自治区民族事务委员会制作了8集铸牢中华民族共同体意识系列动画。今天我们一起来学习第四集：党的民族工作创新发展，就是要坚持正确的，调整过时的，更好保障各民族群众合法权益，要重点把握的“四对关系”是什么？来源：内蒙古自治区民族事务委员会 呼伦贝尔日报微博的微博视频,0,0,0,内蒙古,呼伦贝尔,内蒙古,中国
2,5039395618952580,呼和浩特市新城区人民法院,2024-05-29 15:50:06,#民族政策宣传月##小新说法# 【党的民族工作创新发展，就是要坚持正确的，调整过时的，更好保障各民族群众合法权益，要重点把握的“四对关系”是什么？】铸牢中华民族共同体意识系列动画第四集上线！来源：内蒙古自治区民族事务委员会 呼和浩特市新城区人民法院的微博视频 ,0,2,1,,呼和浩特,内蒙古,中国
2,5039320828219987,用户7773244287,2024-05-29 10:52:54,党的根基在基层，基层各项工作不仅关乎群众的切身利益，也关系党的形象和执政基础的巩固。但“文山会海”“过度留痕”“层层加码”等形式主义问题，严重束缚了基层组织的手脚，让基层干部分身乏术、疲于奔命。为基层减负必须厘清权责边界，理顺职责关系，要大刀阔斧“做减法”，严格落实“硬杠杠”，精心打出“组合拳”，通过务实合理的任务“单子”，有效减轻基层“担子”，让基层干部卸下“包袱”轻装上阵，集中精力干好实事。,0,0,1,江西,上饶,江西,中国
2,5039011106133722,廉洁上海,2024-05-28 14:22:11,【#方圆谈#   增强服务群众意识 提高群众工作能力】群众路线是我们党的传家宝，做好群众工作是党员干部的基本功，任何时候都不能丢。“水之不涸，以其有源也；木之不拔，以其有本也。”我们党历来高度重视群众工作，把党同人民群众的关系比之为鱼水、喻之为血肉、视之为种子和土地。党在长期革命斗争中创造和发展起来的一切为了群众、一切依靠群众，从群众中来、到群众中去的群众路线，既是我们党的优良传统和政治优势，也是战胜一切艰难险阻的重要法宝。历史经验反复证明，什么时候群众路线执行得好，我们就能得到群众拥护与支持，党的事业就能蓬勃发展；反之，党群干群关系就会受到损害，党的事业就会遭受挫折。（中央纪委国家监委网站）网页链接,1,0,2,,上海,上海,中国
2,5038718052730897,印象庆阳网,2024-05-27 18:57:41,【西峰：深入推进群众身边不正之风和腐败问题集中整治走深走实】整治群众身边不正之风和腐败问题，是老百姓期盼的实事，是关系党的执政根基的大事。今年以来，西峰区纪委监委认真贯彻落实中央纪委国家监委和省市纪委监委部署要求，坚持把开展群众身边不正之风和腐败问题集...  网页链接 ,0,0,0,,庆阳,甘肃,中国
2,5038581046054038,绪方墨墨_481,2024-05-27 09:53:16,#拒腐防变# 干部要守住守牢拒腐防变防线近年来，我国在反腐败斗争中取得了显著成就，但腐败问题依然存在，且具有顽固性和复杂性。作为党和国家事业的中坚力量，干部群体肩负着重要的责任和使命。要守住守牢拒腐防变防线，关系着国家长治久安、党的事业兴旺发达，更关乎人民群众的切身利益。首先，干部要保持警醒意识。腐败是一种顽疾，随时可能侵蚀干部队伍。干部要时刻警醒于自身言行举止，注意避免各种形式的腐败行为。要树立正确的权力观念和利益观念，自觉抵制各种诱惑，做到清正廉洁，廉洁奉公。只有保持高度的警惕和自律，才能守住拒腐防变防线。其次，干部要加强制度约束。建立健全的制度是防止腐败的重要保障。干部要严格执行党的纪律和国家法律法规，做到依规治行、依纪治事。要加强监督检查，发现问题及时纠正，确保制度执行到位。只有健全的制度机制才能有效地防止腐败问题的发生，守住拒腐防变防线。最后，干部要树立正确的人生观和世界观。要坚守初心使命，牢记为民宗旨，始终以人民利益为重，牢固树立正确的人生价值观。要不断提高政治站位，增强忧患意识和责任意识，自觉抵制各种形式的腐化腐蚀，坚定不移地走正确道路。只有以正确的人生观和世界观来引领自己的行为，才能守住守牢拒腐防变防线。总之，干部要时刻牢记党和人民的期望，自觉履行职责使命，守住守牢拒腐防变防线。只有以实际行动践行初心使命，才能在反腐败斗争中立于不败之地，为党和国家事业的长远发展作出更大的贡献。,0,0,0,上海,上海,上海,中国
2,5038232305143472,缘海踏彼岸,2024-05-26 10:47:30,#多地年薪60万至80万招聘聘任制公务员#国家需要有能力有担当，维护人民群众利益，忠于党的各方面人才，但同时也要调整清理那些躺平没有能力，喝茶等退休，靠裙带关系混进体制内想升官发财，旱涝保收的人。更要打倒一切腐败分子! ,0,0,0,上海,上海,上海,中国
2,5037520192802345,用户6268329710,2024-05-24 11:37:49,聚焦人民群众的痛点正风肃纪反腐整治群众身边的不正之风和腐败问题，是老百姓期盼的实事，是关系党的执政根基的大事。相对于“远在天边”的“老虎”，群众对“近在眼前”嗡嗡乱飞的“蝇贪”感受更为真切。“微腐败”可能成为“大祸害”。因为小微权力一旦越轨，腐败损害的是老百姓切身利益，有的冒领惠农资金补贴，有的截留群众养老保险金，还有的窗口单位干部存在“怕、慢、假、庸、散”等问题，不仅侵蚀和挥霍的是基层群众对党的信任，也给群众带来更直接、更强烈的痛感。这就要求紧盯群众最关切的现实需要、最反感的作风问题、最痛恨的腐败现象，惩治“蝇贪蚁腐”，以小切口解决大问题，持续不断地铲除“微腐败”的土壤和条件。把握不正之风和腐败互为表里、同根同源特征，进一步健全风腐同查同治工作机制。不正之风滋生、掩藏腐败，腐败行为助长、加剧不正之风，甚至催生新的作风问题。以问题导向循着“病症”找“病灶”，从风腐易发环节查找作风纪律“通病”“行业病”“地方病”，既“由风查腐”，深挖不正之风背后的请托办事、利益输送等腐败问题，又“由腐纠风”，细查腐败背后的享乐奢靡等作风问题。人民群众关心的痛点在哪儿，正风肃纪反腐的焦点就在哪儿。要戴上“望远镜”看民需，把好“显微镜”找问题，继续深入惩治侵害群众利益的“微腐败”和不正之风，让人民群众获得感成色更足、幸福感更可持续、安全感更有保障。,1,0,0,陕西,咸阳,陕西,中国
