页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047477592658102,奔峰,2024-06-20 23:04:58,论走好新时代党的群众路线 网页链接 ,0,0,0,安徽,黄山,安徽,中国
2,5047417418287350,我是大山gg,2024-06-20 19:05:52,每日金句（朗读版）|习近平论走好新时代党的群众路线 网页链接 ,0,0,0,四川,成都,四川,中国
2,5047363813508928,用户7801600777,2024-06-20 15:32:51,河南科技职业大学 习近平论走好新时代党的群众路线。 ,0,0,0,河南,周口,河南,中国
2,5047349556545683,泰山晚报,2024-06-20 14:36:12,#扎实开展党纪学习教育# 严明党的群众纪律 践行党的根本宗旨关于《中国共产党纪律处分条例》群众纪律修订的重点内容　　群众纪律是党的各级组织和全体党员坚持以人民为中心的发展思想和处理党群关系时必须遵守的行为规则，其本质要求是践行党的根本宗旨，贯彻党的群众路线。习近平总书记指出，必须紧紧围绕保持党同人民群众的血肉联系，增强群众观念和群众感情，不断厚植党执政的群众基础，强调“对一切侵犯群众合法权利的行为，对一切在侵犯群众权益问题上漠然置之、不闻不问的现象，都必须依纪依法严肃查处、坚决追责”。新修订的《中国共产党纪律处分条例》（以下简称《条例》）第九章“对违反群众纪律行为的处分”，立足解决好人民群众急难愁盼问题，完善群众纪律有关规定，推动广大党员、干部始终把群众的安危冷暖放在心上，走好新时代群众路线。　　一是强化保障群众利益，助力推进乡村全面振兴。习近平总书记强调，乡村振兴不是一句口号，讲究的就是一个“实”字，农村工作干部要真正深入群众，真心依靠群众，真情关爱群众，真诚服务群众。《条例》第一百二十二条第二款规定，在乡村振兴领域有侵害群众利益行为的，从重或者加重处分。这次修订，将原来的“扶贫领域”调整表述为“乡村振兴领域”，一方面是为了适应巩固拓展脱贫攻坚成果同乡村振兴有效衔接的要求；另一方面是考虑到全面建设社会主义现代化国家，最艰巨最繁重的任务仍然在农村，必须在推进乡村全面振兴中维护好发展好群众切身利益，对乡村振兴领域存在的不正之风和突出问题必须从严惩治。党员、干部要做到脱贫摘帽不摘责任、不摘政策、不摘帮扶、不摘监管，在服务“三农”工作、推进乡村全面振兴中把责任扛在肩上、抓在手上，特别是要坚决防止和纠正在乡村振兴领域侵害群众利益的行为。　　二是聚焦社会救助，维护民生公平。习近平总书记强调，对困难群众，我们要格外关注、格外关爱、格外关心，帮助他们排忧解难。党的二十大报告指出，必须坚持在发展中保障和改善民生；着力解决好人民群众急难愁盼问题。《条例》第一百二十四条充实在社会救助中优亲厚友、明显有失公平行为的处分规定，着力促进将社会救助兜底保障落到实处。社会救助是一项兜底线、救急难、保民生、促公平的基础性制度安排，事关困难群众基本生活和衣食冷暖，关系民生、连着民心。全面脱贫后，我们党着眼为群众提供更高质量的兜底保障，进一步健全社会救助体系，在促进社会公平、维护社会和谐稳定上发挥了重要作用。如果党员、干部在救济、补助工作中办事不公、优亲厚友、厚此薄彼，将救济、补助款物作为“顺水人情”、“关系保障”，不但影响国家惠民政策的落实，还会使党员、干部在群众中失去公信力，甚至影响到党和政府的公信力。党员、干部要正确处理公私关系，把惠民政策不折不扣地落实到群众中去，切实兜住民生底线，保障人民群众公平共享改革发展成果。　　三是惩治慢作为、假作为，切实提升为民服务质量。习近平总书记强调，我们要坚持把人民群众的小事当作自己的大事，从人民群众关心的事情做起，从让人民群众满意的事情做起，指出“有一些党员、干部还存在不作为、慢作为甚至是假作为的问题”。《中国共产党问责条例》将“慢作为、假作为”造成严重后果的行为，规定为需要问责的具体情形。此次修订《条例》，在第一百二十六条第五项对“不作为、乱作为”等损害群众利益行为作出处分规定的基础上，充实完善了针对“慢作为、假作为”等行为的处分规定。实践中群众反映强烈的部分党员、干部服务群众积极性、主动性不强，遇到困难推拖绕、解决问题“假大空”等现象，都是慢作为、假作为的典型表现，折射出宗旨意识淡薄的深层“病理”。党员、干部要始终牢记初心使命，厚植为民情怀，想群众之所想、忧群众之所忧、急群众之所急，真心实意为群众服务，维护好群众的切身利益。　　民生无小事，枝叶总关情。党员、干部要严格遵守群众纪律，坚持紧紧依靠人民、牢牢根植人民、不断造福人民，用心用情做好涉及群众的各项工作，努力让人民群众的获得感成色更足、幸福感更可持续、安全感更有保障。（中央纪委国家监委法规室）（来源 山东省纪委监委网站）,0,0,0,,泰安,山东,中国
2,5047342678150618,眼健康张碧波,2024-06-20 14:08:52,每日金句（朗读版）|习近平论走好新时代党的群众路线 网页链接 ,0,0,1,江苏,镇江,江苏,中国
2,5047294753769333,巷陌俊游,2024-06-20 10:58:26,党的主题思想教育活动2013年，党的群众路线教育实践活动——以为民务实清廉为主要内容。2015年，“三严三实”专题教育——对照“严以修身、严以用权、严以律己，谋事要实、创业要实、做人要实”的要求，聚焦对党忠诚、个人干净、敢于担当。2016年，“两学一做”学习教育——学党章党规、学系列讲话，做合格党员。2019年，“不忘初心、牢记使命”主题教育——以守初心、担使命，找差距、抓落实为总要求，以实现理论学习有收获、思想政治受洗礼、干事创业敢担当、为民服务解难题、清正廉洁作表率为具体目标。2021年，党史学习教育——要做到学史明理、学史增信、学史崇德、学史力行。2023年，学习贯彻习近平新时代中国特色社会主义思想主题教育。,0,0,0,河南,商丘,河南,中国
2,5047273652488183,胡杨教育何定俊,2024-06-20 09:34:35,"江西事业单位培训2024年5月26日江西九江事业单位面试题第一题：习总书记强调,“要面向各族群众加强党的理论和路线方针政策教育，加强中华民族发展史宣传教育，将中华民族发展史教育纳入社会教育、大中小学思政课一体化建设，引导各族群众特别是青少年正确认识中华民族发展史,树牢正确的中华民族历史观,铸牢中国心、中华魂”。请你谈谈开展中华民族发展史宣传教育的意义?第二题：为进一步做好农村养老服务工作，领导让驻村干部胖胖李针对农村养老情况进行调研，领导让你负责此次调研、你如何开展？第三题：单位近期安排你出差，已预订好航班。你正在社区开展工作，有接到冒充航班公司人员的电话，因为业务忙的原因没有多想，最终发现被骗，请问你怎么办?",0,0,0,江西,南昌,江西,中国
2,5047263862982670,艾滋病工作者,2024-06-20 08:55:41,#生活手记#临泉县政府的党的群众路线堪忧啊，加强党的领导刻不容缓！这是临泉县政府在法院的答辩，群众利益不能面面俱到。 ,0,0,0,安徽,阜阳,安徽,中国
2,5047216261824581,王德重David,2024-06-20 05:46:32,#学习强企# 2024年6月20日 走好新时代党的群众路线  “顾客路线”，就是“企业存在的唯一目的是创造客户”，无二。 ,0,0,0,山东,济南,山东,中国
2,5047041904869725,陕西青年网,2024-06-19 18:13:41,《法正平安律所雷婉萍当选陕西省各界书画院副院长》 会议指出，陕西省各界书画院作为人民政协深化联谊交流、宣传党的文艺路线的重要平台，五年来，依托政协的独特优势，深入基层、贴近群众，以饱满的热情书写人民情怀，以生动的笔触反映时代变迁，在文化交流、凝聚共识、讴歌时代等方面取得了显著成效。#走读陕西#  法正平安律所雷婉萍当选陕西省各界书画院副院长,0,0,0,陕西,西安,陕西,中国
