页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048810663579169,成都民政,2024-06-24 15:22:07,新修订的《中国共产党纪律处分条例》（以下简称《条例》）自2024年1月1日起施行。这是党的十八大以来，第3次修订《条例》，体现了党中央坚持全面从严治党，以严明纪律推进党的自我革命的坚定决心。三次分别修订了哪些内容?让我们一起来学习↓↓↓↓↓ ,0,0,0,,成都,四川,中国
2,5048739145714719,人大重阳,2024-06-24 10:37:56,加强纪律建设是全面从严治党的治本之策。开展党纪学习教育，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。我们要深入学习习近平总书记关于全面加强党的纪律建设的重要论述，牢牢把握开展党纪学习教育的重大意义，把纪律严明的光荣传统与真抓实干的优良作风结合起来，把自我革命的理论旨归与党纪学习教育的实践要求结合起来，把纪律建设的整体部署与高校阵地的具体要求结合起来，以高质量开展党纪学习教育的工作成效彰显高水平推进全面从严治党、从严治校的坚韧执着，为建设中国特色、世界一流大学保驾护航。 张东刚：推动党纪学习教育走深走实,1,1,0,北京,北京,北京,中国
2,5048729360665050,京检新声,2024-06-24 09:59:03,#学思想#【专题学习《习近平关于以自我革命精神推进全面从严治党论述摘编》第二部分】6月19日，市检三分院召开党组（扩大）会议，以“第一议题”形式专题学习《习近平关于以自我革命精神推进全面从严治党论述摘编》第二部分“把党的政治建设摆在首位”。 学思想丨专题学习《习近平关于以自我革命精神推进全面从严治党论述摘编》第二部分 ,0,0,0,,北京,北京,中国
2,5048719394734667,海湾旅游区,2024-06-24 09:19:27,#党课# 6月19日下午，城运中心党支部召开纪律党课，支部书记余纪平为全体党员从三个方面解读新修订的《中国共产党纪律处分条例》：一是深刻认识修订《条例》的重要意义； 二是《条例》修订亮点解读； 三是抓好《条例》的贯彻执行，以严明的纪律推进党的自我革命。 ,0,0,0,,上海,上海,中国
2,5048716937923461,knnightY,2024-06-24 09:09:41,深学笃行：践行党的自我革命精神，推动新时代党的建设 ,0,0,0,上海,上海,上海,中国
2,5048706778793392,德-江-县政务微博,2024-06-24 08:29:19,6月20日，德江县第十八届人民政府第三次廉政工作会议召开，县委副书记、县长敖华出席会议并讲话。她强调，要深入学习贯彻习近平总书记关于党的自我革命的重要思想，认真贯彻二十届中央纪委三次全会、国务院第二次廉政工作会议、省政府第二次廉政工作会议、市政府第三次廉政工作会议以及省、市警示教育大会部署要求，始终坚持全面从严治党战略方针，不断增强做好政府系统廉政工作的责任感和紧迫感，为全县高质量发展营造良好的政治环境。县领导王刚祥、马洪刚、肖旺、黄柱梁、王玲海、王晖权、覃进东、曹碧瑜出席。会议指出，过去一年，全县政府系统认真落实党风廉政建设主体责任，持之以恒反腐倡廉，着力加强法治建设，持续优化营商环境，党的建设全面加强，行政效能不断提升，工作作风持续好转，群众身边腐败问题整治有力，为经济社会高质量发展提供了重要保障。会议强调，要持续深入开展党纪学习教育，认真学习《中国共产党纪律处分条例》，严格贯彻落实中央八项规定及其实施细则精神，准确掌握“六项纪律”的主要内容和要求，严守政治纪律和政治规矩，持续深化整治形式主义为基层减负，真正将学习成果转化成衷心拥护“两个确立”、忠诚践行“两个维护”的实际表现。要紧盯公共资金、公共资源、国有资产、民生、乡村振兴、医疗、教育等重点领域，在铲除腐败、防范风险上持续发力，全面开展群众身边不正之风和腐败问题排查整治，不断巩固拓展正风肃纪反腐成效。要坚持以提高行政效能为目标，持续深化“放管服”改革，强化营商环境整治，进一步推进政务公开，不断深化政府自身改革。会议要求，要切实扛起全面从严治党政治责任，牢固树立正确的政绩观，自觉抓好“一把手监督”，坚决守住廉政底线，不断彰显勤政履职担当，持续巩固发展风清气正的政治生态，以政府党风廉政建设和反腐败斗争的新成效为推动城市德江现代化建设作出更大贡献。县委办、县人大办、县政府办、县政协办、县直各部门主要负责同志，各乡镇（街道）政府主要负责同志、纪委有关负责同志参加会议。,0,0,0,,铜仁,贵州,中国
2,5048535105935116,福师大化材学院团委学生会,2024-06-23 21:07:09,#苯宝宝话廉洁# 我们党没有任何自己特殊的利益，这是我们党敢于自我革命的勇气之源、底气所在。正因为无私，才能本着彻底的唯物主义精神经常检视自身、常思己过，才能摆脱一切利益集团、权势团体、特权阶层的围猎腐蚀，并向党内被这些集团、团体、阶层所裹挟的人开刀。——在党的十九届六中全会第二次全体会议上的讲话,0,0,1,福建,福州,福建,中国
2,5047996770944967,滨海发布,2024-06-22 09:28:00,【连茂君在全区警示教育大会上强调：深化“以案四说”加强党的纪律建设，不断推动全面从严治党向纵深发展】#政务麦克风# 6月21日，全区警示教育大会召开。区委书记连茂君主持会议并讲话。他强调，要深入学习贯彻习近平总书记关于党的自我革命的重要思想和全面加强党的纪律建设的重要论述，认真贯彻落实习近平总书记视察天津重要讲话精神，深化以案说德、以案说纪、以案说法、以案说责，教育引导党员干部树牢纪律意识、规矩意识，全面加强党的纪律建设，不断推动全面从严治党向纵深发展，为“滨城”在全市高质量发展中更好发挥支撑引领作用提供坚强保障。,1,0,2,,天津,天津,中国
2,5047806013740563,龙里县人民政府网,2024-06-21 20:50:00,【中共龙里县委理论学习中心组2024年第五次集中学习研讨会召开】6月19日，中共龙里县委理论学习中心组2024年第五次集中学习研讨会召开。县委书记冯异星主持会议并讲话。他强调，要深入学习贯彻习近平总书记关于全面从严治党、全面加强党的纪律建设的重要论述和关于党的自我革命的重要思想，认真学习贯彻习近平总书记关于党纪学习教育重要讲话和重要指示精神，结合开展党纪学习教育，以各级通报的违纪违法典型案件为镜鉴，开展以案说德、以案说纪、以案说法、以案说责，让全县各级领导干部受警醒、明底线、知敬畏，持续巩固发展龙里风清气正的政治生态。中共龙里县委理论学习中心组2024年第五次集中学习研讨会召开,0,0,0,,黔南布依族苗族自治州,贵州,中国
2,5047733209533760,洪观新闻,2024-06-21 16:00:42,【尹弘主持召开书记专题会，听取十五届省委第五轮巡视情况汇报】6月20日，省委书记尹弘主持召开书记专题会，听取十五届省委第五轮巡视情况汇报。尹弘强调，要深入学习贯彻习近平总书记关于党的自我革命的重要思想，全面落实新修订的《中国共产党巡视工作条例》，结合开展党纪学习教育，综合运用巡视成果，持续深化标本兼治，推进新时代全省巡视工作高质量发展，为谱写中国式现代化江西篇章提供坚强保障。叶建春、吴忠琼、马森述、庄兆林出席。详情：网页链接,5,3,9,,南昌,江西,中国
3,5047660669570301,陕西国防动员,2024-06-21 11:12:27,"【省国动办召开警示教育会议】      2024年6月12日，省国动办召开警示教育会议，深入学习贯彻习近平总书记关于党的自我革命的重要思想、关于全面加强党的纪律建设的重要论述和来陕考察重要讲话重要指示精神，深化以案说德、以案说纪、以案说法、以案说责，教育引导全办党员干部自重自省、自警自励，进一步筑牢信仰之基、绷紧纪律之弦、落实应尽之责，为不断巩固发展风清气正的政治生态、奋力谱写中国式现代化建设的陕西国动篇章提供坚强的纪律保障。省国动办党组书记、主任曾明同志出席会议并以《强化学纪知纪、自觉明纪守纪，为推动陕西国防动员事业高质量发展提供坚强保障》为题讲党纪学习教育专题党课,组织观看了《围猎--莫存歪念躬行正道》警示教育片。      会议指出，习近平总书记关于党纪学习教育的重要讲话重要指示,为开展党纪学习教育提供了根本遵循。全办党员干部要认真学习领会、全面贯彻落实，切实把思想和行动统一到党中央决策部署上来，努力在学纪、知纪、明纪、守纪上有新进步新提升，确保党纪学习教育走深走实、取得实效。      会议要求，全办党员干部必须以案为鉴、警钟长鸣，将典型案例特别是身边人身边事当成一面镜子，聚焦新修订的《中国共产党纪律处分条例》认真对照检查，进一步强化纪律意识、加强自我约束、提高免疫能力；要深刻认识加强党的纪律建设的重要性，不断夯实党员干部思想防线；要以开展党纪学习教育为契机，自觉用党的纪律校正思想和行动，严守党的政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律；要始终坚持“两手抓两促进”，以学纪为基、知纪为先、明纪为要、守纪为本，努力锻造忠诚干净担当的国防动员干部队伍，不断开拓进取、干事创业，为陕西国防动员事业高质量发展做出新的更大的贡献。      会议由省国动办党组成员、副主任霍铁桥同志主持，省国动办机关全体干部职工、直属单位科级以上干部参加。",0,0,0,,西安,陕西,中国
3,5047654154766395,金沙-政务,2024-06-21 10:46:34,6月18日，金沙县警示教育大会召开，县委书记李涛主持会议并讲话。他强调，要深入学习贯彻习近平总书记关于党的自我革命的重要思想和习近平总书记关于全面加强党的纪律建设的重要论述精神，全面贯彻落实省、市党纪学习教育警示教育大会精神，充分发挥警示教育震慑作用，深化以案说德、以案说纪、以案说法、以案说责，推动全面从严治党向纵深发展，为奋力谱写中国式现代化金沙实践新篇章提供坚强保障。,0,0,0,,毕节,贵州,中国
