页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049084065351920,西宁中院,2024-06-25 09:28:31,西宁中院召开党组（扩大）会议传达学习习近平总书记考察青海重要讲话精神6月24日下午，西宁中院党组书记、院长韩忠义主持召开党组（扩大）会议，专题传达习近平总书记考察青海重要讲话精神和省委、市委常委会（扩大）会议精神，研究全市法院学习宣传贯彻工作。会议指出，党的十八大以来，在新中国成立75周年和党的二十届三中全会即将召开的重要时刻，习近平总书记第三次考察青海并发表重要讲话，充分体现了对青海工作的高度重视、对青海人民的深切关怀，充分彰显了人民领袖的独特魅力和巨大号召力，让我们深切感受到人民领袖的深厚为民情怀，让我们深受鼓舞、倍感振奋、衷心拥护和由衷爱戴，习近平总书记的重要讲话为推动西宁在现代化新青海建设上走在前作表率提供了根本遵循。会议强调，全市法院要迅速行动起来，掀起学习宣传贯彻习近平总书记考察青海重要讲话精神的热潮。要深刻认识习近平总书记来青海考察调研的重大意义，把学习好、宣传好、贯彻好习近平总书记考察青海重要讲话精神作为当前和今后一个时期的首要政治任务，要从习近平总书记考察全过程和重要讲话的字里行间，深思细悟习近平总书记的殷殷嘱托。要坚决提高政治站位，增强政治机关意识，旗帜鲜明讲政治，坚定拥护“两个确立”，增强“四个意识”，坚定“四个自信”， 坚决做到“两个维护”，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂筑牢根本、锤炼品格强化忠诚，把“从政治上看”与“从法治上办”统一起来，聚力“干部要干、思路要清、律己要严”，以走在前作表率的实际行动，扛牢责任，真抓实干，不折不扣推动习近平总书记重要讲话精神在西宁法院落地见效。一要强化示范带动。班子成员和领导干部要带头学习，发挥“头雁”效应，先学一步、学深一层，以上率下领学促学，采取多种方式途径向广大干警、普通群众宣讲好习近平总书记重要讲话精神。要在深入学习领会中，进一步激发干警对习近平总书记和党中央的感恩之心、爱戴之情，进一步激发学习贯彻习近平总书记考察青海重要讲话精神的自觉性主动性。二要狠抓任务落实。要在深入学习领会的基础上，认真思考谋划分管工作和本部门本条线贯彻落实的思路举措，研究学习宣传贯彻习近平总书记考察青海重要讲话精神的意见，全面体现法院贯彻落实习近平总书记重要讲话精神的态度决心、工作思路和重点任务。要发扬“钉钉子”精神，结合工作实际，清单化、具体化推进，加大督查检查问效力度，形成一级抓一级、层层抓落实的良好局面。三要广泛宣传动员。要采取多种形式，全方位、多角度开展宣传宣讲。要持续宣传全市法院学习贯彻情况，特别是贯彻落实的新思路新举措新成效等，推动形成深入持久的强大舆论氛围，不断坚定全市法院为西宁在现代化新青海建设上走在前作表率提供更加有力的司法服务和保障的信心决心。会议要求，全市法院要自觉把思想和行动统一到习近平总书记对青海工作的重大要求上来，全面领会、全面把握、全面落实，把习近平总书记重要讲话精神落实到法院工作的全过程各方面。一要围绕培育产业体系，在服务保障大局上更有力度。要聚焦产业“四地”建设中的“一个创新基地、三个中心城市”定位，为具有西宁特色的现代化产业体系提供优质司法保障。要把顾大局的理念贯穿商事审判始终，妥善化解盐湖化工、清洁能源、生态旅游、特色农牧业等领域矛盾纠纷。要服务新质生产力，司法保障创新驱动，加强知识产权全链条保护，持续深化知识产权“三合一”审判机制。要通过案件审理分析研判反映的经济社会问题，二要围绕生态文明建设，在环境司法保护上更有强度。要深入践行习近平生态文明思想，切实扛牢生态环境保护重大司法责任，在构筑国家西部生态安全屏障上展现司法担当。要严厉打击违法排污、非法采砂等污染环境、破坏生态犯罪行为，服务青藏高原生态文明新高地山水林田湖草沙一体化保护和修复工程。要严格贯彻《青藏高原生态保护法》，着力做好高原生物多样性司法保护，严厉打击惩处非法捕杀国家重点保护的珍贵、濒危野生动物等破坏森林和野生动植物资源犯罪，依法保护生态环境。三要围绕保障改善民生，在司法服务群众上更有温度。要以“有诉必应马上办”机制为抓手，坚持“如我在诉”理念，持续完善司法为民举措，深入开展“枫桥式人民法庭”创建活动，努力解决好人民群众在打官司过程中急难愁盼的问题。要紧盯人民群众在教育、就业、医疗、社会保障、生态环境等方面更高层次的公平正义需求，在维护正义、救济权利、保障安全、优化服务等方面打造更加优质的司法产品。要追求案结事了政通人和的实质解纷效果，进一步做实诉前调解，着力推进诉源治理工作，破解“程序空转”。四要围绕民族团结进步，在增强法治担当上更有高度。要围绕创建铸牢中华民族共同体意识示范市目标，把铸牢中华民族共同体意识融入法院各项工作中。认真学习贯彻习近平总书记关于铸牢中华民族共同体意识的重要论述，把铸牢中华民族共同体意识纳入干警教育和宣传工作要点。要坚持法律面前人人平等的宪法原则，积极发挥审判职能，为各族群众创造良好法治环境。五要围绕党纪学习教育，在打造过硬队伍上更有深度。要坚持真抓实学、善始善终，“严”字当头，“实”字落地，以铁的纪律来确保公正与效率，以为大局服务、为人民司法的实际成效体现党纪学习教育成果。要持续深化警示教育成果和以案促改专项教育整治，常态化排查整治违反防止干预司法“三个规定”问题。要坚持党性党风党纪一起抓、正风肃纪反腐相贯通，集中整治群众身边不正之风和腐败问题，一体推进不敢腐、不能腐、不想腐。要通过从严抓实全员考核工作，充分激发广大干警真抓实干、能动履职的内生动力，激励全体干警奋进新征程、建功新时代，坚定不移沿着习近平总书记指引的方向奋勇前进。,0,0,0,,西宁,青海,中国
2,5049074480317150,网信义县,2024-06-25 08:50:25,#有一种美好叫辽宁#庆“七一” | 凌河区卫健局机关党支部联合凌河区中医医院支部开展主题党日活动#新时代六地辽宁杠杠滴##追寻先烈足迹辽宁在行动# 为持续深入学习贯彻党的二十大精神，对习近平总书记在辽宁及锦州考察时的重要讲话精神进行再学习、再领会、再实践，“七一”前夕，区卫健局机关党支部联合凌河区中医医院党支部联合开展“凝心聚魂、传承红色基因 、赓续红色血脉、重走总书记考察路线”主题党日活动。在东湖公园，各党支部成员重温入党誓词，重忆入党初心。引导广大党员坚定理想信念，提高党员的党性意识，发挥党员的先锋模范作用。邀请专业讲解人员带领全体党员重走总书记考察路线，深入学习习近平总书记在锦州考察时的重要讲话精神，感受这一幅“山在城中、城在林中、水在绿中、人在画中”的优美生态画卷。通过此次活动，实地感受到了总书记对“国之大者”的深邃思考和“人民至上”的质朴情怀，进一步增强了基层党组织的凝聚力和战斗力。新时代赋予新使命、新任务，新征程需要新担当、新作为，区卫健系统将把革命英雄的精神血脉和红色基因转化为前行的动力，把爱国情、报国志转化为保障人民健康的实际行动，踔厉奋进、勇毅前行。供稿：区卫健局,0,0,0,,锦州,辽宁,中国
2,5049063829669892,安徽民政,2024-06-25 08:08:07,6月24日下午，省民政厅党组召开理论学习中心组（扩大）学习会议，集体学习了习近平总书记关于全面加强党的纪律建设的重要论述和在中共中央政治局第十四次集体学习时的重要讲话精神，传达了省委常委会会议暨省委全面依法治省委员会第七次会议精神，专门学习了《深入学习习近平关于民政工作的重要论述》《中国共产党纪律处分条例》部分章节以及《中国共产党党委（党组）理论学习中心组学习规则》，并围绕“六项纪律”开展研讨交流。厅党组书记、厅长余向东主持会议并讲话。详情请关注：网页链接,0,0,0,,合肥,安徽,中国
2,5048794176293969,石家庄高新区,2024-06-24 14:16:36,【石家庄市企业年金推介会在高新区召开】为深入贯彻落实党的二十大精神，加快发展多层次、多支柱养老保险体系，大力提高企业年金覆盖面，近日，由石家庄市人社局主办、高新区人社局承办的石家庄市企业年金推介会在高新区举办。石家庄市人社局党组成员、副局长张佐礼同志出席会议并讲话，他强调扩大企业年金覆盖范围，更好地满足人民群众多样化需求既是健全覆盖全民、统筹城乡、公平统一、安全规范、可持续的多层次社会保障体系的应有之义，也是保障和改善民生、维护社会公平、促进共同富裕的重要举措。各单位要系统学习企业年金相关政策，准确把握企业年金的核心要义，结合自身实际、财力和引才留才需求，用好用活企业年金政策，分层次、有步骤地建立企业年金，充分发挥企业年金对人才的稳定和激励作用。高新区党工委委员、工委组织部部长、人社局局长王金辉指出，企业年金作为我国多层次养老保障体系的关键一环，承载着重要的社会责任和使命。建立企业年金，既是劳动者退休生活保障的重要补充形式，也是企业调动职工积极性、吸引高素质人才、稳定职工队伍、增强企业竞争力和凝聚力的重要手段，它关系到每一位员工的切身利益，更是社会稳定和经济发展的重要基石，高新区作为全市经济发展的主战场、项目建设的主阵地，人社服务任重道远。下一步，高新区人社局将以此次推介会为契机，紧紧围绕市人社局工作要求，深耕细作主责主业，积极作为、靠前服务，创新形式、广泛宣传，积极引导鼓励符合条件的各类用人单位及其职工建立企业年金，切实提高用人单位和职工的认知度和参与度，全面营造企业年金发展的良好环境，让广大职工共享发展成果。,0,0,0,,石家庄,河北,中国
2,5048788817281955,长春市传染病医院,2024-06-24 13:55:19,【喜报】长春市传染病医院两个专科获批长春市第一批名医工作室为深入贯彻落实党的二十大和习近平总书记视察吉林等系列重要讲话精神，推动长春市公立医院高质量发展，按照长春市第一批“名医工作室”工作安排，长春市卫生健康委员会于6月20日召开“名医工作室”授牌仪式暨名医基层行活动启动大会。长春市传染病医院结核科、传染科被评为长春市第一批“名医工作室”，赵云虹、孙力两人分别被授予领衔名医称号。结核科名医工作室领衔名医 赵云虹赵云虹，主任医师，任长春市传染病医院胸膜炎科主任。擅长：肺结核及结核性浆膜腔积液（胸膜炎、腹膜炎、心包炎）的诊断治疗。兼任：中华医学会结核病分会临床试验专业委员会委员，中国防痨协会结核病临床专业分会委员，吉林省医学会结核病学分会委员兼秘书，《结核与肺部疾病杂志》通信编委。曾荣获长春市政府特殊津贴。所带领的科室连续被评选为市级重点专科。传染科名医工作室领衔名医 孙力孙力，主任医师，任长春市传染病医院传染科主任。擅长：艾滋病抗病毒治疗、艾滋病合并结核等各种机会性感染以及新发传染病的诊治。兼任：目前任中华医学会结核病分会流行病与循证医学专委会委员、《中国防痨杂志》第十届通信编委、《新发传染病电子杂志》第二届编委。在这个充满挑战与机遇的时代，健康始终是人们最宝贵的财富。长春市传染病医院将充分发挥名医工作室示范引领作用，规范管理，促进优质医疗资源下沉，提升医疗服务质量，提高学术水平、壮大人才梯队建设，竭力为市民带来全方位的医疗保障和优质的医疗服务。,0,0,0,,长春,吉林,中国
2,5048758544370423,江西教育电视台官方微博,2024-06-24 11:55:01,#这里是江西# 【全省新时代学校思政课建设推进会召开】6月21日，全省新时代学校思政课建设推进会在南昌召开，省委常委梁桂出席并讲话。他强调，要深入学习贯彻习近平总书记关于学校思政课建设的重要指示精神，进一步增强办好思政课的责任感紧迫感，以党的创新理论为引领，立足新时代伟大实践，把握青少年时代特征，推动思政课建设内涵式发展，努力培养更多让党放心、爱国奉献、担当民族复兴重任的时代新人。副省长孙洪山主持。网页链接 江西教育电视台官方微博的微博视频,0,0,0,,南昌,江西,中国
2,5048742688591204,云南日报,2024-06-24 10:52:01,#同心圆梦彩云南#【加强统战干部队伍建设 肩负起新时代统战工作光荣使命】6月18日，全省统战部长学习贯彻党的二十大精神及贯彻落实党中央关于统战工作重大决策部署专题培训班在省委党校开班。省委常委、统战部部长张治礼出席开班式并讲话。张治礼强调，要按照习近平总书记提出的新时代好干部标准，落实加强统战干部队伍建设的要求，做党性坚强、能力过硬、学识丰富、作风优良的统战干部。要坚定拥护“两个确立”、坚决做到“两个维护”，锤炼坚强党性，带头旗帜鲜明讲政治，增强服务大局、团结同志、调查研究、勇于创新和处理复杂敏感问题的能力，加强全面的、系统的、专业的知识储备，自觉践行“三法三化”，落实“十种鲜明导向”，落实遵纪守法各项要求，推动党中央关于统战工作决策部署和省委工作要求落地见效。网页链接,0,0,1,,昆明,云南,中国
2,5048741708957684,中国军视网,2024-06-24 10:48:07,【解放军报评论员：提高党组织领导力、组织力、执行力】党的力量来自组织，组织强则军队强。习主席在中央军委政治工作会议上发表重要讲话，围绕新征程上推进政治建军明确了6个方面重点工作，其中之一就是“提高党组织领导力、组织力、执行力”。学习贯彻习主席重要讲话精神，必须深入贯彻落实新时代政治建军方略，着力锻造坚强有力的党组织，不断提高我军党的领导和党的建设工作质量，为实现建军一百年奋斗目标提供坚强组织保证。强军兴军，关键在党。新时代政治建军方略，明确党的力量来自组织、部队凝聚力战斗力来自组织。军队党组织是党领导和掌握军队的组织支撑，担负着实现党对军队绝对领导、团结巩固部队、完成各项任务的重要责任。坚强有力的党组织，是我军的优势所在、力量所在。完成好党和人民赋予的各项任务，要求各级党组织在提高领导力、组织力、执行力上下功夫，把我军党的领导和党的建设工作抓得更紧更实，把党组织建设得更加坚强有力。新时代新征程推进政治建军，只有聚焦备战打仗主责主业，加强我军党的组织体系建设，充分发挥组织功能，党的领导才能“如身使臂，如臂使指”，党的政治优势和组织优势才能转化为制胜优势。军队各级党委在部队建设中处于主导地位、起着关键作用、负有全面责任，特别是军级以上高层党委在我军党的组织体系中地位重要、责任重大。政治建设是党的根本性建设，决定党的建设方向和效果。备战打仗是军队的主责主业，领导备战打仗是各级党委的第一要务。提高党组织的领导力、组织力、执行力，必须坚持组织路线服务政治路线，旗帜鲜明讲政治，切实把政治建设摆在首位，作为头等大事紧抓实抓，不断增强政治判断力、政治领悟力、政治执行力。必须坚定扛起备战打仗的政治责任，提高抓备战打仗能力，把党的领导贯穿到备战打仗各领域和全过程。党组织议事决策质量，对单位全面建设、部队长远发展有着极其重要的影响，也是领导力、组织力、执行力的重要体现。当前，随着国防和军队现代化建设的加速推进，军事系统运行日益复杂，军队使命任务不断拓展，党委决策的范围越来越广、难度越来越大、标准越来越高，对议事决策质量提出更高要求。各级党委要严格落实民主集中制，处理好发扬民主和正确集中的关系，做到一切工作置于党委统一领导之下、一切重要问题都由党委集体研究决定。要优化和规范党委议事决策程序规则，加强重大决策咨询评估工作，健全党委决策执行情况和督查通报机制，提高决策科学性、有效性，确保决策正确、执行到位、监督有力。党要管党，首先是党委要管、党委书记要管。党组织领导力、组织力、执行力强不强，关键在党委书记。党委书记是一个班子的“班长”，只有自己站在排头、冲在前头，才能立好标杆、带好队伍。要强化党委书记管党治党第一责任人责任，从坚持党的集中统一领导做起，从加强党员干部特别是班子成员教育管理监督抓起，从严格党内政治生活特别是民主生活会制度严起、规范起，确保班子内部团结统一、和谐稳定。要严于律己、严负其责、严管所辖，真正把政治导向立起来、政治历练抓起来、政治规矩严起来，锻造政治坚定、能力过硬的坚强党组织。（解放军报）,0,0,7,,北京,北京,中国
2,5048513488488843,哈尔滨工业大学,2024-06-23 19:41:15,【哈工大：用好三个“抓手” 推动党纪学习教育走深走实】党纪学习教育开展以来，学校党委深入学习贯彻习近平总书记关于党纪学习教育的重要讲话精神和关于全面加强党的纪律建设的重要论述，全面对标党中央关于党纪学习教育的重要部署，通过党委常委会会议第一时间传达学习，就开展党纪学习教育进行系统谋划，研究制定党纪学习教育实施方案，召开全校党纪学习教育部署会，成立工作专班协调推进各项任务举措，抓好原原本本学、抓实以案促学、抓深以训助学，切实把党纪学习教育成果转化为推动全面从严治党向纵深发展、引领保障中国特色世界一流大学高质量建设的实际行动和扎实成效。网页链接,0,0,9,黑龙江,哈尔滨,黑龙江,中国
2,5048211823660289,广州市情,2024-06-22 23:42:33,"为深入学习贯彻习近平总书记关于党纪学习教育的重要讲话和重要指示精神，深入学习习近平总书记关于党的纪律建设的重要论述和党章，推动党纪学习教育走深走实，市委党史文献研究室举办党纪学习教育专题读书班,采取个人自学、辅导培训和集体研讨相结合的方式进行。全体党员干部个人原原本本学习《中国共产党纪律处分条例》，通过广东省干部培训网络学院收看党纪学习教育培训必修课辅导讲座。组织学习《习近平关于全面加强党的纪律建设论述摘编》，并结合“七一”主题党日，开展党课宣讲活动，其中室主任在全室讲纪律专题党课，其他党员室领导陆续在分管处部讲纪律专题党课，支部书记在所在党支部讲党纪教育专题党课。6月21日下午，市委党史文献研究室举办党纪学习教育专题读书班和讲党纪学习教育专题党课，套开市委党史文献研究室理论学习中心组第7次集体学习（扩大）会。市委党史文献研究室主任、一级巡视员黄小晶以《从中共党史发展主线谈遵纪守法》为主题，为全体党员干部讲党纪专题党课，室领导胡巧利、常国光、刘新峰及全体党员干部50人参加学习。室主任黄小晶传达了习近平总书记关于党的纪律建设的重要论述并从五个方面讲授党纪学习教育专题党课，重点分析了中国共产党人坚持正确领导，为人民谋幸福，为民族谋复兴，为世界谋大同的主线，在革命、建设、改革实践中，不断解放和发展生产力，推进中国式现代化；认为研究和编写中国共产党广州历史，要将其放在整个广州近现代史中，探讨和明确中国共产党广州历史发展的主题和主线；指出中国共产党能够找到通往和实现现代化的正确道路，领导革命不断取得胜利，离不开坚持组织严密、纪律严明、理论创新、制度创新和实践创新的良性互动，离不开对无纪律、无组织、无信仰，无廉耻、无知识、无责任、无气节危害性的坚决批判。黄小晶还联系《中国共产党纪律处分条例》第122条、126条、127条、152条、153条，结合实际生活中、组织人事工作中、党史和地方志编纂中的具体事例，讲述了有力有效推动《中国共产党纪律处分条例》《党史学习教育工作条例》相关规定落地落实的重要性和必要性，指出方志人和党史人不仅是一个时代的记录者，不仅要收集史实，还要挖掘史实中更加深邃、更加丰富、更加耐人寻味的道理内涵，对历史进行深化，让历史更加真实、更加深邃，特别是编纂《中国共产党广州历史》第三卷、第四卷，要以事实为依据，分析和把握广州各个时期的特点，分析这些特点是如何体现主线的，要围绕主线写好人民群众的历史诉求、历史活动和历史作用；要逐句逐字学习领会两个条例内容，深入领会习近平总书记指出的:历史研究是一切社会科学的基础，深入领会历史科学中的辩证唯物主义和历史唯物主义的立场观点方法，深刻认识无组织、无纪律的危害性，严肃执行党的纪律，完善制度规范，在实际工作中提升理论认识水平、加强知识智慧挖掘，改进思想工作方法，学会用历史视野、历史眼光、历史思维分析问题和研究问题，不仅仅做到言之有物、言之有理，做到遵纪守法，依法规、有组织、按程序开展工作。在集体研讨环节，方志工作处处长杨宏伟、文献研究部部长贺坤、宣教展陈部部长余宏檩、信息资料处处长颜岳军、机关工会主席姚士静和年鉴工作处党支部书记陈英纳围绕学习《中国共产党纪律处分条例》，特别是对违反群众纪律、生活纪律行为的处分作发言交流。杨宏伟以生活纪律贵在融入日常为主题，结合学习《条例》第十一章第一百五十条至一百五十四条规定，指出生活纪律是党员干部在“八小时之外”日常生活和社会交往中必须遵守的言行规范，党员领导干部要重视家风建设，避免失管失教，指出积善之家，必有余庆，积不善之家，必有余殃；党员干部在生活中要时刻严格约束自己、谨言慎行，做到在岗不在岗一个样、网上网下一个样，为营造良好舆论生态作出表率。贺坤重点围绕《条例》中关于“群众纪律”修订内容，回顾了工农红军三大纪律六项注意的由来，指出群众纪律是党的各级组织和全体党员坚持以人民为中心的发展思想和处理党群关系时必须遵守的行为规则，文献研究部在开展文献查询借阅服务时，需要积极主动作为、严守纪律“红线”，以方便群众，服务群众为宗旨，严守群众纪律，脚踏实地的为民服务。余宏檩认为党员干部必须严守党的纪律，防止和杜绝生活奢靡、铺张浪费、贪图享乐等不良生活作风，群众纪律是党的各级组织和全体党员坚持以人民为中心的发展思想和处理党群关系时必须遵守的行为规则，展厅是连接群众的窗口，今年以来已接待5万多人101个团队，宣教展陈部以全心全意为人民服务为宗旨，不断提高服务水平，以满足群众的参观学习需求。颜岳军重点围绕结合生活纪律第153条内容，结合自身工作特点，指出生活纪律是党员在日常生活和社会交往中应当遵守的行为规则，网络空间不是法外之地，不能成为党纪调整的制度空白，在社交媒体时代，党员干部必须管理好自己的网络言行，心有所戒、言有所畏、行有所止。党员干部在网络上要强化政治纪律意识，严守政治规矩。不参与违反政治纪律的网络传播行为、不参加违反政治纪律的网络活动。必须加强对党员干部网络言行的教育、引导、监督和管理。姚士静围绕《条例》中“六大纪律”的由来、内容和重要性，重点解读群众纪律和生活纪律，结合工会工作的原则要求和实际情况，指出工会工作必须始终做到忠诚、干净、担当，牢固树立以职工为中心的工作导向，要厚植为民情怀，依靠职工、服务职工、为了职工，不断增强服务职工本领，真心实意为职工说话办事，切实维护好干部职工合法权益、竭诚服务干部职工群众，为广州党史文献事业高质量发展提质增效。陈英纳回顾了党的百年奋斗史中群众纪律的发展历程，分析了《条例》第九章第122至129条中关于损害群众利益的两方面违纪行为，指出年鉴处要时刻坚持以人民为中心的历史观，在年鉴编纂过程中要特别注意充分展现人民群众创造历史、书写历史、检验历史的主体地位和主体作用，充分反映人民日益增长的美好生活需要。",0,0,0,,深圳,广东,中国
