页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5042702091291335,陈晟雄,2024-06-07 18:48:50,其实按照圣子的精神意愿，共产主义才是圣子的国也就是犹大国！人们彼此相爱在内心的殿堂不带一点金钱利益，虔诚谦卑踏实团结的过着生活，这正是共产主义追求的目标！所以共产主义国家都可以算是犹大国一个因信仰走在一起的国家！犹大国和以色列国相继复活！可以说犹大国子民覆盖了全球！而耶路撒冷这块地方必然是因为信仰追求相同生活在一起的国度！凡信圣子的都是同一国的人不分种族！,0,0,0,湖北,,湖北,中国
2,5042583791732543,晚楼的小小野猫,2024-06-07 10:58:45,“妇女回家论”是法西斯与反动派的主张，将人工具化，剥夺进步可能，与以“人的全面发展”为目标的共产主义完全相反//@刘思缈就是不秃头回窝了://@燕乐凝波竹://@骡木木:唉……,2,0,4,北京,,北京,中国
2,5042546130813050,内正外端,2024-06-07 08:29:05,共产主义社会实现是必然的，是人类社会的必然归宿！共产主义作为人类的崇高理想，应当坚持和坚信，不可模糊更不应作为以后的事，后人的事，共产主义与现在就紧密不可分，现在要做的事或势头都要朝向这个理想发展，这个理想目标是明确的，全局发展都要朝向这个目标，发展中的根本问题是不能弱化的，解决好动力问题、创新问题、恶害问题,0,0,0,山东,济南,山东,中国
2,5041874440032659,slumpin,2024-06-05 12:00:03,梁师傅的目标真的是共产主义//@原生细胞:打工人流泪,6,0,3,浙江,杭州,浙江,中国
2,5041845635385725,康兵10,2024-06-05 10:05:35,#生活手记#为什么美国的腐败问题很少？这与他们的国体有关，他们的政权基本上都是掌握在资本家手里，政权本身就是资本家发家致富的工具，他们没必要去搞腐败敛财。而我的国体是社会主义，我们的目标远大，是为了共产主义事业，我们的政权里要吸纳社会各阶层的人，大家共同奋斗。因此，一些意志不坚定的封建势力，资本主义思想就想方设法的侵蚀和破坏。他们最直接的手段就是腐败。一旦达到目的，要么就搞资本主义，要么就搞封建复辟。因此，我们一定要学习马列主义毛泽东思想，坚定不移的走社会主义道路。,0,1,0,安徽,安庆,安徽,中国
2,5041615469021245,怼怼更更健康,2024-06-04 18:50:59,共产主义的终极目标，类似打狗棒法的最高境界——天下无狗。一场跨越阶段看似理想但又关乎人性的斗争。现阶段可能功力不够，但仍然要心向往之。因为在这条路上，将有千万人并肩作战，你不会踽踽独行。 ,0,0,0,湖北,十堰,湖北,中国
2,5040360198504822,兰州znn811,2024-06-01 07:42:59,“为共产主义事业而奋斗”曾是我们那个年代，少先队员们的奋斗目标… ,0,0,0,甘肃,兰州,甘肃,中国
2,5039668715848387,金陵郭健,2024-05-30 09:55:17,#武汉平均招聘月薪10313元# 中位数8358元。近日，网红王妈背刺打工人一事闹得沸沸扬扬，也引发了不少网友对背后武汉求职市场的关注——武汉肯定有这样高薪岗职，但说是“平均”？除非M2再度大放水？上面全方位向民生倾斜政策调整？我们的共产主义目标提前实现了？#中国社会净财富世界第二# 南京·南京夫子庙-秦淮风光带,8,1,0,江苏,南京,江苏,中国
2,5039017861320548,菠萝味儿的百青余,2024-05-28 14:49:01,共产主义的目标是实现人全面而自由地发展//@呆橘花胖胖胖:图片评论 评论配图 //@久溺于你yu:来源是哪里啊,0,1,1,江苏,苏州,江苏,中国
2,5038941851882013,风火轮chem,2024-05-28 09:46:59,最近思考人类社会的集体意识和共产主义实现路径，如果每个人的需求要在集体活动中得到满足，更好地理解彼此的需求或许是关键的第一步，开个脑洞，让人与人的大脑链接🔗是不是可以促进该目标的实现，现实中人与人交流真的不够顺畅。百度一下，美国科学家已经在人脑链接方面做出了初步尝试，Miguel竟在《超越边界》中把人脑活动融合描述为人类进化的未来。 大连·中国科学院大连化学物理研究所,0,0,0,辽宁,大连,辽宁,中国
3,5038415156872720,侏罗系,2024-05-26 22:54:05,回复@bugsaler:共产主义模式需要这么搞，因为我们的终极目标是世界人民大团结万岁，集中力量办大事需要世界人民大团结的，所以需要世界人民大团结一起办好教育后再反馈全世界//@bugsaler:共产主义模式不接受这么搞,0,0,0,四川,成都,四川,中国
3,5038322008983234,颖星198005,2024-05-26 16:43:57,#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功#     党是中国工人阶级的先锋队，同时是中国人民和中华民族的先锋队，是中国特色社会主义事业的领导核心，代表中国先进生产力的发展要求，代表中国先进文化的前进方向，代表中国最广大人民的根本利益。党的最高理想和最终目标是实现共产主义。中国共产党以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想作为自己的行动指南。中国共产党领导是中国特色社会主义最本质的特征。中国共产党的中心任务就是团结带领全国各族人民全面建成社会主义现代化强国、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴。(经济管理学院第二学习小组)@文理先锋,0,0,0,四川,成都,四川,中国
3,5038225269983855,爱之光123456,2024-05-26 10:19:33,习主席讲话注解:“我们未来的目标很明确”，就是要在没有亿万富翁都共同富裕的基础上像南街村等村一样实现我国和全人类公有制的方方面面都按需分配的共产主义。“由于过去的成功现在有了信心和底气”，由于农民单干和工人下岗之前社会主义道路的成功我们有了信心和底气。幸福生活是靠为集体干出来的。 查看图片,4,5,6,云南,昆明,云南,中国
3,5038064931967608,天狼玫瑰媚momo,2024-05-25 23:42:25,为人民服务！为共产主义事业奋斗终身！ 发展对象考试通过了 你的目标不止是笔试150 ,0,0,1,江苏,盐城,江苏,中国
3,5037332556157858,tiersenxxj,2024-05-23 23:12:13,是时候跳出系统看系统了。不要再强调“自由”“民主”这类大词，因为它们早已是现代资本主义话语的一部分，这些年轰轰烈烈的“女权”概念同样如此！更恰当的方向是齐泽克与巴迪欧明确倡导的“共产主义”：不是作为终极解放的目标，而是作为纯粹否定性的理念。因为远没有实现，也许永远也不会（完全）实现，作为纯粹否定性的共产主义才能跳出全球化资本主义既定的话语秩序，施展革命性的潜能。所以，我们今天更应该关注和谈论的是霸权、对抗、贫富悬殊、两性对立、科技成瘾、极权主义、封建回潮，即一切在自由与民主这两面大旗遮蔽下被悄悄擦去的“真实”。@然石post,6,8,10,广东,湛江,广东,中国
3,5036981509163575,王知安2,2024-05-22 23:57:17,就算真拿了永居又如何？说明张教授有本事。苏秦挂六国相印，大家也只会赞叹！更何况中国的目标是共产主义，天下大同，在哪搞共产主义事业都是好同志。,0,0,0,陕西,西安,陕西,中国
3,5036863201219449,杨春祥律师,2024-05-22 16:07:10,#半数银行人均薪酬下降#其实也是二八定律，大部分员工收入并不高，只是富了少数人。 如果不能共同富裕，那还搞什么共产主义？ 所以，未来的目标，必须是共同富裕，尽快缩小贫富差距。 ,1,1,6,北京,北京,北京,中国
3,5036733182247229,用户6974579157,2024-05-22 07:30:31,#青年学生理论学习小组##学深悟透新思想 挺膺担当建新功#党的基本知识中揭示了党的阶级基础及其先进性，提出了党的根本宗旨，并明确了党在国家政治生活中的领导地位以及党与其他各个组织的关系。#学深悟透新思想挺膺担当建新功# 党的最高理想和最终目标是实现共产主义，这决定了党的奋斗目标和前进道路。     党的指导思想是用以指导自己行动的思想、理论体系，对于一个政党来说至关重要。它不仅关系到一个政党的性质，也关系到它和它所代表的阶级的命运和前途。中国共产党之所以能够成为先锋队，并领导中国革命和建设不断取得伟大胜利，决定的因素就在于它把马克思列宁主义、毛泽东思想、邓小平理论和“三个代表”重要思想作为自己的指导思想。(文法学院第一学习小组)@文理先锋,0,0,0,四川,成都,四川,中国
3,5036386789098469,宫永立夏,2024-05-21 08:34:05,#谭竹#谈谈我理解的共产主义爱情观吧，共产主义的目标就是人人平等没有剥削与压迫，本质就是所有人都能够同心同德寻求团体的共同进步。基于此的爱情观显然与当下人们说的爱人先爱己不同，因为所有人都是无保留的，所以爱情也不需要保留爱自己那一部分，自己会有别人来爱，你只需要爱人就行。不会有欺骗隐瞒，因为你爱的人值得你全身心付出，爱你的人会包容你的一切。这才是爱应该成为的样子，而不是精致的利己主义，拿出8成爱自己2成爱别人，在面临选择时如果自己的损失权衡高于2成那么就会选自己了，在我看来那并不是爱情，只能叫搭伙。合则聚分则散，全是利益交杂的感情在利益不足的情况下只能引来破灭而不是真正的扶持付出以求共进。,0,0,1,重庆,重庆,重庆,中国
4,5035656455651594,寵聾,2024-05-19 08:12:00,开始思考，怎样才能用画画做一些对这个世界更有价值的事，而不单单是对自己来说有价值…听苏联美学的时候超级羡慕那些为共产主义理想奋斗的早年的苏联设计师们，或许这可以成为我三四十岁的目标 ,0,0,0,浙江,杭州,浙江,中国
4,5035073071481540,五行缺翔64095,2024-05-17 17:33:50,真正的共产主义，一定不是吃饱穿暖，钱花不完。相反，社会的运行秩序决定了大部分人一生只能在自己的出生阶级徘徊；就像水，从源头流向尽头便是一生，子孙再重复这一过程。文明分先后，公平分阶级，当大家都由衷明白这个道理并且把其一生的最终目标放在追求自己的本心上时，共产主义的薪火将势不可挡。 ,0,0,1,安徽,合肥,安徽,中国
