页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048907958063083,遂宁市生态环境局,2024-06-24 21:48:44,党纪学习教育丨党组织违犯党纪如何处理，其成员受什么影响？（共产党员网） ,0,0,0,,遂宁,四川,中国
2,5048884286459138,盘锦市委网信办,2024-06-24 20:14:40,优秀共产党员 秦玉侠：尽职尽责 无私奉献#有一种美好叫辽宁# 优秀共产党员 秦玉侠：尽职尽责 无私奉献 ,1,0,1,,盘锦,辽宁,中国
2,5048879026275288,梅州电台1058,2024-06-24 19:53:46,【冲锋在前践初心 党旗在救灾抢险一线高高飘扬】灾情就是命令，人民高于一切。“6.16”特大暴雨造成平远县、蕉岭县、梅县区等地受灾严重。连日来，广大党员干部闻令而动、冲锋在前，用实际行动诠释共产党员的初心使命，让党旗在救灾抢险一线高高飘扬。#梅州身边事# 梅州新闻联播的微博视频 ,0,0,0,,梅州,广东,中国
2,5048873968470841,贺兰发布,2024-06-24 19:33:40,#国家安全# @所有人 #保守国家秘密# ，这15种行为不得有 来源：共产党员微信-安徽先锋 ,0,0,0,,银川,宁夏,中国
2,5048850276685774,栖霞司法行政,2024-06-24 17:59:32,#普法问答#1931年4月25日，一位打入国民党内部的共产党员，获取了顾顺章被捕叛变的情报，沉着机智地通知中央机关和周恩来、瞿秋白等相关同志提前撤离，挽救了党中央，改写了中国共产党的历史，他就是（  ）。A.李克农B.钱壮飞答案：B（来源：栖霞区司法局 拟稿人：曹华明 审核人：张忠发 发布人：陈爱华）,0,0,0,,,江苏,中国
2,5048843241261149,国网河北电力,2024-06-24 17:31:34,#河北电力简讯#走访光伏产业，服务绿色发展。6月21日，国网临西县供电公司共产党员服务队来到辖区光伏企业走访，帮助用户对光伏板等设备进行全面检查，向客户宣传迎峰度夏期间安全用电常识，助力绿色低碳发展。@国网邢台供电公司（代莹莹） ,1,0,1,河北,石家庄,河北,中国
2,5048842992748477,国网河北电力,2024-06-24 17:30:35,#河北电力简讯#走进田间地头，服务三夏生产。6月24日，国网高碑店市供电公司共产党员服务队走进田间地头，对喷灌机等设备进行安全检查，确保三夏期间电力安全可靠供应。@保定供电（马松） ,1,0,0,河北,石家庄,河北,中国
2,5048842722743303,国网浙江电力,2024-06-24 17:29:31,#美好生活充电站#【“电”亮产业兴 “葡”就致富路】六月正值葡萄的生长高峰期，6月19日，@国网仙居县供电公司 红船共产党员服务队深入双庙乡明康汇仙居生态观光体验农场，对葡萄种植基地的用电设备开展电力体检，面对面为种植户讲解安全用电知识，提醒安全用电注意事项，以满格电助力葡萄丰收，为产业振兴“葡”就致富路。,107,106,143,浙江,杭州,浙江,中国
2,5048842607660085,国网浙江电力,2024-06-24 17:29:03,#美好生活充电站#【绿色低碳 争当节能小达人】6月23日，为普及节能低碳知识，@国网瑞安市供电公司 红船共产党员服务队在塘下镇中心幼儿园开展“科学用电、节能减排、共享美好”为主题的志愿服务活动，以“一度电的旅行”向孩子传播电力知识，引导社会安全用电。 ,3,2,6,浙江,杭州,浙江,中国
2,5048842430973892,国网河北电力,2024-06-24 17:28:21,#河北电力简讯#走访宣传进大棚，助力农业生产增收，6月24日，国网容城县供电公司共产党员服务队来到高宇农业园，对其用电设备、线路进行巡视检查，为园区提供用电技术指导，宣传安全用电知识，确保迎峰度夏期间园区用电无忧。@国网雄安新区供电公司（章艳芳） ,0,0,0,河北,石家庄,河北,中国
