页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5046203452494225,东方日记本,2024-06-17 10:42:00,上海是党的诞生地、初心始发地、伟大建党精神孕育地，也是中国共产党早期纪检监察制度孕育地。1926年8月，中共第四届中央扩大会议在上海召开，发布《坚决清洗贪污腐化分子》的通告，这是中国共产党第一个关于纪检监察方面的制度性文件，也是第一个惩治贪污腐化分子的文件，开启从严治党的历史。1927年，中央监察委员会成立，在血雨腥风和生死考验中，首届中共中央监察委员会十名成员，无一人叛党投敌。在这十位纪检监察先驱中，杨匏安、许白昊、张佐臣、杨培生就义于上海龙华，被称为“龙华四烈士”。网页链接,0,0,0,,上海,上海,中国
2,5045221136011790,山西大同交警,2024-06-14 17:38:37,恒安交警大队组织全体党员参观党风廉政暨廉洁文化馆为不断加强党风廉政建设工作，进一步筑牢党员干部拒腐防变思想防线， 近日，恒安交警大队党支部组织全体党员到云冈区参观廉政文化教育馆开展主题活动。活动中，全体党员在讲解员的带领下，依序参观了云冈区的发展和中国共产党自诞生以来不断加强纪律建设、持续正风反腐的光辉历程，通过观看典型违纪违法案件通报、让党员们深刻感受到了党风廉政建设和反腐败斗争的严峻形势和艰巨任务。同时，也让他们更加坚定了理想信念，明确了廉洁自律的重要性。在警示教育展厅，全体党员干部民警在党旗前庄严宣誓，重温入党誓词。党员们表示，鲜活的案例再次敲响纪律的警钟，在受到警示的同时，也更加深刻认识到习近平总书记关于党的自我革命重要思想的重大意义，在今后的工作生活中，要不断加强思想淬炼，在思想上、作风上、纪律上更加严格要求自己，清清白白做人、干干净净做事，牢记初心使命，做忠诚干净担当的新时代人民警察。 山西大同交警的微博视频,0,0,0,,大同,山西,中国
2,5044750220268068,思想火炬,2024-06-13 10:27:22,【韦磊：光荣与梦想——中国共产党百年奋斗的历史意义和历史经验】我们要围绕以下问题学习中国共产党百年奋斗历史：中国共产党怎么来的，中国共产党的先驱们为什么要创建中国共产党，中国共产党诞生之后要干什么，中国共产党的初心使命是什么？ 网页链接 ,2,0,4,,北京,北京,中国
2,5044749309839809,平安正阳,2024-06-13 10:23:45,#纪律是管党治党的戒尺#中国共产党自诞生之日起就注重严明党的纪律。纪律严明是党的光荣传统和独特优势。其他政党是否有如此详细严明的党纪规定？#权威专家独家解读党纪新变化#本期邀请中央党校（国家行政学院）党的建设教研部副主任、教授祝灵君为您解读。新华网的微博视频 ,0,0,0,,驻马店,河南,中国
2,5044436855164192,上海静安,2024-06-12 13:42:10,【出发吧，去静安！跟着主播沉浸式打卡中共中央秘书处机关旧址纪念馆→】#关注静安# 静安是中国共产党早期活动的核心区域，是马克思主义传播地、革命领袖足迹地、中共中央早期机关聚集地、首部党章诞生地、群众运动策源地和党的统一战线政策提出地。静安区红色资源底蕴深厚、数量众多、特色鲜明，现有106处重要红色革命旧址、遗址，其中，已考证的在沪30多处中共中央早期机关有20余处在静安。详见：网页链接,0,0,1,,上海,上海,中国
2,5044114892263226,绥中宣传,2024-06-11 16:22:48,【#这天是黄埔军校诞生100周年#】1924年6月16日，黄埔军校诞生，如今已经一百年了。它是孙中山在中国共产党和苏联帮助下创办的中国第一所兼具培养革命政治理想的新型陆军军官的学校。因校址设在广州黄埔长洲岛，通称黄埔军校。黄埔军校成立后，众多青年将“投身黄埔”视为崇高追求与目标，纷纷奔赴黄埔。敬#追寻先烈足迹辽宁在行动#  央视国家记忆的微博视频,0,0,0,,葫芦岛,辽宁,中国
2,5043679020451954,河南共青团,2024-06-10 11:30:48,【#豫团温馨提醒#纪律是管党治党的戒尺】中国共产党自诞生之日起就注重严明党的纪律。纪律严明是党的光荣传统和独特优势。其他政党是否有如此详细严明的党纪规定？权威专家独家解读党纪新变化↓↓↓#豫团小课堂# 河南共青团的微博视频 ,1,14,3,,开封,河南,中国
2,5042195786630972,上海松江发布,2024-06-06 09:16:58,#光荣之城2024上海红色文化季# 上海是中国共产党的诞生地、初心始发地和伟大建党精神孕育地。今年5月至7月，市委宣传部、市委党史研究室、市文化和旅游局联合开展“光荣之城”2024上海红色文化季，六大板块 130余项市级项目和活动等你来体验。#喜欢上海的N种体验# 上海发布的微博视频 ,28,8,1,,上海,上海,中国
2,5041823146313069,六安广播电视台,2024-06-05 08:36:13,【走进六安|红色热土】六安市是全国著名的革命老区。从党的创立到新中国诞生，六安28 年红旗不倒，成为了中国共产党的重要建党基地、中国革命的重要策源地、人民军队的重要发源地，是新中国大厦的一方坚实基石。六安人民在中国共产党的领导下，为着全国人民的解放事业英勇奋斗，用鲜血和生命谱写壮丽的篇章，创造不朽的业绩，铸就了彪炳史册的大别山精神。六安与中国革命同频共振。在建党和大革命时期，六安马列主义传播早，党团组织建立早，党团骨干培养多，是中国共产党的建党基地之一。在土地革命战争时期，立夏节起义和六霍起义震动全国，苏家埠大捷光耀军史，一首红歌《八月桂花遍地开》从这里诞生并传唱天下；诞生了安徽省第一个县级苏维埃政府，成了全省红色区域的中心；以六安为核心的皖西北苏区规模占鄂豫皖苏区的大半壁江山，六安境内80% 以上是苏区，苏区建设成为全国典范。在全民族抗日战争时期，新四军第四支队在六安发展壮大，走向皖中和皖东抗日前线；六安是安徽省国共合作抗日的指挥中心、活动中心，是华中抗日民主根据地人才的重要输送地。在全国解放战争时期，是中原突围东路突围的发生地，见证了“皮旅”在中原突围中创造的奇迹；是刘邓大军挺进大别山的重要战场，张家店战斗开辟了大别山解放区的新局面；解放全国前夕， 六安人民踊跃支前，是人民解放军夺取全国胜利的前进基地。六安市所辖各县区全为革命老区，其中金寨、六安 （包括金安、裕安）、霍山、霍邱4 县为苏区县。走进六安|红色热土,0,0,0,,六安,安徽,中国
2,5041633198869326,徐汇文旅,2024-06-04 20:01:26,上海是中国共产党的诞生地 徐汇是一片有着深刻红色记忆的热土 无数共产党英烈长眠于龙华 留下一首首英雄壮歌@龙华英烈  百年初心·英雄之路游线 将以剧情挑战的形式 融合线上线下的多元互动 为你打造一场独特的沉浸式体验 呼叫“飞鹰”！龙华这场沉浸式CITYWALK，太震撼！ ,0,0,2,,上海,上海,中国
