页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048877923439887,喜马拉雅豆芽,2024-06-24 19:49:23,总书记西北行丨记者手记：江河一脉家国梦：习近平总书记深情地说：“民族团结非常重要，我们五十六个民族要像石榴籽一样紧紧抱在一起。五十六个民族凝聚在一起就是中华民族共同体，中华民族是一个大家庭。我们共同奋斗，一起推进中国式现代化，实现中华民族伟大复兴！” 总书记西北行丨记者手记：江河一脉家国梦 ,0,0,0,陕西,宝鸡,陕西,中国
2,5048876463292672,滨州文旅,2024-06-24 19:43:34,【滨州白云山隧道顺利贯通】历经283个日夜，经过所有参与人员的团结协作与不懈奋斗，6月22日上午10时，白云山隧道顺利贯通。滨州一隧道顺利贯通！据了解，“一路一桥一隧道”项目，全长14.23公里，估算投资2.36亿元。该项目是邹平市人民特别是临池镇和西董街道群众期盼已久的致富路、连心路，是落实市委“11269”工作思路的民生工程。其中“一路”是临池镇经白云山接醴泉五路公路，包含工程主线、鹤伴山支线及醴泉五路至鹤伴山景区内停车场老路维修工程。主线长7.961Km，支线长2.21Km，沥青混凝土路面，路面宽度8m。老路维修维持原道路技术标准，处理病害后，沥青混凝土罩面。“一桥”是鹤伴桥，桥长97米，为混凝土连续箱梁桥。“一隧道”是白云山隧道，长910米。白云山隧道的顺利贯通，标志着“一路一桥一隧道”工程施工取得了阶段性胜利，这是施工单位、设计单位、监理单位、沿线镇街以及人民群众共同关心支持的结果。在邹平市委市政府的正确领导下，将按照“9月底实现全线通车，为国庆献礼的”总体目标，安全、优质、快速地完成好所有剩余施工任务。#滨州身边事##好客山东美美与共#,0,1,0,,滨州,山东,中国
2,5048874035316270,Hyperspace_小龙女,2024-06-24 19:33:56,千百年来，四大文明古国只剩下我们中国🇨🇳，众人都会思虑我们中国的文明还能延续多久，并在为其努力奋斗中 也正是因为中国人🇨🇳善良、勤劳、勇敢、团结，凝聚力强才让中国的文明能在过往的长河中延续了千年。 ,0,0,0,河南,许昌,河南,中国
2,5048861735258143,千秋笑笑,2024-06-24 18:45:04,#满洲里市铸牢中华民族共同体意识标识正式发布#铸牢中华民族共同体意识，加强各民族交往交流交融，促进各民族像石榴籽一样紧紧抱在一起，共同团结奋斗、共同繁荣发展。,0,0,0,内蒙古,呼伦贝尔,内蒙古,中国
2,5048847817247446,广东统计,2024-06-24 17:49:45,黄坤明深入梅州平远县实地督导抢险救灾和灾后重建工作 全力抓好抢险救援和恢复生产 坚定信心 团结奋斗 重建家园  广东省人民政府门户网站 网页链接 ,0,0,0,,广州,广东,中国
2,5048834182874553,冰摩卡boiling,2024-06-24 16:55:34,姐，硬气点，咱们就这么惩治偷番咖，不要让网剧里混的又偷又蹭的糊咖在电影圈里兴风作浪，搞乱了电影宣发，搞坏了我们团结一致为电影好的心❤️，我们一起为这筹备四年的大制作努力奋斗，争取让电影超过消失的她票房大爆特爆@梁静 @电影东极岛 @管虎,0,1,0,辽宁,抚顺,辽宁,中国
2,5048825081496555,西安经开,2024-06-24 16:19:25,【西安经开区开展工会文艺轻骑兵进园区活动】6月20日，由西安市总工会主办，西安经开区工会工委承办的工会文艺轻骑兵进园区暨劳模创新工作室观摩活动在经开区出口加工区内举行。活动共计50家企业的200余名优秀职工代表参加。本次活动的主题为“唱响劳动最强音 团结奋斗新征程”。活动一开始，职工代表集体观摩了西安庆安航空机械制造有限公司的劳模创新工作室，了解学习企业劳模的工作经验与创新产品。观摩结束后，工会文艺轻骑兵为大家带来了精彩的舞蹈、快板、器乐表演，拉近了企业与职工之间的距离。随后，工作人员进行了安全生产宣传，并为在场职工提供法律咨询、义诊、理发等服务。据介绍，经开区持续开展工会送文化、送法律、送安全、送健康“四送”活动，旨在为一线职工送去关爱，引导劳动者提高安全、法律意识，让职工在工作之余感受生活的乐趣。“送文化”活动以群众喜闻乐见的表演形式，将文艺作品送进基层，丰富了广大群众的精神文化生活，切实将文化惠民、服务基层落到实处。参加活动的职工代表表示，将以此次活动为契机，团结一心、再接再厉，弘扬劳模和工匠精神，扎实做好各项工作，为经开区实现高质量发展贡献自己的智慧和力量。,0,0,0,,西安,陕西,中国
2,5048809113786779,百姓身边事儿,2024-06-24 15:15:58,“宣讲家杯”展播 | 王炳林：伟大建党精神与中国式现代化党的二十大报告指出，中国共产党的中心任务是“团结带领全国各族人民全面建成社会主义现代化强国、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴”。深入探究伟大建党精神与中国式现代化的关系，对于科学总结中国式现代化的探索历程、深刻把握中国式现代化的科学内涵、增强推进中国式现代化的精神动力，都具有重要的理论价值和实践意义。“宣讲家杯”展播 | 王炳林：伟大建党精神与中国式现代化,0,0,0,,北京,北京,中国
3,5048464759852604,GEA阿蓉,2024-06-23 16:27:37,💖努力的样子真的很美🌈不服输的精神难能可贵👍 ♻️环保路上大家心连心，手拉手，团结并进，为创建绿色家园而努力奋斗💪💪 GEA#Green Earth Action，我在行动！#生态环保#中国正能量##地球守护者##全球化##变废为宝# 德州·德州学院 GEA阿蓉的微博视频 ,1,29,524,山东,德州,山东,中国
3,5048748472273181,山西新闻网,2024-06-24 11:15:00,#在山西#【沿着总书记的足迹丨中国宝武太钢集团：锚定创新 追求卓越】习近平总书记的殷切期望为太钢发展指明了前进方向，提供了根本遵循，成为激励太钢干部职工团结奋斗、攻坚克难的强大精神动力，不断鼓舞和鞭策太钢干部职工久久为功、乘势而上，以科技创新为引领，加快发展新质生产力，奋力将太钢建设成为全球最具竞争力的不锈钢全产业链高科技企业。【沿着总书记的足迹】中国宝武太钢集团：锚定创新 追求卓越,0,0,0,,太原,山西,中国
