页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049096004178753,文明安顺开发区,2024-06-25 10:15:58,【党纪学习教育】安顺经开区：深化党纪学习教育 筑牢党员干部廉洁自律防线网页链接 ,0,0,0,,安顺,贵州,中国
2,5049094427116952,土右旗检察院,2024-06-25 10:09:42,【廉洁文化】融“绘”贯通学党纪丨严禁搞迷信活动 ,0,0,0,,包头,内蒙古,中国
2,5049094242568853,金台融媒,2024-06-25 10:08:58,#金台快讯# 近日，西关街道西关社区党委组织开展“传承红色基因 坚守廉洁初心”主题党日活动，社区党员干部前往凤翔区冯家山水库廉政教育基地、陈村镇紫荆村西府战役纪念馆，了解宝鸡伟大水利工程建设里程，感悟先辈革命力量。此次主题党日活动是一次生动的革命传统和爱国主义教育的洗礼和熏陶，党员们纷纷表示要以“西府出击”和“冯家山”精神滋养初心，珍惜今日的幸福生活，保持共产党人政治本色，不忘初心、牢记使命，立足本职，埋头苦干，为西关街道高质量发展做出新的更大贡献。（西关街道办   王少君）,0,0,0,,宝鸡,陕西,中国
2,5049094003491212,安徽交通运输,2024-06-25 10:08:01,#交通执法# 【淮北市：强化业务培训，赋能交通执法】为持续深化交通运输综合行政执法改革，切实提高交通运输执法能力和水平，打造一支严格规范公正文明、廉洁高效适应新时代要求的交通运输综合行政执法队伍，6月24日，淮北市交通运输综合行政执法支队举办的“全市交通运输行政执法质量效能提升三年行动培训班”正式开班。　　以学增智，提升执法能力。此次培训时间为6月24日至29日，全体执法人员分两批进行封闭式培训。内容丰富，既有执法实务知识，还有执法法律知识。本次培训通过学习全方位提升执法人员综合执法能力和业务水平。　　以智促行，规范执法行为。此次培训，通过观看自媒体镜头下的执法工作，了解执法现状；通过廉政教育，提升交通执法清廉执法素质；通过学习新形势下的交通执法工作，确定行动目标；通过军训，磨炼执法人的意志。围绕执法历史、现状、未来等环节学思践悟、深钻细研，规范了执法行为，为打造有力度、有温度的法治化交通运输营商环境，解决当前执法不规范、不严格的问题注入了力量，进一步提升执法效能、锻造过硬队伍。　　以行践学，执法提质增效。此次培训目的是让执法人员对交通运输综合执法工作有新的认识、新的体悟，在执法工作不断践行所学所悟。通过重规范执法的实际行动，有效整治行政执法突出问题，切实强化行政执法监督机制和能力建设，进一步提升行政执法信息化、数字化水平，显著提高行政执法质量和效能，有力增强行政执法的权威性和公信力，切实为民办实事、为企优环境、为交通护好航。,0,0,0,,合肥,安徽,中国
2,5049093516952300,赤峰市文化和旅游局,2024-06-25 10:06:05,警示教育敲警钟 廉洁自律守初心——市文旅局开展党纪学习教育现场警示教育活动【头条】警示教育敲警钟 廉洁自律守初心——市文旅局开展党纪学习教育现场警示教育活动 ,0,0,0,,赤峰,内蒙古,中国
2,5049093370155589,贵阳新闻网,2024-06-25 10:05:30,【有理贵阳 | 做到自身净自身正自身硬】#贵阳贵安开展党纪学习教育# 廉者，政之本也。《中国共产党纪律处分条例》对“廉洁从政、廉洁用权、廉洁修身、廉洁齐家”等都提出了明确要求。贵阳贵安党员、干部特别是领导干部要严格遵守廉洁纪律、生活纪律，清清白白为官、干干净净做事、老老实实做人，做到自身净、自身正、自身硬。做到自身净，在任何时候都稳得住心神、管得住行为、守得住清白。习近平总书记强调：“一个人廉洁自律不过关，做人就没有骨气。要牢记清廉是福、贪欲是祸的道理，树立正确的权力观、地位观、利益观，任何时候都要稳得住心神、管得住行为、守得住清白。”谆谆话语，告诫广大党员干部要守住廉洁自律这个关口。廉洁是从政为官的基本品德标准，也是确保一方风清气正的前提和基础。党员、干部要带头遵守廉洁从政各项规定，自觉纯洁工作圈、学习圈和生活圈，管住自己、管紧家人、管好团队，任何时候都不放纵、不越轨、不逾矩，坚守底线、不碰红线，洁身自好，永葆共产党人的政治本色。做到自身正，在行使权力上慎之又慎。“其身正，不令而行;其身不正，虽令不从。”领导干部手中的权力是人民赋予的，是公权，不是私权，是为党和人民做事用的。如果做不到公心用权、公道用权、公开用权，就很难得到下属的尊崇、群众的信服，就容易损害党和政府的公信力、侵害群众的利益。要正确行使权力，怀着对人民、对组织、对法纪的敬畏，处理好公和私、情和法、利和法的关系，公正用权、依法用权、为民用权、廉洁用权，做到心有所畏、言有所戒、行有所止。做到自身硬，在自我约束上严之又严。对领导干部来说，职位越高，岗位越重，身边各种形形色色的诱惑就越多，只有敢于说“不”，坚守第一道“防线”，严把第一道“闸门”，才能“浪击身不斜，沙打眼不迷”。要不断增强自身免疫能力，带头执行中央八项规定及其实施细则精神，敢于向特权思想、贪污腐败、低级趣味作斗争，管好自己的嘴，不该吃的饭不吃;管好自己的腿，不该去的地方不去;管好自己的手，不该拿的东西不拿，在思想上划出红线，在行动上明确界限，切实做到一心为公、一身正气、一尘不染。为政清廉才能取信于民，秉公用权才能赢得人心。贵阳贵安广大党员、干部要知敬畏、存戒惧、守底线，从守住小节、管住小事做起，自重自省自警自励、慎独慎微慎始慎终，当好良好政治生态和社会风气的引领者、营造者、维护者。（贵阳日报评论员）,0,0,0,,贵阳,贵州,中国
2,5049093304616522,飞行器漫游指南,2024-06-25 10:05:14,昨天昏睡八小时的后果：一个思想高度廉洁，精神极度不稳定的梦 ,0,2,1,江苏,淮安,江苏,中国
2,5049093251138132,江西教育电视台官方微博,2024-06-25 10:05:01,#这里是江西# 【委厅领导为联席支部上专题党课】6月21日下午，省委教育工委委员、省教育厅副厅长汪立夏为委厅联席支部党员干部讲授《严守党规党纪、筑牢廉洁防线、促进事业发展》党纪学习教育专题党课。委厅领导为联席支部上专题党课 江西教育电视台官方微博的微博视频 ,0,0,0,,南昌,江西,中国
2,5049092994237219,淄博市图书馆,2024-06-25 10:04:00,淄博市图书馆 齐风清韵•知书识“廉”——淄博市图书馆廉洁文化主题书目推荐（64）党中央高度重视廉洁文化建设，习近平总书记在中国共产党第二十届中央纪律检查委员会第二次全体会议上发表重要讲话：“要在不想腐上巩固提升，更加注重正本清源、固本培元，加强新时代廉洁文化建设，涵养求真务实、团结奋斗的时代新风。”以铜为镜，可以正衣冠；以书为镜，可以省自身。一本好书，可以让人深刻了解廉政文化，明白清正廉洁的重要性。读书思廉、读书育廉、读书倡廉，是廉洁文化建设的重要举措；以书化人，以书润德，让每个读者都能知书识廉，是淄博市图书馆推出廉洁文化书目的初衷。著者: 王慧出版社:中国商务出版社出版日期: 2018摘要: 本书根据中央提出的创新社会治理的新思想新理念，将如何推进社会治理创新理论化、系统化系统阐述，以服务于社会建设。藏书地点：综合借阅室 索书号:D26/87,0,0,0,,淄博,山东,中国
3,5049091249146305,正义南康,2024-06-25 09:57:04,【#上海同济医院院长程英升被查#】据同济大学纪委（国家监委驻同济大学监察专员办公室）、上海市虹口区纪委监委6月24日消息：上海市同济医院党委副书记、院长程英升涉嫌严重违纪违法，目前正接受同济大学纪委和上海市虹口区监委纪律审查和监察调查。（廉洁上海） ,3,0,5,,赣州,江西,中国
