页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047818091758492,南京生态环境,2024-06-21 21:38:00,【学条例、明底线、强自觉——栖霞生态环境监测监控中心党支部开展党纪学习教育】为扎实开展党风廉政建设宣教季活动，进一步增强党员干部的廉洁意识，提高党性修养，近日，栖霞生态环境监测监控中心党支部及中共南京华建检测技术有限公司直属党支部的党员们共赴栖霞区党的纪律建设教育馆， 以“学条例、明底线、强自觉”为主题开展党纪学习教育。网页链接,0,1,0,,南京,江苏,中国
2,5047728319759205,邵阳县人民政府门户网,2024-06-21 15:41:16,【邵阳县委警示教育会召开】袁胜良强调，要坚持以案为鉴、以案促改，在全面检视反思中筑牢廉洁自律的底线。要深刻汲取典型案例暴露出的践行“两个维护”不自觉等问题教训，始终做到对党忠诚、立场坚定；要深刻汲取典型案例暴露出的搞团团伙伙、跑官要官、买官卖官等问题教训，始终做到“四个服从”、听党指挥；要深刻汲取典型案例暴露出的滥用职权、“打牌子”“提篮子”等问题教训，始终做到公私分明、秉公用权；要深刻汲取典型案例暴露出的贪图奢靡享乐、“吃喝风”“红包风”等问题教训，始终做到作风过硬、清正廉洁；要深刻汲取典型案例暴露出的宗旨意识淡薄、漠视侵害群众利益等问题教训，始终做到心系群众、为民造福；要深刻汲取典型案例暴露出的形式主义官僚主义、不作为慢作为等问题教训，始终做到实事求是、担当作为；要深刻汲取典型案例暴露出的管党治党宽松软等问题教训，始终做到扛牢责任、管党治党。网页链接,0,0,0,,邵阳,湖南,中国
2,5047661814091723,甘肃网信,2024-06-21 11:17:00,#甘快看# #厚道甘肃# 【任振鹤作党纪学习教育专题党课时强调 真正把纪律规矩转化为政治自觉思想自觉行动自觉 做信念坚定为民服务勤政务实敢于担当清正廉洁的好干部】为推进党纪学习教育走深走实，省委副书记、省长任振鹤6月19日为省政府领导班子成员、省政府工作部门主要负责同志、分管部门班子成员及处室负责同志作党纪学习教育专题党课。他强调，要深入学习贯彻习近平总书记关于全面加强党的纪律建设的重要论述，坚持不懈用纪律建设来校准思想之标、调整行为之舵、绷紧作风之弦，进一步强化纪律意识、加强自我约束、提高免疫能力，真正把纪律规矩转化为政治自觉、思想自觉、行动自觉，做“信念坚定、为民服务、勤政务实、敢于担当、清正廉洁”的好干部。任振鹤指出，纪律严明是我们党的光荣传统和独特优势。党的十八大以来，以习近平同志为核心的党中央坚定不移全面从严治党，把纪律建设纳入党的建设总体布局，带动各项纪律全面从严、一严到底，从根本上扭转了管党治党宽松软状况。全省政府系统要深刻汲取唐仁健、杨子兴涉嫌严重违纪违法教训，引以为戒、警钟长鸣，始终对纪律规矩保持强烈的敬畏之心，坚持“正心”和“正行”高度统一、做对党绝对忠诚的老实人，坚持“自律”和“他律”高度统一、做学纪知纪明纪守纪的明白人，坚持“有畏”和“有为”高度统一、做全力推动富民兴陇的开路人。任振鹤强调，要严守政治纪律，更加深刻领悟“两个确立”的决定性意义，把“两个维护”作为最高政治原则和根本政治规矩，铭刻在思想上、体现到纪律上、落实到履职上。要严守组织纪律，思想上认同组织、政治上依靠组织、工作上服从组织、感情上信赖组织，坚定当好执行者、行动派、实干家。要严守廉洁纪律，坚决抵御各种不良风气的诱惑和侵蚀，明大德、守公德、严私德，戒贪止欲，廉洁奉公。要严守群众纪律，走好新时代党的群众路线，全心全意为民服务、将心比心为民干事，不断增强人民群众获得感幸福感安全感。要严守工作纪律，既在检身正己中“管住身心”，又在担当作为上“放开手脚”，做到想干事、能干事、干成事、不出事。要严守生活纪律，时刻保持“赶考”的清醒和对“腐蚀”“围猎”的警觉，净化社交圈、生活圈、朋友圈，管好“枕边人”“膝下人”“身边人”，自觉做到在党纪国法面前知敬畏、存戒惧、守底线。（来源：甘肃日报）,0,0,0,,兰州,甘肃,中国
2,5047647972885873,廉洁上海,2024-06-21 10:22:00,【上海坚持贯通党纪教育和党性教育、廉洁教育 推动他律要求内化为自觉行动】“我愿淌干眼泪，洗净大千世界；我愿洒尽碧血，参透昏愦人生。”纪检监察先驱许白昊曾写下这样的句子。上海是党的诞生地、初心始发地、伟大建党精神孕育地，也是中国共产党早期纪检监察制度孕育地。在市纪委监委和市委宣传部指导下，近日，以许白昊等人为主线的报告文学《人间清白——首届中央监察委“龙华四烈士”》举办首发式，通过纪实文学传承红色基因，加强廉洁教育。#党纪学习教育# 启动以来，上海深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，把“坚持党性党风党纪一起抓”作为深入推进党纪学习教育的重要遵循，发挥红色资源底蕴深厚、数量众多、特色鲜明的优势，坚持贯通党纪教育和党性教育、廉洁教育，教育引导党员、干部从思想上固本培元，提高党性觉悟，增强拒腐防变能力，切实把遵规守纪的思想自觉化为充满激情、富于创造、勇于担当的实际行动。（解放日报）网页链接,0,1,12,,上海,上海,中国
2,5047622835898376,用户6023360461,2024-06-21 08:42:07,以案为鉴知红线 防微杜渐守底线—山湖社区集中观看廉政教育参考片为加强对党员干部的廉洁警示教育，引导广大党员知敬畏、存戒惧、守底线，自觉提升廉洁纪律意识，筑牢拒腐防变思想防线，5月10日上午，山湖社区党委组织社区工作人员、辖区党员集中观看廉政教育参考片——《惩治新型腐败和隐形腐败典型案件警示录》。教育片中的一桩桩案件发人深省，记录了陶诚华、章莳安、杨彪等几位领导干部理想信念崩塌、丧失初心使命，最终走向了违法犯罪道路的堕落沉沦历程。通过观看警示教育片，使广大党员的心灵受到强烈震撼、思想受到深刻洗礼，告诫广大党员警钟长鸣，以“片中人”为戒，勤掸“思想尘”、起到了良好的警示教育效果。大家纷纷表示，一定要以案为鉴，从反面典型案例中深刻汲取教训，进一步坚定理想信念，守住底线，抵御外界诱惑，切实拧紧思想上的“总开关”，做到心有所畏、行有所止，共同营造廉洁清明、风清气正的良好政治生态。                      供稿人：张璐璐,0,0,0,黑龙江,黑河,黑龙江,中国
2,5047457587140465,法乎道,2024-06-20 21:45:29,坚持不懈用纪律建设来校准思想之标、调整行为之舵、绷紧作风之弦，进一步强化纪律意识、加强自我约束、提高免疫能力，真正把纪律规矩转化为政治自觉、思想自觉、行动自觉，做“信念坚定、为民服务、勤政务实、敢于担当、清正廉洁”的好干部。 ,0,0,0,广东,广州,广东,中国
2,5047454817588176,炫酷的雄鹰-2037,2024-06-20 21:34:28,炫酷的雄鹰-2037新浪微博发布了头条文章《雄鹰解读党的纪律》 ：党的纪律是党的各级组织和全体党员必须遵守的行为规则，是维护党的团结统一、完成党的任务的保证。党组织必须严格执行和维护党的纪律，共产党员必须自觉接受党的纪律的约束。 党的纪律主要包括政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律。 对党员的纪律处分有五种:警告、严重警告、撤销党内职务、留党察看、开除党籍。 中国共产党是靠革命理想和铁的纪律组织起来的马克思主义政党，纪律严明是党的优良传统和独特优势。党的十九大党章修正案第四十条明确党的纪律主要包括政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律，使全面从严治党的尺子越来越清晰。雄鹰文字学解读“纪”：理解“纪”：绑在国家上的利器。雄鹰文字学解读“律”：国家行走道路上，权威持笔制定的行为准则。所以“纪律”的原始含义是：为保障国家行走道路的方向，权威部门持笔制定的行为准则，它是绑在国家政体上的利器。所以党的纪律包括政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律。雄鹰文字学解读“组”的原始含义是：绑在祖宗牌位上的政体。雄鹰文字学解读“织”：绑在国家城墙上的旗帜。所以“组织纪律”的原始含义是：绑在祖宗牌位上的政体，需要绑在国家城墙上的旗帜。如果说“政治纪律”是潜意识的内在核心品质，那么雄鹰认为组织纪律是：有些人明明知道纪律但还是犯错误，是因为心中早就没有了“组织原则”，“无组织无纪律”使我们常说的一句话，而组织是由共同理想信念组成的团体，追根溯源还是思想出了问题，丢掉了信仰，雄鹰的微博就是信仰的力量，人民有信仰、民族有希望、国家有力量。思想建党是古田会议精神的核心和精髓，也是我们党能够始终保持先进性、纯洁性和战斗性的力量源泉。民主集中制是我们党的根本组织制度和领导制度。民主是集中的客观基础，集中是民主的必然要求。开展严肃认真的党内政治生活，必须始终坚持走群众路线，保持党同人民群众的血肉联系。 实事求是、群众路线、批评与自我批评是团结的最重要手段！实事求是，与群众一起，有事摆在桌面，有话说在当面，有想法共同探讨。就不会有当面一套背后一套，就不会有离心离德，就不会有众叛亲离，就会有思想的统一、就会有团结协作、就会心向一块想，劲往一块使，一个人的力量是有限的，团结就是力量，这是老人家早就说过的话。让我们过好党内生活，不断自我革命，每一名党员都是一面旗帜，从现在做起，从我做起让我们的党永葆青春和活力。一代人有一代人的使命。新时代中国青年处在中华民族发展的最好时期，既面临着难得的建功立业的人生际遇，也面临着“天将降大任于斯人”的时代使命。新时代中国青年应在党史的深入学习与不断领悟中认识到红色政权来之不易、美好生活来之不易，找准自身的责任与担当，自觉把个人前途同国家命运相结合，在为实现中华民族伟大复兴中国梦贡献力量的实践中放飞青春梦想。赢得人民信任，得到人民支持，党就能够克服任何困难，就能够无往而不胜。我们党始终依靠人民推动历史前进，带领人民向着中华民族伟大复兴的中国梦不断进发。在全面建设社会主义现代化国家的新征程上，我们要树立正确党史观，发扬精神，坚持人民至上，把人民对美好生活的向往作为奋斗目标，以“功成不必在我”的精神境界和“功成必定有我”的历史担当，不忘初心、牢记使命、永远奋斗！ 雄鹰解读党的纪律,0,2,2,山东,济南,山东,中国
2,5047378688345402,湘阴县检察院,2024-06-20 16:31:58,涵养廉洁正气 勇担时代重任湘阴县检察院组织开展“一月一课一片一实践”主题党日活动为切实增强党员干部廉洁自律意识，强化党员干部廉洁从政、廉洁用权、廉洁修身、廉洁齐家的思想自觉，推动党纪学习教育走深走实，6月20日上午，湘阴县人民检察院开展以“党纪学习教育”为主题的“一月一课一片一实践”党日活动。上好“一课”。此次活动内容丰富，形式多样，首先由机关党支部书记廖展鹏组织学习了习近平总书记在山东的重要讲话精神《以进一步全面深化改革为动力 奋力谱写中国式现代化山东篇章》和《关于认真学习领会习近平总书记关于全面加强党的纪律建设的重要论述 扎实开展党纪学习教育的通知》（中党建发〔2024〕2号）文件精神，并为全体党员上了一节生动的纪律党课。支部党员李红围绕《中国共产党纪律处分条例》，和大家分享了学习心得，上了一堂“微党课”。观看“一片”。组织全体党员观看警示教育片《一念之间》，该片展现了受贿与否只在工作人员的一念之间，一念可以使前途一片光明，一念可以让自己从此走向腐化堕落的不归路，让人感触颇深。开展一次实践活动。6月12日，湘阴县检察院党组书记、代检察长刘春生以《严守纪规，立德修身 在警示教育中受警醒明底线知敬畏》为题，用通俗易懂的语言和事例，剖析近年来身边发生的违纪违法典型案例，上了一堂警示教育专题党课，让全体干警从中受启示、受教育、受警醒。会后，大家纷纷表示，要把党的纪律刻在心上，时刻紧绷纪律规矩这根弦，严格遵守国家法律法规，加强政治理论和党纪法规学习，始终做到忠诚干净担当。,0,0,0,,岳阳,湖南,中国
3,5047374864714999,用户7691677854,2024-06-20 16:16:46,文案弘扬清廉之风清风润万家，廉韵启新程为政清廉才能取信于民，秉公用权才能赢得人心一心为公自会宠辱不惊，两袖清风方能正气凛然弘扬清廉之风，就要牢固树立正确权力观。弘扬清廉之风，重在自觉。以学正风，弘扬清廉之风，就要全面查找廉洁风险点，筑牢思想防线，坚守法纪红线。弘扬清廉之风，贵在持久。反腐倡廉必须常抓不懈，拒腐防变必须警钟长鸣。#我为学校赢莲子#,0,0,0,山西,太原,山西,中国
3,5047349170672723,小鱼爱吃鱼啊啊啊,2024-06-20 14:34:40,#我为学校赢莲子##贵州师范学院#廉洁是一种重要的道德品质和社会价值。对于个人而言，廉洁意味着秉持正直、公正的原则，在面对利益和诱惑时坚守道德底线，自觉抵制腐败行为。廉洁的人能够做到诚实守信、清正廉洁、奉公守法。倡导廉洁，需要加强教育宣传，提高人们的道德意识和法律意识；建立健全的制度和监督机制，以防止和惩治腐败行为；同时也需要每个人从自身做起，践行廉洁的理念，共同营造风清气正的社会环境。,0,0,0,贵州,贵阳,贵州,中国
