页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5046409284030317,我亲爱的巨婴啊,2024-06-18 00:19:54,最近趁着去南昌的劲头看了建党伟业建军大业建国大业三部曲走重新刷了我们的法兰西岁月又开始看起来了红星照耀中国真的是太高能量了！ ,0,0,4,北京,北京,北京,中国
2,5046354667377987,影视音乐盛典,2024-06-17 20:42:52,#孙楠歌曲串烧含金量# #孙楠金曲串烧舞台听爽了# 时代榜样歌手@孙楠 在OST盛典上演唱了电影《建国大业》的主题曲《追寻》，以及《不见不散》电影同名主题曲。他的歌声，是力量与情感的完美结合，是经典与现代的桥梁。OST盛典和孙楠一起追寻那些动人的故事！#影视音乐盛典# 影视音乐盛典的微博视频 ,24,62,564,上海,,上海,中国
2,5046360119973037,宋药师,2024-06-17 21:04:32,#孙楠歌曲串烧含金量#在OST盛典上，时代榜样歌手孙楠演唱了电影《建党伟业》的主题曲《追寻》，以及电影《不见不散》的同名主题曲。他的歌声力量与情感完美结合，成为经典与现代的桥梁。孙楠的演绎带领观众重温那些动人的故事，充满激情与回忆的旋律深深感染了每一位听众。这场盛典在孙楠的歌声中，展现了音乐的无穷魅力与历史的厚重感，令人难以忘怀。,0,0,2,河北,石家庄,河北,中国
2,5046357054980230,墟里临风,2024-06-17 20:52:20,#孙楠歌曲串烧含金量#在OST盛典上演唱了电影《建党伟业》的主题曲《追寻》，以及《不见不散》电影同名主题曲。他的歌声，是力量与情感的完美结合，是经典与现代的桥梁。 ,0,0,0,河南,驻马店,河南,中国
2,5045440261391948,夏思恋颖彩,2024-06-15 08:09:21,angelababy🤗#angelababy小凤仙#   建党伟业·小凤仙 十三周年快乐！  @angelababy ,0,133,19,河北,廊坊,河北,中国
2,5045335319643323,梅罗纹奇奇,2024-06-15 01:12:21,黑炮事件竟然是黄建新的处女座吗，简直天才一样的。哪怕后来拍了建国大业建党伟业长津湖……我对这种人可能也只能说出，他是为了更宏大的产业的发展奉献了自己的表达，其实也挺牛的。 ,0,0,0,陕西,西安,陕西,中国
2,5045317365670290,Appoint-蒲公英,2024-06-15 00:01:00,#杨洋凡人修仙传#│#杨洋雨霖铃#  ②⓪①①⓪⑥①⑤—②⓪②④⓪⑥①⑤ ✱•✱•✱ 𝙃𝙖𝙥𝙥𝙮 𝘽𝙞𝙧𝙩𝙝𝙙𝙖𝙮 ✱•✱•✱ @杨洋 杨开智│建党伟业│⓭周年快乐 （cr：特能苏羊毛） Appoint-蒲公英的微博视频 ,0,57,14,中国台湾,金门县,台湾,中国
2,5045141541488490,绝知此事要躬行_____追星,2024-06-14 12:22:20,《建党伟业》 《建军大业》 《建国大业》 再加一部，功勋 这三部曲豆瓣都没评分， 也不敢开评论 ,0,0,0,浙江,温州,浙江,中国
2,5044868929814985,随风风风-,2024-06-13 18:19:04,周迅#30天安利周迅角色#  day9 《建党伟业》· 王会悟 “我建议转移到嘉兴，租一条船，改在船上开会” ,0,3,12,海南,临高,海南,中国
3,5044549049648133,影视星期八,2024-06-12 21:07:59,【建国大业】 【建党伟业】 【建军大业】  每个人都应该看的三部曲 ,3,3,11,江苏,南京,江苏,中国
