页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5049103047984427,大方县融媒体中心,2024-06-25 10:43:57,吴胜华在贵州工程应用技术学院思政课讲授座谈会上强调 守正创新推动思政课建设内涵式发展 着力培养担当民族复兴大任的时代新人6月24日，省委常委、市委书记吴胜华出席贵州工程应用技术学院思政课讲授座谈会并讲话，强调要深入学习贯彻习近平总书记对学校思政课建设、关于全面加强党的纪律建设及党纪学习教育的重要论述精神，在新时代守正创新推动思政课建设内涵式发展，着力培养担当民族复兴大任的时代新人，为中国式现代化毕节实践提供坚实保障。勉励广大青年学子要按照习近平总书记的要求和殷切期望，争做有理想、敢担当、能吃苦、肯奋斗的新时代好青年，以青春之我、奋斗之我为强国建设、民族复兴伟业贡献青春力量。副市长万艳出席。贵州工程应用技术学院党委书记肖建宗主持会议，党委副书记、校长张嗣杰参加。座谈会上，听取思政课建设、党纪学习教育开展情况汇报和师生代表发言后，吴胜华说，近年来，贵州工程应用技术学院始终不忘办学初心，坚持以服务毕节发展为己任，持续优化学科布局，形成了比较系统、比较有特色的工作体系，思政课开展得很有特色、卓有成效，为推动毕节高质量发展提供了强有力的智力支持和人才支撑。吴胜华指出，思政课是立德树人、培根铸魂的课程，作用巨大、不可替代。我们党历来高度重视思政课建设，特别是党的十八大以来，习近平总书记先后在全国高校思想政治工作会议、全国教育大会、学校思想政治理论课教师座谈会上作出系统部署，近期，又对学校思政课建设作出重要指示，为新时代思政课建设提供了原则遵循和方向指导。大家要把习近平总书记对思政课建设的历次重要讲话、重要指示、重要论述结合起来、贯通起来，及时跟进学习、及时消化吸收，一体学习领会、一体推动落实，推动思政课建设不断取得新成效。吴胜华强调，推进新时代高校思政课建设，要坚持以党的创新理论为引领，深度推进“习近平新时代中国特色社会主义思想概论”精品课程打造，推动“思政小课堂”与“社会大课堂”相结合，把道理讲深讲透讲活，不断增强铸魂育人效果。要打造精品特色的思政课资源，紧紧围绕提高思政课教学质量这一目标，树立大视野、大思维、大格局，树牢“课程思政”理念，在教学内容、方式方法、场景应用等方面下更多功夫，上好课堂“必修课”，拓展社会“实践课”，善用信息“数字课”，上好思政“融合课”，推动形成“大思政课”格局。要锻造高素质专业化思政课教师队伍，进一步优师资、提师能、重师德，在资金投入上优先保障、资源配置上优先满足，着力建设一支政治强、情怀深、思维新、视野广、自律严、人格正的思政课教师队伍。要加强党的全面领导，扛牢主体责任，强化要素保障，创新考评机制，建设强有力的思政课工作体系，形成多维一线、合力育人的格局。要以党纪学习教育为契机，以警示教育为载体，增强履行管党治党责任、深化以案促改促治的高度自觉，始终做到严于律己、严负其责、严管所辖，以上率下推动形成风清气正的政治生态，为学院高质量发展提供坚强保障。市有关部门负责同志，贵州工程应用技术学院师生代表参加。来   源：毕节日报社融媒体中心,0,0,0,,毕节,贵州,中国
2,5049102887028792,经理人杂志,2024-06-25 10:43:19,【泰州安盛典当有限公司总经理顾宁严重违纪违法被“双开”】江苏泰州医药高新区（高港区）纪（工）委监委对泰州安盛典当有限公司总经理顾宁严重违纪违法问题进行了立案审查调查。经查，顾宁收受可能影响公正执行公务的礼品；利用职务便利，非法收受他人财物，为他人谋取利益。顾宁违反党的廉洁纪律，构成职务违法并涉嫌受贿犯罪，应予严肃处理。依据《中国共产党纪律处分条例》《中华人民共和国监察法》《中华人民共和国公职人员政务处分法》等有关规定，经医药高新区纪工委（高港区纪委常委会）会议研究，决定给予顾宁开除党籍处分，由高港区监委给予其开除公职处分，收缴其违纪违法所得；将其涉嫌犯罪问题移送检察机关依法审查起诉，所涉财物一并移送。,0,0,0,,深圳,广东,中国
2,5049102507968516,ZZZZXD,2024-06-25 10:41:48,把严明政治纪律和政治规矩摆在首位        把严明政治纪律和政治规矩摆在首位，是马克思主义政党建设的内在要求，是中国共产党不断发展壮大的宝贵经验，是我们党不断从胜利走向胜利的重要保障。        这是落实习近平总书记关于全面加强党的纪律建设重要论述的具体体现。党的十八大以来，习近平总书记围绕管党治党和全面从严治党、加强党的纪律建设特别是政治纪律建设等提出了一系列新思想新观点新论断。总书记反复强调严明政治纪律和政治规矩的极端重要性，在党的十八大后第一次出席中央纪委全会时就突出强调政治纪律，指出“严明党的纪律，首要的就是严明政治纪律”。总书记深刻指出违反政治纪律和政治规矩的主要表现形式并提出明确要求，在十八届四中全会上列举了违反政治纪律的“七个有之”问题，在十八届中央纪委五次全会上明确提出遵守政治规矩“五个必须”的要求，在二十届一中全会上明确提出“把维护党中央权威和集中统一领导作为最根本的政治纪律和政治规矩”。总书记还悉心教导抓好政治纪律的方法路径，在二十届中央纪委二次全会上强调“严明党的政治纪律和政治规矩，带动组织纪律、廉洁纪律、群众纪律、工作纪律、生活纪律全面从严”，在二十届中央纪委三次全会上再次强调“坚持激浊和扬清并举，严明政治纪律和政治规矩”。习近平总书记一系列重要论述，为新时代加强政治纪律建设、始终把严明 政治纪律摆在首位提供了根本遵循。        这是坚持管党治党、全面从严治党的必然要求。政治纪律之所以是最重要、最根本、最关键的纪律，从根本上说是由我们党的性质所决定的。我们党作为马克思主义政党，必须旗帜鲜明讲政治。百余年来，我们党始终高度重视政治纪律并将其作为维护党的领导的有力武器，贯穿于党领导革命、建设、改革的长期实践。特别是党的十八大以来，以习近平同志为核心的党中央以前所未有的决心和力度加强纪律建设，以政治纪律为统领、用铁的纪律管全党治全党，推动全面从严治党取得历史性成就。党的十九大提出新时代党的建设总要求，明确政治建设在党的建设总体布局中的统领地位，更加决定了必须将政治纪律建设摆在党的纪律建设的首要位置。党中央先后三次修订《条例》，坚持把政治纪律作为六项纪律之首，把严明政治纪律摆在严明各项纪律之首，对顶风违反政治纪律和政治规矩的问题严查严处。经过持续整治，党员干部讲政治、懂规矩、守纪律的状况明显转好，党内政治生态发生了根本性变化，为增强党的凝聚力战斗力、维护党的团结统一提供了有力保证。        这是新征程持续加强党的纪律建设的现实需要。实现党的二十大擘画的宏伟蓝图，战胜前进道路上的一切艰难险阻和风险挑战，以中国式现代化全面推进强国建设、民族复兴伟业，必须以严明的纪律特别是政治纪律为保障，推动各级党组织和党员干部与党中央同心同德，在党的旗帜下团结成“一块坚硬的钢铁”。这就要求我们在纪律建设中必须突出政治纪律这个根本，如果政治纪律立不起来、严不起来，就会导致其他纪律全面失守，党就会陷入软弱涣散的境地，最终损害党的凝聚力战斗力。从现实情况看，不少党员干部逾规破纪都存在违反政治纪律的问题，不管违反哪方面的纪律最终都会侵蚀党的执政基础，说到底都是破坏政治纪律。与违反其他纪律相比，违反政治纪律对党和人民事业的危害最大。领导干部职务级别越高，岗位越重要，违反政治纪律的破坏性就越大，对其所在地区或单位政治生态的影响就越严重。新征程上，我们必须不断提高政治站位，始终坚持问题导向，持之以恒把政治纪律挺在前面，严之又严狠抓政治纪律执行。,0,0,0,山西,长治,山西,中国
2,5049102466026976,玥僮麻麻,2024-06-25 10:41:38,大盘趋势向下，没有任何操作机会，放弃一切幻想，严格执行纪律，火中取栗的行情 ,0,0,0,北京,北京,北京,中国
2,5049102428277069,廉洁温江,2024-06-25 10:41:29,严明党的生活纪律 锤炼道德品行网页链接 ,0,0,0,,成都,四川,中国
2,5049102020903025,云南曲靖交警,2024-06-25 10:39:51,一起学习《三个规定》@寒亭-检察【法院00后小编带你学习《三个规定》】这是连衣裙，这是工作群，这是为案件当事人说情……这是上网，这是法院官网，这是司法人员与当事人不正当接触交往……这是沙县，这是李现，这是司法人员不遵守纪律底线……严守“三个规定”说情打探必须拒绝 ，让我们一起共同营造独立、公正、廉洁、司法环境！壹法中山的微博视频  @曲靖警方,0,0,2,,曲靖,云南,中国
2,5049100963154113,天涯永不止损赵大傻,2024-06-25 10:35:40,大傻纪律 目标2号已经确定 在跌10个点左右建仓 不跌到位置绝不进入 ,0,0,1,内蒙古,通辽,内蒙古,中国
2,5049100771002453,金彩庄行发布大厅,2024-06-25 10:34:54,#吕桥村开展“见贤思齐”学习身边榜样主题党日活动#6月24日上午，为切实发挥先进典型示范引领作用，用好身边榜样，引导党员干部坚定理想信念、增强党性修养，吕桥村组织开展“见贤思齐”学习身边榜样主题党日活动，会上书记领学《中国共产党纪律处分条例》，深刻阐述了政治定力、纪律定力、道德定力、抵腐定力的重要性，引导党员干部进一步强化纪律意识、加强自我约束、提高免疫能力，始终做到忠诚干净担当。,0,0,0,,上海,上海,中国
3,5049100733253385,赵松涛,2024-06-25 10:34:45,今天走进新虹桥企业有限公司，开讲党课《加强纪律性 革命无不胜——从党史中了解和体会“纪律建设”的光荣传统和独特优势》。#寻美上海##寻美长宁#寻美中国 ,0,0,0,上海,,上海,中国
3,5049100656970804,Littleki__,2024-06-25 10:34:27,朋友们 科室早上大交班好像罚站呐 所有人排排站听汇报 我像角落里的🐭，一只有纪律有组织的老鼠 哈哈今天查房时候一个病人打量了我一下 特别郑重地对我行注目礼然后掷地有声的“你好！” 但只是两个病人的住院病历怎么那么厚啊 科主任怎么那么帅那么好啊[毕业快乐] ,0,2,1,安徽,合肥,安徽,中国
