页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5047269974608388,题名金榜时,2024-06-20 09:19:58,事业单位招考简章：2024年濮阳市范县纪律检查委员会范县监察委员会招聘工作人员 《职业能力测验》、《公共基础知识》【专项针对本次密押】【只复习题库即可，高分通过考试】【签协议】【（详询见主页） 】 ,12,0,14,河北,沧州,河北,中国
2,5046990625311301,西安中院,2024-06-19 14:49:56,#党纪学习教育# 【每日一课丨工作纪律是什么，违反工作纪律的行为有哪些？】工作纪律是党的各级组织和全体党员在党的各项具体工作中必须遵守的行为规则，是党的各项工作正常开展的重要保证，其本质要求是履职尽责，担当作为。党的工作内容丰富，包括宣传工作、教育工作、组织工作、纪律检查工作、群众工作、统一战线工作等。保证党的各项工作顺利进行离不开严明的工作纪律。违反工作纪律的行为，侵犯了党的正常工作秩序。违反工作纪律的行为主要包括以下几类：工作失职；搞形式主义、官僚主义；相关工作中不履行或者不正确履行职责；滥用问责或者问责工作中严重不负责任；统计造假；违规干预和插手；泄露组织秘密；涉外工作违规等。新修订的《中国共产党纪律处分条例》第十章“对违反工作纪律行为的处分”共20条，增写7条，修改6条。一是坚决纠治形式主义、官僚主义。针对党员、干部反映强烈的突出问题，在第一百三十二条增写对随意决策、机械执行，层层加码、过度留痕，增加基层工作负担等行为的处分规定。二是督促干部勇于担当、积极作为。落实党的二十大报告关于“加强干部斗争精神和斗争本领养成”的要求，新增第一百三十一条，明确对不敢斗争、不愿担当，面对重大矛盾冲突、危机困难临阵退缩行为的处分规定；为推动解决“新官不理旧账”的问题，在第一百三十条增写党员领导干部对于到任前已经存在且属于其职责范围内的问题，消极回避、推卸责任行为的处分规定。三是促进党员履职尽责、规范用权。与《中国共产党机构编制工作条例》等法规相衔接，新增对违反机构编制管理规定、不履行信访工作职责以及统计造假等行为的处分规定。四是推动精准问责。与《中国共产党问责条例》相衔接，新增第一百三十七条，明确对滥用问责或者在问责工作中严重不负责任行为的处分规定。五是加大对有关干预插手行为的规制力度。新增第一百四十三条，明确按照有关规定对干预和插手行为负有报告和登记义务的受请托人，不按照规定报告或者登记行为的处分规定，推进体系化纠治违规干预插手行为。,1,1,2,,西安,陕西,中国
2,5046780112928997,用户1074400724,2024-06-19 00:53:25,广元市利州区司法局原党组书记、局长杨洪文接受纪律审查和监察调查 - 广元市纪律检查委员会 网页链接 ,1,0,0,北京,北京,北京,中国
2,5046759829800585,河南省公务员招考110,2024-06-18 23:32:50,2024年中共范县纪律检查委员会范县监察委员会招聘工作人员25名公告 网页链接 ,0,0,0,河南,三门峡,河南,中国
2,5046567539313151,河南国资,2024-06-18 10:48:45,#国企资讯# 平煤神马集团党委常委会（扩大）会议召开6月17日上午，集团党委常委会（扩大）会议在会议中心召开，第一议题学习习近平总书记关于全面从严治党的重要论述，听取集团第一次党代会《中国共产党中国平煤神马控股集团有限公司第一次代表大会报告》《中共中国平煤神马集团第二届纪律检查委员会向集团第一次党代会的工作报告》起草说明，并进行了充分研究讨论。集团党委书记、董事长李毛主持会议并讲话，总经理李延河出席会议。集团领导张金常、凌兵奎、赵海龙、李本斌、李庆明、张电子、江俊富、王安乐出席会议。集团有关部门负责人参加会议。,0,0,0,,郑州,河南,中国
2,5046262208397693,亳州市交通运输局,2024-06-17 14:35:27,【市交通运输局召开党员大会圆满完成机关党委换届选举工作】6月13日，市交通运输局召开全体党员大会，换届选举产生新一届机关委员会和机关纪律检查委员会。局党组书记、局长张利华出席并讲话，机关和局属各单位133名党员参加大会。党员大会审议并通过了机关党委工作报告、机关纪委工作报告及机关党费收缴使用管理情况的报告。大会严格按照选举工作程序，选举产生了7名新一届机关党委委员、5名新一届机关纪委委员。随后召开了新一届机关党委和机关纪委第一次委员全体会议，选举产生了新一届机关党委书记、副书记，机关纪委书记，并明确了其他委员的工作分工。新当选的机关党委书记徐天生代表新一届机关党委进行了表态发言。张利华对上一届机关党委、机关纪委工作进行了点评，对全体党员干部的共同努力表示感谢，并就加强全局党建工作提出三点意见：一是突出政治建设，坚持不懈抓好理论武装。切实增强“四个意识”、坚定“四个自信”、做到“两个维护”，不断提高党员干部政治站位，增强绝对忠诚、干事创业的政治自觉。二是抓实强基固本，全面提升机关党组织自身建设。坚持党建工作问题导向，在工作中找问题、在党建上找原因，切实把党的领导贯穿到各项工作推进之中，切实提升基层党建质量。三是涵养新风正气，持之以恒推进全面从严治党。抓牢抓实党纪学习教育这一有利契机，引导党员干部学纪、知纪、明纪、守纪。用好监督执纪“四种形态”，做到真管真严、敢管敢严、长管长严，建设清廉机关、廉洁家庭，以良好的机关作风护航交通事业高质量发展。,0,0,0,,亳州,安徽,中国
2,5046195689099851,青白江区委党校_,2024-06-17 10:11:09,【莫纪宏：夯实全面从严治党的党内法规保障】       习近平总书记在党的二十大报告中指出：“坚持制度治党、依规治党，以党章为根本，以民主集中制为核心，完善党内法规制度体系，增强党内法规权威性和执行力，形成坚持真理、修正错误，发现问题、纠正偏差的机制。”在第二十届中央纪律检查委员会第二次全体会议上，习近平总书记强调：“坚持制度上全贯通，把制度建设要求体现到全面从严治党全过程、各方面、各层级，以党章为根本，以民主集中制为核心，不断完善党内法规制度体系，增强党内法规权威性和执行力，用制度促进全面从严治党体系贯通、联动，真正实现制度治党、依规治党。”党内法规作为执政党约束党组织和党员行为、管党治党的规范性文件，对于全面从严治党具有基础性保障作用。党内法规中的纪律制度，比国家法律法规要求更严。党内法规制度体系的不断完善，特别是《中国共产党纪律处分条例》（以下简称《条例》）等一系列党内法规的制定修订，为加强全面从严治党、不断提升党的执政能力和水平提供了重要保证。（马研网）网页链接,0,0,0,,成都,四川,中国
2,5046175369530358,栗同学-,2024-06-17 08:50:24,为什么天天作风纪律检查！！人多的单位考勤真的好烦啊啊啊 ,0,11,0,福建,三明,福建,中国
2,5045776891774446,用户7886505071,2024-06-16 06:27:00,北京市纪律检查委员会 ,0,0,0,北京,北京,北京,中国
3,5045291413932018,书香上海,2024-06-14 22:17:53,【活动·回顾】作为“光荣之城”2024上海红色文化季系列活动之一， 6月12日下午，由中共上海市纪律检查委员会、上海市监察委员会、中共上海市委宣传部指导，上海市作家协会、上海人民出版社主办，上海新华传媒连锁有限公司、上海评弹团承办的《人间清白——首届中央监察委“龙华四烈士”》新书首发式在上海书城6楼举行。@上海人民出版社 共同关注～活动·回顾 ｜《人间清白——首届中央监察委“龙华四烈士”》新书首发式在沪举行,0,0,0,,上海,上海,中国
