页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5048929382827410,每天一堂英语课,2024-06-24 23:13:52,沈玉容为救阿狸，精心布局，诱导鲨鱼袭向亖长公主，致使成王陷入谋反之局。得知真相的长公主毅然选择自我牺牲，助他完成宏图。#李梦演绎的长公主痴狂无比# 李梦的演技如同信手拈来#墨雨云间的精彩呈现# #阿狸# 每天一堂英语课的微博视频 ,0,0,0,北京,北京,北京,中国
2,5048929121210984,aiai艾达,2024-06-24 23:12:50,我厌恶这所有以自我牺牲为代价，不断索求感恩带上枷锁的爱，我也不相信这个世界上有纯粹的不求回报的爱，所有的爱都是有所图的 ,0,0,1,山东,聊城,山东,中国
2,5048906894019709,昵称为杨气球,2024-06-24 21:44:30,总是说中式教育有许多弊端 让人窒息我不能说我没有受到影响没有生命教育 也很少提及关于性的话题 但我自己补上了 现在想想我的爸爸会在我面“自我牺牲”  在精神上的支持也很少 很多想法也总是得到的是接近否定的反馈  在嘴上说一切取决于你  其实她们的想法已经写在脸上   似乎没有想法才是她们追求的稳定 我只觉得她们不懂什么是真正的富养 我是被这样养大的 也许我父母的教育并不成功 但我觉得被这样养大的我也并不失败难过时我心疼父母胜过心疼自己  身上所有拿得出手的东西都想要父母也拥有  如果你问我如果自己和父母的只有一方能幸福  我毫不犹豫选择她们 像个圣母也像个真正的人 自己快乐前总想太多这是一个好的状态吗 我现在只庆幸她们大多将我“放养”   给了我成长的空间  并不是完全把我塑造成下一她们,0,0,0,广东,珠海,广东,中国
2,5048898386923452,垚上榕之二,2024-06-24 21:10:42,心理学概捋2.2 暗示文化基调神话引出人心中的万物，暗示文化的基调与文明脉络。文者，纹也，纹路也，本指事物运动变化的纹理纹路。真正的文学要写出人的纹路，让人有所感，有所思考如何前行。文学作品的高峰在神话。盘古一斧，开天辟地，后化为山川海泽与民同在。盘古代表：贡献精神，自我牺牲精神，为民造福精神，生时无私奉献，死时亦为民服务，勇于开创，虽孤独却自强，有大成就而又化身厚德以载民。不惜自我为后人打造一方繁衍生息生存延续的天地，开创一切而不居功，身化天下而与民同在。一个简短的盘古开天神话，中华文明的精髓都在内了。女娲补天，后羿射日，同样是自强不息，厚德载物，临危不惧，迎难而上的典范，同样是为民为后代打造一方安乐天地。《易经-观卦-彖》曰：圣人以神道设教，而天下服矣。圣人用神话来教导指引人民，把文化用简短精练的神话剧情，通过暗示融入人的心中。在一个个神话故事不知不觉的暗示中，便将一个文明的性质基调确定下来。#心理学##冒个泡# 垚上榕之二的微博视频,0,0,0,广东,清远,广东,中国
2,5048896798327320,Yay0622,2024-06-24 21:04:23,讨厌自我牺牲式教育 ,0,0,0,云南,昆明,云南,中国
2,5048890586564800,椰蓉宝宝喵,2024-06-24 20:39:42,每次在家和我爸妈相处都特绝望，他们自我牺牲式地对我好，太让我讨厌了，我根本不需要他们这样。但是他们又不会听我讲的。 ,0,1,0,广东,中山,广东,中国
2,5048882764190000,二次元时光机,2024-06-24 20:08:37,各服务器卡组的新鲜排名，探索自我牺牲的战术在#炉石传说#中崭露头角，一同沉浸于#暴雪游戏#的精彩纷呈，#炉石#的竞技场里，#炉石传说酒馆战棋#的策略较量正激烈上演，展现独特卡组的无穷魅力。 #游戏# 二次元时光机的微博视频 ,0,8,20,北京,北京,北京,中国
2,5048876249909224,莎士比亞的後代,2024-06-24 19:42:44,感情中最怕的就是拯救者心态，总想挑战高难度，让浪子回头，让赌徒不赌，让坏男人收心，证明自己是特别的存在，和别的女人不一样这种心态一旦有，就是最大的成本损失在不断自我牺牲和奉献的过程里，会无限的美化这件事，不觉得辛苦，反而觉得在享福，非得到了那种被吸干血毫无利用价值彻底抛弃的时候才能醒悟找对象可以找相对正常的人，只不过对于奉献者来说，太乏味不够刺激但是最后刺激是需要很厚很厚的底,0,0,0,广东,,广东,中国
2,5048852090458998,1只小孩,2024-06-24 18:06:44,东亚父母最爱让类似于意外打碎玻璃杯的小事成为孩子的童年噩梦，偶尔一次不吃家里做的饭也是。以一些莫名其妙的“特地为你”的自我牺牲话语来迫使孩子听长辈的话，做他们要孩子做的事情，明明少个人头饭菜照样能被吃掉。孩子越心生愧疚，觉得辜负了长辈对自己的付出，在这种压迫关系下则越愿挨，自我折磨。 长辈得逞，”我为你好”的话语越说越顺口，越能占道德制高点。 另加一句：这样的“小事”后，当小辈提起自己的情绪时，长辈必然会反映出“这种小事你也也提”的态度，让孩子感觉自己斤斤计较，心理脆弱，微不足道。,0,0,1,浙江,湖州,浙江,中国
2,5048821182894300,拔丝茉莉,2024-06-24 16:03:55,“一切文明存在的主要动力向来不是理性，尽管理性是存在的，但文明的动力始终还是个重感情，这些感情包含尊严、自我牺牲、宗教信仰、爱国主义精神以及对荣誉的热爱” ,0,0,0,北京,,北京,中国
